dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.432991,192.875487,0.007981,0.798067,39.903362,1995.168093,0.000016
0.020000,30.432931,192.875487,0.008040,0.002969,-39.754904,-3982.913302,0.000011
0.020000,30.432833,192.875487,0.008139,0.004945,0.098792,1992.684791,0.000003
0.020000,30.472836,192.875487,0.048142,2.000164,99.760941,4983.107452,6.283177
0.020000,30.544484,192.875485,0.119791,3.582424,79.113024,-1032.395820,6.283163
0.020000,30.632055,192.875483,0.207361,4.378538,39.805705,-1965.365943,6.283145
0.020000,30.735548,192.875477,0.310855,5.174664,39.806300,0.029723,6.283124
0.020000,30.854964,192.875469,0.430271,5.970804,39.807001,0.035073,6.283100
0.020000,30.990304,192.875455,0.565610,6.766961,39.807814,0.040633,6.283073
0.020000,31.141566,192.875436,0.716873,7.563135,39.808730,0.045818,6.283043
0.020000,31.308753,192.875410,0.884059,8.359330,39.809759,0.051422,6.283010
0.020000,31.491864,192.875374,1.067170,9.155548,39.810894,0.056770,6.282973
0.020000,31.690900,192.875328,1.266206,9.951791,39.812137,0.062123,6.282934
0.020000,31.905861,192.875269,1.481167,10.748061,39.813486,0.067480,6.282892
0.020000,32.136748,192.875196,1.712055,11.544360,39.814948,0.073090,6.282847
0.020000,32.383562,192.875107,1.958868,12.340690,39.816513,0.078262,6.282799
0.020000,32.646303,192.874999,2.221609,13.137054,39.818190,0.083817,6.282748
0.020000,32.924972,192.874869,2.500279,13.933453,39.819973,0.089173,6.282695
0.020000,33.219570,192.874717,2.794876,14.729891,39.821864,0.094535,6.282639
0.020000,33.530097,192.874538,3.105404,15.526368,39.823866,0.100098,6.282580
0.020000,33.856555,192.874330,3.431861,16.322887,39.825971,0.105265,6.282519
0.020000,34.198944,192.874091,3.774250,17.119451,39.828188,0.110857,6.282455
0.020000,34.557265,192.873817,4.132572,17.916061,39.830513,0.116216,6.282389
0.020000,34.931519,192.873507,4.506826,18.712720,39.832944,0.121583,6.282321
0.020000,35.321708,192.873155,4.897015,19.509430,39.835483,0.126957,6.282250
0.020000,35.727831,192.872761,5.303139,20.306193,39.838134,0.132544,6.282177
0.020000,36.149891,192.872320,5.725199,21.103010,39.840888,0.137713,6.282103
0.020000,36.587889,192.871829,6.163196,21.899885,39.843754,0.143259,6.282026
0.020000,37.041825,192.871284,6.617133,22.696820,39.846726,0.148630,6.281947
0.020000,37.511701,192.870684,7.087009,23.493816,39.849807,0.154021,6.281867
0.020000,37.997518,192.870024,7.572827,24.290876,39.852997,0.159515,6.281785
0.020000,38.499277,192.869300,8.074587,25.088002,39.856292,0.164769,6.281702
0.020000,39.016980,192.868510,8.592291,25.885196,39.859698,0.170281,6.281617
0.020000,39.550629,192.867650,9.125940,26.682460,39.863211,0.175668,6.281531
0.020000,40.100224,192.866717,9.675536,27.479797,39.866832,0.181052,6.281443
0.020000,40.665767,192.865707,10.241080,28.277208,39.870562,0.186468,6.281355
0.020000,41.247260,192.864616,10.822574,29.074696,39.874400,0.191895,6.281266
0.020000,41.844704,192.863442,11.420019,29.872263,39.878345,0.197269,6.281175
0.020000,42.458101,192.862181,12.033417,30.669911,39.882399,0.202680,6.281084
0.020000,43.087453,192.860830,12.662770,31.467642,39.886560,0.208092,6.280993
0.020000,43.732760,192.859386,13.308079,32.265459,39.890831,0.213510,6.280901
0.020000,44.394026,192.857845,13.969347,33.063363,39.895208,0.218890,6.280809
0.020000,45.071251,192.856204,14.646574,33.861357,39.899695,0.224314,6.280717
0.020000,45.764438,192.854461,15.339763,34.659442,39.904289,0.229705,6.280624
0.020000,46.473588,192.852612,16.048915,35.457622,39.908991,0.235120,6.280532
0.020000,47.198703,192.850655,16.774033,36.255898,39.913802,0.240520,6.280441
0.020000,47.939785,192.848587,17.515118,37.054273,39.918720,0.245932,6.280350
0.020000,48.696837,192.846406,18.272173,37.852748,39.923747,0.251326,6.280259
0.020000,49.469860,192.844109,19.045200,38.651325,39.928882,0.256739,6.280169
0.020000,50.258857,192.841694,19.834200,39.450008,39.934124,0.262140,6.280081
0.020000,51.063829,192.839159,20.639176,40.248797,39.939475,0.267546,6.279993
0.020000,51.884778,192.836503,21.460130,41.047696,39.944934,0.272948,6.279907
0.020000,52.721708,192.833724,22.297064,41.846706,39.950501,0.278363,6.279822
0.020000,53.574620,192.830820,23.149981,42.645829,39.956176,0.283748,6.279740
0.020000,54.443516,192.827791,24.018882,43.445069,39.961960,0.289170,6.279659
0.020000,55.328399,192.824635,24.903771,44.244426,39.967851,0.294570,6.279580
0.020000,56.229271,192.821352,25.804649,45.043903,39.973851,0.299967,6.279503
