dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.431569,217.375487,0.007938,0.793827,39.691374,1984.568713,0.000100
0.020000,30.431696,217.375487,0.008065,0.006338,-39.374474,-3953.292397,0.000090
0.020000,30.431907,217.375487,0.008276,0.010560,0.211114,1979.279383,0.000072
0.020000,30.432203,217.375487,0.008572,0.014778,0.210884,-0.011480,0.000048
0.020000,30.432583,217.375487,0.008952,0.018989,0.210563,-0.016073,0.000017
0.020000,30.480666,217.375486,0.057035,2.404170,119.259059,5952.424799,6.283165
0.020000,30.584411,217.375482,0.160780,5.187264,139.154700,994.782037,6.283120
0.020000,30.704117,217.375471,0.280486,5.985271,39.900341,-4962.717952,6.283068
0.020000,30.839782,217.375451,0.416151,6.783268,39.899826,-0.025733,6.283010
0.020000,30.991407,217.375420,0.567776,7.581246,39.898918,-0.045392,6.282945
0.020000,31.158991,217.375373,0.735360,8.379206,39.897997,-0.046071,6.282873
0.020000,31.342534,217.375309,0.918903,9.177151,39.897253,-0.037174,6.282795
0.020000,31.542036,217.375222,1.118405,9.975072,39.896038,-0.060751,6.282709
0.020000,31.757495,217.375110,1.333864,10.772970,39.894891,-0.057335,6.282617
0.020000,31.988912,217.374967,1.565281,11.570843,39.893669,-0.061119,6.282519
0.020000,32.236285,217.374789,1.812655,12.368690,39.892343,-0.066284,6.282414
0.020000,32.499616,217.374571,2.075985,13.166508,39.890915,-0.071423,6.282302
0.020000,32.778901,217.374308,2.355271,13.964296,39.889384,-0.076535,6.282184
0.020000,33.074142,217.373994,2.650512,14.762051,39.887778,-0.080332,6.282060
0.020000,33.385338,217.373623,2.961707,15.559776,39.886225,-0.077640,6.281929
0.020000,33.712486,217.373190,3.288856,16.357461,39.884231,-0.099699,6.281792
0.020000,34.055588,217.372687,3.631959,17.155109,39.882395,-0.091776,6.281648
0.020000,34.414642,217.372108,3.991013,17.952719,39.880532,-0.093160,6.281499
0.020000,34.789647,217.371447,4.366019,18.750285,39.878315,-0.110871,6.281343
0.020000,35.180603,217.370695,4.756975,19.547810,39.876247,-0.103386,6.281181
0.020000,35.587508,217.369845,5.163881,20.345291,39.874022,-0.111253,6.281014
0.020000,36.010361,217.368890,5.586735,21.142722,39.871581,-0.122049,6.280840
0.020000,36.449162,217.367822,6.025537,21.940106,39.869181,-0.120000,6.280661
0.020000,36.903909,217.366631,6.480286,22.737440,39.866677,-0.125175,6.280476
0.020000,37.374602,217.365311,6.950981,23.534721,39.864072,-0.130280,6.280285
0.020000,37.861238,217.363852,7.437619,24.331948,39.861363,-0.135454,6.280089
0.020000,38.363818,217.362245,7.940202,25.129119,39.858556,-0.140350,6.279887
0.020000,38.882340,217.360481,8.458727,25.926232,39.855647,-0.145431,6.279680
0.020000,39.416802,217.358551,8.993192,26.723285,39.852640,-0.150349,6.279468
0.020000,39.967204,217.356444,9.543598,27.520276,39.849535,-0.155244,6.279250
0.020000,40.533543,217.354153,10.109942,28.317205,39.846445,-0.154522,6.279027
0.020000,41.115819,217.351665,10.692223,29.114068,39.843158,-0.164340,6.278800
0.020000,41.714030,217.348972,11.290440,29.910863,39.839737,-0.171073,6.278568
0.020000,42.328175,217.346063,11.904592,30.707591,39.836397,-0.167000,6.278330
0.020000,42.958252,217.342928,12.534677,31.504246,39.832778,-0.180941,6.278089
0.020000,43.604260,217.339556,13.180694,32.300829,39.829120,-0.182891,6.277842
0.020000,44.266197,217.335937,13.842641,33.097339,39.825520,-0.179991,6.277592
0.020000,44.944061,217.332058,14.520516,33.893771,39.821612,-0.195396,6.277337
