dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.433989,192.625487,0.017910,1.791045,89.552239,4477.611940,0.000096
0.020000,30.433697,192.625487,0.018202,0.014588,-88.822818,-8918.752816,0.000072
0.020000,30.433211,192.625487,0.018688,0.024298,0.485486,4465.415163,0.000033
0.020000,30.480940,192.625486,0.066417,2.386458,118.107976,5881.124503,6.283164
0.020000,30.641261,192.625477,0.226739,8.016064,281.480342,8168.618304,6.283095
0.020000,30.837211,192.625451,0.422689,9.797501,89.071826,-9620.425791,6.283009
0.020000,31.068791,192.625399,0.654268,11.578988,89.074342,0.125774,6.282909
0.020000,31.336002,192.625309,0.921479,13.360537,89.077450,0.155440,6.282793
0.020000,31.638845,192.625171,1.224322,15.142158,89.081055,0.180242,6.282662
0.020000,31.977322,192.624969,1.562800,16.923862,89.085207,0.207570,6.282517
0.020000,32.351435,192.624689,1.936913,18.705652,89.089508,0.215092,6.282356
0.020000,32.761186,192.624313,2.346664,20.487547,89.094734,0.261268,6.282181
0.020000,33.206577,192.623824,2.792055,22.269550,89.100138,0.270188,6.281991
0.020000,33.687610,192.623200,3.273088,24.051671,89.106066,0.296398,6.281788
0.020000,34.204287,192.622422,3.789766,25.833921,89.112497,0.321583,6.281570
0.020000,34.756613,192.621465,4.342093,27.616312,89.119540,0.352163,6.281338
0.020000,35.344589,192.620307,4.930070,29.398848,89.126809,0.363431,6.281092
0.020000,35.968218,192.618921,5.553700,31.181543,89.134732,0.396164,6.280834
0.020000,36.627504,192.617281,6.212988,32.964403,89.143026,0.414684,6.280562
0.020000,37.322450,192.615358,6.907937,34.747442,89.151923,0.444829,6.280277
0.020000,38.053060,192.613125,7.638551,36.530666,89.161247,0.466228,6.279980
0.020000,38.819337,192.610550,8.404832,38.314087,89.171007,0.487990,6.279670
0.020000,39.621286,192.607602,9.206787,40.097711,89.181209,0.510114,6.279349
0.020000,40.458911,192.604249,10.044418,41.881552,89.192038,0.541420,6.279016
0.020000,41.332215,192.600458,10.917730,43.665615,89.203156,0.555895,6.278672
0.020000,42.241203,192.596194,11.826728,45.449915,89.215017,0.593089,6.278318
0.020000,43.185880,192.591423,12.771417,47.234456,89.227072,0.602733,6.277952
0.020000,44.166251,192.586108,13.751802,49.019251,89.239736,0.633175,6.277577
0.020000,45.182320,192.580214,14.767889,50.804310,89.252957,0.661073,6.277192
0.020000,46.234092,192.573703,15.819681,52.589640,89.266487,0.676488,6.276799
0.020000,47.321574,192.566538,16.907186,54.375252,89.280600,0.705667,6.276396
0.020000,48.444769,192.558681,18.030410,56.161155,89.295154,0.727699,6.275985
0.020000,49.603685,192.550094,19.189357,57.947361,89.310284,0.756512,6.275567
0.020000,50.798326,192.540737,20.384034,59.733876,89.325750,0.773267,6.275141
0.020000,52.028698,192.530573,21.614448,61.520712,89.341792,0.802136,6.274708
0.020000,53.294808,192.519561,22.880606,63.307877,89.358278,0.824296,6.274270
0.020000,54.596661,192.507664,24.182514,65.095381,89.375196,0.845887,6.273825
