dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.431516,217.375487,0.007960,0.796039,39.801934,1990.096684,0.000104
0.020000,30.431628,217.375487,0.008073,0.005613,-39.521278,-3966.160588,0.000095
0.020000,30.431815,217.375487,0.008260,0.009353,0.186988,1985.413328,0.000080
0.020000,30.432077,217.375487,0.008521,0.013089,0.186816,-0.008644,0.000058
0.020000,30.432413,217.375487,0.008858,0.016821,0.186574,-0.012102,0.000031
0.020000,30.439389,217.375487,0.015833,0.348777,16.597817,820.562157,6.283183
0.020000,30.543359,217.375484,0.119804,5.198517,242.487016,11294.459975,6.283143
0.020000,30.663325,217.375477,0.239769,5.998261,39.987197,-10124.990947,6.283098
0.020000,30.799285,217.375461,0.375729,6.798000,39.986933,-0.013206,6.283046
0.020000,30.951239,217.375436,0.527683,7.597724,39.986184,-0.037457,6.282988
0.020000,31.119188,217.375397,0.695632,8.397438,39.985710,-0.023725,6.282924
0.020000,31.303130,217.375343,0.879575,9.197132,39.984730,-0.048993,6.282855
0.020000,31.503067,217.375269,1.079511,9.996817,39.984211,-0.025921,6.282779
0.020000,31.718996,217.375172,1.295441,10.796481,39.983227,-0.049186,6.282697
0.020000,31.950919,217.375049,1.527363,11.596126,39.982237,-0.049513,6.282610
0.020000,32.198834,217.374895,1.775278,12.395751,39.981268,-0.048479,6.282517
0.020000,32.462741,217.374705,2.039186,13.195356,39.980218,-0.052498,6.282418
0.020000,32.742639,217.374476,2.319084,13.994937,39.979088,-0.056495,6.282313
0.020000,33.038529,217.374201,2.614974,14.794495,39.977878,-0.060468,6.282202
0.020000,33.350410,217.373876,2.926855,15.594027,39.976590,-0.064418,6.282086
0.020000,33.678280,217.373496,3.254725,16.393531,39.975223,-0.068343,6.281964
0.020000,34.022140,217.373054,3.598585,17.193007,39.973778,-0.072243,6.281836
0.020000,34.381989,217.372544,3.958434,17.992453,39.972294,-0.074217,6.281703
0.020000,34.757826,217.371961,4.334272,18.791871,39.970942,-0.067616,6.281564
0.020000,35.149650,217.371298,4.726097,19.591252,39.969029,-0.095640,6.281420
0.020000,35.557461,217.370547,5.133909,20.390602,39.967480,-0.077470,6.281270
0.020000,35.981259,217.369703,5.557707,21.189916,39.965710,-0.088472,6.281115
0.020000,36.421042,217.368757,5.997491,21.989193,39.963849,-0.093070,6.280955
0.020000,36.876809,217.367703,6.453260,22.788431,39.961901,-0.097378,6.280790
0.020000,37.348560,217.366533,6.925012,23.587633,39.960111,-0.089512,6.280619
0.020000,37.836294,217.365238,7.412748,24.386790,39.957864,-0.112349,6.280443
0.020000,38.340010,217.363811,7.916466,25.185906,39.955796,-0.103369,6.280263
0.020000,38.859708,217.362244,8.436166,25.984980,39.953682,-0.105743,6.280077
0.020000,39.395385,217.360528,8.971846,26.784009,39.951464,-0.110884,6.279887
0.020000,39.947042,217.358654,9.523506,27.582991,39.949067,-0.119849,6.279691
0.020000,40.514677,217.356614,10.091144,28.381924,39.946686,-0.119056,6.279491
0.020000,41.098289,217.354398,10.674761,29.180809,39.944228,-0.122913,6.279286
0.020000,41.697877,217.351998,11.274354,29.979643,39.941732,-0.124799,6.279077
0.020000,42.313440,217.349403,11.889922,30.778427,39.939179,-0.127628,6.278863
0.020000,42.944977,217.346604,12.521465,31.577156,39.936432,-0.137363,6.278645
