dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.434071,192.875487,0.007960,0.796039,39.801934,1990.096684,0.000104
0.020000,30.433959,192.875487,0.008073,0.005613,-39.521278,-3966.160588,0.000095
0.020000,30.433772,192.875487,0.008260,0.009353,0.186988,1985.413328,0.000080
0.020000,30.433510,192.875487,0.008521,0.013089,0.186816,-0.008644,0.000058
0.020000,30.433174,192.875487,0.008858,0.016821,0.186574,-0.012102,0.000031
0.020000,30.439327,192.875487,0.015012,0.307685,14.543225,717.832587,6.283183
0.020000,30.542327,192.875484,0.118011,5.149990,242.115250,11378.601252,6.283143
0.020000,30.661174,192.875477,0.236858,5.942317,39.616332,-10124.945921,6.283098
0.020000,30.795867,192.875461,0.371551,6.734659,39.617102,0.038505,6.283046
0.020000,30.946407,192.875436,0.522091,7.527009,39.617529,0.021361,6.282988
0.020000,31.112794,192.875398,0.688479,8.319377,39.618366,0.041845,6.282924
0.020000,31.295029,192.875344,0.870714,9.111754,39.618840,0.023692,6.282855
0.020000,31.493113,192.875271,1.068797,9.904152,39.619909,0.053432,6.282779
0.020000,31.707044,192.875175,1.282728,10.696565,39.620654,0.037265,6.282697
0.020000,31.936824,192.875053,1.512508,11.488995,39.621530,0.043825,6.282610
0.020000,32.182453,192.874900,1.758137,12.281447,39.622565,0.051733,6.282517
0.020000,32.443931,192.874713,2.019615,13.073920,39.623658,0.054636,6.282418
0.020000,32.721259,192.874485,2.296944,13.866416,39.624809,0.057562,6.282313
0.020000,33.014438,192.874213,2.590122,14.658936,39.626019,0.060511,6.282202
0.020000,33.323467,192.873891,2.899152,15.451482,39.627289,0.063485,6.282086
0.020000,33.648348,192.873514,3.224033,16.244055,39.628619,0.066485,6.281964
0.020000,33.989081,192.873076,3.564766,17.036655,39.630009,0.069511,6.281836
0.020000,34.345666,192.872571,3.921352,17.829285,39.631498,0.074445,6.281703
0.020000,34.718105,192.871993,4.293791,18.621950,39.633255,0.087878,6.281564
0.020000,35.106397,192.871336,4.682084,19.414642,39.634595,0.067002,6.281420
0.020000,35.510544,192.870592,5.086231,20.207370,39.636433,0.091902,6.281270
0.020000,35.930546,192.869755,5.506234,21.000134,39.638191,0.087894,6.281115
0.020000,36.366403,192.868818,5.942092,21.792934,39.639996,0.090233,6.280955
0.020000,36.818117,192.867773,6.393808,22.585771,39.641853,0.092862,6.280790
0.020000,37.285689,192.866613,6.861381,23.378651,39.644004,0.107557,6.280619
0.020000,37.769119,192.865330,7.344812,24.171568,39.645841,0.091823,6.280443
0.020000,38.268407,192.863916,7.844103,24.964528,39.647993,0.107625,6.280263
0.020000,38.783556,192.862363,8.359254,25.757533,39.650237,0.112174,6.280077
0.020000,39.314565,192.860661,8.890265,26.550583,39.652516,0.113983,6.279887
0.020000,39.861435,192.858804,9.437139,27.343678,39.654756,0.112001,6.279691
0.020000,40.424168,192.856781,9.999875,28.136821,39.657150,0.119694,6.279491
0.020000,41.002764,192.854585,10.578475,28.930013,39.659606,0.122777,6.279286
0.020000,41.597224,192.852204,11.172941,29.723257,39.662162,0.127816,6.279077
0.020000,42.207550,192.849632,11.783272,30.516553,39.664801,0.131921,6.278863
0.020000,42.833742,192.846857,12.409470,31.309900,39.667384,0.129179,6.278645
0.020000,43.475801,192.843870,13.051536,32.103302,39.670092,0.135398,6.278423
0.020000,44.133728,192.840662,13.709471,32.896761,39.672964,0.143608,6.278196
0.020000,44.807525,192.837222,14.383276,33.690279,39.675872,0.145364,6.277965
0.020000,45.497192,192.833541,15.072953,34.483852,39.678662,0.139516,6.277730
0.020000,46.202731,192.829608,15.778503,35.277490,39.681903,0.162057,6.277492
0.020000,46.924143,192.825413,16.499927,36.071185,39.684762,0.142954,6.277249
0.020000,47.661428,192.820945,17.237226,36.864946,39.688050,0.164376,6.277003
0.020000,48.414588,192.816195,17.990401,37.658771,39.691246,0.159825,6.276753
0.020000,49.183625,192.811150,18.759455,38.452661,39.694479,0.161661,6.276499
0.020000,49.968539,192.805801,19.544387,39.246618,39.697864,0.169226,6.276243
0.020000,50.769332,192.800137,20.345200,40.040645,39.701335,0.173549,6.275982
0.020000,51.586005,192.794147,21.161895,40.834741,39.704824,0.174481,6.275719
0.020000,52.418559,192.787820,21.994473,41.628909,39.708362,0.176897,6.275453
0.020000,53.266996,192.781145,22.842936,42.423149,39.712002,0.181992,6.275184
0.020000,54.131316,192.774111,23.707285,43.217463,39.715708,0.185302,6.274912
0.020000,55.011522,192.766707,24.587522,44.011854,39.719537,0.191426,6.274637
