dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.432991,192.875487,0.007979,0.797899,39.894974,1994.748689,0.000016
0.020000,30.432931,192.875487,0.008038,0.002969,-39.746547,-3982.076054,0.000011
0.020000,30.432833,192.875487,0.008137,0.004944,0.098771,1992.265910,0.000003
0.020000,30.472809,192.875487,0.048114,1.998823,99.693960,4979.759479,6.283177
0.020000,30.544442,192.875485,0.119747,3.581671,79.142403,-1027.577875,6.283163
0.020000,30.631995,192.875483,0.207299,4.377618,39.797338,-1967.253270,6.283145
0.020000,30.735466,192.875477,0.310771,5.173577,39.797932,0.029711,6.283124
0.020000,30.854857,192.875469,0.430162,5.969549,39.798633,0.035058,6.283100
0.020000,30.990168,192.875455,0.565473,6.765538,39.799445,0.040616,6.283073
0.020000,31.141399,192.875436,0.716704,7.561545,39.800361,0.045799,6.283043
0.020000,31.308550,192.875410,0.883855,8.357573,39.801389,0.051400,6.283010
0.020000,31.491623,192.875374,1.066928,9.153624,39.802524,0.056746,6.282973
0.020000,31.690617,192.875328,1.265922,9.949699,39.803766,0.062097,6.282934
0.020000,31.905533,192.875269,1.480838,10.745801,39.805115,0.067451,6.282892
0.020000,32.136372,192.875197,1.711676,11.541933,39.806576,0.073057,6.282847
0.020000,32.383133,192.875107,1.958438,12.338096,39.808141,0.078231,6.282799
0.020000,32.645819,192.874999,2.221124,13.134292,39.809817,0.083782,6.282748
0.020000,32.924430,192.874870,2.499735,13.930524,39.811599,0.089135,6.282695
0.020000,33.218966,192.874717,2.794270,14.726794,39.813489,0.094495,6.282639
0.020000,33.529428,192.874538,3.104732,15.523104,39.815490,0.100053,6.282580
0.020000,33.855817,192.874331,3.431122,16.319455,39.817595,0.105224,6.282519
0.020000,34.198134,192.874091,3.773439,17.115852,39.819811,0.110811,6.282455
0.020000,34.556379,192.873818,4.131684,17.912294,39.822134,0.116168,6.282389
0.020000,34.930555,192.873507,4.505860,18.708786,39.824565,0.121532,6.282321
0.020000,35.320661,192.873156,4.895967,19.505328,39.827103,0.126904,6.282250
0.020000,35.726700,192.872762,5.302005,20.301923,39.829753,0.132485,6.282178
0.020000,36.148671,192.872321,5.723977,21.098573,39.832506,0.137659,6.282103
0.020000,36.586576,192.871830,6.161882,21.895280,39.835370,0.143199,6.282026
0.020000,37.040417,192.871286,6.615723,22.692047,39.838341,0.148568,6.281948
0.020000,37.510194,192.870686,7.085501,23.488875,39.841420,0.153951,6.281867
0.020000,37.995909,192.870026,7.571216,24.285768,39.844609,0.159457,6.281786
0.020000,38.497563,192.869303,8.072871,25.082726,39.847903,0.164691,6.281702
0.020000,39.015157,192.868513,8.590466,25.879752,39.851307,0.170214,6.281617
0.020000,39.548693,192.867653,9.124003,26.676848,39.854819,0.175594,6.281531
0.020000,40.098173,192.866720,9.673483,27.474017,39.858439,0.180976,6.281444
0.020000,40.663597,192.865710,10.238908,28.271260,39.862167,0.186385,6.281355
0.020000,41.244968,192.864620,10.820280,29.068580,39.866003,0.191823,6.281266
0.020000,41.842286,192.863447,11.417599,29.865979,39.869947,0.197178,6.281176
0.020000,42.455554,192.862187,12.030869,30.663459,39.873999,0.202598,6.281085
0.020000,43.084773,192.860836,12.660089,31.461023,39.878159,0.208004,6.280993
0.020000,43.729945,192.859392,13.305262,32.258671,39.882427,0.213417,6.280901
0.020000,44.391071,192.857852,13.966391,33.056407,39.886803,0.218804,6.280809
0.020000,45.068154,192.856211,14.643475,33.854233,39.891287,0.224214,6.280717
0.020000,45.761195,192.854469,15.336518,34.652150,39.895880,0.229611,6.280625
0.020000,46.470196,192.852621,16.045521,35.450162,39.900580,0.235021,6.280533
0.020000,47.195158,192.850664,16.770487,36.248270,39.905388,0.240419,6.280441
0.020000,47.936085,192.848597,17.511416,37.046476,39.910305,0.245827,6.280350
