dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.431373,217.375487,0.007992,0.799207,39.960334,1998.016702,0.000116
0.020000,30.431508,217.375487,0.008127,0.006724,-39.624150,-3979.224186,0.000105
0.020000,30.431732,217.375487,0.008351,0.011203,0.223976,1992.406270,0.000087
0.020000,30.432046,217.375487,0.008664,0.015678,0.223755,-0.011039,0.000061
0.020000,30.432449,217.375487,0.009067,0.020147,0.223446,-0.015455,0.000028
0.020000,30.459227,217.375487,0.035846,1.338944,65.939837,3285.819562,6.283173
0.020000,30.563705,217.375483,0.140324,5.223905,194.248050,6415.410666,6.283126
0.020000,30.684256,217.375472,0.260875,6.027547,40.182083,-7703.298386,6.283071
0.020000,30.820880,217.375453,0.397499,6.831185,40.181934,-0.007424,6.283009
0.020000,30.973576,217.375420,0.550195,7.634798,40.180650,-0.064215,6.282940
0.020000,31.142344,217.375373,0.718963,8.438404,40.180302,-0.017383,6.282864
0.020000,31.327184,217.375305,0.903802,9.241986,40.179065,-0.061873,6.282780
0.020000,31.528095,217.375215,1.104713,10.045547,40.178049,-0.050797,6.282690
0.020000,31.745076,217.375097,1.321695,10.849087,40.177012,-0.051827,6.282592
0.020000,31.978129,217.374946,1.554747,11.652607,40.175982,-0.051497,6.282488
0.020000,32.227250,217.374759,1.803869,12.456097,40.174519,-0.073190,6.282376
0.020000,32.492442,217.374528,2.069060,13.259560,40.173163,-0.067766,6.282257
0.020000,32.773701,217.374250,2.350320,14.062994,40.171706,-0.072887,6.282132
0.020000,33.071029,217.373917,2.647648,14.866398,40.170189,-0.075806,6.281999
0.020000,33.384424,217.373523,2.961044,15.669771,40.168670,-0.075969,6.281860
0.020000,33.713886,217.373063,3.290506,16.473107,40.166792,-0.093904,6.281714
0.020000,34.059414,217.372528,3.636034,17.276406,40.164929,-0.093134,6.281562
0.020000,34.421007,217.371912,3.997627,18.079669,40.163164,-0.088245,6.281402
0.020000,34.798664,217.371207,4.375285,18.882893,40.161203,-0.098046,6.281237
0.020000,35.192384,217.370406,4.769007,19.686072,40.158928,-0.113749,6.281064
0.020000,35.602168,217.369501,5.178791,20.489213,40.157048,-0.094022,6.280886
0.020000,36.028013,217.368482,5.604637,21.292304,40.154566,-0.124124,6.280701
0.020000,36.469918,217.367342,6.046544,22.095349,40.152224,-0.117091,6.280509
0.020000,36.927883,217.366071,6.504511,22.898350,40.150059,-0.108256,6.280312
0.020000,37.401907,217.364661,6.978537,23.701295,40.147287,-0.138563,6.280108
0.020000,37.891988,217.363101,7.468621,24.504190,40.144720,-0.128342,6.279899
0.020000,38.398126,217.361383,7.974761,25.307031,40.142051,-0.133467,6.279683
0.020000,38.920319,217.359497,8.496958,26.109817,40.139280,-0.138536,6.279462
0.020000,39.458566,217.357431,9.035209,26.912545,40.136409,-0.143547,6.279235
0.020000,40.012866,217.355177,9.589513,27.715213,40.133439,-0.148501,6.279002
0.020000,40.583217,217.352723,10.159869,28.517821,40.130372,-0.153398,6.278764
0.020000,41.169618,217.350058,10.746277,29.320365,40.127207,-0.158237,6.278520
0.020000,41.772068,217.347173,11.348733,30.122846,40.124070,-0.156839,6.278271
0.020000,42.390565,217.344054,11.967239,30.925262,40.120758,-0.165595,6.278016
0.020000,43.025109,217.340692,12.601791,31.727605,40.117179,-0.178958,6.277757
0.020000,43.675696,217.337074,13.252388,32.529884,40.113941,-0.161913,6.277492
0.020000,44.342327,217.333189,13.919030,33.332086,40.110096,-0.192218,6.277223
0.020000,45.024998,217.329025,14.601715,34.134220,40.106688,-0.170413,6.276949
0.020000,45.723710,217.324569,15.300440,34.936274,40.102691,-0.199842,6.276670
0.020000,46.438459,217.319811,16.015205,35.738253,40.098958,-0.186675,6.276386
0.020000,47.169244,217.314737,16.746008,36.540154,40.095076,-0.194086,6.276099
0.020000,47.916064,217.309336,17.492848,37.341973,40.090949,-0.206354,6.275807
0.020000,48.678917,217.303594,18.255722,38.143710,40.086855,-0.204695,6.275511
0.020000,49.457800,217.297499,19.034629,38.945364,40.082663,-0.209609,6.275210
0.020000,50.252713,217.291038,19.829568,39.746931,40.078374,-0.214450,6.274906
0.020000,51.063652,217.284200,20.640536,40.548411,40.073989,-0.219222,6.274599
0.020000,51.890616,217.276970,21.467532,41.349801,40.069511,-0.223927,6.274287
0.020000,52.733604,217.269336,22.310554,42.151100,40.064940,-0.228566,6.273973
0.020000,53.592612,217.261285,23.169600,42.952307,40.060346,-0.229661,6.273655
0.020000,54.467640,217.252805,24.044668,43.753419,40.055597,-0.237459,6.273334
0.020000,55.358684,217.243882,24.935757,44.554433,40.050692,-0.245234,6.273010
0.020000,56.265742,217.234503,25.842864,45.355350,40.045888,-0.240209,6.272683
0.020000,57.188813,217.224656,26.765987,46.156166,40.040792,-0.254802,6.272353
0.020000,58.127894,217.214327,27.705125,46.956882,40.035778,-0.250727,6.272022
0.020000,59.082982,217.203505,28.660275,47.757492,40.030509,-0.263424,6.271687
0.020000,60.054076,217.192175,29.631435,48.557999,40.025340,-0.258482,6.271351
0.020000,61.041173,217.180326,30.618603,49.358397,40.019921,-0.270905,6.271013
0.020000,62.044270,217.167944,31.621777,50.158687,40.014472,-0.272492,6.270673
0.020000,63.063366,217.155017,32.640954,50.958865,40.008946,-0.276261,6.270331
0.020000,64.098456,217.141533,33.676133,51.758932,40.003327,-0.280965,6.269988
0.020000,65.149540,217.127480,34.727310,52.558884,39.997615,-0.285597,6.269644
0.020000,66.216614,217.112845,35.794485,53.358721,39.991812,-0.290163,6.269299
0.020000,67.299676,217.097616,36.877653,54.158439,39.985919,-0.294667,6.268952
0.020000,68.398723,217.081781,37.976814,54.958038,39.979936,-0.299115,6.268606
0.020000,69.513751,217.065329,39.091964,55.757515,39.973866,-0.303511,6.268259
0.020000,70.644760,217.048249,40.223102,56.556869,39.967719,-0.307370,6.267911
0.020000,71.791745,217.030528,41.370224,57.356099,39.961477,-0.312086,6.267564
0.020000,72.954704,217.012157,42.533328,58.155201,39.955127,-0.317498,6.267216
0.020000,74.133634,216.993124,43.712411,58.954176,39.948722,-0.320249,6.266869
0.020000,75.328532,216.973419,44.907472,59.753020,39.942199,-0.326127,6.266523
0.020000,76.539395,216.953032,46.118506,60.551732,39.935606,-0.329662,6.266178
0.020000,77.766220,216.931952,47.345513,61.350310,39.928917,-0.334464,6.265833
0.020000,79.009004,216.910171,48.588488,62.148753,39.922145,-0.338594,6.265490
0.020000,80.267744,216.887679,49.847429,62.947059,39.915270,-0.343741,6.265148
0.020000,81.542438,216.864467,51.122333,63.745225,39.908324,-0.347286,6.264808
0.020000,82.833081,216.840527,52.413198,64.543251,39.901284,-0.352028,6.264470
0.020000,84.139670,216.815851,53.720021,65.341134,39.894154,-0.356494,6.264134
0.020000,85.462203,216.790430,55.042798,66.138873,39.886936,-0.360887,6.263800
0.020000,86.800677,216.764258,56.381528,66.936465,39.879631,-0.365242,6.263469
0.020000,88.155087,216.737328,57.736206,67.733910,39.872240,-0.369564,6.263141
0.020000,89.525432,216.709634,59.106830,68.531205,39.864745,-0.374769,6.262816
0.020000,90.911706,216.681169,60.493397,69.328348,39.857173,-0.378588,6.262495
0.020000,92.313908,216.651929,61.895904,70.125339,39.849538,-0.381768,6.262177
0.020000,93.732034,216.621908,63.314347,70.922175,39.841774,-0.388208,6.261863
0.020000,95.166080,216.591102,64.748724,71.718853,39.833931,-0.392142,6.261553
0.020000,96.616044,216.559508,66.199032,72.515374,39.826031,-0.394998,6.261247
0.020000,98.081921,216.527123,67.665267,73.311734,39.817997,-0.401705,6.260946
0.020000,99.563708,216.493944,69.147425,74.107932,39.809900,-0.404825,6.260650
0.020000,101.061402,216.459968,70.645504,74.903966,39.801736,-0.408197,6.260359
0.020000,102.574999,216.425196,72.159501,75.699835,39.793437,-0.414948,6.260074
0.020000,104.104496,216.389625,73.689412,76.495536,39.785059,-0.418897,6.259794
0.020000,105.649890,216.353258,75.235233,77.291069,39.776632,-0.421357,6.259521
0.020000,107.211176,216.316093,76.796962,78.086431,39.768088,-0.427193,6.259253
0.020000,108.788352,216.278134,78.374594,78.881620,39.759458,-0.431491,6.258992
0.020000,110.381413,216.239382,79.968127,79.676635,39.750743,-0.435785,6.258738
0.020000,111.990357,216.199840,81.577556,80.471474,39.741941,-0.440081,6.258492
0.020000,113.615179,216.159513,83.202879,81.266134,39.733034,-0.445339,6.258252
0.020000,115.255877,216.118405,84.844091,82.060615,39.724046,-0.449438,6.258020
0.020000,116.912446,216.076522,86.501190,82.854915,39.715009,-0.451851,6.257797
0.020000,118.584882,216.033871,88.174170,83.649032,39.705846,-0.458114,6.257581
0.020000,120.273184,215.990457,89.863030,84.442964,39.696560,-0.464334,6.257374
0.020000,121.977346,215.946292,91.567764,85.236709,39.687290,-0.463467,6.257177
0.020000,123.697365,215.901382,93.288369,86.030265,39.677797,-0.474639,6.256988
0.020000,125.433237,215.855739,95.024842,86.823632,39.668344,-0.472683,6.256809
0.020000,127.184960,215.809374,96.777178,87.616807,39.658731,-0.480665,6.256640
0.020000,128.952529,215.762299,98.545374,88.409787,39.649013,-0.485858,6.256480
0.020000,130.735941,215.714528,100.329425,89.202572,39.639270,-0.487153,6.256332
0.020000,132.535192,215.666074,102.129328,89.995160,39.629400,-0.493507,6.256194
0.020000,134.350278,215.616954,103.945079,90.787549,39.619444,-0.497808,6.256067
0.020000,136.181197,215.567183,105.776674,91.579737,39.609401,-0.502133,6.255952
0.020000,138.027943,215.516780,107.624109,92.371723,39.599272,-0.506489,6.255849
0.020000,139.890515,215.465764,109.487379,93.163504,39.589054,-0.510878,6.255757
0.020000,141.768908,215.414155,111.366480,93.955079,39.578748,-0.515304,6.255679
0.020000,143.663118,215.361973,113.261409,94.746446,39.568353,-0.519771,6.255612
0.020000,145.573142,215.309242,115.172161,95.537603,39.557855,-0.524880,6.255560
0.020000,147.498977,215.255986,117.098732,96.328549,39.547294,-0.528051,6.255520
0.020000,149.440619,215.202229,119.041118,97.119281,39.536629,-0.533240,6.255495
0.020000,151.398063,215.147999,120.999314,97.909799,39.525871,-0.537895,6.255483
0.020000,153.371308,215.093323,122.973316,98.700100,39.515034,-0.541873,6.255486
0.020000,155.360349,215.038230,124.963119,99.490182,39.504103,-0.546542,6.255504
0.020000,157.365182,214.982751,126.968720,100.280043,39.493082,-0.551033,6.255538
0.020000,159.385805,214.926918,128.990114,101.069683,39.481969,-0.555668,6.255587
0.020000,161.413373,214.871008,131.018453,101.416958,17.363773,-1105.909812,6.255651
0.020000,163.431917,214.815493,133.037760,100.965350,-22.580380,-1997.207635,6.255731
0.020000,165.434309,214.760597,135.040904,100.157215,-40.406757,-891.318834,6.255825
0.020000,167.420554,214.706345,137.027890,99.349302,-40.395662,0.554758,6.255934
0.020000,169.390658,214.652761,138.998723,98.541609,-40.384638,0.551161,6.256056
0.020000,171.344625,214.599869,140.953405,97.734134,-40.373755,0.544159,6.256192
0.020000,173.282460,214.547690,142.891943,96.926876,-40.362888,0.543356,6.256341
0.020000,175.204168,214.496244,144.814339,96.119833,-40.352182,0.535324,6.256503
0.020000,177.109754,214.445550,146.720600,95.313002,-40.341535,0.532344,6.256677
0.020000,178.999222,214.395626,148.610727,94.506384,-40.330929,0.530277,6.256863
0.020000,180.872577,214.346488,150.484727,93.699974,-40.320495,0.521717,6.257062
0.020000,182.729824,214.298152,152.342602,92.893772,-40.310106,0.519453,6.257271
0.020000,184.570966,214.250631,154.184358,92.087775,-40.299806,0.514985,6.257492
0.020000,186.396009,214.203938,156.009997,91.281983,-40.289596,0.510493,6.257723
0.020000,188.204955,214.158085,157.819525,90.476394,-40.279477,0.505982,6.257965
0.020000,189.997811,214.113083,159.612945,89.671005,-40.269447,0.501459,6.258217
0.020000,191.774579,214.068942,161.390262,88.865815,-40.259509,0.496931,6.258478
0.020000,193.535264,214.025669,163.151478,88.060822,-40.249653,0.492801,6.258750
0.020000,195.279869,213.983273,164.896598,87.256025,-40.239847,0.490294,6.259030
0.020000,197.008399,213.941760,166.625627,86.451420,-40.230222,0.481220,6.259319
0.020000,198.720857,213.901135,168.338567,85.647008,-40.220614,0.480447,6.259616
0.020000,200.417248,213.861403,170.035423,84.842786,-40.211089,0.476243,6.259922
0.020000,202.097574,213.822569,171.716198,84.038752,-40.201707,0.469091,6.260236
0.020000,203.761840,213.784634,173.380896,83.234905,-40.192358,0.467451,6.260557
0.020000,205.410049,213.747601,175.029521,82.431243,-40.183112,0.462277,6.260885
0.020000,207.042204,213.711471,176.662076,81.627763,-40.173988,0.456198,6.261221
0.020000,208.658310,213.676243,178.278565,80.824465,-40.164915,0.453686,6.261563
0.020000,210.258369,213.641919,179.878992,80.021346,-40.155914,0.450007,6.261912
0.020000,211.842384,213.608495,181.463360,79.218406,-40.147045,0.443454,6.262266
0.020000,213.410360,213.575971,183.031673,78.415641,-40.138249,0.439824,6.262627
0.020000,214.962298,213.544344,184.583934,77.613050,-40.129536,0.435649,6.262993
0.020000,216.498204,213.513610,186.120147,76.810632,-40.120912,0.431181,6.263364
0.020000,218.018078,213.483764,187.640314,76.008384,-40.112364,0.427419,6.263740
0.020000,219.521925,213.454803,189.144441,75.206306,-40.103923,0.422042,6.264121
0.020000,221.009748,213.426720,190.632529,74.404394,-40.095572,0.417551,6.264506
0.020000,222.481550,213.399511,192.104581,73.602648,-40.087301,0.413552,6.264895
0.020000,223.937333,213.373167,193.560603,72.801067,-40.079095,0.410317,6.265289
0.020000,225.377100,213.347682,195.000596,71.999646,-40.071024,0.403543,6.265686
0.020000,226.800855,213.323048,196.424563,71.198386,-40.063002,0.401090,6.266086
0.020000,228.208600,213.299257,197.832509,70.397284,-40.055089,0.395671,6.266489
0.020000,229.600337,213.276300,199.224436,69.596339,-40.047257,0.391591,6.266895
0.020000,230.976070,213.254168,200.600347,68.795549,-40.039512,0.387225,6.267304
0.020000,232.335801,213.232851,201.960245,67.994912,-40.031854,0.382892,6.267715
0.020000,233.679533,213.212338,203.304134,67.194426,-40.024289,0.378275,6.268128
0.020000,235.007268,213.192620,204.632015,66.394090,-40.016823,0.373316,6.268543
0.020000,236.319010,213.173685,205.943893,65.593901,-40.009422,0.370033,6.268960
0.020000,237.614760,213.155521,207.239771,64.793859,-40.002120,0.365108,6.269378
0.020000,238.894521,213.138118,208.519650,63.993961,-39.994905,0.360764,6.269797
0.020000,240.158295,213.121462,209.783534,63.194205,-39.987797,0.355369,6.270217
0.020000,241.406085,213.105541,211.031426,62.394589,-39.980760,0.351854,6.270638
0.020000,242.637894,213.090343,212.263328,61.595114,-39.973794,0.348295,6.271059
0.020000,243.853723,213.075855,213.479244,60.795775,-39.966917,0.343862,6.271480
0.020000,245.053575,213.062062,214.679175,59.996571,-39.960216,0.335035,6.271902
0.020000,246.237452,213.048952,215.863125,59.197501,-39.953472,0.337202,6.272323
0.020000,247.405357,213.036510,217.031096,58.398563,-39.946904,0.328401,6.272744
0.020000,248.557292,213.024723,218.183091,57.599756,-39.940387,0.325872,6.273164
0.020000,249.693259,213.013576,219.319113,56.801075,-39.934017,0.318499,6.273583
0.020000,250.813260,213.003055,220.439163,56.002523,-39.927606,0.320525,6.274001
0.020000,251.917297,212.993144,221.543245,55.204095,-39.921430,0.308824,6.274418
0.020000,253.005373,212.983829,222.631361,54.405788,-39.915318,0.305590,6.274833
0.020000,254.077490,212.975096,223.703513,53.607604,-39.909193,0.306244,6.275247
0.020000,255.133649,212.966928,224.759704,52.809540,-39.903233,0.298025,6.275659
0.020000,256.173853,212.959312,225.799936,52.011593,-39.897357,0.293799,6.276068
0.020000,257.198104,212.952230,226.824211,51.213761,-39.891563,0.289662,6.276476
0.020000,258.206403,212.945669,227.832532,50.416044,-39.885851,0.285617,6.276881
0.020000,259.198754,212.939612,228.824901,49.618440,-39.880218,0.281672,6.277283
0.020000,260.175157,212.934044,229.801319,48.820944,-39.874798,0.270998,6.277683
0.020000,261.135614,212.928950,230.761791,48.023558,-39.869302,0.274770,6.278080
0.020000,262.080129,212.924313,231.706316,47.226281,-39.863846,0.272814,6.278473
0.020000,263.008701,212.920119,232.634898,46.429106,-39.858763,0.254142,6.278864
0.020000,263.921334,212.916351,233.547539,45.632036,-39.853470,0.264632,6.279250
0.020000,264.818029,212.912994,234.444240,44.835067,-39.848461,0.250465,6.279633
0.020000,265.698788,212.910032,235.325004,44.038200,-39.843344,0.255835,6.280013
0.020000,266.563613,212.907450,236.189833,43.241426,-39.838705,0.231986,6.280388
0.020000,267.412505,212.905233,237.038728,42.444754,-39.833631,0.253702,6.280759
0.020000,268.245466,212.903365,237.871692,41.648175,-39.828951,0.233998,6.281126
0.020000,269.062499,212.901830,238.688725,40.851687,-39.824356,0.229737,6.281489
