dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.432596,217.375487,0.007955,0.795508,39.775397,1988.769858,0.000016
0.020000,30.432655,217.375487,0.008014,0.002960,-39.627415,-3970.140627,0.000011
0.020000,30.432754,217.375487,0.008113,0.004929,0.098476,1986.294545,0.000003
0.020000,30.472624,217.375487,0.047983,1.993498,99.428450,4966.498736,6.283177
0.020000,30.544397,217.375486,0.119756,3.588636,79.756875,-983.578767,6.283163
0.020000,30.632119,217.375483,0.207477,4.386091,39.872745,-1994.206479,6.283145
0.020000,30.735789,217.375478,0.311148,5.183534,39.872155,-0.029534,6.283124
0.020000,30.855408,217.375469,0.430767,5.980963,39.871455,-0.034959,6.283100
0.020000,30.990976,217.375455,0.566335,6.778376,39.870652,-0.040184,6.283073
0.020000,31.142491,217.375436,0.717850,7.575771,39.869737,-0.045755,6.283043
0.020000,31.309954,217.375410,0.885313,8.373145,39.868718,-0.050929,6.283010
0.020000,31.493364,217.375374,1.068723,9.170497,39.867591,-0.056367,6.282974
0.020000,31.692721,217.375328,1.268080,9.967824,39.866355,-0.061772,6.282935
0.020000,31.908023,217.375270,1.483382,10.765124,39.865011,-0.067201,6.282893
0.020000,32.139271,217.375197,1.714630,11.562395,39.863563,-0.072394,6.282848
0.020000,32.386464,217.375108,1.961823,12.359635,39.862005,-0.077941,6.282800
0.020000,32.649601,217.375000,2.224959,13.156842,39.860341,-0.083185,6.282750
0.020000,32.928681,217.374871,2.504040,13.954014,39.858569,-0.088605,6.282696
0.020000,33.223704,217.374718,2.799063,14.751147,39.856688,-0.094019,6.282640
0.020000,33.534668,217.374539,3.110027,15.548241,39.854703,-0.099280,6.282582
0.020000,33.861574,217.374332,3.436933,16.345294,39.852607,-0.104797,6.282521
0.020000,34.204420,217.374093,3.779779,17.142302,39.850407,-0.110014,6.282457
0.020000,34.563205,217.373820,4.138565,17.939264,39.848097,-0.115465,6.282391
0.020000,34.937929,217.373510,4.513288,18.736177,39.845681,-0.120823,6.282323
0.020000,35.328589,217.373160,4.903949,19.533040,39.843156,-0.126259,6.282253
0.020000,35.735186,217.372766,5.310546,20.329851,39.840526,-0.131505,6.282180
0.020000,36.157718,217.372325,5.733078,21.126607,39.837786,-0.136986,6.282106
0.020000,36.596184,217.371835,6.171544,21.923305,39.834940,-0.142276,6.282029
0.020000,37.050583,217.371292,6.625943,22.719945,39.831987,-0.147682,6.281951
0.020000,37.520913,217.370693,7.096274,23.516524,39.828925,-0.153079,6.281871
0.020000,38.007173,217.370034,7.582534,24.313039,39.825757,-0.158388,6.281789
0.020000,38.509362,217.369312,8.084724,25.109488,39.822481,-0.163834,6.281706
0.020000,39.027479,217.368524,8.602842,25.905870,39.819098,-0.169115,6.281621
0.020000,39.561522,217.367666,9.136885,26.702183,39.815607,-0.174558,6.281535
0.020000,40.111490,217.366734,9.686854,27.498423,39.812009,-0.179887,6.281448
0.020000,40.677381,217.365726,10.252745,28.294589,39.808303,-0.185313,6.281360
0.020000,41.259193,217.364638,10.834559,29.090679,39.804491,-0.190620,6.281271
0.020000,41.856926,217.363467,11.432293,29.886690,39.800570,-0.196034,6.281181
0.020000,42.470577,217.362209,12.045945,30.682621,39.796543,-0.201373,6.281090
0.020000,43.100145,217.360861,12.675515,31.478469,39.792407,-0.206760,6.280999
0.020000,43.745628,217.359420,13.320999,32.274232,39.788165,-0.212140,6.280907
0.020000,44.407024,217.357883,13.982397,33.069909,39.783815,-0.217491,6.280815
0.020000,45.084332,217.356246,14.659707,33.865496,39.779357,-0.222880,6.280723
0.020000,45.777550,217.354507,15.352927,34.660992,39.774793,-0.228225,6.280631
0.020000,46.486675,217.352663,16.062055,35.456394,39.770120,-0.233624,6.280539
0.020000,47.211707,217.350711,16.787089,36.251701,39.765341,-0.238973,6.280448
0.020000,47.952642,217.348649,17.528027,37.046910,39.760454,-0.244360,6.280356
0.020000,48.709479,217.346473,18.284868,37.842019,39.755459,-0.249718,6.280266
0.020000,49.482216,217.344183,19.057608,38.637026,39.750357,-0.255092,6.280176
0.020000,50.270851,217.341775,19.846247,39.431929,39.745148,-0.260462,6.280088
0.020000,51.075382,217.339247,20.650781,40.226726,39.739832,-0.265833,6.280000
0.020000,51.895806,217.336599,21.471210,41.021414,39.734408,-0.271200,6.279914
0.020000,52.732121,217.333827,22.307529,41.815991,39.728876,-0.276573,6.279830
0.020000,53.584325,217.330932,23.159739,42.610456,39.723237,-0.281939,6.279747
0.020000,54.452416,217.327911,24.027835,43.404806,39.717491,-0.287319,6.279666
0.020000,55.336391,217.324765,24.911815,44.199039,39.711637,-0.292673,6.279587
0.020000,56.236248,217.321492,25.811678,44.993152,39.705676,-0.298060,6.279510
0.020000,57.151985,217.318092,26.727421,45.787144,39.699608,-0.303414,6.279436
0.020000,58.083599,217.314565,27.659042,46.581013,39.693432,-0.308791,6.279364
0.020000,59.031087,217.310912,28.606537,47.374756,39.687149,-0.314159,6.279296
0.020000,59.994447,217.307133,29.569904,48.168371,39.680758,-0.319537,6.279230
0.020000,60.973676,217.303229,30.549141,48.961856,39.674260,-0.324900,6.279168
0.020000,61.968772,217.299202,31.544246,49.755210,39.667655,-0.330263,6.279109
0.020000,62.979732,217.295053,32.555214,50.548428,39.660942,-0.335639,6.279054
0.020000,64.006554,217.290784,33.582044,51.341511,39.654122,-0.341013,6.279003
0.020000,65.049233,217.286399,34.624733,52.134455,39.647194,-0.346382,6.278956
0.020000,66.107769,217.281900,35.683279,52.927258,39.640159,-0.351742,6.278914
0.020000,67.182157,217.277290,36.757677,53.719918,39.633017,-0.357125,6.278876
0.020000,68.272396,217.272573,37.847926,54.512434,39.625767,-0.362489,6.278843
0.020000,69.378481,217.267755,38.954022,55.304802,39.618410,-0.367856,6.278816
0.020000,70.500411,217.262839,40.075962,56.097021,39.610945,-0.373233,6.278793
0.020000,71.638182,217.257832,41.213744,56.889088,39.603373,-0.378604,6.278776
0.020000,72.791791,217.252739,42.367364,57.681002,39.595694,-0.383971,6.278766
0.020000,73.961234,217.247567,43.536819,58.472760,39.587907,-0.389341,6.278761
0.020000,75.146510,217.242323,44.722106,59.264360,39.580013,-0.394715,6.278762
0.020000,76.347614,217.237014,45.923222,60.055801,39.572011,-0.400085,6.278771
0.020000,77.564544,217.231651,47.140164,60.847079,39.563902,-0.405457,6.278786
0.020000,78.797296,217.226240,48.372928,61.638192,39.555685,-0.410830,6.278808
0.020000,80.045867,217.220792,49.621510,62.429140,39.547361,-0.416200,6.278838
0.020000,81.310253,217.215318,50.885909,63.219918,39.538930,-0.421566,6.278875
0.020000,82.590452,217.209829,52.166119,64.010526,39.530391,-0.426954,6.278921
0.020000,83.886460,217.204336,53.462139,64.800961,39.521745,-0.432310,6.278975
0.020000,85.198273,217.198853,54.773963,65.591221,39.512991,-0.437683,6.279037
0.020000,86.525888,217.193391,56.101589,66.381303,39.504130,-0.443058,6.279108
0.020000,87.869301,217.187967,57.445013,67.171207,39.495161,-0.448430,6.279188
0.020000,89.228509,217.182595,58.804232,67.960928,39.486085,-0.453813,6.279278
0.020000,90.603508,217.177290,60.179241,68.750466,39.476902,-0.459148,6.279378
0.020000,91.994294,217.172070,61.570037,69.539819,39.467611,-0.464556,6.279487
0.020000,93.400865,217.166952,62.976617,70.328983,39.458213,-0.469908,6.279607
0.020000,94.823215,217.161954,64.398976,71.117957,39.448707,-0.475279,6.279738
0.020000,96.261342,217.157097,65.837111,71.906739,39.439095,-0.480632,6.279880
0.020000,97.715241,217.152401,67.291018,72.695326,39.429374,-0.486028,6.280032
0.020000,99.184908,217.147887,68.760692,73.483717,39.419547,-0.491365,6.280197
0.020000,100.670340,217.143578,70.246130,74.271910,39.409612,-0.496742,6.280373
0.020000,102.171532,217.139497,71.747328,75.059901,39.399570,-0.502097,6.280562
0.020000,103.688481,217.135669,73.264282,75.847689,39.389421,-0.507465,6.280764
0.020000,105.221183,217.132120,74.796987,76.635273,39.379165,-0.512792,6.280978
0.020000,106.769632,217.128877,76.345440,77.422649,39.368801,-0.518196,6.281205
0.020000,108.333826,217.125967,77.909637,78.209815,39.358331,-0.523489,6.281447
0.020000,109.913759,217.123420,79.489572,78.996770,39.347754,-0.528861,6.281702
0.020000,111.509428,217.121266,81.085242,79.783512,39.337070,-0.534183,6.281971
0.020000,113.120828,217.119537,82.696643,80.570037,39.326278,-0.539594,6.282255
0.020000,114.747954,217.118265,84.323770,81.356345,39.315383,-0.544756,6.282554
0.020000,116.390803,217.117485,85.966619,82.142433,39.304377,-0.550321,6.282869
0.020000,117.978042,217.117231,87.553858,79.361970,-139.023122,-8916.374941,0.000258
0.020000,119.566380,217.114866,89.142197,79.416964,2.749700,7088.641113,6.280246
0.020000,121.296281,217.107229,90.872115,86.495893,353.946447,17559.837353,6.277349
0.020000,123.038415,217.094751,92.614294,87.108938,30.652225,-16164.711129,6.274750
0.020000,124.792767,217.077889,94.368727,87.721652,30.635718,-0.825346,6.272450
0.020000,126.559355,217.057107,96.135438,88.335534,30.694120,2.920115,6.270446
0.020000,128.338162,217.032881,97.914409,88.948595,30.653030,-2.054495,6.268740
0.020000,130.129160,217.005702,99.705613,89.560186,30.579545,-3.674271,6.267334
0.020000,131.932327,216.976076,101.509024,90.170532,30.517325,-3.110995,6.266231
0.020000,133.747621,216.944525,103.324592,90.778389,30.392850,-6.223742,6.265434
0.020000,135.574986,216.911591,105.152253,91.383091,30.235075,-7.888755,6.264948
0.020000,137.414354,216.877839,106.991931,91.983894,30.040145,-9.746474,6.264781
0.020000,139.265641,216.843859,108.843531,92.579962,29.803419,-11.836320,6.264939
0.020000,141.128746,216.810267,110.706939,93.170403,29.522048,-14.068560,6.265432
0.020000,143.003553,216.777710,112.582028,93.754461,29.202877,-15.958534,6.266270
0.020000,144.889912,216.746871,114.468639,94.330564,28.805176,-19.885080,6.267466
0.020000,146.787663,216.718467,116.366602,94.898144,28.379018,-21.307872,6.269034
0.020000,148.696600,216.693260,118.275706,95.455193,27.852434,-26.329224,6.270992
0.020000,150.616511,216.672054,120.195734,96.001416,27.311134,-27.064994,6.273357
0.020000,152.547118,216.655708,122.126410,96.533792,26.618802,-34.616603,6.276151
0.020000,154.488114,216.645134,124.067435,97.051272,25.873987,-37.240724,6.279400
0.020000,156.439145,216.641309,126.018469,97.551697,25.021278,-42.635440,6.283129
0.020000,158.399790,216.645276,127.979119,98.032487,24.039497,-49.089049,0.004188
0.020000,160.369568,216.658156,129.948938,98.490965,22.923908,-55.779462,0.008981
0.020000,162.347940,216.681154,131.927444,98.925283,21.715906,-60.400129,0.014365
0.020000,164.334222,216.715567,133.914024,99.329016,20.186620,-76.464271,0.020388
0.020000,166.327666,216.762795,135.908027,99.700153,18.556866,-81.487733,0.027103
0.020000,168.327398,216.824355,137.908707,100.034001,16.692395,-93.223526,0.034573
0.020000,170.319351,216.901328,139.902147,99.671984,-18.100849,-1739.662195,0.042811
0.020000,172.287519,216.994368,141.872513,98.518278,-57.685313,-1979.223194,0.051812
0.020000,174.228989,217.104441,143.817100,97.229378,-64.444969,-337.982816,0.061618
0.020000,176.142794,217.232600,145.735192,95.904599,-66.238953,-89.699201,0.072288
0.020000,178.027826,217.379918,147.625972,94.538966,-68.281666,-102.135621,0.083887
0.020000,179.882850,217.547482,149.488548,93.128843,-70.506140,-111.223704,0.096491
0.020000,181.706405,217.736390,151.321862,91.665692,-73.157542,-132.570119,0.110185
0.020000,183.496811,217.947737,153.124699,90.141859,-76.191684,-151.707103,0.125066
0.020000,185.252259,218.182627,154.895792,88.554650,-79.360444,-158.437991,0.141242
0.020000,186.970534,218.442121,156.633551,86.887935,-83.335736,-198.764585,0.158838
0.020000,188.649234,218.727251,158.336294,85.137153,-87.539082,-210.167324,0.177994
0.020000,190.285622,219.038976,160.002108,83.290692,-92.323070,-239.199374,0.198866
0.020000,191.876554,219.378132,161.628790,81.334076,-97.830799,-275.386447,0.221633
0.020000,193.418539,219.745404,163.213909,79.255989,-103.904334,-303.676756,0.246493
0.020000,194.907673,220.141243,164.754757,77.042364,-110.681251,-338.845880,0.273667
0.020000,196.339712,220.565819,166.248410,74.682663,-117.985060,-365.190421,0.303397
0.020000,197.709910,221.018866,167.691564,72.157697,-126.248304,-413.162205,0.335947
0.020000,199.013352,221.499663,169.080854,69.464500,-134.659879,-420.578769,0.371597
0.020000,200.244856,222.006854,170.412712,66.592903,-143.579801,-445.996110,0.410634
0.020000,201.399342,222.538417,171.683695,63.549150,-152.187672,-430.393544,0.453341
0.020000,202.472087,223.091607,172.890675,60.348987,-160.008139,-391.023353,0.499973
0.020000,203.459168,223.663015,174.031217,57.027112,-166.093766,-304.281316,0.550727
0.020000,204.358035,224.248812,175.104119,53.645093,-169.100949,-150.359189,0.605705
0.020000,205.167979,224.845101,176.109887,50.288425,-167.833381,63.378401,0.664861
0.020000,205.890721,225.448629,177.051483,47.079807,-160.430927,370.122710,0.727959
0.020000,206.530518,226.057499,177.934695,44.160576,-145.961529,723.469890,0.794521
0.020000,207.094001,226.671993,178.768431,41.686802,-123.688699,1113.641531,0.863824
