dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.429889,217.375486,0.007983,0.798325,39.916249,1995.812448,0.000237
0.020000,30.430764,217.375487,0.008858,0.043757,-37.728412,-3882.233029,0.000166
0.020000,30.432221,217.375487,0.010315,0.072850,1.454670,1959.154057,0.000047
0.020000,30.474440,217.375484,0.052535,2.110968,101.905913,5022.562177,6.283066
0.020000,30.548902,217.375467,0.126997,3.723103,80.606710,-1064.960141,6.282853
0.020000,30.639903,217.375425,0.217997,4.550031,41.346427,-1963.014184,6.282593
0.020000,30.747437,217.375345,0.325531,5.376703,41.333592,-0.641738,6.282286
0.020000,30.871498,217.375212,0.449593,6.203071,41.318412,-0.759016,6.281934
0.020000,31.012080,217.375008,0.590175,7.029090,41.300925,-0.874320,6.281537
0.020000,31.169174,217.374714,0.747269,7.854711,41.281065,-0.993007,6.281095
0.020000,31.342771,217.374309,0.920867,8.679889,41.258897,-1.108407,6.280609
0.020000,31.532862,217.373769,1.110958,9.504576,41.234374,-1.226159,6.280081
0.020000,31.739435,217.373069,1.317533,10.328727,41.207509,-1.343255,6.279510
0.020000,31.962480,217.372181,1.540579,11.152293,41.178315,-1.459666,6.278898
0.020000,32.201982,217.371076,1.780083,11.975228,41.146754,-1.578054,6.278245
0.020000,32.457928,217.369723,2.036033,12.797486,41.112884,-1.693530,6.277554
0.020000,32.730303,217.368089,2.308413,13.619018,41.076643,-1.812049,6.276825
0.020000,33.019092,217.366142,2.597209,14.439780,41.038065,-1.928901,6.276059
0.020000,33.324278,217.363844,2.902403,15.259723,40.997168,-2.044826,6.275258
0.020000,33.645843,217.361161,3.223979,16.078800,40.953828,-2.166994,6.274423
0.020000,33.983768,217.358053,3.561919,16.896966,40.908297,-2.276540,6.273555
0.020000,34.338033,217.354481,3.916202,17.714172,40.860298,-2.399986,6.272657
0.020000,34.708618,217.350407,4.286809,18.530371,40.809972,-2.516289,6.271730
0.020000,35.095501,217.345790,4.673720,19.345518,40.757342,-2.631477,6.270775
0.020000,35.498659,217.340588,5.076911,20.159566,40.702430,-2.745631,6.269794
0.020000,35.918068,217.334760,5.496360,20.972465,40.644902,-2.876380,6.268790
0.020000,36.353703,217.328264,5.932044,21.784172,40.585397,-2.975240,6.267764
0.020000,36.805538,217.321059,6.383937,22.594639,40.523341,-3.102817,6.266718
0.020000,37.273547,217.313101,6.852013,23.403819,40.459002,-3.216966,6.265654
0.020000,37.757701,217.304350,7.336246,24.211666,40.392355,-3.332308,6.264574
0.020000,38.257972,217.294764,7.836609,25.018130,40.323190,-3.458258,6.263482
0.020000,38.774329,217.284303,8.353072,25.823171,40.252034,-3.557812,6.262378
0.020000,39.306742,217.272926,8.885607,26.626737,40.178329,-3.685270,6.261266
0.020000,39.855179,217.260595,9.434183,27.428784,40.102325,-3.800198,6.260148
0.020000,40.419608,217.247271,9.998768,28.229266,40.024087,-3.911904,6.259026
