dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.435699,192.875487,0.007972,0.797230,39.861485,1993.074274,0.000237
0.020000,30.434825,192.875487,0.008846,0.043697,-37.676648,-3876.906662,0.000166
0.020000,30.433370,192.875487,0.010301,0.072750,1.452680,1956.466410,0.000047
0.020000,30.471344,192.875484,0.048275,1.898692,91.297067,4492.219315,6.283066
0.020000,30.540485,192.875469,0.117417,3.457071,77.918989,-668.903881,6.282853
0.020000,30.625000,192.875430,0.201931,4.225736,38.433236,-1974.287637,6.282594
0.020000,30.724893,192.875355,0.301824,4.994657,38.446033,0.639842,6.282288
0.020000,30.840170,192.875232,0.417102,5.763880,38.461149,0.755810,6.281936
0.020000,30.970839,192.875043,0.547771,6.533452,38.478623,0.873664,6.281540
0.020000,31.116907,192.874770,0.693839,7.303420,38.498394,0.988587,6.281098
0.020000,31.278384,192.874394,0.855316,8.073831,38.520526,1.106553,6.280613
0.020000,31.455277,192.873892,1.032211,8.844730,38.544975,1.222468,6.280085
0.020000,31.647600,192.873241,1.224534,9.616165,38.571757,1.339099,6.279515
0.020000,31.855362,192.872415,1.432298,10.388183,38.600886,1.456468,6.278904
0.020000,32.078576,192.871386,1.655514,11.160830,38.632331,1.572226,6.278252
0.020000,32.317256,192.870126,1.894197,11.934153,38.666141,1.690516,6.277562
0.020000,32.571415,192.868604,2.148361,12.708198,38.702265,1.806216,6.276834
0.020000,32.841069,192.866788,2.418021,13.483013,38.740735,1.923498,6.276069
0.020000,33.126234,192.864644,2.703194,14.258644,38.781569,2.041693,6.275269
0.020000,33.426926,192.862138,3.003897,15.035137,38.824665,2.154776,6.274434
0.020000,33.743164,192.859234,3.320148,15.812542,38.870223,2.277902,6.273568
0.020000,34.074965,192.855893,3.651966,16.590902,38.918012,2.389473,6.272671
0.020000,34.422349,192.852079,3.999371,17.370265,38.968157,2.507261,6.271745
0.020000,34.785337,192.847753,4.362385,18.150679,39.020678,2.626019,6.270791
0.020000,35.163950,192.842874,4.741029,18.932190,39.075591,2.745646,6.269811
0.020000,35.558208,192.837402,5.135325,19.714843,39.132625,2.851693,6.268808
0.020000,35.968137,192.831297,5.545299,20.498688,39.192258,2.981684,6.267783
0.020000,36.393758,192.824518,5.970975,21.283769,39.254053,3.089727,6.266738
0.020000,36.835097,192.817023,6.412377,22.070134,39.318224,3.208580,6.265675
0.020000,37.292179,192.808771,6.869534,22.857829,39.384788,3.328181,6.264597
0.020000,37.765031,192.799721,7.342472,23.646898,39.453406,3.430897,6.263505
0.020000,38.253678,192.789833,7.831220,24.437393,39.524768,3.568101,6.262403
0.020000,38.758151,192.779066,8.335807,25.229355,39.598125,3.667839,6.261291
0.020000,39.278476,192.767380,8.856263,26.022832,39.673854,3.786448,6.260174
0.020000,39.814684,192.754737,9.392621,26.817872,39.751966,3.905597,6.259053
0.020000,40.366806,192.741099,9.944911,27.614521,39.832462,4.024829,6.257931
0.020000,40.934873,192.726430,10.513168,28.412818,39.914827,4.118260,6.256811
0.020000,41.518918,192.710695,11.097424,29.212819,40.000067,4.261964,6.255696
0.020000,42.118973,192.693861,11.697715,30.014564,40.087255,4.359436,6.254587
0.020000,42.735073,192.675896,12.314077,30.818100,40.176807,4.477578,6.253490
0.020000,43.367254,192.656772,12.946547,31.623474,40.268681,4.593697,6.252405
0.020000,44.015550,192.636462,13.595161,32.430725,40.362578,4.694878,6.251337
0.020000,44.680000,192.614942,14.259959,33.239909,40.459203,4.831237,6.250288
0.020000,45.360641,192.592190,14.940981,34.051065,40.557784,4.929043,6.249262
0.020000,46.057512,192.568189,15.638266,34.864239,40.658678,5.044684,6.248262
0.020000,46.770655,192.542924,16.351855,35.679477,40.761926,5.162387,6.247291
0.020000,47.500108,192.516384,17.081792,36.496826,40.867431,5.275267,6.246354
0.020000,48.245916,192.488562,17.828118,37.316326,40.975037,5.380331,6.245452
0.020000,49.008121,192.459455,18.590879,38.138030,41.085152,5.505715,6.244591
0.020000,49.786768,192.429066,19.370118,38.961979,41.197452,5.615036,6.243773
0.020000,50.581902,192.397400,20.165883,39.788219,41.312022,5.728489,6.243003
0.020000,51.393570,192.364471,20.978219,40.616796,41.428841,5.840914,6.242283
0.020000,52.221821,192.330295,21.807174,41.447755,41.547966,5.956263,6.241619
0.020000,53.066702,192.294895,22.652797,42.281144,41.669455,6.074461,6.241014
0.020000,53.928266,192.258301,23.515137,43.117008,41.793210,6.187742,6.240472
0.020000,54.806563,192.220548,24.394245,43.955394,41.919259,6.302452,6.239997
0.020000,55.701646,192.181680,25.290172,44.796347,42.047681,6.421113,6.239594
0.020000,56.613570,192.141747,26.202970,45.639915,42.178407,6.536290,6.239266
0.020000,57.542391,192.100805,27.132693,46.486146,42.311521,6.655676,6.239018
0.020000,58.488166,192.058921,28.079395,47.335086,42.446993,6.773645,6.238855
0.020000,59.450953,192.016169,29.043130,48.186783,42.584885,6.894587,6.238780
0.020000,60.430812,191.972631,30.023956,49.041287,42.725158,7.013664,6.238799
0.020000,61.427804,191.928400,31.021929,49.898644,42.867879,7.136035,6.238916
0.020000,62.441992,191.883577,32.037107,50.758905,43.013028,7.257464,6.239137
0.020000,63.473440,191.838274,33.069549,51.622118,43.160677,7.382424,6.239464
0.020000,64.522213,191.792613,34.119316,52.488333,43.310760,7.504155,6.239905
0.020000,65.588379,191.746729,35.186468,53.357601,43.463378,7.630890,6.240463
0.020000,66.672004,191.700765,36.271067,54.229970,43.618472,7.754722,6.241144
0.020000,67.773158,191.654878,37.373177,55.105495,43.776206,7.886681,6.241952
0.020000,68.891912,191.609239,38.492862,55.984220,43.936255,8.002484,6.242894
0.020000,70.028337,191.564029,39.630186,56.866203,44.099165,8.145485,6.243974
0.020000,71.182506,191.519444,40.785215,57.751489,44.264284,8.255962,6.245198
0.020000,72.354492,191.475695,41.958018,58.640130,44.432068,8.389170,6.246571
0.020000,73.544370,191.433005,43.148662,59.532182,44.602593,8.526276,6.248099
0.020000,74.752215,191.391615,44.357215,60.427683,44.775061,8.623375,6.249787
0.020000,75.978102,191.351781,45.583749,61.326696,44.950643,8.779105,6.251641
0.020000,77.222106,191.313774,46.828334,62.229258,45.128084,8.872048,6.253668
0.020000,78.484305,191.277883,48.091043,63.135420,45.308110,9.001324,6.255872
0.020000,79.764772,191.244414,49.371947,64.045226,45.490323,9.110613,6.258260
0.020000,81.063583,191.213692,50.671122,64.958725,45.674949,9.231294,6.260838
0.020000,82.380812,191.186061,51.988641,65.875946,45.861048,9.304988,6.263612
0.020000,83.716532,191.161883,53.324580,66.796936,46.049483,9.421757,6.266588
0.020000,85.070814,191.141541,54.679014,67.721726,46.239494,9.500552,6.269772
0.020000,86.443726,191.125439,56.052021,68.650344,46.430908,9.570675,6.273171
0.020000,87.835336,191.114000,57.443677,69.582814,46.623503,9.629738,6.276790
0.020000,89.245705,191.107673,58.854060,70.519156,46.817102,9.679972,6.280637
0.020000,90.674892,191.106924,60.283248,71.459382,47.011298,9.709770,0.001532
0.020000,92.122952,191.112247,61.731318,72.403494,47.205619,9.716049,0.005852
0.020000,93.589934,191.124158,63.198348,73.351490,47.399794,9.708758,0.010418
0.020000,95.075879,191.143195,64.684415,74.303349,47.592951,9.657882,0.015236
0.020000,96.580822,191.169923,66.189596,75.259054,47.785253,9.615083,0.020314
0.020000,98.104791,191.204932,67.713967,76.218557,47.975143,9.494504,0.025656
0.020000,99.647803,191.248835,69.257603,77.181813,48.162785,9.382079,0.031269
0.020000,101.209864,191.302274,70.820578,78.148744,48.346581,9.189793,0.037160
0.020000,102.790969,191.365914,72.402963,79.119269,48.526228,8.982398,0.043333
