dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.432617,217.625487,0.017910,1.791045,89.552239,4477.611940,0.000014
0.020000,30.432753,217.625487,0.018046,0.006796,-89.212459,-8938.234890,0.000003
0.020000,30.506624,217.625486,0.091917,3.693550,184.337734,13677.509643,6.283170
0.020000,30.632313,217.625483,0.217606,6.284448,129.544902,-2739.641613,6.283145
0.020000,30.793912,217.625474,0.379205,8.079938,89.774499,-1988.520135,6.283113
0.020000,30.991420,217.625455,0.576713,9.875378,89.772001,-0.124880,6.283073
0.020000,31.224835,217.625424,0.810128,11.670757,89.768943,-0.152919,6.283027
0.020000,31.494156,217.625374,1.079449,13.466064,89.765335,-0.180376,6.282974
0.020000,31.799382,217.625300,1.384675,15.261287,89.761168,-0.208364,6.282914
0.020000,32.140510,217.625197,1.725803,17.056416,89.756445,-0.236159,6.282848
0.020000,32.517539,217.625055,2.102832,18.851440,89.751168,-0.263844,6.282775
0.020000,32.930466,217.624870,2.515759,20.646346,89.745336,-0.291603,6.282696
0.020000,33.379288,217.624631,2.964581,22.441125,89.738947,-0.319470,6.282611
0.020000,33.864003,217.624331,3.449297,24.235765,89.732002,-0.347219,6.282520
0.020000,34.384608,217.623959,3.969902,26.030255,89.724504,-0.374928,6.282424
0.020000,34.941100,217.623508,4.526393,27.824584,89.716449,-0.402734,6.282323
0.020000,35.533474,217.622965,5.118768,29.618741,89.707836,-0.430650,6.282216
0.020000,36.161728,217.622321,5.747023,31.412714,89.698672,-0.458220,6.282105
0.020000,36.825858,217.621566,6.411152,33.206493,89.688948,-0.486164,6.281990
0.020000,37.525859,217.620687,7.111154,35.000067,89.678672,-0.513837,6.281870
0.020000,38.261726,217.619674,7.847022,36.793424,89.667838,-0.541671,6.281747
0.020000,39.033457,217.618515,8.618753,38.586553,89.656449,-0.569461,6.281621
0.020000,39.841044,217.617199,9.426342,40.379443,89.644506,-0.597165,6.281491
0.020000,40.684485,217.615714,10.269784,42.172083,89.632005,-0.625053,6.281359
0.020000,41.563772,217.614049,11.149073,43.964462,89.618949,-0.652757,6.281225
0.020000,42.478902,217.612192,12.064204,45.756569,89.605338,-0.680554,6.281089
0.020000,43.429867,217.610133,13.015172,47.548392,89.591171,-0.708355,6.280952
0.020000,44.416663,217.607861,14.001971,49.339921,89.576449,-0.736097,6.280814
0.020000,45.439283,217.605364,15.024594,51.131144,89.561171,-0.763917,6.280676
0.020000,46.497721,217.602635,16.083035,52.922051,89.545338,-0.791655,6.280538
0.020000,47.591969,217.599662,17.177287,54.712630,89.528949,-0.819461,6.280401
0.020000,48.722022,217.596438,18.307345,56.502870,89.512004,-0.847232,6.280265
0.020000,49.887872,217.592954,19.473200,58.292760,89.494504,-0.875004,6.280131
0.020000,51.089512,217.589203,20.674846,60.082289,89.476448,-0.902785,6.279999
0.020000,52.326934,217.585180,21.912274,61.871446,89.457837,-0.930558,6.279870
0.020000,53.600131,217.580879,23.185479,63.660219,89.438670,-0.958333,6.279745
0.020000,54.909095,217.576296,24.494451,65.448598,89.418948,-0.986114,6.279624
0.020000,56.253818,217.571429,25.839182,67.236572,89.398670,-1.013891,6.279509
0.020000,57.634291,217.566276,27.219665,69.024128,89.377837,-1.041645,6.279398
0.020000,59.050506,217.560838,28.635890,70.811257,89.356448,-1.069449,6.279294
0.020000,60.502453,217.555117,30.087849,72.597948,89.334505,-1.097197,6.279197
0.020000,61.990125,217.549117,31.575533,74.384188,89.312005,-1.124995,6.279108
0.020000,63.513511,217.542843,33.098932,76.169967,89.288949,-1.152757,6.279027
0.020000,65.072603,217.536302,34.658037,77.955273,89.265339,-1.180528,6.278955
0.020000,66.667391,217.529506,36.252839,79.740097,89.241172,-1.208325,6.278894
0.020000,68.297864,217.522465,37.883328,81.524426,89.216451,-1.236077,6.278843
0.020000,69.964013,217.515195,39.549493,83.308249,89.191173,-1.263875,6.278803
0.020000,71.665828,217.507712,41.251324,85.091556,89.165340,-1.291646,6.278776
0.020000,73.403297,217.500037,42.988811,86.874335,89.138952,-1.319423,6.278762
0.020000,75.176412,217.492193,44.761942,88.656575,89.112008,-1.347211,6.278762
0.020000,76.985159,217.484204,46.570708,90.438265,89.084508,-1.374992,6.278778
0.020000,78.829529,217.476101,48.415095,92.219395,89.056452,-1.402773,6.278809
0.020000,80.709511,217.467916,50.295094,93.999951,89.027841,-1.430560,6.278857
0.020000,82.625091,217.459684,52.210693,95.779925,88.998674,-1.458347,6.278922
0.020000,84.576260,217.451445,54.161879,97.559304,88.968952,-1.486134,6.279006
0.020000,86.563005,217.443242,56.148641,99.338077,88.938674,-1.513906,6.279110
0.020000,88.585313,217.435124,58.170965,101.116234,88.907839,-1.541710,6.279235
0.020000,90.643173,217.427141,60.228841,102.893763,88.876450,-1.569478,6.279381
0.020000,92.736571,217.419349,62.322254,104.670653,88.844505,-1.597257,6.279549
0.020000,94.865496,217.411810,64.451191,106.446893,88.812004,-1.625028,6.279742
0.020000,97.029933,217.404588,66.615641,108.222472,88.778948,-1.652807,6.279959
0.020000,99.229870,217.397754,68.815589,109.997379,88.745337,-1.680547,6.280202
0.020000,101.465293,217.391383,71.051021,111.771602,88.711171,-1.708298,6.280472
0.020000,103.736188,217.385555,73.321923,113.545131,88.676450,-1.736028,6.280770
0.020000,106.042542,217.380357,75.628282,115.317955,88.641175,-1.763747,6.281097
0.020000,108.384339,217.375880,77.970084,117.090062,88.605348,-1.791398,6.281454
0.020000,110.761565,217.372222,80.347312,118.861441,88.568965,-1.819115,6.281843
0.020000,113.156335,217.369504,82.742084,119.738573,43.856585,-2235.618988,6.282262
0.020000,115.550773,217.367819,85.136523,119.721948,-0.831255,-2234.392047,6.282706
0.020000,117.944879,217.367232,87.530629,119.705323,-0.831240,0.000774,6.283178
0.020000,120.127960,217.370753,89.713713,109.154179,-527.557223,-26336.299136,0.003342
0.020000,122.476856,217.383312,92.062642,117.446485,414.615299,47108.626090,0.007427
0.020000,124.820017,217.405941,94.405912,117.163483,-14.150085,-21438.269212,0.011966
0.020000,127.157204,217.439664,96.743343,116.871533,-14.597469,-22.369200,0.016971
0.020000,129.488143,217.485526,99.074733,116.569504,-15.101451,-25.199106,0.022460
0.020000,131.812513,217.544603,101.399854,116.256040,-15.673217,-28.588302,0.028450
0.020000,134.129954,217.617996,103.718457,115.930162,-16.293880,-31.033154,0.034961
0.020000,136.440059,217.706841,106.030269,115.590604,-16.977944,-34.203158,0.042016
0.020000,138.742374,217.812306,108.334998,115.236472,-17.706595,-36.432563,0.049637
0.020000,141.036378,217.935593,110.632313,114.865735,-18.536854,-41.512940,0.057852
0.020000,143.321486,218.077943,112.921851,114.476902,-19.441626,-45.238597,0.066688
0.020000,145.597057,218.240636,115.203230,114.068930,-20.398593,-47.848395,0.076177
0.020000,147.862372,218.424990,117.476034,113.640222,-21.435402,-51.840439,0.086352
0.020000,150.116621,218.632367,119.739802,113.188364,-22.592904,-57.875110,0.097250
0.020000,152.358907,218.864165,121.994038,112.711803,-23.828067,-61.758108,0.108909
0.020000,154.588264,219.121830,124.238235,112.209871,-25.096594,-63.426374,0.121373
0.020000,156.803582,219.406839,126.471811,111.678818,-26.552639,-72.802263,0.134685
0.020000,159.003658,219.720710,128.694164,111.117639,-28.058947,-75.315369,0.148896
0.020000,161.187168,220.064994,130.904650,110.524288,-29.667540,-80.429644,0.164055
0.020000,163.352678,220.441272,133.102608,109.897886,-31.320142,-82.630103,0.180217
0.020000,165.498583,220.851142,135.287305,109.234871,-33.150749,-91.530346,0.197439
0.020000,167.623168,221.296221,137.458009,108.535177,-34.984663,-91.695741,0.215780
0.020000,169.724558,221.778125,139.613948,107.796954,-36.911168,-96.325228,0.235302
0.020000,171.800764,222.298470,141.754366,107.020917,-38.801865,-94.534864,0.256065
0.020000,173.849621,222.858838,143.878471,106.205275,-40.782094,-99.011448,0.278134
0.020000,175.868845,223.460779,145.985508,105.351803,-42.673581,-94.574353,0.301566
0.020000,177.856047,224.105793,148.074769,104.463064,-44.436957,-88.168802,0.326422
0.020000,179.808713,224.795296,150.145595,103.541316,-46.087408,-82.522558,0.352751
0.020000,181.724268,225.530621,152.197437,102.592076,-47.461977,-68.728423,0.380598
0.020000,183.600104,226.312994,154.229891,101.622702,-48.468719,-50.337130,0.409996
0.020000,185.433618,227.143524,156.242737,100.642321,-49.019057,-27.516894,0.440962
0.020000,187.222251,228.023187,158.235980,99.662140,-49.009032,0.501279,0.473495
0.020000,188.963567,228.952832,160.209915,98.696750,-48.269493,36.976945,0.507573
0.020000,190.655289,229.933184,162.165168,97.762669,-46.704041,78.272571,0.543144
0.020000,192.284614,230.957805,164.089888,96.235979,-76.334501,-1481.522958,0.579878
0.020000,193.839180,232.017898,165.971502,94.080705,-107.763730,-1571.461452,0.617349
0.020000,195.318618,233.110776,167.810828,91.966290,-105.720747,102.149109,0.655336
0.020000,196.724248,234.234497,169.610424,89.979817,-99.323667,319.854013,0.693637
0.020000,198.057696,235.387079,171.372958,88.126705,-92.655587,333.404024,0.732037
0.020000,199.320833,236.566497,173.101120,86.408102,-85.930117,336.273463,0.770321
0.020000,200.515724,237.770700,174.797549,84.821427,-79.333764,329.817678,0.808279
0.020000,201.644552,238.997573,176.464723,83.358724,-73.135137,309.931364,0.845712
0.020000,202.709591,240.244962,178.104932,82.010445,-67.413970,286.058352,0.882437
0.020000,203.713140,241.510629,179.720179,80.762363,-62.404092,250.493893,0.918292
0.020000,204.657522,242.792279,181.312186,79.600321,-58.102093,215.099930,0.953143
0.020000,205.545043,244.087540,182.882343,78.507866,-54.622781,173.965604,0.986876
0.020000,206.377982,245.393970,184.431713,77.468485,-51.969054,132.686351,1.019408
0.020000,207.158602,246.709087,185.961059,76.467321,-50.058191,95.543153,1.050675
0.020000,207.889133,248.030378,187.470856,75.489858,-48.873144,59.252355,1.080641
0.020000,208.571790,249.355347,188.961347,74.524533,-48.266253,30.344561,1.109287
0.020000,209.208753,250.681511,190.432548,73.560060,-48.223636,2.130811,1.136611
0.020000,209.802161,252.006407,191.884265,72.585849,-48.710553,-24.345826,1.162628
0.020000,210.354146,253.327695,193.316218,71.597631,-49.410885,-35.016583,1.187362
0.020000,210.866772,254.643046,194.727931,70.585665,-50.598339,-59.372714,1.210846
0.020000,211.342105,255.950334,196.118954,69.551140,-51.726253,-56.395695,1.233123
0.020000,211.782136,257.247475,197.488699,68.487240,-53.194958,-73.435246,1.254237
0.020000,212.188813,258.532520,198.836559,67.393025,-54.710762,-75.790232,1.274236
0.020000,212.564032,259.803649,200.161912,66.267610,-56.270751,-77.999416,1.293170
0.020000,212.909625,261.059150,201.464108,65.109825,-57.889268,-80.925867,1.311090
0.020000,213.227379,262.297493,202.742569,63.923045,-59.338983,-72.485747,1.328046
0.020000,213.518987,263.517169,203.996620,62.702542,-61.025176,-84.309657,1.344088
0.020000,213.786097,264.716851,205.225678,61.452907,-62.481732,-72.827795,1.359263
0.020000,214.030282,265.895310,206.429170,60.174591,-63.915801,-71.703463,1.373616
0.020000,214.253053,267.051439,207.606566,58.869797,-65.239700,-66.194924,1.387194
0.020000,214.455843,268.184192,208.757328,57.538115,-66.584098,-67.219935,1.400036
0.020000,214.640022,269.292639,209.880972,56.182188,-67.796352,-60.612669,1.412183
0.020000,214.806888,270.375895,210.977005,54.801653,-69.026727,-61.518778,1.423672
0.020000,214.957682,271.433212,212.045021,53.400820,-70.041654,-50.746354,1.434538
0.020000,215.093572,272.463841,213.084570,51.977442,-71.168900,-56.362297,1.444815
0.020000,215.215671,273.467150,214.095281,50.535562,-72.094016,-46.255791,1.454532
0.020000,215.325034,274.442592,215.076835,49.077677,-72.894235,-40.010934,1.463720
0.020000,215.422646,275.389567,216.028827,47.599626,-73.902587,-50.417616,1.472405
0.020000,215.509451,276.307625,216.950980,46.107610,-74.600760,-34.908638,1.480611
0.020000,215.586332,277.196329,217.843003,44.601177,-75.321674,-36.045692,1.488362
