dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.432991,192.875487,0.007997,0.799707,39.985375,1999.268730,0.000016
0.020000,30.432931,192.875487,0.008057,0.002975,-39.836612,-3991.099327,0.000011
0.020000,30.432832,192.875487,0.008156,0.004955,0.098994,1996.780308,0.000003
0.020000,30.473098,192.875487,0.048421,2.013272,100.415826,5015.841590,6.283177
0.020000,30.544893,192.875485,0.120217,3.589787,78.825780,-1079.502313,6.283163
0.020000,30.632644,192.875483,0.207968,4.387538,39.887520,-1946.912976,6.283145
0.020000,30.736350,192.875477,0.311674,5.185300,39.888117,0.029845,6.283124
0.020000,30.856012,192.875469,0.431335,5.983076,39.888821,0.035216,6.283100
0.020000,30.991629,192.875455,0.566953,6.780869,39.889638,0.040807,6.283073
0.020000,31.143203,192.875436,0.718526,7.578680,39.890558,0.046001,6.283043
0.020000,31.310733,192.875409,0.886056,8.376512,39.891590,0.051632,6.283009
0.020000,31.494220,192.875374,1.069544,9.174367,39.892730,0.057003,6.282973
0.020000,31.693665,192.875327,1.268989,9.972246,39.893978,0.062377,6.282933
0.020000,31.909068,192.875268,1.484392,10.770153,39.895333,0.067756,6.282891
0.020000,32.140430,192.875195,1.715753,11.568089,39.896801,0.073409,6.282846
0.020000,32.387751,192.875105,1.963075,12.366056,39.898373,0.078567,6.282798
0.020000,32.651032,192.874997,2.226356,13.164058,39.900056,0.084161,6.282747
0.020000,32.930274,192.874867,2.505598,13.962094,39.901847,0.089539,6.282694
0.020000,33.225477,192.874713,2.800801,14.760169,39.903745,0.094923,6.282637
0.020000,33.536643,192.874534,3.111967,15.558285,39.905756,0.100540,6.282579
0.020000,33.863772,192.874325,3.439096,16.356442,39.907869,0.105670,6.282517
0.020000,34.206865,192.874085,3.782188,17.154644,39.910095,0.111312,6.282454
0.020000,34.565922,192.873810,4.141246,17.952892,39.912429,0.116693,6.282387
0.020000,34.940946,192.873498,4.516270,18.751190,39.914871,0.122082,6.282319
0.020000,35.331937,192.873146,4.907261,19.549538,39.917421,0.127510,6.282248
0.020000,35.738895,192.872750,5.314220,20.347940,39.920082,0.133037,6.282175
0.020000,36.161823,192.872307,5.737148,21.146397,39.922849,0.138333,6.282101
0.020000,36.600721,192.871814,6.176046,21.944911,39.925725,0.143817,6.282024
0.020000,37.055590,192.871267,6.630916,22.743486,39.928710,0.149242,6.281945
0.020000,37.526432,192.870664,7.101758,23.542122,39.931804,0.154699,6.281865
0.020000,38.013248,192.870002,7.588574,24.340822,39.935005,0.160082,6.281783
0.020000,38.516039,192.869275,8.091366,25.139588,39.938316,0.165537,6.281699
0.020000,39.034807,192.868482,8.610135,25.938423,39.941735,0.170937,6.281614
0.020000,39.569553,192.867619,9.144881,26.737328,39.945263,0.176391,6.281528
0.020000,40.120278,192.866682,9.695607,27.536306,39.948899,0.181798,6.281440
0.020000,40.686985,192.865668,10.262314,28.335359,39.952644,0.187276,6.281352
0.020000,41.269674,192.864573,10.845004,29.134489,39.956496,0.192612,6.281262
0.020000,41.868346,192.863395,11.443678,29.933698,39.960459,0.198138,6.281172
0.020000,42.483005,192.862129,12.058338,30.732989,39.964529,0.203497,6.281081
0.020000,43.113651,192.860773,12.688985,31.532363,39.968708,0.208958,6.280989
0.020000,43.760285,192.859323,13.335622,32.331823,39.972996,0.214371,6.280897
0.020000,44.422911,192.857776,13.998249,33.131370,39.977391,0.219790,6.280805
0.020000,45.101529,192.856129,14.676869,33.931008,39.981896,0.225246,6.280713
0.020000,45.796142,192.854379,15.371484,34.730739,39.986509,0.230653,6.280620
0.020000,46.506751,192.852524,16.082095,35.530563,39.991231,0.236080,6.280528
0.020000,47.233358,192.850560,16.808705,36.330484,39.996061,0.241519,6.280436
0.020000,47.975965,192.848484,17.551315,37.130504,40.001000,0.246931,6.280345
0.020000,48.734574,192.846295,18.309928,37.930625,40.006047,0.252369,6.280255
