dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,30.432794,205.125487,0.007938,0.793772,39.688589,1984.429445,0.000016
0.020000,30.432794,205.125487,0.031751,1.587544,39.688589,0.000000,0.000011
0.020000,30.432794,205.125487,0.071439,2.381315,39.688589,0.000000,0.000003
0.020000,30.472248,205.125487,0.127003,3.175087,39.688589,-0.000000,6.283177
0.020000,30.543687,205.125486,0.198443,3.968859,39.688589,0.000000,6.283163
0.020000,30.631002,205.125483,0.285758,4.762631,39.688589,0.000000,6.283145
0.020000,30.734193,205.125478,0.388948,5.556402,39.688589,-0.000000,6.283125
0.020000,30.853258,205.125469,0.508014,6.350174,39.688589,0.000000,6.283101
0.020000,30.988200,205.125456,0.642955,7.143946,39.688589,0.000000,6.283074
0.020000,31.139016,205.125437,0.793772,7.937718,39.688589,0.000000,6.283044
0.020000,31.305708,205.125410,0.960464,8.731490,39.688589,0.000000,6.283011
0.020000,31.488276,205.125375,1.143031,9.525261,39.688589,0.000000,6.282975
0.020000,31.686719,205.125329,1.341474,10.319033,39.688589,-0.000000,6.282935
0.020000,31.901037,205.125271,1.555793,11.112805,39.688589,0.000000,6.282893
0.020000,32.131231,205.125199,1.785987,11.906577,39.688589,0.000000,6.282849
0.020000,32.377300,205.125110,2.032056,12.700348,39.688589,0.000000,6.282801
0.020000,32.639245,205.125003,2.294000,13.494120,39.688589,0.000000,6.282750
0.020000,32.917065,205.124875,2.571821,14.287892,39.688589,0.000000,6.282697
0.020000,33.210760,205.124723,2.865516,15.081664,39.688589,0.000000,6.282642
0.020000,33.520331,205.124546,3.175087,15.875436,39.688589,0.000000,6.282583
0.020000,33.845778,205.124340,3.500534,16.669207,39.688589,0.000000,6.282522
0.020000,34.187099,205.124103,3.841855,17.462979,39.688589,0.000000,6.282459
0.020000,34.544297,205.123832,4.199053,18.256751,39.688589,0.000000,6.282393
0.020000,34.917369,205.123523,4.572125,19.050523,39.688589,0.000000,6.282325
0.020000,35.306317,205.123175,4.961074,19.844294,39.688589,-0.000000,6.282255
0.020000,35.711141,205.122784,5.365897,20.638066,39.688589,0.000000,6.282183
0.020000,36.131840,205.122346,5.786596,21.431838,39.688589,0.000000,6.282108
0.020000,36.568414,205.121859,6.223171,22.225610,39.688589,0.000000,6.282032
0.020000,37.020863,205.121320,6.675621,23.019382,39.688589,0.000000,6.281954
0.020000,37.489188,205.120724,7.143946,23.813153,39.688589,0.000000,6.281874
0.020000,37.973389,205.120069,7.628147,24.606925,39.688589,0.000000,6.281792
0.020000,38.473464,205.119352,8.128223,25.400697,39.688589,0.000000,6.281709
0.020000,38.989415,205.118568,8.644175,26.194469,39.688589,0.000000,6.281625
0.020000,39.521242,205.117715,9.176002,26.988240,39.688589,-0.000000,6.281539
0.020000,40.068944,205.116790,9.723704,27.782012,39.688589,0.000000,6.281452
0.020000,40.632521,205.115788,10.287282,28.575784,39.688589,-0.000000,6.281364
0.020000,41.211973,205.114706,10.866736,29.369556,39.688589,0.000000,6.281274
0.020000,41.807301,205.113542,11.462064,30.163328,39.688589,-0.000000,6.281185
0.020000,42.418504,205.112291,12.073269,30.957099,39.688589,0.000000,6.281094
0.020000,43.045582,205.110951,12.700348,31.750871,39.688589,0.000000,6.281003
0.020000,43.688535,205.109518,13.343304,32.544643,39.688589,0.000000,6.280911
0.020000,44.347364,205.107990,14.002134,33.338415,39.688589,-0.000000,6.280819
0.020000,45.022068,205.106362,14.676840,34.132186,39.688589,0.000000,6.280727
0.020000,45.712648,205.104633,15.367422,34.925958,39.688589,-0.000000,6.280635
0.020000,46.419102,205.102799,16.073879,35.719730,39.688589,0.000000,6.280544
0.020000,47.141432,205.100858,16.796211,36.513502,39.688589,-0.000000,6.280452
0.020000,47.879637,205.098806,17.534419,37.307274,39.688589,0.000000,6.280361
0.020000,48.633717,205.096642,18.288502,38.101045,39.688589,0.000000,6.280271
0.020000,49.403672,205.094363,19.058460,38.894817,39.688589,-0.000000,6.280181
0.020000,50.189502,205.091968,19.844294,39.688589,39.688589,0.000000,6.280093
0.020000,50.991208,205.089453,20.646004,40.482361,39.688589,0.000000,6.280005
0.020000,51.808789,205.086818,21.463589,41.276132,39.688589,-0.000000,6.279919
0.020000,52.642245,205.084060,22.297049,42.069904,39.688589,0.000000,6.279834
0.020000,53.491575,205.081178,23.146385,42.863676,39.688589,-0.000000,6.279751
0.020000,54.356781,205.078172,24.011596,43.657448,39.688589,0.000000,6.279670
0.020000,55.237863,205.075040,24.892683,44.451220,39.688589,-0.000000,6.279591
0.020000,56.134819,205.071782,25.789645,45.244991,39.688589,0.000000,6.279515
0.020000,57.047650,205.068397,26.702483,46.038763,39.688589,-0.000000,6.279440
0.020000,57.976356,205.064885,27.631196,46.832535,39.688589,0.000000,6.279369
0.020000,58.920938,205.061248,28.575784,47.626307,39.688589,-0.000000,6.279300
0.020000,59.881394,205.057484,29.536248,48.420078,39.688589,0.000000,6.279234
0.020000,60.857726,205.053596,30.512587,49.213850,39.688589,-0.000000,6.279172
0.020000,61.849932,205.049584,31.504802,50.007622,39.688589,0.000000,6.279113
0.020000,62.858014,205.045451,32.512892,50.801394,39.688589,-0.000000,6.279058
0.020000,63.881971,205.041198,33.536858,51.595166,39.688589,0.000000,6.279007
0.020000,64.921803,205.036828,34.576699,52.388937,39.688589,-0.000000,6.278960
0.020000,65.977510,205.032344,35.632415,53.182709,39.688589,0.000000,6.278917
0.020000,67.049092,205.027749,36.704007,53.976481,39.688589,0.000000,6.278879
0.020000,68.136549,205.023048,37.791474,54.770253,39.688589,0.000000,6.278846
0.020000,69.239881,205.018243,38.894817,55.564024,39.688589,-0.000000,6.278818
0.020000,70.359089,205.013342,40.014035,56.357796,39.688589,0.000000,6.278795
0.020000,71.494171,205.008348,41.149129,57.151568,39.688589,0.000000,6.278778
0.020000,72.645129,205.003267,42.300098,57.945340,39.688589,0.000000,6.278766
0.020000,73.811962,204.998107,43.466943,58.739112,39.688589,0.000000,6.278761
0.020000,74.994671,204.992874,44.649663,59.532883,39.688589,-0.000000,6.278762
0.020000,76.193254,204.987577,45.848258,60.326655,39.688589,0.000000,6.278770
0.020000,77.407713,204.982222,47.062729,61.120427,39.688589,0.000000,6.278784
0.020000,78.638048,204.976820,48.293075,61.914199,39.688589,-0.000000,6.278806
0.020000,79.884258,204.971379,49.539297,62.707970,39.688589,0.000000,6.278835
0.020000,81.146343,204.965911,50.801394,63.501742,39.688589,-0.000000,6.278872
0.020000,82.424304,204.960426,52.079366,64.295514,39.688589,0.000000,6.278916
0.020000,83.718140,204.954937,53.373214,65.089286,39.688589,-0.000000,6.278969
0.020000,85.027852,204.949454,54.682938,65.883058,39.688589,0.000000,6.279031
0.020000,86.353440,204.943993,56.008537,66.676829,39.688589,0.000000,6.279101
0.020000,87.694903,204.938567,57.350011,67.470601,39.688589,0.000000,6.279181
0.020000,89.052242,204.933190,58.707361,68.264373,39.688589,-0.000000,6.279269
0.020000,90.425457,204.927880,60.080586,69.058145,39.688589,0.000000,6.279368
0.020000,91.814548,204.922651,61.469686,69.851916,39.688589,0.000000,6.279476
0.020000,93.219514,204.917523,62.874663,70.645688,39.688589,0.000000,6.279595
0.020000,94.640357,204.912513,64.295514,71.439460,39.688589,-0.000000,6.279725
0.020000,96.077076,204.907640,65.732241,72.233232,39.688589,0.000000,6.279865
0.020000,97.529670,204.902926,67.184843,73.027004,39.688589,0.000000,6.280017
0.020000,98.998141,204.898392,68.653321,73.820775,39.688589,0.000000,6.280180
0.020000,100.482488,204.894059,70.137674,74.614547,39.688589,0.000000,6.280355
0.020000,101.982711,204.889952,71.637903,75.408319,39.688589,0.000000,6.280542
0.020000,103.498810,204.886095,73.154007,76.202091,39.688589,-0.000000,6.280742
0.020000,105.030786,204.882513,74.685987,76.995862,39.688589,0.000000,6.280954
0.020000,106.578637,204.879233,76.233842,77.789634,39.688589,0.000000,6.281180
0.020000,108.142365,204.876284,77.797572,78.583406,39.688589,0.000000,6.281420
0.020000,109.721968,204.873693,79.377178,79.377178,39.688589,0.000000,6.281673
0.020000,111.317448,204.871493,80.972659,80.170950,39.688589,0.000000,6.281941
0.020000,112.928804,204.869713,82.584016,80.964721,39.688589,-0.000000,6.282223
0.020000,114.556035,204.868387,84.211248,81.758493,39.688589,0.000000,6.282520
0.020000,116.199143,204.867549,85.854356,82.552265,39.688589,0.000000,6.282832
0.020000,117.858126,204.867233,87.513339,83.346037,39.688589,0.000000,6.283160
0.020000,119.386748,204.886676,89.188197,84.139808,39.688589,-0.000000,0.027989
0.020000,121.075586,204.964254,90.878931,84.933580,39.688589,0.000000,0.064321
0.020000,122.776094,205.107389,92.585540,85.727352,39.688589,0.000000,0.104179
0.020000,124.484816,205.323363,94.308025,86.521124,39.688589,0.000000,0.147875
0.020000,126.197526,205.619945,96.046385,87.314896,39.688589,-0.000000,0.195689
0.020000,127.908744,206.005175,97.800621,88.108667,39.688589,0.000000,0.247821
0.020000,129.611745,206.487072,99.570732,88.902439,39.688589,0.000000,0.304343
0.020000,131.298512,207.073210,101.356718,89.696211,39.688589,0.000000,0.365134
0.020000,132.959763,207.770142,103.158580,90.489983,39.688589,-0.000000,0.429817
0.020000,134.585340,208.582804,104.976318,91.283754,39.688589,0.000000,0.497717
0.020000,136.164563,209.513824,106.809930,92.077526,39.688589,0.000000,0.567848
0.020000,137.687089,210.563130,108.659419,92.871298,39.688589,0.000000,0.638967
0.020000,139.143709,211.727775,110.524782,93.665070,39.688589,-0.000000,0.709684
0.020000,140.527073,213.002114,112.406021,94.458842,39.688589,0.000000,0.778607
0.020000,141.832287,214.378392,114.303136,95.252613,39.688589,0.000000,0.844490
0.020000,143.057094,215.847474,116.216126,96.046385,39.688589,0.000000,0.906342
0.020000,144.201772,217.399638,118.144991,96.840157,39.688589,-0.000000,0.963476
0.020000,145.268773,219.025263,120.089732,97.633929,39.688589,0.000000,1.015505
0.020000,146.262254,220.715326,122.050349,98.427700,39.688589,0.000000,1.062294
0.020000,147.187576,222.461679,124.026840,99.221472,39.688589,0.000000,1.103892
0.020000,148.044380,224.243026,126.003642,98.458701,-38.138549,-3891.356912,1.140205
0.020000,148.834428,226.038006,127.964878,97.664929,-39.688589,-77.501979,1.171354
0.020000,149.566562,227.840282,129.910239,96.871158,-39.688589,-0.000000,1.197801
0.020000,150.249112,229.644967,131.839725,96.077386,-39.688589,0.000000,1.219980
0.020000,150.889743,231.448129,133.753335,95.283614,-39.688589,0.000000,1.238275
0.020000,151.495479,233.246577,135.651069,94.489842,-39.688589,-0.000000,1.253018
0.020000,152.072756,235.037696,137.532928,93.696071,-39.688589,0.000000,1.264490
0.020000,152.627490,236.819311,139.398912,92.902299,-39.688589,0.000000,1.272922
0.020000,153.165140,238.589574,141.249020,92.108527,-39.688589,0.000000,1.278498
0.020000,153.690781,240.346877,143.083253,91.314755,-39.688589,-0.000000,1.281362
0.020000,154.209163,242.089780,144.901611,90.520983,-39.688589,0.000000,1.281619
0.020000,154.724769,243.816944,146.704092,89.727212,-39.688589,0.000000,1.279340
0.020000,155.241870,245.527081,148.490699,88.933440,-39.688589,0.000000,1.274564
0.020000,155.764566,247.218904,150.261430,88.139668,-39.688589,-0.000000,1.267300
0.020000,156.296827,248.891087,152.016286,87.345896,-39.688589,0.000000,1.257531
0.020000,156.842528,250.542217,153.755266,86.552125,-39.688589,0.000000,1.245214
0.020000,157.405470,252.170756,155.478371,85.758353,-39.688589,0.000000,1.230284
0.020000,157.989400,253.774996,157.185600,84.964581,-39.688589,-0.000000,1.212654
0.020000,158.598019,255.353022,158.876954,84.170809,-39.688589,0.000000,1.192222
0.020000,159.234974,256.902662,160.552432,83.377037,-39.688589,0.000000,1.168873
0.020000,159.903843,258.421452,162.212035,82.583266,-39.688589,0.000000,1.142484
0.020000,160.608100,259.906604,163.855763,81.789494,-39.688589,-0.000000,1.112936
0.020000,161.351047,261.354949,165.483615,80.995722,-39.688589,0.000000,1.080124
0.020000,162.135738,262.762942,167.095592,80.201950,-39.688589,0.000000,1.043969
0.020000,162.964873,264.126661,168.691693,79.408179,-39.688589,0.000000,1.004441
0.020000,163.840665,265.441846,170.271919,78.614407,-39.688589,-0.000000,0.961576
0.020000,164.764688,266.703965,171.836269,77.820635,-39.688589,0.000000,0.915499
