dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.072316,38.921348,0.007978,0.797805,39.890236,1994.511802,6.282962
0.020000,19.071647,38.921348,0.008647,0.033440,-38.218224,-3905.422992,6.283016
0.020000,19.070531,38.921348,0.009763,0.055783,1.117139,1966.768134,6.283107
0.020000,19.090764,38.921349,0.029995,1.011643,47.793018,2333.793973,0.000050
0.020000,19.160552,38.921358,0.099783,3.489389,123.887256,3804.711884,0.000214
0.020000,19.245843,38.921385,0.185074,4.264559,38.758516,-4256.437018,0.000416
0.020000,19.346633,38.921439,0.285865,5.039523,38.748207,-0.515429,0.000654
0.020000,19.462919,38.921531,0.402151,5.814293,38.738512,-0.484736,0.000931
0.020000,19.594696,38.921674,0.533928,6.588851,38.727881,-0.531575,0.001245
0.020000,19.741960,38.921884,0.681191,7.363180,38.716461,-0.570971,0.001598
0.020000,19.904702,38.922175,0.843934,8.137143,38.698135,-0.916325,0.001989
0.020000,20.082919,38.922568,1.022151,8.910857,38.685729,-0.620299,0.002420
0.020000,20.276602,38.923082,1.215835,9.684205,38.667407,-0.916083,0.002891
0.020000,20.485744,38.923740,1.424978,10.457151,38.647252,-1.007760,0.003402
0.020000,20.710336,38.924567,1.649572,11.229678,38.626370,-1.044127,0.003955
0.020000,20.950371,38.925587,1.889609,12.001832,38.607683,-0.934337,0.004549
0.020000,21.205836,38.926831,2.145077,12.773423,38.579575,-1.405375,0.005187
0.020000,21.476723,38.928328,2.415968,13.544565,38.557104,-1.123566,0.005867
0.020000,21.763020,38.930111,2.702271,14.315123,38.527879,-1.461248,0.006593
0.020000,22.064716,38.932216,3.003974,15.085139,38.500837,-1.352100,0.007363
0.020000,22.381797,38.934681,3.321065,15.854561,38.471079,-1.487884,0.008181
0.020000,22.714252,38.937544,3.653531,16.623332,38.438567,-1.625600,0.009045
0.020000,23.062064,38.940848,4.001359,17.391398,38.403262,-1.765269,0.009958
0.020000,23.425221,38.944639,4.364537,18.158855,38.372851,-1.520546,0.010921
0.020000,23.803706,38.948964,4.743046,18.925473,38.330907,-2.097197,0.011934
0.020000,24.197503,38.953873,5.136873,19.691366,38.294647,-1.812981,0.012999
0.020000,24.606595,38.959420,5.546003,20.456477,38.255564,-1.954192,0.014118
0.020000,25.030964,38.965661,5.970418,21.220749,38.213607,-2.097832,0.015292
0.020000,25.470591,38.972654,6.410100,21.984124,38.168730,-2.243865,0.016522
0.020000,25.925454,38.980462,6.865031,22.746541,38.120885,-2.392238,0.017810
0.020000,26.395537,38.989151,7.335194,23.508143,38.080090,-2.039742,0.019156
0.020000,26.880814,38.998789,7.820567,24.268652,38.025456,-2.731717,0.020564
0.020000,27.381264,39.009449,8.321131,25.028181,37.976428,-2.451401,0.022034
0.020000,27.896864,39.021207,8.836864,25.786669,37.924381,-2.602356,0.023569
0.020000,28.427587,39.034142,9.367745,26.544054,37.869261,-2.755971,0.025169
0.020000,28.973408,39.048337,9.913751,27.300274,37.811019,-2.912088,0.026837
0.020000,29.534302,39.063880,10.474859,28.055446,37.758599,-2.621003,0.028575
0.020000,30.110237,39.080862,11.051045,28.809281,37.691763,-3.341824,0.030385
0.020000,30.701186,39.099379,11.642284,29.561923,37.632071,-2.984592,0.032268
0.020000,31.307117,39.119531,12.248550,30.313307,37.569189,-3.144087,0.034227
0.020000,31.927998,39.141422,12.869817,31.063368,37.503065,-3.306201,0.036264
0.020000,32.563796,39.165161,13.506058,31.812041,37.433653,-3.470615,0.038382
0.020000,33.214474,39.190862,14.157243,32.559259,37.360914,-3.636966,0.040581
0.020000,33.879998,39.218645,14.823346,33.305169,37.295492,-3.271071,0.042866
0.020000,34.560326,39.248632,15.504336,34.049472,37.215150,-4.017100,0.045238
