dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,25.811809,37.964723,0.020000,2.000000,100.000000,5000.000000,0.041374
0.020000,25.817851,37.964971,0.026048,0.302399,-84.880057,-9244.002839,0.040863
0.020000,25.894949,37.968081,0.103208,3.858015,177.780796,13133.042654,0.040014
0.020000,26.048777,37.974149,0.257156,7.697395,191.969019,709.411143,0.038834
0.020000,26.246386,37.981678,0.454908,9.887580,109.509242,-4122.988865,0.037332
0.020000,26.487661,37.990470,0.696343,12.071768,109.209399,-14.992159,0.035519
0.020000,26.772451,38.000288,0.981303,14.247973,108.810246,-19.957619,0.033407
0.020000,27.100582,38.010859,1.309604,16.415051,108.353909,-22.816876,0.031013
0.020000,27.471854,38.021881,1.681039,18.571776,107.836247,-25.883067,0.028353
0.020000,27.886043,38.033024,2.095378,20.716954,107.258899,-28.867427,0.025448
0.020000,28.342903,38.043934,2.552369,22.849516,106.628113,-31.539283,0.022319
0.020000,28.842164,38.054243,3.051736,24.968371,105.942736,-34.268837,0.018988
0.020000,29.383537,38.063570,3.593189,27.072673,105.215081,-36.382787,0.015481
0.020000,29.966707,38.071526,4.176414,29.161210,104.426861,-39.411005,0.011824
0.020000,30.591349,38.077724,4.801087,31.233645,103.621757,-40.255182,0.008045
0.020000,31.257120,38.081782,5.466869,33.289132,102.774375,-42.369123,0.004172
0.020000,31.963643,38.083328,6.173394,35.326246,101.855689,-45.934279,0.000235
0.020000,32.710554,38.082009,6.920307,37.345632,100.969305,-44.319178,6.279452
0.020000,33.497460,38.077495,7.707225,39.345937,100.015232,-47.703653,6.275482
0.020000,34.323956,38.069485,8.533760,41.326734,99.039834,-48.769903,6.271545
0.020000,35.189631,38.057714,9.399515,43.287748,98.050711,-49.456142,6.267674
0.020000,36.094058,38.041957,10.304079,45.228216,97.023427,-51.364226,6.263904
0.020000,37.036815,38.022040,11.247047,47.148392,96.008756,-50.733538,6.260269
0.020000,38.017455,37.997837,12.227985,49.046891,94.924988,-54.188424,6.256805
0.020000,39.035530,37.969287,13.246461,50.923797,93.845258,-53.986461,6.253550
0.020000,40.090592,37.936389,14.302036,52.778729,92.746635,-54.931193,6.250540
0.020000,41.182171,37.899217,15.394247,54.610583,91.592678,-57.697848,6.247815
0.020000,42.309794,37.857921,16.522627,56.418968,90.419262,-58.670775,6.245414
0.020000,43.472980,37.812736,17.686689,58.203120,89.207593,-60.583438,6.243379
0.020000,44.671226,37.763988,18.885926,59.961867,87.937351,-63.512094,6.241751
0.020000,45.904018,37.712102,20.119810,61.694182,86.615749,-66.080114,6.240577
0.020000,47.170820,37.657607,21.387784,63.398700,85.225894,-69.492750,6.239902
0.020000,48.471070,37.601149,22.689258,65.073722,83.751127,-73.738349,6.239777
0.020000,49.804171,37.543496,24.023606,66.717354,82.181596,-78.476565,6.240256
0.020000,51.169487,37.485550,25.390151,68.327261,80.495315,-84.314044,6.241394
0.020000,52.566331,37.428358,26.788166,69.900750,78.674471,-91.042200,6.243254
0.020000,53.993955,37.373123,28.216857,71.434572,76.691097,-99.168693,6.245903
0.020000,55.451531,37.321217,29.675357,72.925015,74.522154,-108.447155,6.249414
