dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.951451,38.140847,0.006944,0.694444,34.722222,1736.111111,0.000421
0.020000,5.952498,38.140847,0.007992,0.052376,-32.103438,-3341.282989,0.000333
0.020000,5.954241,38.140848,0.009735,0.087138,1.738105,1692.077153,0.000185
0.020000,5.961520,38.140848,0.017014,0.363954,13.840827,605.136061,6.283165
0.020000,6.027136,38.140838,0.082630,3.280797,145.842125,6600.064896,6.282901
0.020000,6.107317,38.140802,0.162811,4.009080,36.414175,-5471.397495,6.282580
0.020000,6.202053,38.140727,0.257547,4.736797,36.385824,-1.417554,6.282203
0.020000,6.311330,38.140596,0.366824,5.463858,36.353043,-1.639034,6.281771
0.020000,6.435134,38.140391,0.490629,6.190207,36.317469,-1.778702,6.281284
0.020000,6.573450,38.140090,0.628944,6.915789,36.279076,-1.919632,6.280745
0.020000,6.726260,38.139672,0.781755,7.640545,36.237835,-2.062071,6.280155
0.020000,6.893542,38.139112,0.949038,8.364137,36.179607,-2.911378,6.279515
0.020000,7.075278,38.138382,1.130776,9.086892,36.137726,-2.094074,6.278828
0.020000,7.271441,38.137456,1.326941,9.808246,36.067724,-3.500096,6.278095
0.020000,7.482008,38.136302,1.537511,10.528487,36.012043,-2.784047,6.277318
0.020000,7.706951,38.134890,1.762458,11.247385,35.944862,-3.359044,6.276500
0.020000,7.946242,38.133187,2.001755,11.964859,35.873747,-3.555769,6.275643
0.020000,8.199849,38.131161,2.255371,12.680763,35.795155,-3.929585,6.274750
0.020000,8.467740,38.128776,2.523272,13.395064,35.715065,-4.004510,6.273823
0.020000,8.749882,38.125999,2.805428,14.107804,35.637013,-3.902596,6.272865
0.020000,9.046237,38.122794,3.101800,14.818614,35.540486,-4.826328,6.271879
0.020000,9.356769,38.119125,3.412353,15.527656,35.452093,-4.419665,6.270869
0.020000,9.681438,38.114958,3.737049,16.234779,35.356175,-4.795887,6.269837
0.020000,10.020202,38.110257,4.075846,16.939873,35.254713,-5.073127,6.268787
0.020000,10.373021,38.104988,4.428704,17.642888,35.150730,-5.199135,6.267723
0.020000,10.739849,38.099117,4.795579,18.343734,35.042322,-5.420416,6.266648
0.020000,11.120638,38.092612,5.176423,19.042228,34.924667,-5.882741,6.265566
0.020000,11.515344,38.085441,5.571195,19.738575,34.817361,-5.365304,6.264481
0.020000,11.923915,38.077575,5.979842,20.432356,34.689071,-6.414484,6.263396
0.020000,12.346303,38.068986,6.402317,21.123731,34.568741,-6.016503,6.262318
0.020000,12.782454,38.059648,6.838568,21.812560,34.441417,-6.366215,6.261248
0.020000,13.232315,38.049539,7.288543,22.498749,34.309456,-6.598035,6.260193
0.020000,13.695832,38.038637,7.752188,23.182245,34.174829,-6.731341,6.259156
0.020000,14.172946,38.026926,8.229446,23.862898,34.032638,-7.109556,6.258142
0.020000,14.663601,38.014392,8.720261,24.540749,33.892546,-7.004627,6.257157
0.020000,15.167737,38.001024,9.224574,25.215661,33.745583,-7.348119,6.256204
0.020000,15.685294,37.986817,9.742326,25.887591,33.596505,-7.453926,6.255290
0.020000,16.216208,37.971769,10.273453,26.556370,33.438940,-7.878211,6.254419
0.020000,16.760417,37.955883,10.817894,27.222031,33.283077,-7.793185,6.253597
0.020000,17.317856,37.939167,11.375583,27.884460,33.121430,-8.082357,6.252829
0.020000,17.888457,37.921634,11.946453,28.543522,32.953095,-8.416755,6.252121
0.020000,18.472154,37.903304,12.530438,29.199233,32.785579,-8.375783,6.251478
0.020000,19.068877,37.884203,13.127467,29.851458,32.611249,-8.716470,6.250907
0.020000,19.678556,37.864361,13.737469,30.500076,32.430909,-9.017044,6.250413
0.020000,20.301118,37.843819,14.360370,31.145057,32.249013,-9.094799,6.250004
0.020000,20.936490,37.822621,14.996096,31.786286,32.061467,-9.377269,6.249684
0.020000,21.584597,37.800822,15.644569,32.423662,31.868821,-9.632326,6.249460
0.020000,22.245362,37.778484,16.305711,33.057093,31.671535,-9.864299,6.249340
0.020000,22.918705,37.755676,16.979440,33.686473,31.469015,-10.125993,6.249330
0.020000,23.604547,37.732478,17.665674,34.311696,31.261143,-10.393586,6.249437
0.020000,24.302804,37.708978,18.364327,34.932648,31.047574,-10.678449,6.249669
0.020000,25.013393,37.685274,19.075311,35.549213,30.828270,-10.965226,6.250032
0.020000,25.736227,37.661474,19.798536,36.161252,30.601951,-11.315950,6.250535
0.020000,26.471215,37.637699,20.533909,36.768652,30.370010,-11.597030,6.251185
0.020000,27.218267,37.614076,21.281335,37.371275,30.131146,-11.943208,6.251990
0.020000,27.977288,37.590749,22.040714,37.968966,29.884532,-12.330683,6.252959
0.020000,28.748180,37.567871,22.811945,38.561552,29.629318,-12.760724,6.254100
0.020000,29.530841,37.545608,23.594923,39.148891,29.366951,-13.118341,6.255423
0.020000,30.325168,37.524140,24.389540,39.730844,29.097629,-13.466091,6.256936
0.020000,31.131051,37.503660,25.195683,40.307167,28.816176,-14.072663,6.258649
0.020000,31.948377,37.484375,26.013237,40.877680,28.525632,-14.527172,6.260571
0.020000,32.777029,37.466507,26.842081,41.442217,28.226850,-14.939100,6.262714
0.020000,33.616883,37.450294,27.682092,42.000546,27.916453,-15.519886,6.265086
0.020000,34.467811,37.435989,28.533140,42.552414,27.593382,-16.153557,6.267700
0.020000,35.329678,37.423861,29.395092,43.097578,27.258207,-16.758728,6.270567
0.020000,36.202343,37.414198,30.267811,43.635957,26.918958,-16.962441,6.273697
0.020000,37.085656,37.407304,31.151151,44.166987,26.551512,-18.372313,6.277104
0.020000,37.979460,37.403502,32.044963,44.690598,26.180538,-18.548705,6.280800
0.020000,38.883590,37.403133,32.949093,45.206515,25.795837,-19.235029,0.001613
0.020000,39.797872,37.406559,33.863381,45.714409,25.394694,-20.057170,0.005927
0.020000,40.722119,37.414160,34.787660,46.213931,24.976097,-20.929820,0.010571
0.020000,41.656134,37.426340,35.721754,46.704714,24.539158,-21.846974,0.015559
0.020000,42.599709,37.443522,36.665486,47.186574,24.093025,-22.306663,0.020907
0.020000,43.552622,37.466149,37.618667,47.659052,23.623878,-23.457310,0.026630
0.020000,44.514639,37.494690,38.581107,48.122018,23.148298,-23.779028,0.032745
0.020000,45.485507,37.529634,39.552604,48.574849,22.641553,-25.337257,0.039269
0.020000,46.464960,37.571495,40.532951,49.017360,22.125586,-25.798340,0.046219
0.020000,47.452715,37.620809,41.521936,49.449244,21.594158,-26.571398,0.053614
0.020000,48.448471,37.678136,42.519341,49.870255,21.050589,-27.178427,0.061471
0.020000,49.451903,37.744061,43.524936,50.279755,20.474981,-28.780433,0.069810
0.020000,50.462674,37.819191,44.538496,50.677990,19.911765,-28.160805,0.078650
0.020000,51.480420,37.904158,45.559782,51.064318,19.316397,-29.768410,0.088012
0.020000,52.504756,37.999618,46.588556,51.438694,18.718778,-29.880901,0.097915
0.020000,53.535273,38.106248,47.624576,51.800993,18.114970,-30.190438,0.108380
0.020000,54.571545,38.224751,48.667602,52.151269,17.513771,-30.059956,0.119427
0.020000,55.613116,38.355849,49.717390,52.489424,16.907781,-30.299486,0.131078
0.020000,56.659507,38.500287,50.773703,52.815651,16.311335,-29.822277,0.143351
0.020000,57.710218,38.658829,51.836308,53.130238,15.729339,-29.099807,0.156267
0.020000,58.764726,38.832259,52.904982,53.433711,15.173650,-27.784458,0.169844
0.020000,59.822485,39.021376,53.979515,53.726636,14.646267,-26.369130,0.184101
0.020000,60.882930,39.226998,55.059711,54.009802,14.158313,-24.397701,0.199053
0.020000,61.945475,39.449954,56.145396,54.284254,13.722582,-21.786566,0.214716
0.020000,63.009524,39.691088,57.236425,54.551459,13.360247,-18.116769,0.231102
0.020000,64.074461,39.951252,58.332681,54.812807,13.067398,-14.642428,0.248220
0.020000,65.139668,40.231308,59.434088,55.070338,12.876556,-9.542121,0.266078
0.020000,66.204518,40.532126,60.540612,55.326214,12.793805,-4.137528,0.284678
0.020000,67.268383,40.854578,61.652271,55.582950,12.836792,2.149357,0.304018
0.020000,68.330643,41.199543,62.769140,55.843417,13.023372,9.328970,0.324092
0.020000,69.390682,41.567899,63.891356,56.110836,13.370938,17.378335,0.344889
0.020000,70.447901,41.960527,65.019128,56.388582,13.887275,25.816840,0.366391
0.020000,71.501719,42.378306,66.152738,56.680489,14.595353,35.403912,0.388574
