dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.128329,15.367860,0.012000,1.200000,60.000000,3000.000000,6.282569
0.020000,21.130894,15.367859,0.014566,0.128283,-53.585835,-5679.291729,6.282786
0.020000,21.135172,15.367858,0.018843,0.213863,4.278982,2893.240832,6.283148
0.020000,21.218919,15.367878,0.102591,4.187392,198.676444,9719.873119,0.000469
0.020000,21.334629,15.367970,0.218300,5.785455,79.903170,-5938.663723,0.001121
0.020000,21.476058,15.368185,0.359730,7.071495,64.302003,-780.058369,0.001919
0.020000,21.643216,15.368584,0.526888,8.357897,64.320072,0.903482,0.002863
0.020000,21.836109,15.369242,0.719782,9.644703,64.340328,1.012805,0.003954
0.020000,22.054742,15.370242,0.938417,10.931766,64.353124,0.639760,0.005192
0.020000,22.299122,15.371680,1.182802,12.219225,64.372956,0.991616,0.006578
0.020000,22.569258,15.373664,1.452945,13.507156,64.396572,1.180827,0.008113
0.020000,22.865159,15.376314,1.748858,14.795641,64.424243,1.383548,0.009798
0.020000,23.186836,15.379761,2.070554,16.084799,64.457898,1.682723,0.011634
0.020000,23.534299,15.384149,2.418044,17.374514,64.485738,1.392003,0.013621
0.020000,23.907555,15.389633,2.791340,18.664801,64.514372,1.431687,0.015761
0.020000,24.306612,15.396380,3.190455,19.955740,64.546928,1.627825,0.018055
0.020000,24.731492,15.404573,3.615413,21.247943,64.610142,3.160694,0.020505
0.020000,25.182192,15.414403,4.066220,22.540331,64.619402,0.462999,0.023111
0.020000,25.658727,15.426077,4.542898,23.833898,64.678342,2.946993,0.025876
0.020000,26.161108,15.439815,5.045467,25.128456,64.727904,2.478096,0.028801
0.020000,26.689341,15.455847,5.573944,26.423822,64.768325,2.021087,0.031887
0.020000,27.243432,15.474422,6.128346,27.720117,64.814745,2.320974,0.035136
0.020000,27.823389,15.495798,6.708697,29.017539,64.871091,2.817314,0.038550
0.020000,28.429220,15.520250,7.315020,30.316186,64.932377,3.064299,0.042130
0.020000,29.060928,15.548066,7.947341,31.616026,64.991969,2.979582,0.045880
0.020000,29.718511,15.579547,8.605677,32.916794,65.038401,2.321587,0.049800
0.020000,30.401969,15.615013,9.290054,34.218877,65.104161,3.288016,0.053893
0.020000,31.111298,15.654795,10.000498,35.522200,65.166141,3.099004,0.058161
0.020000,31.846494,15.699241,10.737037,36.826924,65.236228,3.504370,0.062606
0.020000,32.607545,15.748715,11.499694,38.132861,65.296819,3.029538,0.067230
0.020000,33.394439,15.803596,12.288500,39.440289,65.371431,3.730613,0.072036
0.020000,34.207157,15.864279,13.103479,40.748970,65.434012,3.129011,0.077026
0.020000,35.045678,15.931176,13.944665,42.059276,65.515325,4.065652,0.082202
0.020000,35.909975,16.004717,14.812085,43.371008,65.586584,3.562945,0.087568
0.020000,36.800010,16.085345,15.705764,44.683974,65.648304,3.086017,0.093125
0.020000,37.715750,16.173525,16.625741,45.998818,65.742218,4.695715,0.098875
0.020000,38.657144,16.269736,17.572038,47.314883,65.803249,3.051552,0.104823
0.020000,39.624139,16.374475,18.544689,48.632519,65.881794,3.927224,0.110970
0.020000,40.616673,16.488258,19.543723,49.951725,65.960274,3.924015,0.117318
0.020000,41.634676,16.611619,20.569173,51.272498,66.038689,3.920736,0.123870
0.020000,42.678066,16.745108,21.621069,52.594764,66.113284,3.729754,0.130630
0.020000,43.746752,16.889296,22.699437,53.918436,66.183590,3.515332,0.137599
0.020000,44.840632,17.044771,23.804311,55.243692,66.262822,3.961576,0.144779
0.020000,45.959592,17.212138,24.935719,56.570389,66.334846,3.601197,0.152175
0.020000,47.103504,17.392023,26.093689,57.898488,66.404921,3.503770,0.159786
0.020000,48.272226,17.585069,27.278247,59.227892,66.470225,3.265172,0.167617
0.020000,49.465601,17.791934,28.489418,60.558555,66.533122,3.144835,0.175669
0.020000,50.683461,18.013300,29.727233,61.890774,66.610971,3.892458,0.183945
0.020000,51.925612,18.249862,30.991709,63.223799,66.651249,2.013912,0.192446
0.020000,53.191848,18.502333,32.282870,64.558041,66.712089,3.042028,0.201174
0.020000,54.469180,18.768721,33.587684,65.240679,34.131903,-1629.009301,0.210042
0.020000,55.744672,19.046585,34.893091,65.270398,1.485957,-1632.297300,0.218960
0.020000,57.018189,19.335972,36.199074,65.299122,1.436177,-2.489018,0.227927
0.020000,58.289594,19.636923,37.505612,65.326920,1.389938,-2.311971,0.236940
0.020000,59.558746,19.949479,38.812684,65.353583,1.333116,-2.841061,0.245999
0.020000,60.825500,20.273673,40.120266,65.379079,1.274833,-2.914198,0.255101
0.020000,62.089716,20.609535,41.428334,65.403428,1.217416,-2.870815,0.264245
0.020000,63.351249,20.957090,42.736868,65.426693,1.163268,-2.707391,0.273427
0.020000,64.609954,21.316359,44.045842,65.448685,1.099610,-3.182903,0.282647
0.020000,65.865683,21.687357,45.355229,65.469367,1.034095,-3.275778,0.291902
0.020000,67.118290,22.070095,46.665005,65.488803,0.971808,-3.114327,0.301190
0.020000,68.367630,22.464579,47.975145,65.506981,0.908905,-3.145173,0.310508
0.020000,69.613551,22.870809,49.285619,65.523712,0.836535,-3.618496,0.319855
0.020000,70.855907,23.288781,50.596401,65.539100,0.769400,-3.356729,0.329228
0.020000,72.094551,23.718486,51.907464,65.553144,0.702211,-3.359475,0.338624
0.020000,73.329334,24.159909,53.218778,65.565687,0.627159,-3.752584,0.348042
0.020000,74.560110,24.613029,54.530314,65.576821,0.556667,-3.524596,0.357479
0.020000,75.786733,25.077823,55.842044,65.586507,0.484297,-3.618518,0.366932
0.020000,77.009056,25.554259,57.153938,65.594681,0.408715,-3.779094,0.376399
0.020000,78.226935,26.042302,58.465965,65.601385,0.335202,-3.675668,0.385877
0.020000,79.440228,26.541912,59.778097,65.606577,0.259578,-3.781162,0.395364
0.020000,80.648793,27.053042,61.090302,65.610261,0.184216,-3.768136,0.404857
0.020000,81.852489,27.575642,62.402550,65.612412,0.107559,-3.832838,0.414354
0.020000,83.051180,28.109655,63.714811,65.613052,0.031986,-3.778627,0.423852
0.020000,84.244729,28.655022,65.027055,65.612189,-0.043133,-3.755942,0.433349
0.020000,85.433001,29.211675,66.339250,65.609734,-0.122783,-3.982540,0.442841
0.020000,86.615868,29.779545,67.651367,65.605830,-0.195156,-3.618622,0.452327
0.020000,87.793200,30.358557,68.963375,65.600419,-0.270560,-3.770189,0.461803
0.020000,88.964871,30.948630,70.275243,65.593411,-0.350403,-3.992194,0.471268
0.020000,90.130759,31.549681,71.586943,65.585015,-0.419787,-3.469170,0.480719
0.020000,91.290746,32.161622,72.898447,65.575154,-0.493087,-3.665007,0.490153
0.020000,92.444712,32.784358,74.209720,65.563684,-0.573504,-4.020828,0.499567
0.020000,93.592547,33.417795,75.520739,65.550914,-0.638462,-3.247923,0.508960
0.020000,94.734143,34.061833,76.831473,65.536733,-0.709085,-3.531149,0.518329
0.020000,95.869392,34.716366,78.141895,65.521071,-0.783097,-3.700625,0.527671
0.020000,96.998193,35.381288,79.451975,65.504033,-0.851882,-3.439214,0.536985
0.020000,98.120449,36.056487,80.761690,65.485735,-0.914891,-3.150472,0.546267
0.020000,99.236066,36.741851,82.071012,65.466123,-0.980592,-3.285058,0.555516
0.020000,100.344953,37.437263,83.379916,65.445195,-1.046443,-3.292534,0.564730
0.020000,101.447025,38.142601,84.688375,65.422912,-1.114129,-3.384313,0.573907
0.020000,102.542200,38.857746,85.996365,65.399541,-1.168529,-2.719991,0.583043
0.020000,103.630402,39.582571,87.303865,65.374987,-1.227717,-2.959410,0.592138
0.020000,104.711557,40.316952,88.610851,65.349285,-1.285110,-2.869616,0.601190
0.020000,105.785596,41.060760,89.917300,65.322472,-1.340633,-2.776158,0.610196
0.020000,106.852455,41.813863,91.223192,65.294588,-1.394218,-2.679245,0.619155
0.020000,107.912074,42.576131,92.528505,65.265672,-1.445800,-2.579092,0.628065
0.020000,108.964395,43.347429,93.833221,65.235766,-1.495318,-2.475916,0.636925
0.020000,110.009368,44.127624,95.137319,65.204911,-1.542717,-2.369938,0.645732
0.020000,111.046945,44.916580,96.440782,65.173152,-1.587944,-2.261379,0.654486
0.020000,112.077081,45.714160,97.743593,65.140533,-1.630953,-2.150464,0.663184
0.020000,113.099739,46.520227,99.045735,65.107099,-1.671702,-2.037415,0.671826
0.020000,114.114883,47.334645,100.347193,65.072896,-1.710151,-1.922455,0.680410
0.020000,115.122481,48.157275,101.647952,65.037971,-1.746267,-1.805808,0.688935
0.020000,116.122508,48.987980,102.947999,65.002370,-1.780021,-1.687692,0.697400
0.020000,117.114939,49.826621,104.247322,64.966143,-1.811387,-1.568325,0.705803
0.020000,118.099756,50.673062,105.545909,64.929336,-1.840346,-1.447921,0.714144
0.020000,119.076940,51.527162,106.843743,64.891715,-1.881018,-2.033637,0.722421
0.020000,120.046480,52.388785,108.140818,64.853732,-1.899149,-0.906515,0.730634
0.020000,121.008371,53.257797,109.437126,64.815407,-1.916247,-0.854916,0.738782
0.020000,121.962605,54.134061,110.732657,64.776560,-1.942360,-1.305638,0.746865
0.020000,122.909177,55.017437,112.027397,64.737006,-1.977720,-1.768030,0.754880
0.020000,123.848095,55.907798,113.321349,64.697579,-1.971336,0.319203,0.762829
0.020000,124.779359,56.805006,114.614498,64.657424,-2.007743,-1.820307,0.770710
0.020000,125.702978,57.708930,115.906841,64.617175,-2.012461,-0.235904,0.778523
0.020000,126.618963,58.619440,117.198374,64.576644,-2.026566,-0.705272,0.786267
0.020000,127.468202,59.477846,118.405879,60.375232,-210.070576,-10402.200492,0.798395
0.020000,128.502240,60.566637,119.907445,75.078338,735.155293,47261.293424,0.823912
0.020000,129.504469,61.676814,121.403090,74.782254,-14.804200,-37497.974603,0.848928
0.020000,130.474639,62.806450,122.892153,74.453140,-16.455724,-82.576220,0.873387
0.020000,131.412701,63.953646,124.374050,74.094856,-17.914192,-72.923399,0.897239
0.020000,132.318799,65.116545,125.848278,73.711379,-19.173836,-62.982227,0.920442
0.020000,133.193246,66.293358,127.314411,73.306669,-20.235511,-53.083743,0.942960
0.020000,134.036517,67.482378,128.772106,72.884763,-21.095285,-42.988666,0.964765
0.020000,134.849224,68.681994,130.221095,72.449441,-21.766112,-33.541380,0.985832
0.020000,135.632096,69.890694,131.661180,72.004252,-22.259430,-24.665904,1.006146
0.020000,136.385961,71.107078,133.092230,71.552470,-22.589101,-16.483550,1.025695
