dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.069578,26.671348,0.007962,0.796192,39.809585,1990.479226,6.283088
0.020000,19.069578,26.671348,0.031848,1.592383,39.809585,0.000000,6.283102
0.020000,19.069578,26.671348,0.071657,2.388575,39.809585,0.000000,6.283125
0.020000,19.069578,26.671348,0.127391,3.184767,39.809585,0.000000,6.283157
0.020000,19.093774,26.671348,0.199048,3.980958,39.809585,0.000000,0.000014
0.020000,19.181356,26.671352,0.286629,4.777150,39.809585,-0.000000,0.000066
0.020000,19.284861,26.671362,0.390134,5.573342,39.809585,0.000000,0.000127
0.020000,19.404289,26.671381,0.509563,6.369534,39.809585,-0.000000,0.000197
0.020000,19.539642,26.671413,0.644915,7.165725,39.809585,0.000000,0.000278
0.020000,19.690918,26.671462,0.796192,7.961917,39.809585,0.000000,0.000368
0.020000,19.858119,26.671532,0.963392,8.758109,39.809585,0.000000,0.000469
0.020000,20.041243,26.671628,1.146516,9.554300,39.809585,-0.000000,0.000579
0.020000,20.240291,26.671756,1.345564,10.350492,39.809585,0.000000,0.000700
0.020000,20.455262,26.671920,1.560536,11.146684,39.809585,0.000000,0.000832
0.020000,20.686158,26.672129,1.791431,11.942875,39.809585,0.000000,0.000974
0.020000,20.932977,26.672388,2.038251,12.739067,39.809585,-0.000000,0.001128
0.020000,21.195720,26.672706,2.300994,13.535259,39.809585,0.000000,0.001292
0.020000,21.474387,26.673091,2.579661,14.331450,39.809585,0.000000,0.001468
0.020000,21.768978,26.673551,2.874252,15.127642,39.809585,0.000000,0.001656
0.020000,22.079492,26.674096,3.184767,15.923834,39.809585,0.000000,0.001856
0.020000,22.405930,26.674736,3.511205,16.720025,39.809585,0.000000,0.002068
0.020000,22.748291,26.675483,3.853568,17.516217,39.809585,0.000000,0.002293
0.020000,23.106576,26.676347,4.211854,18.312409,39.809585,-0.000000,0.002531
0.020000,23.480785,26.677341,4.586064,19.108601,39.809585,0.000000,0.002782
0.020000,23.870918,26.678478,4.976198,19.904792,39.809585,0.000000,0.003047
0.020000,24.276973,26.679771,5.382256,20.700984,39.809585,0.000000,0.003326
0.020000,24.698952,26.681237,5.804237,21.497176,39.809585,0.000000,0.003619
0.020000,25.136855,26.682889,6.242143,22.293367,39.809585,0.000000,0.003927
0.020000,25.590680,26.684744,6.695972,23.089559,39.809585,0.000000,0.004250
0.020000,26.060428,26.686820,7.165725,23.885751,39.809585,0.000000,0.004589
0.020000,26.546100,26.689135,7.651402,24.681942,39.809585,0.000000,0.004945
0.020000,27.047694,26.691708,8.153003,25.478134,39.809585,-0.000000,0.005316
0.020000,27.565211,26.694560,8.670528,26.274326,39.809585,0.000000,0.005705
0.020000,28.098650,26.697712,9.203976,27.070517,39.809585,0.000000,0.006112
0.020000,28.648011,26.701186,9.753348,27.866709,39.809585,0.000000,0.006537
0.020000,29.213294,26.705006,10.318644,28.662901,39.809585,0.000000,0.006980
0.020000,29.794499,26.709197,10.899864,29.459093,39.809585,-0.000000,0.007442
0.020000,30.391626,26.713784,11.497008,30.255284,39.809585,0.000000,0.007925
0.020000,31.004673,26.718796,12.110076,31.051476,39.809585,-0.000000,0.008427
0.020000,31.633640,26.724261,12.739067,31.847668,39.809585,0.000000,0.008951
0.020000,32.278528,26.730209,13.383982,32.643859,39.809585,-0.000000,0.009496
0.020000,32.939336,26.736672,14.044821,33.440051,39.809585,0.000000,0.010064
0.020000,33.616062,26.743681,14.721584,34.236243,39.809585,-0.000000,0.010654
0.020000,34.308707,26.751273,15.414271,35.032434,39.809585,0.000000,0.011267
0.020000,35.017271,26.759482,16.122882,35.828626,39.809585,-0.000000,0.011905
0.020000,35.741751,26.768347,16.847416,36.624818,39.809585,0.000000,0.012568
0.020000,36.482147,26.777907,17.587874,37.421009,39.809585,0.000000,0.013256
0.020000,37.238459,26.788203,18.344257,38.217201,39.809585,-0.000000,0.013971
0.020000,38.010686,26.799278,19.116562,39.013393,39.809585,0.000000,0.014713
0.020000,38.798825,26.811177,19.904792,39.809585,39.809585,-0.000000,0.015482
0.020000,39.602878,26.823946,20.708946,40.605776,39.809585,0.000000,0.016280
0.020000,40.422841,26.837635,21.529023,41.401968,39.809585,-0.000000,0.017107
0.020000,41.258714,26.852294,22.365025,42.198160,39.809585,0.000000,0.017965
0.020000,42.110494,26.867975,23.216950,42.994351,39.809585,-0.000000,0.018854
0.020000,42.978181,26.884735,24.084799,43.790543,39.809585,0.000000,0.019774
0.020000,43.861773,26.902630,24.968571,44.586735,39.809585,0.000000,0.020728
0.020000,44.761267,26.921720,25.868268,45.382926,39.809585,-0.000000,0.021715
0.020000,45.676662,26.942067,26.783888,46.179118,39.809585,0.000000,0.022736
0.020000,46.607954,26.963735,27.715433,46.975310,39.809585,-0.000000,0.023793
0.020000,47.555141,26.986793,28.662901,47.771501,39.809585,0.000000,0.024886
0.020000,48.518221,27.011308,29.626293,48.567693,39.809585,-0.000000,0.026017
0.020000,49.497191,27.037355,30.605609,49.363885,39.809585,0.000000,0.027186
0.020000,50.492045,27.065008,31.600848,50.160076,39.809585,-0.000000,0.028394
0.020000,51.502783,27.094344,32.612012,50.956268,39.809585,0.000000,0.029643
0.020000,52.529400,27.125446,33.639099,51.752460,39.809585,0.000000,0.030933
0.020000,53.571890,27.158397,34.682110,52.548652,39.809585,-0.000000,0.032265
0.020000,54.630250,27.193283,35.741045,53.344843,39.809585,0.000000,0.033641
0.020000,55.704474,27.230196,36.815904,54.141035,39.809585,-0.000000,0.035061
0.020000,56.794559,27.269230,37.906686,54.937227,39.809585,0.000000,0.036527
0.020000,57.900496,27.310479,39.013393,55.733418,39.809585,-0.000000,0.038040
0.020000,59.022280,27.354047,40.136023,56.529610,39.809585,0.000000,0.039600
0.020000,60.159906,27.400035,41.274577,57.325802,39.809585,-0.000000,0.041210
0.020000,61.313363,27.448552,42.429055,58.121993,39.809585,0.000000,0.042870
0.020000,62.482646,27.499709,43.599457,58.918185,39.809585,0.000000,0.044581
0.020000,63.667746,27.553622,44.785783,59.714377,39.809585,0.000000,0.046345
0.020000,64.868654,27.610408,45.988032,60.510568,39.809585,-0.000000,0.048163
0.020000,66.085359,27.670192,47.206205,61.306760,39.809585,-0.000000,0.050035
0.020000,67.317851,27.733100,48.440302,62.102952,39.809585,0.000000,0.051965
0.020000,68.566120,27.799264,49.690323,62.899144,39.809585,0.000000,0.053951
0.020000,69.830152,27.868820,50.956268,63.695335,39.809585,-0.000000,0.055997
0.020000,71.109935,27.941907,52.238137,64.491527,39.809585,-0.000000,0.058103
0.020000,72.405455,28.018671,53.535929,65.287719,39.809585,0.000000,0.060271
0.020000,73.716697,28.099260,54.849646,66.083910,39.809585,0.000000,0.062501
0.020000,75.043645,28.183829,56.179286,66.880102,39.809585,0.000000,0.064796
0.020000,76.386281,28.272536,57.524850,67.676294,39.809585,-0.000000,0.067157
0.020000,77.744588,28.365546,58.886337,68.472485,39.809585,0.000000,0.069585
0.020000,79.118545,28.463026,60.263749,69.268677,39.809585,0.000000,0.072081
0.020000,80.508133,28.565150,61.657084,70.064869,39.809585,0.000000,0.074648
0.020000,81.913328,28.672099,63.066344,70.861060,39.809585,-0.000000,0.077285
0.020000,83.334106,28.784056,64.491527,71.657252,39.809585,0.000000,0.079996
0.020000,84.770443,28.901211,65.932634,72.453444,39.809585,0.000000,0.082781
0.020000,86.222310,29.023760,67.389665,73.249636,39.809585,-0.000000,0.085642
0.020000,87.689680,29.151903,68.862619,74.045827,39.809585,0.000000,0.088581
0.020000,89.172520,29.285849,70.351498,74.842019,39.809585,-0.000000,0.091598
0.020000,90.670799,29.425808,71.856300,75.638211,39.809585,0.000000,0.094696
0.020000,92.184481,29.572000,73.377026,76.434402,39.809585,-0.000000,0.097876
0.020000,93.713530,29.724649,74.913676,77.230594,39.809585,0.000000,0.101139
0.020000,95.257905,29.883987,76.466250,78.026786,39.809585,-0.000000,0.104488
0.020000,96.817565,30.050250,78.034748,78.822977,39.809585,0.000000,0.107923
0.020000,98.392465,30.223681,79.619169,79.619169,39.809585,-0.000000,0.111446
0.020000,99.982558,30.404529,81.219514,80.415361,39.809585,0.000000,0.115059
0.020000,101.587794,30.593052,82.835783,81.211552,39.809585,0.000000,0.118764
0.020000,103.208119,30.789510,84.467976,82.007744,39.809585,-0.000000,0.122561
0.020000,104.843478,30.994174,86.116093,82.803936,39.809585,0.000000,0.126453
0.020000,106.493810,31.207319,87.780134,83.600127,39.809585,0.000000,0.130441
0.020000,108.159053,31.429228,89.460098,84.396319,39.809585,0.000000,0.134526
0.020000,109.839139,31.660188,91.155987,85.192511,39.809585,-0.000000,0.138711
0.020000,111.533998,31.900498,92.867799,85.988703,39.809585,0.000000,0.142996
0.020000,113.243555,32.150458,94.595535,86.784894,39.809585,0.000000,0.147384
0.020000,114.967732,32.410378,96.339195,87.581086,39.809585,-0.000000,0.151875
0.020000,116.706445,32.680576,98.098778,88.377278,39.809585,0.000000,0.156471
0.020000,118.459606,32.961373,99.874286,89.173469,39.809585,-0.000000,0.161174
0.020000,120.227123,33.253100,101.665717,89.969661,39.809585,0.000000,0.165985
0.020000,122.008897,33.556093,103.473072,90.765853,39.809585,-0.000000,0.170906
0.020000,123.804827,33.870696,105.296351,91.562044,39.809585,0.000000,0.175937
0.020000,125.614804,34.197259,107.135554,92.358236,39.809585,-0.000000,0.181081
0.020000,127.438714,34.536138,108.990680,93.154428,39.809585,-0.000000,0.186338
0.020000,129.276437,34.887697,110.861731,93.950619,39.809585,0.000000,0.191709
0.020000,131.127848,35.252306,112.748705,94.746811,39.809585,0.000000,0.197197
0.020000,132.992815,35.630340,114.651603,95.543003,39.809585,0.000000,0.202801
0.020000,134.871199,36.022182,116.570425,96.339195,39.809585,-0.000000,0.208524
0.020000,136.762856,36.428220,118.505171,97.135386,39.809585,0.000000,0.214365
0.020000,138.667633,36.848847,120.455841,97.931578,39.809585,0.000000,0.220326
0.020000,140.585369,37.284464,122.422434,98.727770,39.809585,0.000000,0.226408
0.020000,142.515901,37.735475,124.404952,99.523961,39.809585,-0.000000,0.232612
0.020000,144.459051,38.202292,126.403393,100.320153,39.809585,0.000000,0.238938
0.020000,146.414641,38.685328,128.417758,101.116345,39.809585,0.000000,0.245386
0.020000,148.382477,39.185004,130.448047,101.912536,39.809585,-0.000000,0.251958
0.020000,150.362363,39.701744,132.494259,102.708728,39.809585,0.000000,0.258653
0.020000,152.354092,40.235976,134.556396,103.504920,39.809585,-0.000000,0.265472
0.020000,154.357450,40.788132,136.634456,104.301111,39.809585,0.000000,0.272415
0.020000,156.372211,41.358645,138.728440,105.097303,39.809585,-0.000000,0.279482
0.020000,158.398145,41.947955,140.838348,105.893495,39.809585,0.000000,0.286673
0.020000,160.435008,42.556500,142.964180,106.689687,39.809585,-0.000000,0.293987
0.020000,162.482552,43.184724,145.105936,107.485878,39.809585,0.000000,0.301424
0.020000,164.540513,43.833067,147.263615,108.282070,39.809585,-0.000000,0.308984
0.020000,166.608626,44.501975,149.437218,109.078262,39.809585,0.000000,0.316665
0.020000,168.686611,45.191892,151.626746,109.874453,39.809585,0.000000,0.324468
0.020000,170.774179,45.903260,153.832196,110.670645,39.809585,-0.000000,0.332390
0.020000,172.871034,46.636524,156.053571,111.466837,39.809585,0.000000,0.340430
0.020000,174.976871,47.392126,158.290870,112.263028,39.809585,0.000000,0.348588
0.020000,177.091371,48.170503,160.544092,113.059220,39.809585,0.000000,0.356861
0.020000,179.214210,48.972091,162.813239,113.855412,39.809585,-0.000000,0.365248
0.020000,181.332709,49.792484,165.085048,113.325550,-26.493109,-3315.134677,0.373697
0.020000,183.431878,50.625854,167.343597,112.529358,-39.809585,-665.823775,0.382146
0.020000,185.509189,51.470915,169.586223,111.733166,-39.809585,0.000000,0.390580
0.020000,187.564602,52.327322,171.812924,110.936974,-39.809585,0.000000,0.398996
0.020000,189.598103,53.194727,174.023702,110.140783,-39.809585,0.000000,0.407389
0.020000,191.496268,53.986244,176.218555,109.344591,-39.809585,0.000000,0.379671
0.020000,193.532376,54.761899,178.397485,108.548399,-39.809585,0.000000,0.348694
0.020000,195.575547,55.471621,180.560491,107.752208,-39.809585,0.000000,0.320348
