dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.097765,38.921316,0.007973,0.797254,39.862718,1993.135881,6.280884
0.020000,19.094903,38.921322,0.010834,0.143066,-32.709414,-3628.606594,6.281118
0.020000,19.090134,38.921331,0.015603,0.238454,4.769411,1873.941278,6.281507
0.020000,19.083457,38.921340,0.022280,0.333859,4.770216,0.040219,6.282052
0.020000,19.074872,38.921347,0.030866,0.429285,4.771323,0.055387,6.282753
0.020000,19.107855,38.921356,0.063849,1.649175,60.994489,2811.158256,0.000425
0.020000,19.199099,38.921441,0.155094,4.562216,145.652034,4232.877266,0.001438
0.020000,19.304339,38.921654,0.260333,5.261989,34.988658,-5533.168815,0.002608
0.020000,19.423636,38.922044,0.379632,5.964906,35.145872,7.860710,0.003934
0.020000,19.556930,38.922668,0.512926,6.664738,34.991576,-7.714793,0.005419
0.020000,19.704217,38.923587,0.660216,7.364495,34.987872,-0.185205,0.007060
0.020000,19.865549,38.924871,0.821554,8.066888,35.119651,6.588973,0.008860
0.020000,20.040865,38.926596,0.996878,8.766188,34.964989,-7.733108,0.010819
0.020000,20.230163,38.928845,1.186190,9.465614,34.971287,0.314877,0.012937
0.020000,20.433443,38.931706,1.389490,10.164979,34.968257,-0.151470,0.015215
0.020000,20.650696,38.935277,1.606772,10.864102,34.956163,-0.604725,0.017653
0.020000,20.881910,38.939659,1.838028,11.562808,34.935297,-1.043268,0.020252
0.020000,21.127071,38.944964,2.083246,12.260928,34.905988,-1.465463,0.023013
0.020000,21.386160,38.951306,2.342412,12.958300,34.868595,-1.869663,0.025935
0.020000,21.659193,38.958810,2.615549,13.656812,34.925617,2.851121,0.029021
0.020000,21.946144,38.967606,2.902634,14.354292,34.873993,-2.581203,0.032270
0.020000,22.246955,38.977831,3.203619,15.049238,34.747307,-6.334301,0.035683
0.020000,22.561695,38.989630,3.518581,15.748076,34.941906,9.729952,0.039261
0.020000,22.890251,39.003151,3.847414,16.441668,34.679604,-13.115132,0.043003
0.020000,23.232694,39.018557,4.190203,17.139469,34.890032,10.521444,0.046913
0.020000,23.588943,39.036009,4.546880,17.833819,34.717502,-8.626521,0.050988
0.020000,23.958983,39.055680,4.917442,18.528125,34.715311,-0.109573,0.055230
0.020000,24.342802,39.077749,5.301895,19.222633,34.725418,0.505371,0.059640
0.020000,24.740397,39.102403,5.700254,19.917936,34.765107,1.984463,0.064219
0.020000,25.151718,39.129834,6.112489,20.611757,34.691079,-3.701407,0.068965
0.020000,25.576738,39.160241,6.538595,21.305316,34.677959,-0.655994,0.073880
0.020000,26.015448,39.193834,6.978589,21.999692,34.718792,2.041622,0.078965
0.020000,26.467807,39.230824,7.432458,22.693455,34.688131,-1.533031,0.084218
0.020000,26.933772,39.271433,7.900189,23.386538,34.654163,-1.698387,0.089641
0.020000,27.413298,39.315885,8.381771,24.079094,34.627777,-1.319339,0.095233
0.020000,27.906404,39.364421,8.877260,24.774449,34.767756,6.998963,0.100995
0.020000,28.412991,39.417276,9.386597,25.466853,34.620199,-7.377844,0.106925
0.020000,28.933070,39.474703,9.909837,26.162006,34.757656,6.872872,0.113024
0.020000,29.466552,39.536951,10.446939,26.855088,34.654132,-5.176241,0.119291
0.020000,30.013440,39.604286,10.997956,27.550885,34.789812,6.784020,0.125725
0.020000,30.573670,39.676974,11.562882,28.246280,34.769748,-1.003199,0.132326
0.020000,31.147188,39.755286,12.141722,28.941984,34.785200,0.772615,0.139091
0.020000,31.733949,39.839504,12.734496,29.638718,34.836703,2.575152,0.146021
0.020000,32.333905,39.929913,13.341225,30.336464,34.887307,2.530195,0.153113
0.020000,32.947000,40.026804,13.961930,31.035229,34.938257,2.547481,0.160366
0.020000,33.573177,40.130475,14.596631,31.735045,34.990810,2.627682,0.167778
0.020000,34.212373,40.241226,15.245350,32.435970,35.046232,2.771071,0.175346
0.020000,34.864561,40.359371,15.908153,33.140151,35.209046,8.140711,0.183069
0.020000,35.529640,40.485215,16.585033,33.843996,35.192282,-0.838203,0.190942
0.020000,36.207559,40.619079,17.276042,34.550446,35.322465,6.509122,0.198964
0.020000,36.898253,40.761284,17.981223,35.259075,35.431447,5.449143,0.207131
0.020000,37.601656,40.912156,18.700625,35.970069,35.549697,5.912467,0.215439
0.020000,38.317683,41.072021,19.434281,36.682793,35.636197,4.325002,0.223884
0.020000,39.046272,41.241214,20.182257,37.398828,35.801795,8.279931,0.232462
0.020000,39.787355,41.420072,20.944618,38.118019,35.959521,7.886291,0.241168
0.020000,40.540841,41.608929,21.721411,38.839670,36.082564,6.152144,0.249997
0.020000,41.306651,41.808127,22.512704,39.564665,36.249763,8.359945,0.258944
0.020000,42.084703,42.018006,23.318567,40.293129,36.423180,8.670837,0.268003
0.020000,42.874921,42.238911,24.139081,41.025721,36.629597,10.320872,0.277168
0.020000,43.677216,42.471183,24.974322,41.762029,36.815412,9.290764,0.286433
0.020000,44.491489,42.715165,25.824362,42.502000,36.998560,9.157404,0.295790
0.020000,45.317659,42.971199,26.689296,43.246684,37.234202,11.782068,0.305234
0.020000,46.155635,43.239628,27.569215,43.995962,37.463883,11.484056,0.314756
0.020000,47.005319,43.520789,28.464209,44.749710,37.687411,11.176385,0.324349
0.020000,47.866614,43.815021,29.374374,45.508263,37.927625,12.010730,0.334005
0.020000,48.739434,44.122660,30.299824,46.272467,38.210212,14.129354,0.343715
0.020000,49.623670,44.444032,31.240650,47.041334,38.443362,11.657501,0.353472
0.020000,50.519227,44.779466,32.196964,47.815705,38.718524,13.758094,0.363266
0.020000,51.426003,45.129283,33.168877,48.595654,38.997448,13.946202,0.373088
0.020000,52.343899,45.493797,34.156503,49.381265,39.280555,14.155330,0.382929
0.020000,53.272813,45.873317,35.159955,50.172627,39.568126,14.378575,0.392780
0.020000,54.212643,46.268146,36.179352,50.969834,39.860309,14.609139,0.402630
0.020000,55.163288,46.678576,37.214813,51.773026,40.159624,14.965755,0.412471
0.020000,56.124648,47.104895,38.266460,52.582355,40.466450,15.341300,0.422293
0.020000,57.096620,47.547377,39.334411,53.397550,40.759769,14.665925,0.432085
0.020000,58.079106,48.006290,40.418791,54.219001,41.072512,15.637156,0.441838
0.020000,59.072007,48.481888,41.519721,55.046510,41.375452,15.147023,0.451541
0.020000,60.075229,48.974418,42.637325,55.880194,41.684194,15.437096,0.461184
0.020000,61.088676,49.484112,43.771724,56.719985,41.989589,15.269734,0.470759
0.020000,62.112258,50.011191,44.923042,57.565902,42.295811,15.311086,0.480254
0.020000,63.145888,50.555864,46.091400,58.417857,42.597793,15.099115,0.489659
0.020000,64.189480,51.118324,47.276915,59.275779,42.896055,14.913086,0.498966
0.020000,65.242957,51.698755,48.479709,60.139685,43.195339,14.964198,0.508163
0.020000,66.306244,52.297322,49.699898,61.009459,43.488685,14.667338,0.517243
0.020000,67.379270,52.914177,50.937596,61.884887,43.771384,14.134914,0.526194
0.020000,68.461974,53.549459,52.192917,62.766076,44.059472,14.404409,0.535009
0.020000,69.554302,54.203291,53.465975,63.652893,44.340819,14.067376,0.543677
0.020000,70.656206,54.875780,54.756880,64.545240,44.617352,13.826609,0.552190
0.020000,71.767640,55.567014,56.065730,65.442510,44.863505,12.307693,0.560540
0.020000,72.888581,56.277074,57.392641,66.345568,45.152916,14.470510,0.568717
0.020000,74.018998,57.006014,58.737705,67.253199,45.381550,11.431718,0.576714
0.020000,75.158889,57.753883,60.101032,68.166320,45.656060,13.725519,0.584522
0.020000,76.308246,58.520702,61.482709,69.083876,45.877801,11.087043,0.592133
0.020000,77.467082,59.306485,62.882836,70.006355,46.123920,12.305941,0.599540
0.020000,78.635422,60.111227,64.301508,70.933558,46.360172,11.812614,0.606735
0.020000,79.813301,60.934906,65.738812,71.865239,46.584031,11.192952,0.613710
0.020000,81.000768,61.777481,67.194839,72.801315,46.803828,10.989813,0.620459
0.020000,82.197888,62.638899,68.669673,73.741717,47.020098,10.813523,0.626974
0.020000,83.404739,63.519088,70.163401,74.686384,47.233353,10.662722,0.633249
0.020000,84.621418,64.417960,71.676106,75.635266,47.444077,10.536226,0.639275
0.020000,85.848036,65.335411,73.207872,76.588321,47.652737,10.433018,0.645048
0.020000,87.084723,66.271321,74.758783,77.545516,47.859782,10.352233,0.650559
0.020000,88.331622,67.225549,76.328913,78.506508,48.049592,9.490504,0.655803
0.020000,89.588901,68.197942,77.918347,79.471679,48.258569,10.448857,0.660773
0.020000,90.856748,69.188331,79.527168,80.441053,48.468668,10.504912,0.665462
0.020000,92.135360,70.196522,81.155448,81.414034,48.649063,9.019788,0.669864
0.020000,93.424970,71.222314,82.803278,82.391510,48.873797,11.236679,0.673972
0.020000,94.725822,72.265481,84.470735,83.372838,49.066385,9.629413,0.677779
0.020000,96.038185,73.325780,86.157902,84.358334,49.274832,10.422362,0.681279
0.020000,97.362354,74.402954,87.864866,85.348206,49.493583,10.937519,0.684465
0.020000,98.698644,75.496723,89.591713,86.342358,49.707602,10.700981,0.687329
0.020000,100.047397,76.606786,91.338532,87.340932,49.928679,11.053812,0.689864
0.020000,101.408979,77.732827,93.105413,88.344082,50.157537,11.442930,0.692064
0.020000,102.783782,78.874504,94.892453,89.351979,50.394856,11.865964,0.693919
0.020000,104.172228,80.031455,96.699749,90.364805,50.641272,12.320769,0.695422
0.020000,105.574764,81.203298,98.527404,91.382752,50.897380,12.805429,0.696565
0.020000,106.991869,82.389621,100.375525,92.406027,51.163746,13.318270,0.697339
0.020000,108.424049,83.589992,102.244222,93.434845,51.440903,13.857865,0.697735
0.020000,109.871841,84.803947,104.133611,94.469454,51.730410,14.475356,0.697744
0.020000,111.335816,86.030998,106.043814,95.510155,52.035049,15.231959,0.697355
0.020000,112.816575,87.270625,107.974959,96.557252,52.354866,15.990826,0.696558
0.020000,114.314752,88.522273,109.927178,97.610960,52.685395,16.526435,0.695342
0.020000,115.831021,89.785358,111.900615,98.671836,53.043811,17.920819,0.693697
0.020000,117.366083,91.059252,113.895414,99.739944,53.405418,18.080338,0.691608
0.020000,118.920680,92.343292,115.911730,100.815792,53.792360,19.347093,0.689065
0.020000,120.495589,93.636770,117.949725,101.899769,54.198863,20.325154,0.686054
0.020000,122.091625,94.938934,120.009570,102.992267,54.624890,21.301362,0.682561
0.020000,123.709642,96.248979,122.091444,104.093672,55.070252,22.268107,0.678571
0.020000,125.350529,97.566050,124.195531,105.204364,55.534600,23.217390,0.674069
0.020000,127.015213,98.889230,126.322025,106.324712,56.017415,24.140743,0.669040
0.020000,128.704658,100.217541,128.471127,107.455072,56.517997,25.029126,0.663467
0.020000,130.419873,101.549942,130.643051,108.596224,57.057605,26.980388,0.657332
0.020000,132.161893,102.885313,132.838010,109.747970,57.587285,26.484012,0.650619
0.020000,133.931791,104.222460,135.056231,110.911038,58.153414,28.306450,0.643308
0.020000,135.730672,105.560101,137.297939,112.085398,58.717992,28.228896,0.635382
0.020000,137.559677,106.896872,139.563379,113.271993,59.329751,30.587953,0.626820
0.020000,139.419963,108.231300,141.852781,114.470087,59.904708,28.747856,0.617603
