dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.610877,38.749577,0.016000,1.600000,80.000000,4000.000000,6.281088
0.020000,19.605510,38.749587,0.021367,0.268359,-66.582033,-7329.101659,6.281542
0.020000,19.596564,38.749598,0.030313,0.447268,8.945411,3776.372201,6.282299
0.020000,19.602353,38.749605,0.036102,0.289452,-7.890763,-841.808668,0.000173
0.020000,19.730261,38.749714,0.164009,6.395369,305.295851,15659.330661,0.001536
0.020000,19.886562,38.750084,0.320311,7.815103,70.986670,-11715.459050,0.003203
0.020000,20.071256,38.750858,0.505006,9.234759,70.982812,-0.192869,0.005174
0.020000,20.284342,38.752203,0.718096,10.654503,70.987214,0.220104,0.007451
0.020000,20.525807,38.754314,0.959570,12.073703,70.959967,-1.362362,0.010034
0.020000,20.795624,38.757411,1.229405,13.491747,70.902242,-2.886251,0.012924
0.020000,21.093788,38.761741,1.527601,14.909773,70.901302,-0.047000,0.016121
0.020000,21.420289,38.767578,1.854154,16.327668,70.894746,-0.327824,0.019628
0.020000,21.775095,38.775220,2.209042,17.744400,70.836556,-2.909474,0.023445
0.020000,22.158172,38.784994,2.592244,19.160103,70.785150,-2.570307,0.027573
0.020000,22.569507,38.797253,3.003762,20.575896,70.789650,0.224976,0.032013
0.020000,23.009072,38.812375,3.443587,21.991224,70.766432,-1.160894,0.036766
0.020000,23.476822,38.830766,3.911698,23.405584,70.718007,-2.421255,0.041833
0.020000,23.972704,38.852859,4.408073,24.818716,70.656568,-3.071913,0.047214
0.020000,24.496737,38.879114,4.932763,26.234504,70.789404,6.641771,0.052910
0.020000,25.048809,38.910016,5.485698,27.646790,70.614302,-8.755112,0.058922
0.020000,25.628890,38.946076,6.066899,29.060039,70.662475,2.408671,0.065249
0.020000,26.236937,38.987835,6.676379,30.473982,70.697118,1.732162,0.071891
0.020000,26.872891,39.035858,7.314144,31.888236,70.712707,0.779426,0.078849
0.020000,27.536677,39.090734,7.980194,33.302504,70.713414,0.035342,0.086121
0.020000,28.228204,39.153080,8.674525,34.716577,70.703656,-0.487897,0.093706
0.020000,28.947432,39.223540,9.397196,36.133555,70.848899,7.262189,0.101603
0.020000,29.694238,39.302777,10.148195,37.549916,70.818056,-1.542147,0.109808
0.020000,30.468552,39.391484,10.927573,38.968902,70.949263,6.560322,0.118320
0.020000,31.270282,39.490376,11.735379,40.390313,71.070552,6.064436,0.127135
0.020000,32.099322,39.600191,12.571660,41.814062,71.187486,5.846705,0.136249
0.020000,32.955548,39.721686,13.436464,43.240177,71.305751,5.913274,0.145657
0.020000,33.838826,39.855637,14.329840,44.668830,71.432641,6.344498,0.155352
0.020000,34.749072,40.002854,15.251915,46.103725,71.744723,15.604101,0.165330
0.020000,35.686112,40.164146,16.202735,47.541032,71.865363,6.031965,0.175581
0.020000,36.649814,40.340351,17.182413,48.983890,72.142931,13.878432,0.186099
0.020000,37.640027,40.532319,18.191063,50.432473,72.429140,14.310455,0.196873
0.020000,38.656587,40.740915,19.228804,51.887044,72.728534,14.969708,0.207892
0.020000,39.699326,40.967013,20.295774,53.348533,73.074468,17.296700,0.219146
0.020000,40.768078,41.211502,21.392134,54.817971,73.471880,19.870556,0.230621
0.020000,41.862646,41.475271,22.518035,56.295050,73.853945,19.103257,0.242304
0.020000,42.982838,41.759218,23.673654,57.780966,74.295834,22.094463,0.254180
0.020000,44.128457,42.064244,24.859185,59.276555,74.779431,24.179855,0.266232
0.020000,45.299294,42.391248,26.074829,60.782199,75.282190,25.137957,0.278444
0.020000,46.495128,42.741125,27.320796,62.298367,75.808422,26.311583,0.290798
0.020000,47.715752,43.114768,28.597327,63.826534,76.408352,29.996495,0.303274
0.020000,48.960922,43.513053,29.904645,65.365886,76.967567,27.960772,0.315852
0.020000,50.230416,43.936852,31.243010,66.918241,77.617789,32.511073,0.328510
0.020000,51.523994,44.387013,32.612678,68.483407,78.258285,32.024842,0.341228
0.020000,52.841416,44.864369,34.013916,70.061913,78.925278,33.349632,0.353982
0.020000,54.182442,45.369731,35.447004,71.654399,79.624330,34.952580,0.366748
0.020000,55.533335,45.898499,36.897696,72.534617,44.010874,-1780.672807,0.379379
0.020000,56.880516,46.445321,38.351626,72.696471,8.092700,-1795.908696,0.391736
0.020000,58.223978,47.009847,39.808876,72.862528,8.302850,10.507525,0.403813
0.020000,59.563717,47.591716,41.269517,73.032045,8.475846,8.649789,0.415602
0.020000,60.899742,48.190556,42.733612,73.204748,8.635143,7.964864,0.427099
0.020000,62.232070,48.805991,44.201214,73.380107,8.767982,6.641942,0.438299
0.020000,63.560724,49.437637,45.672370,73.557775,8.883369,5.769353,0.449199
0.020000,64.885736,50.085102,47.147114,73.737195,8.971026,4.382843,0.459796
0.020000,66.207150,50.747993,48.625477,73.918166,9.048567,3.877054,0.470086
0.020000,67.525017,51.425909,50.107484,74.100336,9.108463,2.994791,0.480068
0.020000,68.839391,52.118447,51.593144,74.283033,9.134865,1.320087,0.489741
0.020000,70.150344,52.825205,53.082475,74.466510,9.173843,1.948897,0.499103
0.020000,71.457951,53.545775,54.575478,74.650162,9.182615,0.438608,0.508155
0.020000,72.762293,54.279749,56.072149,74.833567,9.170261,-0.617700,0.516896
0.020000,74.063468,55.026721,57.572490,75.017027,9.173000,0.136978,0.525327
0.020000,75.361573,55.786284,59.076489,75.199957,9.146482,-1.325888,0.533449
0.020000,76.656714,56.558030,60.584130,75.382057,9.105003,-2.073972,0.541262
0.020000,77.949013,57.341556,62.095404,75.563705,9.082382,-1.131053,0.548768
0.020000,79.238592,58.136461,63.610293,75.744420,9.035761,-2.331059,0.555969
0.020000,80.525576,58.942338,65.128768,75.923797,8.968860,-3.345037,0.562866
0.020000,81.810112,59.758796,66.650818,76.102459,8.933118,-1.787124,0.569460
0.020000,83.092343,60.585438,68.176417,76.279958,8.874918,-2.909969,0.575755
0.020000,84.372416,61.421869,69.705536,76.455962,8.800186,-3.736607,0.581751
0.020000,85.650494,62.267703,71.238154,76.630882,8.745999,-2.709373,0.587451
0.020000,86.926742,63.122555,72.774246,76.804634,8.687638,-2.918012,0.592858
0.020000,88.201331,63.986043,74.313788,76.977090,8.622807,-3.241557,0.597973
0.020000,89.474431,64.857786,75.856747,77.147940,8.542457,-4.017498,0.602799
0.020000,90.746232,65.737413,77.403104,77.317858,8.495929,-2.326398,0.607337
0.020000,92.016921,66.624552,78.952835,77.486525,8.433357,-3.128593,0.611590
0.020000,93.286689,67.518836,80.505914,77.653974,8.372446,-3.045582,0.615559
0.020000,94.555732,68.419898,82.062314,77.820016,8.302076,-3.518511,0.619248
0.020000,95.824256,69.327379,83.622018,77.985179,8.258159,-2.195842,0.622657
0.020000,97.092469,70.240922,85.185004,78.149291,8.205598,-2.628043,0.625788
0.020000,98.360583,71.160171,86.751252,78.312398,8.155368,-2.511476,0.628644
0.020000,99.628813,72.084774,88.320742,78.474496,8.104882,-2.524304,0.631225
0.020000,100.897380,73.014381,89.893456,78.635737,8.062033,-2.142456,0.633533
0.020000,102.166511,73.948645,91.469382,78.796297,8.028004,-1.701466,0.635570
0.020000,103.436435,74.887221,93.048505,78.956155,7.992902,-1.755084,0.637336
0.020000,104.707383,75.829764,94.630813,79.115395,7.962038,-1.543211,0.638833
0.020000,105.979593,76.775932,96.216295,79.274066,7.933525,-1.425630,0.640061
0.020000,107.253304,77.725383,97.804941,79.432330,7.913206,-1.015990,0.641022
0.020000,108.528761,78.677778,99.396747,79.590287,7.897862,-0.767165,0.641715
0.020000,109.806211,79.632774,100.991707,79.747989,7.885084,-0.638934,0.642142
0.020000,111.085904,80.590032,102.589817,79.905529,7.876992,-0.404583,0.642302
0.020000,112.368093,81.549211,104.191078,80.063008,7.873940,-0.152583,0.642195
0.020000,113.653036,82.509969,105.795488,80.220541,7.876674,0.136672,0.641822
0.020000,114.940992,83.471963,107.403052,80.378197,7.882790,0.305810,0.641182
0.020000,116.232222,84.434848,109.013774,80.536068,7.893545,0.537741,0.640275
0.020000,117.526992,85.398277,110.627659,80.694247,7.908935,0.769535,0.639100
0.020000,118.825569,86.361901,112.244716,80.852856,7.930489,1.077686,0.637657
0.020000,120.128225,87.325368,113.864956,81.012023,7.958342,1.392619,0.635945
0.020000,121.435229,88.288321,115.488390,81.171702,7.983951,1.280486,0.633962
0.020000,122.746855,89.250400,117.115031,81.332042,8.016997,1.652311,0.631708
0.020000,124.063380,90.211240,118.744894,81.493125,8.054128,1.856521,0.629182
0.020000,125.385082,91.170474,120.377996,81.655125,8.100039,2.295553,0.626381
0.020000,126.712239,92.127726,122.014357,81.818061,8.146799,2.338017,0.623305
0.020000,128.045129,93.082615,123.653994,81.981859,8.189899,2.154962,0.619952
0.020000,129.384034,94.034753,125.296928,82.146685,8.241266,2.568392,0.616319
