dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.560286,15.109631,0.006944,0.694444,34.722222,1736.111111,6.281002
0.020000,19.562615,15.109626,0.009274,0.116475,-28.898463,-3181.034245,6.281199
0.020000,19.566498,15.109619,0.013156,0.194126,3.882528,1639.049555,6.281528
0.020000,19.571933,15.109612,0.018592,0.271777,3.882556,0.001374,6.281988
0.020000,19.578922,15.109605,0.025581,0.349429,3.882583,0.001362,6.282579
0.020000,19.599775,15.109604,0.046434,1.042665,34.661815,1538.961614,0.000116
0.020000,19.700176,15.109658,0.146835,5.020040,198.868747,8210.346589,0.000971
0.020000,19.815980,15.109828,0.262639,5.790216,38.508791,-8017.997823,0.001957
0.020000,19.947266,15.110158,0.393926,6.564327,38.705576,9.839275,0.003075
0.020000,20.093966,15.110701,0.540626,7.335044,38.535837,-8.486938,0.004325
0.020000,20.256163,15.111515,0.702825,8.109951,38.745370,10.476617,0.005708
0.020000,20.433781,15.112663,0.880447,8.881072,38.556032,-9.466867,0.007223
0.020000,20.626851,15.114217,1.073523,9.653817,38.637242,4.060473,0.008871
0.020000,20.835413,15.116253,1.282095,10.428582,38.738278,5.051784,0.010652
0.020000,21.059422,15.118854,1.506120,11.201235,38.632629,-5.282425,0.012567
0.020000,21.298888,15.122108,1.745607,11.974396,38.658064,1.271735,0.014615
0.020000,21.553815,15.126113,2.000566,12.747929,38.676632,0.928411,0.016797
0.020000,21.824206,15.130968,2.271000,13.521697,38.688422,0.589480,0.019114
0.020000,22.110058,15.136783,2.556911,14.295568,38.693531,0.255485,0.021564
0.020000,22.411367,15.143671,2.858300,15.069409,38.692071,-0.073033,0.024150
0.020000,22.728126,15.151753,3.175161,15.843092,38.684160,-0.395537,0.026870
0.020000,23.060377,15.161158,3.507546,16.619222,38.806464,6.115228,0.029726
0.020000,23.408077,15.172017,3.855415,17.393451,38.711452,-4.750618,0.032718
0.020000,23.771195,15.184470,4.218746,18.166575,38.656202,-2.762523,0.035845
0.020000,24.149805,15.198666,4.597622,18.943804,38.861449,10.262381,0.039109
0.020000,24.543810,15.214754,4.991956,19.716692,38.644400,-10.852465,0.042509
0.020000,24.953285,15.232896,5.401833,20.493834,38.857122,10.636080,0.046046
0.020000,25.378144,15.253255,5.827179,21.267301,38.673353,-9.188446,0.049719
0.020000,25.818425,15.276004,6.268048,22.043443,38.807062,6.685463,0.053529
0.020000,26.274109,15.301321,6.724434,22.819303,38.793045,-0.700840,0.057476
0.020000,26.745156,15.329390,7.196317,23.594148,38.742236,-2.540442,0.061560
0.020000,27.231556,15.360401,7.683704,24.369366,38.760892,0.932795,0.065781
0.020000,27.733291,15.394551,8.186600,25.144780,38.770706,0.490706,0.070139
0.020000,28.250338,15.432044,8.705004,25.920218,38.771906,0.059978,0.074633
0.020000,28.782668,15.473087,9.238914,26.695513,38.764733,-0.358635,0.079265
0.020000,29.330248,15.517895,9.788324,27.470502,38.749445,-0.764411,0.084032
0.020000,29.893037,15.566689,10.353225,28.245028,38.726312,-1.156655,0.088936
0.020000,30.470990,15.619694,10.933604,29.018940,38.695618,-1.534704,0.093975
0.020000,31.064117,15.677146,11.529507,29.795153,38.810604,5.749334,0.099150
0.020000,31.672312,15.739278,12.140867,30.567999,38.642346,-8.412935,0.104459
0.020000,32.295543,15.806333,12.767695,31.341408,38.670413,1.403381,0.109901
0.020000,32.933766,15.878560,13.409992,32.114833,38.671268,0.042715,0.115477
0.020000,33.586910,15.956210,14.067735,32.887165,38.616621,-2.732320,0.121185
0.020000,34.254894,16.039538,14.740896,33.658073,38.545365,-3.562805,0.127023
0.020000,34.937699,16.128812,15.429513,34.430814,38.637049,4.584168,0.132992
0.020000,35.635204,16.224291,16.133523,35.200511,38.484858,-7.609540,0.139089
0.020000,36.347337,16.326245,16.852917,35.969683,38.458585,-1.313636,0.145313
0.020000,37.074013,16.434948,17.587679,36.738101,38.420934,-1.882573,0.151661
0.020000,37.815143,16.550675,18.337790,37.505549,38.372405,-2.426444,0.158134
0.020000,38.570628,16.673704,19.103226,38.271820,38.313518,-2.944358,0.164727
0.020000,39.340359,16.804317,19.883960,39.036716,38.244807,-3.435530,0.171440
0.020000,40.124222,16.942794,20.679961,39.800052,38.166821,-3.899284,0.178270
0.020000,40.922095,17.089420,21.491194,40.561655,38.080120,-4.335057,0.185214
0.020000,41.733879,17.244485,22.317656,41.323078,38.071159,-0.448047,0.192270
0.020000,42.559415,17.408269,23.159282,42.081315,37.911854,-7.965238,0.199434
0.020000,43.398567,17.581058,24.016039,42.837851,37.826826,-4.251438,0.206704
0.020000,44.251206,17.763142,24.887903,43.593205,37.767682,-2.957202,0.214076
0.020000,45.117164,17.954800,25.774818,44.345712,37.625365,-7.115850,0.221547
0.020000,45.996281,18.156317,26.676735,45.095863,37.507508,-5.892826,0.229113
0.020000,46.888415,18.367977,27.593634,45.844930,37.453381,-2.706363,0.236770
0.020000,47.793371,18.590054,28.525440,46.590349,37.270919,-9.123111,0.244514
0.020000,48.710976,18.822823,29.472108,47.333388,37.151979,-5.946994,0.252340
0.020000,49.641046,19.066557,30.433585,48.073831,37.022157,-6.491096,0.260244
0.020000,50.583393,19.321521,31.409814,48.811480,36.882416,-6.987039,0.268221
0.020000,51.537819,19.587977,32.400738,49.546154,36.733713,-7.435132,0.276266
0.020000,52.504122,19.866182,33.406291,50.277694,36.576995,-7.835941,0.284374
0.020000,53.482092,20.156383,34.426411,51.005958,36.413189,-8.190283,0.292539
0.020000,54.471522,20.458825,35.461033,51.731099,36.257055,-7.806720,0.300756
0.020000,55.472200,20.773745,36.510094,52.453071,36.098613,-7.922097,0.309020
0.020000,56.483891,21.101366,37.573511,53.170853,35.889103,-10.475475,0.317323
