dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.565439,38.491342,0.006944,0.694444,34.722222,1736.111111,6.282139
0.020000,18.564019,38.491343,0.008365,0.071030,-31.170718,-3294.646987,6.282259
0.020000,18.561652,38.491345,0.010732,0.118328,2.364917,1676.781719,6.282459
0.020000,18.558341,38.491347,0.014042,0.165544,2.360787,-0.206503,6.282739
0.020000,18.554088,38.491348,0.018295,0.212644,2.355003,-0.289169,6.283099
0.020000,18.610279,38.491358,0.074486,2.809549,129.845252,6374.512433,0.000353
0.020000,18.694430,38.491410,0.158637,4.207534,69.899243,-2997.300460,0.000871
0.020000,18.791538,38.491523,0.255745,4.855414,32.393998,-1875.262265,0.001468
0.020000,18.901610,38.491722,0.365817,5.503592,32.408882,0.744200,0.002144
0.020000,19.024649,38.492032,0.488857,6.151974,32.419112,0.511531,0.002897
0.020000,19.160663,38.492483,0.624871,6.800739,32.438273,0.958060,0.003728
0.020000,19.309659,38.493106,0.773868,7.449846,32.455319,0.852300,0.004635
0.020000,19.471643,38.493937,0.935855,8.099329,32.474183,0.943172,0.005619
0.020000,19.646624,38.495012,1.110839,8.749228,32.494902,1.035947,0.006678
0.020000,19.834611,38.496374,1.298831,9.399578,32.517516,1.130726,0.007811
0.020000,20.035612,38.498066,1.499839,10.050419,32.542068,1.227597,0.009018
0.020000,20.249638,38.500133,1.713875,10.701791,32.568601,1.326635,0.010298
0.020000,20.476699,38.502625,1.940950,11.353734,32.597159,1.427901,0.011650
0.020000,20.716805,38.505594,2.181074,12.006198,32.623172,1.300663,0.013073
0.020000,20.969968,38.509093,2.434261,12.659356,32.657886,1.735683,0.014566
0.020000,21.236199,38.513179,2.700524,13.313152,32.689813,1.596333,0.016128
0.020000,21.515512,38.517912,2.979877,13.967642,32.724504,1.734575,0.017757
0.020000,21.807918,38.523353,3.272334,14.622835,32.759631,1.756337,0.019453
0.020000,22.113432,38.529567,3.577911,15.278849,32.800727,2.054787,0.021214
0.020000,22.432067,38.536618,3.896623,15.935642,32.839628,1.945081,0.023038
0.020000,22.763835,38.544576,4.228487,16.593200,32.877916,1.914402,0.024925
0.020000,23.108753,38.553512,4.573521,17.251690,32.924500,2.329172,0.026873
0.020000,23.466836,38.563497,4.931743,17.911080,32.969501,2.250080,0.028880
