dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,21.537656,14.500857,0.020000,2.000000,100.000000,5000.000000,6.281917
0.020000,21.548904,14.500849,0.031248,0.562385,-71.880771,-8594.038539,6.282868
0.020000,21.647632,14.500908,0.129976,4.936404,218.700971,14529.087069,0.001267
0.020000,21.813793,14.501303,0.296138,8.308089,168.584269,-2505.835087,0.003480
0.020000,22.027342,14.502349,0.509689,10.677577,118.474389,-2505.494015,0.006319
0.020000,22.288219,14.504449,0.770574,13.044257,118.333970,-7.020908,0.009778
0.020000,22.596328,14.508089,1.078705,15.406545,118.114447,-10.976193,0.013850
0.020000,22.951564,14.513841,1.433987,17.764102,117.877829,-11.830879,0.018527
0.020000,23.353791,14.522356,1.836305,20.115870,117.588406,-14.471166,0.023799
0.020000,23.802844,14.534362,2.285518,22.460683,117.240664,-17.387107,0.029655
0.020000,24.298534,14.550662,2.781476,24.797879,116.859758,-19.045299,0.036081
0.020000,24.840622,14.572127,3.323989,27.125635,116.387818,-23.596966,0.043062
0.020000,25.428842,14.599691,3.912854,29.443258,115.881133,-25.334285,0.050580
0.020000,26.062880,14.634347,4.547839,31.749247,115.299482,-29.082516,0.058616
0.020000,26.742372,14.677136,5.228677,34.041897,114.632473,-33.350443,0.067148
0.020000,27.466910,14.729144,5.955079,36.320122,113.911255,-36.060933,0.076150
0.020000,28.236029,14.791489,6.726720,38.582055,113.096642,-40.730634,0.085595
0.020000,29.049212,14.865313,7.543247,40.826351,112.214796,-44.092301,0.095454
0.020000,29.905882,14.951775,8.404270,43.051154,111.240157,-48.731936,0.105693
0.020000,30.805410,15.052036,9.309368,45.254909,110.187748,-52.620487,0.116277
0.020000,31.747106,15.167248,10.258086,47.435870,109.048060,-56.984354,0.127168
0.020000,32.730229,15.298544,11.249937,49.592573,107.835140,-60.646000,0.138323
0.020000,33.753981,15.447027,12.284401,51.723194,106.531063,-65.203854,0.149699
0.020000,34.817519,15.613753,13.360929,53.826372,105.158902,-68.608081,0.161250
0.020000,35.919956,15.799722,14.478940,55.900586,103.710713,-72.409435,0.172927
0.020000,37.060364,16.005867,15.637831,57.944537,102.197534,-75.658938,0.184678
0.020000,38.237789,16.233039,16.836971,59.956997,100.623027,-78.725341,0.196450
0.020000,39.451252,16.481997,18.075709,61.936900,98.995106,-81.396057,0.208189
0.020000,40.699760,16.753400,19.353375,63.883306,97.320338,-83.738409,0.219836
