dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.080745,39.171343,0.017910,1.791045,89.552239,4477.611940,6.282292
0.020000,19.077205,39.171346,0.021451,0.177004,-80.702023,-8512.713104,6.282575
0.020000,19.071312,39.171348,0.027344,0.294651,5.882353,4329.218798,6.283047
0.020000,19.162070,39.171372,0.118102,4.537917,212.163302,10314.047467,0.000520
0.020000,19.312702,39.171514,0.268734,7.531582,149.683208,-3124.004699,0.001365
0.020000,19.496846,39.171860,0.452878,9.207236,83.782737,-3295.023548,0.002395
0.020000,19.714527,39.172514,0.670560,10.884082,83.842282,2.977246,0.003607
0.020000,19.965771,39.173595,0.921807,12.562336,83.912709,3.521365,0.005000
0.020000,20.250610,39.175243,1.206650,14.242178,83.992075,3.968308,0.006571
0.020000,20.569079,39.177614,1.525128,15.923885,84.085382,4.665323,0.008316
0.020000,20.921217,39.180881,1.877281,17.607654,84.188429,5.152357,0.010233
0.020000,21.307066,39.185232,2.263155,19.293703,84.302472,5.702139,0.012319
0.020000,21.726673,39.190874,2.682800,20.982247,84.427200,6.236426,0.014568
0.020000,22.180087,39.198027,3.136270,22.673487,84.561980,6.739004,0.016977
0.020000,22.667360,39.206926,3.623624,24.367699,84.710595,7.430743,0.019541
0.020000,23.188547,39.217821,4.144925,26.065079,84.868985,7.919466,0.022255
0.020000,23.743708,39.230973,4.700242,27.765839,85.038019,8.451705,0.025113
0.020000,24.332904,39.246658,5.289647,29.470242,85.220147,9.106428,0.028110
0.020000,24.956197,39.265162,5.913214,31.178376,85.406719,9.328568,0.031239
0.020000,25.613656,39.286781,6.571028,32.890687,85.615530,10.440546,0.034495
0.020000,26.305347,39.311821,7.263172,34.607206,85.825978,10.522407,0.037869
0.020000,27.031340,39.340599,7.989736,36.328190,86.049179,11.160066,0.041356
0.020000,27.791710,39.373434,8.750814,38.053902,86.285597,11.820876,0.044948
0.020000,28.586531,39.410657,9.546506,39.784614,86.535608,12.500565,0.048635
0.020000,29.415877,39.452599,10.376912,41.520283,86.783455,12.392338,0.052412
0.020000,30.279828,39.499598,11.242141,43.261430,87.057328,13.693694,0.056268
0.020000,31.178463,39.551993,12.142302,45.008075,87.332275,13.747351,0.060195
0.020000,32.111864,39.610124,13.077512,46.760475,87.619975,14.384985,0.064185
0.020000,33.080114,39.674329,14.047887,48.518783,87.915394,14.770949,0.068226
0.020000,34.083295,39.744946,15.053551,50.283205,88.221103,15.285432,0.072310
0.020000,35.121496,39.822308,16.094630,52.053935,88.536538,15.771750,0.076427
0.020000,36.194803,39.906743,17.171254,53.831196,88.863024,16.324331,0.080566
0.020000,37.303309,39.998572,18.283556,55.615118,89.196094,16.653465,0.084716
0.020000,38.447103,40.098106,19.431674,57.405865,89.537361,17.063355,0.088866
0.020000,39.626280,40.205646,20.615744,59.203535,89.883481,17.305997,0.093006
0.020000,40.840939,40.321482,21.835914,61.008463,90.246446,18.148264,0.097124
0.020000,42.091178,40.445888,23.092327,62.820683,90.610979,18.226640,0.101208
0.020000,43.377101,40.579121,24.385134,64.640337,90.982695,18.585797,0.105246
0.020000,44.698816,40.721422,25.714487,66.467638,91.365035,19.117035,0.109226
0.020000,46.056433,40.873008,27.080540,68.302665,91.751350,19.315747,0.113136
0.020000,47.450067,41.034078,28.483452,70.145583,92.145939,19.729411,0.116962
0.020000,48.879840,41.204803,29.923381,71.996488,92.545236,19.964890,0.120693
0.020000,50.345880,41.385329,31.400494,73.855628,92.957009,20.588638,0.124315
0.020000,51.848320,41.575771,32.914956,75.723076,93.372400,20.769558,0.127815
0.020000,53.387297,41.776215,34.466932,77.598818,93.787059,20.732910,0.131179
0.020000,54.962966,41.986712,36.056599,79.483348,94.226543,21.974232,0.134394
0.020000,56.575479,42.207277,37.684127,81.376394,94.652266,21.286137,0.137445
0.020000,58.225006,42.437887,39.349696,83.278438,95.102197,22.496565,0.140319
0.020000,59.911724,42.678476,41.053485,85.189487,95.552473,22.513778,0.143001
0.020000,61.635820,42.928936,42.795679,87.109683,96.009807,22.866707,0.145476
0.020000,63.397496,43.189111,44.576464,89.039240,96.477829,23.401098,0.147730
0.020000,65.196967,43.458797,46.396031,90.978368,96.956402,23.928646,0.149747
0.020000,67.034460,43.737735,48.254576,92.927230,97.443098,24.334819,0.151511
0.020000,68.910219,44.025612,50.152296,94.886026,97.939788,24.834507,0.153007
0.020000,70.824502,44.322056,52.089397,96.855015,98.449455,25.483323,0.154218
0.020000,72.777585,44.626631,54.066085,98.834449,98.971725,26.113524,0.155127
0.020000,74.769760,44.938836,56.082576,100.824536,99.504315,26.629481,0.155719
0.020000,76.801340,45.258099,58.139089,102.825649,100.055689,27.568712,0.155974
0.020000,78.872654,45.583774,60.235850,104.838048,100.619942,28.212661,0.155875
0.020000,80.984052,45.915136,62.373092,106.862079,101.201561,29.080936,0.155403
0.020000,83.135902,46.251376,64.551054,108.898089,101.800482,29.946063,0.154539
0.020000,85.328595,46.591598,66.769984,110.946530,102.422055,31.078627,0.153263
0.020000,87.562538,46.934811,69.030138,113.007706,103.058804,31.837473,0.151555
0.020000,89.838160,47.279925,71.331781,115.082127,103.721053,33.112412,0.149394
0.020000,92.155908,47.625745,73.675186,117.170244,104.405820,34.238388,0.146758
0.020000,94.516246,47.970963,76.060636,119.272492,105.112436,35.330789,0.143623
0.020000,96.919656,48.314153,78.488425,121.389452,105.848003,36.778339,0.139967
0.020000,99.348478,48.651282,80.940532,122.605393,60.797033,-2252.548509,0.135798
0.020000,101.784838,48.978504,83.398768,122.911794,15.320053,-2273.848987,0.131139
0.020000,104.228888,49.294561,85.863169,123.220035,15.412049,4.599778,0.125987
0.020000,106.680769,49.598177,88.333778,123.530426,15.519544,5.374783,0.120338
0.020000,109.140610,49.888056,90.810640,123.843099,15.633653,5.705461,0.114189
0.020000,111.608511,50.162882,93.293796,124.157806,15.735331,5.083885,0.107536
0.020000,114.084555,50.421314,95.783290,124.474700,15.844702,5.468521,0.100376
0.020000,116.568801,50.661995,98.279167,124.793879,15.958942,5.712005,0.092705
0.020000,119.061270,50.883544,100.781464,125.114844,16.048283,4.467071,0.084521
0.020000,121.561956,51.084560,103.290216,125.437610,16.138267,4.499204,0.075820
0.020000,124.070814,51.263622,105.805456,125.761999,16.219469,4.060099,0.066600
0.020000,126.587757,51.419294,108.327209,126.087621,16.281117,3.082380,0.056859
0.020000,129.106885,51.549853,110.849717,126.125409,1.889368,-719.587433,0.046620
0.020000,131.609031,51.653336,113.354002,125.214278,-45.556510,-2372.293924,0.035968
0.020000,134.080567,51.728770,115.826689,123.634331,-78.997386,-1672.043768,0.024978
0.020000,136.520893,51.776030,118.267473,122.039209,-79.756096,-37.935496,0.013674
0.020000,138.929395,51.795092,120.676050,120.428831,-80.518877,-38.139091,0.002082
0.020000,141.305434,51.786034,123.052106,118.802831,-81.299990,-39.055636,6.273411
0.020000,143.648360,51.749038,125.395325,117.160920,-82.095562,-39.778592,6.261315
0.020000,145.957513,51.684382,127.705383,115.502891,-82.901440,-40.293915,6.249007
0.020000,148.232227,51.592443,129.981954,113.828552,-83.716977,-40.776851,6.236512
0.020000,150.471836,51.473695,132.224709,112.137754,-84.539875,-41.144903,6.223857
0.020000,152.675682,51.328702,134.433319,110.430509,-85.362248,-41.118632,6.211068
0.020000,154.843114,51.158118,136.607454,108.706742,-86.188378,-41.306520,6.198171
0.020000,156.973499,50.962684,138.746784,106.966524,-87.010891,-41.125642,6.185192
0.020000,159.066227,50.743219,140.850988,105.210174,-87.817486,-40.329714,6.172158
0.020000,161.120708,50.500620,142.919743,103.437778,-88.619839,-40.117651,6.159095
0.020000,163.136385,50.235853,144.952735,101.649571,-89.410319,-39.523996,6.146027
