dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.058410,14.171353,0.017910,1.791045,89.552239,4477.611940,6.282292
0.020000,19.061951,14.171351,0.021451,0.177004,-80.702023,-8512.713104,6.282575
0.020000,19.067844,14.171348,0.027344,0.294651,5.882353,4329.218798,6.283047
0.020000,19.175072,14.171376,0.134572,5.361440,253.339415,12372.853101,0.000520
0.020000,19.346829,14.171538,0.306329,8.587820,161.319025,-4601.019474,0.001365
0.020000,19.556713,14.171932,0.516214,10.494250,95.321492,-3299.876643,0.002395
0.020000,19.804702,14.172676,0.764204,12.399501,95.262549,-2.947162,0.003607
0.020000,20.090767,14.173908,1.050271,14.303356,95.192768,-3.489036,0.005000
0.020000,20.414872,14.175783,1.374382,16.205554,95.109859,-4.145476,0.006571
0.020000,20.776981,14.178479,1.736501,18.105942,95.019429,-4.521471,0.008316
0.020000,21.177049,14.182190,2.136586,20.004274,94.916614,-5.140790,0.010233
0.020000,21.615028,14.187129,2.574593,21.900330,94.802760,-5.692693,0.012319
0.020000,22.090863,14.193527,3.050470,23.793878,94.677443,-6.265829,0.014568
0.020000,22.604492,14.201630,3.564164,25.684676,94.539886,-6.877849,0.016977
0.020000,23.155852,14.211699,4.115615,27.572563,94.394328,-7.277906,0.019541
0.020000,23.744869,14.224011,4.704761,29.457286,94.236139,-7.909472,0.022255
0.020000,24.371465,14.238856,5.331533,31.338612,94.066306,-8.491612,0.025113
0.020000,25.035557,14.256534,5.995860,33.216364,93.887621,-8.934299,0.028110
0.020000,25.737052,14.277359,6.697664,35.090172,93.690393,-9.861398,0.031239
0.020000,26.475854,14.301653,7.436865,36.960067,93.494757,-9.781799,0.034495
0.020000,27.251858,14.329745,8.213378,38.825620,93.277649,-10.855366,0.037869
0.020000,28.064952,14.361975,9.027111,40.686655,93.051768,-11.294079,0.041356
0.020000,28.915020,14.398684,9.877971,42.543012,92.817827,-11.697019,0.044948
0.020000,29.801939,14.440219,10.765862,44.394542,92.576482,-12.067251,0.048635
0.020000,30.725574,14.486929,11.690677,46.240751,92.310468,-13.300689,0.052412
0.020000,31.685790,14.539164,12.652312,48.081782,92.051574,-12.944706,0.056268
0.020000,32.682442,14.597273,13.650657,49.917230,91.772360,-13.960697,0.060195
0.020000,33.715380,14.661602,14.685596,51.746955,91.486270,-14.304522,0.064185
0.020000,34.784446,14.732492,15.757011,53.570719,91.188180,-14.904508,0.068226
0.020000,35.889479,14.810277,16.864778,55.388347,90.881437,-15.337129,0.072310
0.020000,37.030309,14.895286,18.008771,57.199666,90.565934,-15.775183,0.076427
0.020000,38.206765,14.987834,19.188862,59.004539,90.243652,-16.114072,0.080566
0.020000,39.418669,15.088227,20.404916,60.802744,89.910235,-16.670853,0.084716
0.020000,40.665838,15.196756,21.656799,62.594104,89.568026,-17.110454,0.088866
0.020000,41.948084,15.313695,22.944366,64.378383,89.213946,-17.703979,0.093006
0.020000,43.265221,15.439303,24.267479,66.155615,88.861569,-17.618891,0.097124
0.020000,44.617055,15.573816,25.625989,67.925510,88.494769,-18.339976,0.101208
0.020000,46.003393,15.717452,27.019747,69.687913,88.120161,-18.730423,0.105246
0.020000,47.424038,15.870402,28.448602,71.442751,87.741867,-18.914680,0.109226
0.020000,48.878794,16.032834,29.912398,73.189812,87.353083,-19.439195,0.113136
0.020000,50.367464,16.204886,31.410978,74.928987,86.958739,-19.717190,0.116962
0.020000,51.889852,16.386668,32.944180,76.660092,86.555236,-20.175183,0.120693
0.020000,53.445762,16.578259,34.511842,78.383111,86.150953,-20.214132,0.124315
0.020000,55.035003,16.779702,36.113799,80.097840,85.736448,-20.725236,0.127815
