dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.069582,14.421348,0.007987,0.798682,39.934077,1996.703861,0.000000
0.020000,19.069581,14.421348,0.007988,0.000058,-39.931161,-3993.261920,0.000000
0.020000,19.069579,14.421348,0.007990,0.000111,0.002614,1996.688768,0.000000
0.020000,19.104335,14.421348,0.042746,1.737776,86.883256,4344.032110,6.283185
0.020000,19.176210,14.421348,0.114621,3.593783,92.800384,295.856397,6.283185
0.020000,19.264057,14.421348,0.202468,4.392328,39.927241,-2643.657162,6.283184
0.020000,19.367873,14.421348,0.306285,5.190829,39.925030,-0.110565,6.283183
0.020000,19.487659,14.421348,0.426070,5.989277,39.922416,-0.130694,6.283182
0.020000,19.623412,14.421347,0.561823,6.787665,39.919399,-0.150844,6.283180
0.020000,19.775132,14.421346,0.713543,7.585985,39.915984,-0.170759,6.283177
0.020000,19.942817,14.421344,0.881228,8.384228,39.912161,-0.191119,6.283174
0.020000,20.126464,14.421342,1.064875,9.182387,39.907940,-0.211064,6.283170
0.020000,20.326073,14.421338,1.264484,9.980453,39.903316,-0.231199,6.283165
0.020000,20.541642,14.421333,1.480053,10.778419,39.898289,-0.251372,6.283159
0.020000,20.773167,14.421326,1.711578,11.576276,39.892863,-0.271296,6.283151
0.020000,21.020648,14.421317,1.959059,12.374017,39.887028,-0.291735,6.283142
0.020000,21.284080,14.421304,2.222491,13.171633,39.880802,-0.311332,6.283132
0.020000,21.563463,14.421288,2.501874,13.969116,39.874162,-0.331978,6.283119
0.020000,21.858792,14.421266,2.797203,14.766459,39.867124,-0.351878,6.283104
0.020000,22.170065,14.421238,3.108476,15.563652,39.859693,-0.371594,6.283087
0.020000,22.497279,14.421202,3.435690,16.360689,39.851841,-0.392576,6.283067
0.020000,22.840430,14.421158,3.778841,17.157561,39.843606,-0.411726,6.283044
0.020000,23.199515,14.421102,4.137926,17.954260,39.834954,-0.432605,6.283017
0.020000,23.574531,14.421034,4.512942,18.750779,39.825909,-0.452278,6.282988
0.020000,23.965473,14.420950,4.903884,19.547108,39.816458,-0.472556,6.282954
0.020000,24.372337,14.420848,5.310749,20.343240,39.806601,-0.492817,6.282916
0.020000,24.795121,14.420725,5.733532,21.139167,39.796361,-0.512018,6.282874
0.020000,25.233818,14.420578,6.172230,21.934881,39.785687,-0.533689,6.282827
0.020000,25.688426,14.420404,6.626837,22.730373,39.774633,-0.552724,6.282774
0.020000,26.158938,14.420197,7.097350,23.525637,39.763174,-0.572937,6.282716
0.020000,26.645352,14.419953,7.583763,24.320663,39.751307,-0.593336,6.282653
0.020000,27.147660,14.419668,8.086072,25.115444,39.739031,-0.613829,6.282582
0.020000,27.665860,14.419336,8.604271,25.909971,39.726382,-0.632445,6.282505
0.020000,28.199944,14.418951,9.138356,26.704237,39.713287,-0.654753,6.282421
0.020000,28.749909,14.418505,9.688321,27.498233,39.699821,-0.673297,6.282329
0.020000,29.315748,14.417993,10.254160,28.291952,39.685946,-0.693740,6.282229
0.020000,29.897455,14.417406,10.835867,29.085386,39.671660,-0.714292,6.282121
0.020000,30.495025,14.416735,11.433438,29.878525,39.656961,-0.734949,6.282003
0.020000,31.108452,14.415971,12.046865,30.671363,39.641910,-0.752567,6.281876
0.020000,31.737729,14.415104,12.676143,31.463891,39.626384,-0.776285,6.281739
0.020000,32.382851,14.414123,13.321265,32.256101,39.610501,-0.794158,6.281591
0.020000,33.043809,14.413017,13.982225,33.047985,39.594206,-0.814769,6.281432
0.020000,33.720599,14.411774,14.659015,33.839535,39.577496,-0.835496,6.281262
0.020000,34.413212,14.410379,15.351630,34.630743,39.560397,-0.854924,6.281079
0.020000,35.121643,14.408818,16.060062,35.421600,39.542884,-0.875655,6.280883
0.020000,35.845882,14.407075,16.784304,36.212100,39.524982,-0.895125,6.280675
0.020000,36.585925,14.405135,17.524349,37.002233,39.506647,-0.916706,6.280452
0.020000,37.341761,14.402980,18.280189,37.791991,39.487926,-0.936090,6.280214
0.020000,38.113385,14.400591,19.051816,38.581368,39.468807,-0.955931,6.279962
0.020000,38.900788,14.397948,19.839223,39.370353,39.449285,-0.976098,6.279694
0.020000,39.703961,14.395030,20.642402,40.158940,39.429327,-0.997923,6.279409
0.020000,40.522897,14.391814,21.461344,40.947120,39.408990,-1.016822,6.279107
0.020000,41.357587,14.388277,22.296042,41.734885,39.388258,-1.036628,6.278787
0.020000,42.208023,14.384393,23.146487,42.522227,39.367106,-1.057603,6.278448
0.020000,43.074195,14.380137,24.012669,43.309137,39.345532,-1.078664,6.278091
0.020000,43.956095,14.375478,24.894582,44.095609,39.323581,-1.097572,6.277713
0.020000,44.853713,14.370389,25.792214,44.881633,39.301203,-1.118892,6.277315
0.020000,45.767041,14.364837,26.705558,45.667202,39.278462,-1.137025,6.276896
0.020000,46.696067,14.358790,27.634604,46.452307,39.255252,-1.160536,6.276454
0.020000,47.640783,14.352212,28.579343,47.236941,39.231680,-1.178580,6.275989
0.020000,48.601178,14.345068,29.539765,48.021095,39.207713,-1.198373,6.275501
0.020000,49.577243,14.337318,30.515860,48.804761,39.183263,-1.222500,6.274988
0.020000,50.568966,14.328923,31.507619,49.587931,39.158536,-1.236345,6.274450
0.020000,51.576337,14.319840,32.515031,50.370597,39.133289,-1.262318,6.273885
0.020000,52.599345,14.310025,33.538086,51.152751,39.107685,-1.280217,6.273294
0.020000,53.637978,14.299431,34.576774,51.934384,39.081667,-1.300887,6.272675
0.020000,54.692226,14.288010,35.631083,52.715490,39.055308,-1.317990,6.272027
0.020000,55.762077,14.275712,36.701005,53.496058,39.028407,-1.345006,6.271349
0.020000,56.847518,14.262481,37.786526,54.276084,39.001267,-1.357010,6.270642
0.020000,57.948537,14.248265,38.887637,55.055556,38.973601,-1.383329,6.269902
0.020000,59.065122,14.233003,40.004327,55.834467,38.945585,-1.400797,6.269131
0.020000,60.197260,14.216637,41.136583,56.612811,38.917174,-1.420536,6.268326
0.020000,61.344938,14.199103,42.284395,57.390578,38.888372,-1.440090,6.267487
0.020000,62.508142,14.180335,43.447750,58.167761,38.859125,-1.462373,6.266613
0.020000,63.686858,14.160265,44.626637,58.944352,38.829536,-1.479429,6.265703
0.020000,64.881072,14.138822,45.821044,59.720343,38.799547,-1.499474,6.264756
0.020000,66.090770,14.115932,47.030958,60.495725,38.769146,-1.520043,6.263771
0.020000,67.315937,14.091518,48.256368,61.270493,38.738375,-1.538557,6.262746
0.020000,68.556557,14.065500,49.497261,62.044637,38.707194,-1.559027,6.261682
0.020000,69.812614,14.037795,50.753624,62.818150,38.675670,-1.576196,6.260577
0.020000,71.084093,14.008317,52.025444,63.591025,38.643734,-1.596803,6.259429
0.020000,72.370977,13.976977,53.312709,64.363254,38.611442,-1.614606,6.258239
0.020000,73.673248,13.943682,54.615406,65.134829,38.578774,-1.633411,6.257004
0.020000,74.990889,13.908335,55.933521,65.905744,38.545744,-1.651469,6.255724
0.020000,76.323881,13.870838,57.267041,66.675991,38.512341,-1.670147,6.254397
0.020000,77.672207,13.831088,58.615952,67.445563,38.478613,-1.686417,6.253023
0.020000,79.035846,13.788977,59.980241,68.214453,38.444497,-1.705817,6.251600
0.020000,80.414778,13.744396,61.359894,68.982655,38.410071,-1.721308,6.250127
0.020000,81.808984,13.697230,62.754897,69.750160,38.375287,-1.739203,6.248604
