dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.109577,38.921283,0.007986,0.798564,39.928205,1996.410240,6.279920
0.020000,19.105525,38.921295,0.012037,0.202583,-29.799069,-3486.363668,6.280251
0.020000,19.098775,38.921313,0.018787,0.337495,6.745596,1827.233220,6.280802
0.020000,19.089331,38.921332,0.028231,0.472191,6.734838,-0.537911,6.281573
0.020000,19.077200,38.921346,0.040363,0.606586,6.719745,-0.754643,6.282563
0.020000,19.105040,38.921359,0.068203,1.392006,39.271002,1627.562880,0.000587
0.020000,19.191370,38.921471,0.154533,4.316522,146.225760,5347.737890,0.002014
0.020000,19.291016,38.921754,0.254180,4.982332,33.290507,-5646.762677,0.003658
0.020000,19.403985,38.922272,0.367150,5.648485,33.307674,0.858376,0.005518
0.020000,19.530297,38.923100,0.493464,6.315720,33.361718,2.702210,0.007592
0.020000,19.669967,38.924320,0.633140,6.983803,33.404149,2.121541,0.009880
0.020000,19.823009,38.926024,0.786191,7.652557,33.437724,1.678758,0.012379
0.020000,19.989447,38.928310,0.952645,8.322698,33.507069,3.467256,0.015088
0.020000,20.169302,38.931286,1.132525,8.993983,33.564219,2.857461,0.018005
0.020000,20.362596,38.935069,1.325855,9.666527,33.627192,3.148677,0.021128
0.020000,20.569351,38.939782,1.532664,10.340455,33.696423,3.461566,0.024454
0.020000,20.789593,38.945558,1.752983,11.015902,33.772360,3.796821,0.027981
0.020000,21.023349,38.952537,1.986843,11.693011,33.855459,4.154975,0.031707
0.020000,21.270648,38.960866,2.234281,12.371935,33.946187,4.536398,0.035628
0.020000,21.531518,38.970702,2.495336,13.052749,34.040704,4.725855,0.039741
0.020000,21.805977,38.982207,2.770037,13.735040,34.114541,3.691812,0.044043
0.020000,22.094072,38.995553,3.058441,14.420180,34.256996,7.122780,0.048531
0.020000,22.395825,39.010916,3.360584,15.107167,34.349331,4.616751,0.053202
0.020000,22.711268,39.028482,3.676516,15.796599,34.471631,6.115000,0.058050
0.020000,23.040432,39.048442,4.006285,16.488454,34.592741,6.055491,0.063072
0.020000,23.383360,39.070995,4.349954,17.183437,34.749139,7.819893,0.068265
0.020000,23.740062,39.096345,4.707555,17.880070,34.831656,4.125829,0.073622
0.020000,24.110588,39.124703,5.079165,18.580465,35.019759,9.405172,0.079140
0.020000,24.494968,39.156286,5.464840,19.283780,35.165747,7.299404,0.084814
0.020000,24.893233,39.191316,5.864643,19.990132,35.317588,7.592025,0.090639
0.020000,25.305413,39.230021,6.278636,20.699675,35.477147,7.977959,0.096609
0.020000,25.731539,39.272634,6.706888,21.412571,35.644815,8.383412,0.102718
0.020000,26.171642,39.319392,7.149468,22.128990,35.820930,8.805769,0.108962
0.020000,26.625753,39.370537,7.606450,22.849105,36.005776,9.242272,0.115333
0.020000,27.093904,39.426315,8.077912,23.573097,36.199577,9.690047,0.121827
0.020000,27.576120,39.486976,8.563928,24.300827,36.386530,9.347678,0.128437
0.020000,28.072410,39.552771,9.064561,25.031639,36.540591,7.703049,0.135156
0.020000,28.582829,39.623958,9.579920,25.767933,36.814714,13.706149,0.141978
0.020000,29.107375,39.700794,10.110063,26.507183,36.962475,7.388044,0.148896
0.020000,29.646086,39.783539,10.655092,27.251445,37.213117,12.532096,0.155903
0.020000,30.198964,39.872454,11.215074,27.999089,37.382193,8.453783,0.162993
0.020000,30.766051,39.967806,11.790122,28.752376,37.664341,14.107414,0.170158
0.020000,31.347331,40.069853,12.380291,29.508497,37.806056,7.085734,0.177390
0.020000,31.942832,40.178861,12.985687,30.269793,38.064813,12.937868,0.184684
0.020000,32.552569,40.295094,13.606404,31.035845,38.302601,11.889412,0.192031
0.020000,33.176547,40.418815,14.242529,31.806229,38.519186,10.829244,0.199425
0.020000,33.814767,40.550285,14.894149,32.581017,38.739416,11.011474,0.206857
0.020000,34.467231,40.689762,15.561355,33.360281,38.963199,11.189157,0.214320
0.020000,35.133939,40.837505,16.244237,34.144089,39.190383,11.359197,0.221808
0.020000,35.814889,40.993769,16.942887,34.932504,39.420757,11.518710,0.229312
0.020000,36.510080,41.158804,17.657398,35.725585,39.654058,11.665039,0.236825
0.020000,37.219507,41.332862,18.387866,36.523385,39.889973,11.795762,0.244340
0.020000,37.943144,41.516180,19.134361,37.324757,40.068624,8.932531,0.251850
0.020000,38.680978,41.708998,19.896974,38.130650,40.294658,11.301740,0.259347
0.020000,39.433024,41.911557,20.675821,38.942358,40.585399,14.537007,0.266824
0.020000,40.199219,42.124073,21.470943,39.756059,40.685002,4.980167,0.274275
0.020000,40.979587,42.346782,22.282468,40.576271,41.010628,16.281327,0.281692
0.020000,41.774066,42.579887,23.110439,41.398535,41.113199,5.128527,0.289069
0.020000,42.582678,42.823611,23.954983,42.227222,41.434341,16.057086,0.296399
0.020000,43.405348,43.078141,24.816128,43.057263,41.502037,3.384829,0.303675
0.020000,44.242082,43.343680,25.693986,43.892891,41.781442,13.970249,0.310891
0.020000,45.092855,43.620417,26.588636,44.732469,41.978861,9.870923,0.318041
0.020000,45.957633,43.908529,27.500145,45.575480,42.150563,8.585119,0.325119
0.020000,46.836373,44.208181,28.428572,46.421318,42.291893,7.066510,0.332119
0.020000,47.729054,44.519537,29.373993,47.271067,42.487468,9.778717,0.339035
0.020000,48.635653,44.842752,30.336484,48.124576,42.675428,9.398018,0.345861
0.020000,49.556142,45.177969,31.316112,48.981369,42.839672,8.212208,0.352593
0.020000,50.490493,45.525323,32.312940,49.841407,43.001868,8.109795,0.359224
0.020000,51.438671,45.884935,33.327022,50.704109,43.135110,6.662106,0.365751
0.020000,52.400647,46.256918,34.358415,51.569637,43.276408,7.064899,0.372167
0.020000,53.376412,46.641384,35.407190,52.438778,43.457040,9.031594,0.378468
0.020000,54.365947,47.038429,36.473410,53.310999,43.611065,7.701258,0.384650
0.020000,55.369232,47.448137,37.557127,54.185807,43.740405,6.466981,0.390709
0.020000,56.386219,47.870571,38.658359,55.061648,43.792042,2.581856,0.396638
0.020000,57.416942,48.305814,39.777210,55.942517,44.043461,12.570976,0.402436
0.020000,58.461356,48.753906,40.913690,56.824010,44.074660,1.559941,0.408096
0.020000,59.519478,49.214901,42.067873,57.709150,44.256971,9.115534,0.413617
0.020000,60.591288,49.688823,43.239786,58.595639,44.324462,3.374543,0.418993
0.020000,61.676818,50.175709,44.429505,59.485976,44.516847,9.619253,0.424220
0.020000,62.776030,50.675550,45.637027,60.376071,44.504777,-0.603499,0.429296
0.020000,63.888980,51.188366,46.862440,61.270652,44.729039,11.213121,0.434217
0.020000,65.015680,51.714145,48.105781,62.167075,44.821134,4.604719,0.438978
0.020000,66.156136,52.252858,49.367071,63.064467,44.869585,2.422571,0.443577
0.020000,67.310392,52.804478,50.646364,63.964650,45.009162,6.978855,0.448010
0.020000,68.478491,53.368966,51.943708,64.867223,45.128673,5.975529,0.452274
0.020000,69.660479,53.946268,53.259144,65.771810,45.229332,5.032984,0.456364
0.020000,70.856408,54.536320,54.592714,66.678468,45.332899,5.178325,0.460278
0.020000,72.066341,55.139045,55.944459,67.587259,45.439539,5.332003,0.464012
0.020000,73.290349,55.754356,57.314424,68.498247,45.549396,5.492829,0.467563
0.020000,74.528513,56.382155,58.702654,69.411498,45.662590,5.659703,0.470926
0.020000,75.780924,57.022331,60.109195,70.327083,45.779222,5.831606,0.474099
0.020000,77.047676,57.674759,61.534089,71.244671,45.879381,5.007956,0.477077
0.020000,78.328874,58.339302,62.977379,72.164514,45.992178,5.639849,0.479856
0.020000,79.624652,59.015817,64.439129,73.087494,46.148989,7.840541,0.482433
0.020000,80.935140,59.704142,65.919389,74.013010,46.275824,6.341753,0.484803
0.020000,82.260465,60.404094,67.418195,74.940287,46.363810,4.399293,0.486962
0.020000,83.600804,61.115495,68.935627,75.871594,46.565394,10.079224,0.488905
0.020000,84.956307,61.838132,70.471723,76.804823,46.661444,4.802502,0.490627
0.020000,86.327171,62.571795,72.026565,77.742070,46.862352,10.045369,0.492124
0.020000,87.713577,63.316242,73.600198,78.681643,46.978653,5.815062,0.493390
