dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.090934,39.171330,0.017910,1.791045,89.552239,4477.611940,6.281477
0.020000,19.081181,39.171343,0.027664,0.487687,-65.167913,-7736.007578,6.282257
0.020000,19.090555,39.171352,0.037039,0.468717,-0.948477,3210.971799,0.000372
0.020000,19.193171,39.171484,0.139655,5.130806,233.104432,11702.645432,0.002192
0.020000,19.325106,39.171927,0.271590,6.596762,73.297840,-7990.329580,0.004534
0.020000,19.486340,39.172889,0.432828,8.061886,73.256202,-2.081933,0.007396
0.020000,19.676878,39.174621,0.623373,9.527290,73.270198,0.699836,0.010779
0.020000,19.896705,39.177419,0.843218,10.992204,73.245701,-1.224876,0.014684
0.020000,20.145811,39.181629,1.092359,12.457080,73.243789,-0.095608,0.019111
0.020000,20.424190,39.187639,1.370804,13.922231,73.257543,0.687738,0.024059
0.020000,20.731826,39.195883,1.678549,15.387284,73.252660,-0.244180,0.029528
0.020000,21.068716,39.206844,2.015618,16.853446,73.308105,2.772259,0.035518
0.020000,21.434845,39.221047,2.382022,18.320199,73.337608,1.475167,0.042027
0.020000,21.830186,39.239063,2.777774,19.787573,73.368736,1.556386,0.049053
0.020000,22.254738,39.261511,3.202919,21.257266,73.484649,5.795638,0.056593
0.020000,22.708493,39.289051,3.657509,22.729492,73.611267,6.330926,0.064644
0.020000,23.191427,39.322390,4.141592,24.204156,73.733233,6.098269,0.073201
0.020000,23.703528,39.362276,4.655244,25.682594,73.921905,9.433635,0.082258
0.020000,24.244785,39.409504,5.198557,27.165677,74.154118,11.610634,0.091808
0.020000,24.815186,39.464909,5.771643,28.654255,74.428915,13.739858,0.101841
0.020000,25.414725,39.529365,6.374637,30.149719,74.773190,17.213762,0.112348
0.020000,26.043390,39.603790,7.007692,31.652771,75.152627,18.971832,0.123315
0.020000,26.701180,39.689138,7.670996,33.165191,75.620998,23.418534,0.134728
0.020000,27.388084,39.786398,8.364752,34.687777,76.129264,25.413295,0.146570
0.020000,28.104113,39.896598,9.089211,36.222961,76.759210,31.497300,0.158822
0.020000,28.849258,40.020793,9.844635,37.771211,77.412525,32.665764,0.171462
0.020000,29.623527,40.160070,10.631331,39.334790,78.178953,38.321419,0.184466
0.020000,30.426930,40.315541,11.449639,40.915404,79.030691,42.586865,0.197807
0.020000,31.259475,40.488340,12.299927,42.514388,79.949171,45.924025,0.211455
0.020000,32.121170,40.679620,13.182597,44.133530,80.957107,50.396789,0.225378
0.020000,33.012040,40.890546,14.098096,45.774945,82.070767,55.683006,0.239541
0.020000,33.932092,41.122292,15.046886,47.439487,83.227110,57.817144,0.253905
0.020000,34.881349,41.376033,16.029471,49.129251,84.488180,63.053489,0.268432
0.020000,35.859829,41.652944,17.046379,50.845416,85.808255,66.003741,0.283079
0.020000,36.867558,41.954186,18.098171,52.589560,87.207192,69.946863,0.297800
0.020000,37.904557,42.280903,19.185420,54.362485,88.646248,71.952788,0.312551
0.020000,38.970855,42.634215,20.308728,56.165375,90.144527,74.913954,0.327282
0.020000,40.066483,43.015210,21.468710,57.999087,91.685576,77.052458,0.341946
0.020000,41.191476,43.424932,22.665991,59.864071,93.249200,78.181231,0.356491
0.020000,42.345880,43.864379,23.901208,61.760862,94.839573,79.518649,0.370866
0.020000,43.529749,44.334489,25.175002,63.689678,96.440799,80.061288,0.385022
0.020000,44.743152,44.836136,26.488012,65.650519,98.042053,80.062694,0.398905
0.020000,45.986176,45.370121,27.840879,67.643346,99.641328,79.963765,0.412466
0.020000,47.258932,45.937165,29.234237,69.667891,101.227255,79.296345,0.425654
0.020000,48.561559,46.537896,30.668710,71.723672,102.789066,78.090544,0.438417
0.020000,49.894233,47.172853,32.144919,73.810445,104.338612,77.477297,0.450708
0.020000,51.257175,47.842470,33.663470,75.927547,105.855126,75.825718,0.462477
0.020000,52.650656,48.547073,35.224961,78.074536,107.349458,74.716569,0.473676
0.020000,54.075003,49.286877,36.829977,80.250794,108.812874,73.170813,0.484259
0.020000,55.530620,50.061976,38.479098,82.456041,110.262357,72.474145,0.494180
0.020000,57.017985,50.872341,40.172893,84.689781,111.686989,71.231597,0.503392
0.020000,58.537665,51.717814,41.911931,86.951891,113.105516,70.926336,0.511851
0.020000,60.090327,52.598101,43.696774,89.242147,114.512778,70.363094,0.519511
0.020000,61.676750,53.512768,45.527991,91.560844,115.934882,71.105227,0.526327
0.020000,63.297833,54.461235,47.406155,93.908194,117.367471,71.629469,0.532253
0.020000,64.954609,55.442765,49.331851,96.284823,118.831448,73.198851,0.537242
0.020000,66.648253,56.456457,51.305680,98.691451,120.331443,74.999732,0.541246
0.020000,68.380099,57.501237,53.328267,101.129335,121.894204,78.138028,0.544215
0.020000,70.151648,58.575844,55.400263,103.599793,123.522873,81.433468,0.546097
0.020000,71.964580,59.678814,57.522353,106.104502,125.235428,85.627734,0.546837
0.020000,73.820767,60.808464,59.695263,108.645509,127.050385,90.747865,0.546377
0.020000,75.722282,61.962867,61.919764,111.225063,128.977692,96.365363,0.544656
0.020000,77.671409,63.139831,64.196678,113.845713,131.032504,102.740577,0.541607
0.020000,79.670651,64.336865,66.526884,116.510296,133.229127,109.831173,0.537161
0.020000,81.722736,65.551144,68.911318,119.221705,135.570459,117.066598,0.531242
0.020000,83.830616,66.779470,71.350979,121.983039,138.066732,124.813626,0.523770
0.020000,85.997467,68.018223,73.846926,124.797319,140.713955,132.361140,0.514661
0.020000,88.210043,69.254137,76.381285,126.717950,96.031590,-2234.118238,0.503911
0.020000,90.454302,70.473960,78.935627,127.717140,49.959478,-2303.605607,0.491562
0.020000,92.732325,71.673580,81.510210,128.729138,50.599881,32.020154,0.477594
0.020000,95.046094,72.848656,84.105270,129.752980,51.192113,29.611636,0.461987
0.020000,97.397442,73.994607,86.720999,130.786457,51.673865,24.087590,0.444726
0.020000,99.787990,75.106597,89.357520,131.826065,51.980413,15.327379,0.425801
0.020000,102.219086,76.179543,92.014857,132.866847,52.039069,2.932807,0.405211
0.020000,104.691725,77.208123,94.692901,133.902214,51.768354,-13.535737,0.382963
0.020000,107.206475,78.186804,97.391379,134.923879,51.083234,-34.256027,0.359079
0.020000,109.763390,79.109891,100.109817,135.921901,49.901147,-59.104333,0.333598
0.020000,112.361936,79.971590,102.847511,136.884698,48.139850,-88.064860,0.306576
0.020000,115.000916,80.766101,105.603497,137.799306,45.730400,-120.472497,0.278090
0.020000,117.678413,81.487722,108.376533,138.651780,42.623666,-155.336676,0.248238
0.020000,120.391760,82.130984,111.165088,139.427760,38.799030,-191.231813,0.217145
0.020000,123.137532,82.690789,113.967345,140.112860,34.254996,-227.201731,0.184955
0.020000,125.911581,83.162559,116.781224,140.693959,29.054954,-260.002091,0.151834
0.020000,128.709124,83.542385,119.604434,141.160488,23.326442,-286.425569,0.117966
0.020000,131.524815,83.827143,122.434488,141.502678,17.109481,-310.848045,0.083551
