dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.069578,26.671348,0.007998,0.799808,39.990417,1999.520828,6.282610
0.020000,19.069578,26.671348,0.031992,1.599617,39.990417,0.000000,6.282695
0.020000,19.069578,26.671348,0.071983,2.399425,39.990417,0.000000,6.282836
0.020000,19.069578,26.671348,0.127969,3.199233,39.990417,-0.000000,6.283033
0.020000,19.098295,26.671350,0.199952,3.999042,39.990417,0.000000,0.000101
0.020000,19.186274,26.671372,0.287931,4.798850,39.990417,-0.000000,0.000411
0.020000,19.290249,26.671434,0.391906,5.598658,39.990417,0.000000,0.000776
0.020000,19.410219,26.671552,0.511877,6.398467,39.990417,-0.000000,0.001197
0.020000,19.546188,26.671747,0.647845,7.198275,39.990417,0.000000,0.001674
0.020000,19.698151,26.672042,0.799808,7.998083,39.990417,0.000000,0.002206
0.020000,19.866110,26.672462,0.967768,8.797892,39.990417,-0.000000,0.002792
0.020000,20.050065,26.673035,1.151724,9.597700,39.990417,-0.000000,0.003434
0.020000,20.250015,26.673791,1.351676,10.397508,39.990417,0.000000,0.004130
0.020000,20.465962,26.674764,1.567624,11.197317,39.990417,0.000000,0.004880
0.020000,20.697903,26.675989,1.799569,11.997125,39.990417,-0.000000,0.005683
0.020000,20.945838,26.677504,2.047509,12.796933,39.990417,0.000000,0.006540
0.020000,21.209769,26.679350,2.311446,13.596742,39.990417,0.000000,0.007449
0.020000,21.489693,26.681570,2.591379,14.396550,39.990417,0.000000,0.008411
0.020000,21.785610,26.684209,2.887308,15.196358,39.990417,0.000000,0.009425
0.020000,22.097520,26.687315,3.199233,15.996167,39.990417,0.000000,0.010490
0.020000,22.425422,26.690938,3.527155,16.795975,39.990417,-0.000000,0.011605
0.020000,22.769314,26.695130,3.871072,17.595783,39.990417,0.000000,0.012770
0.020000,23.129195,26.699944,4.230986,18.395592,39.990417,-0.000000,0.013985
0.020000,23.505064,26.705439,4.606896,19.195400,39.990417,0.000000,0.015249
0.020000,23.896921,26.711672,4.998802,19.995208,39.990417,0.000000,0.016561
0.020000,24.304763,26.718704,5.406704,20.795017,39.990417,-0.000000,0.017920
0.020000,24.728587,26.726598,5.830603,21.594825,39.990417,0.000000,0.019325
0.020000,25.168394,26.735418,6.270497,22.394633,39.990417,0.000000,0.020777
0.020000,25.624179,26.745231,6.726388,23.194442,39.990417,-0.000000,0.022273
0.020000,26.095940,26.756104,7.198275,23.994250,39.990417,0.000000,0.023813
0.020000,26.583675,26.768107,7.686158,24.794058,39.990417,0.000000,0.025397
0.020000,27.087381,26.781313,8.190037,25.593867,39.990417,-0.000000,0.027023
0.020000,27.607055,26.795793,8.709913,26.393675,39.990417,0.000000,0.028690
0.020000,28.142693,26.811623,9.245784,27.193483,39.990417,-0.000000,0.030398
0.020000,28.694291,26.828878,9.797652,27.993292,39.990417,0.000000,0.032144
0.020000,29.261845,26.847636,10.365516,28.793100,39.990417,-0.000000,0.033930
0.020000,29.845350,26.867975,10.949376,29.592908,39.990417,0.000000,0.035752
0.020000,30.444803,26.889974,11.549232,30.392717,39.990417,-0.000000,0.037610
0.020000,31.060197,26.913714,12.165085,31.192525,39.990417,0.000000,0.039503
0.020000,31.691528,26.939276,12.796933,31.992333,39.990417,0.000000,0.041430
0.020000,32.338791,26.966743,13.444778,32.792142,39.990417,-0.000000,0.043389
0.020000,33.001978,26.996198,14.108619,33.591950,39.990417,0.000000,0.045379
0.020000,33.681083,27.027725,14.788456,34.391758,39.990417,0.000000,0.047399
0.020000,34.376101,27.061407,15.484289,35.191567,39.990417,0.000000,0.049447
0.020000,35.087023,27.097329,16.196119,35.991375,39.990417,-0.000000,0.051522
0.020000,35.813842,27.135577,16.923944,36.791183,39.990417,0.000000,0.053624
0.020000,36.556552,27.176235,17.667766,37.590992,39.990417,0.000000,0.055749
0.020000,37.315143,27.219388,18.427584,38.390800,39.990417,0.000000,0.057897
0.020000,38.089608,27.265122,19.203398,39.190608,39.990417,0.000000,0.060066
0.020000,38.879937,27.313521,19.995208,39.990417,39.990417,0.000000,0.062255
0.020000,39.686123,27.364670,20.803015,40.790225,39.990417,-0.000000,0.064462
0.020000,40.508155,27.418653,21.626817,41.590033,39.990417,0.000000,0.066686
0.020000,41.346023,27.475554,22.466616,42.389842,39.990417,0.000000,0.068924
0.020000,42.199719,27.535455,23.322411,43.189650,39.990417,0.000000,0.071175
0.020000,43.069232,27.598438,24.194202,43.989458,39.990417,0.000000,0.073438
0.020000,43.954551,27.664585,25.081989,44.789267,39.990417,0.000000,0.075710
