dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.062532,14.421350,0.007998,0.799808,39.990417,1999.520828,6.282610
0.020000,19.063569,14.421350,0.009035,0.051821,-37.399348,-3869.488239,6.282695
0.020000,19.065295,14.421349,0.010761,0.086339,1.725886,1956.261721,6.282836
0.020000,19.067712,14.421348,0.013178,0.120812,1.723647,-0.111981,6.283033
0.020000,19.099533,14.421350,0.044999,1.591086,73.513674,3589.501367,0.000101
0.020000,19.191304,14.421373,0.136770,4.588524,149.871917,3817.912130,0.000411
0.020000,19.299755,14.421438,0.245221,5.422547,41.701135,-5408.539090,0.000776
0.020000,19.424883,14.421561,0.370349,6.256431,41.694237,-0.344908,0.001197
0.020000,19.566690,14.421765,0.512156,7.090333,41.695084,0.042395,0.001674
0.020000,19.725169,14.422072,0.670635,7.923959,41.681319,-0.688279,0.002206
0.020000,19.900317,14.422510,0.845784,8.757438,41.673911,-0.370402,0.002792
0.020000,20.092131,14.423107,1.037599,9.590735,41.664887,-0.451176,0.003434
0.020000,20.300605,14.423895,1.246075,10.423821,41.654271,-0.530834,0.004130
0.020000,20.525738,14.424909,1.471210,11.256745,41.646190,-0.404032,0.004880
0.020000,20.767523,14.426186,1.712998,12.089413,41.633442,-0.637387,0.005683
0.020000,21.025953,14.427766,1.971433,12.921721,41.615373,-0.903480,0.006540
0.020000,21.301025,14.429690,2.246512,13.753948,41.611339,-0.201693,0.007449
0.020000,21.592729,14.432004,2.538225,14.585686,41.586944,-1.219755,0.008411
0.020000,21.901062,14.434753,2.846570,15.417232,41.577282,-0.483073,0.009425
0.020000,22.226014,14.437989,3.171539,16.248442,41.560473,-0.840448,0.010490
0.020000,22.567579,14.441763,3.513124,17.079258,41.540826,-0.982342,0.011605
0.020000,22.925747,14.446128,3.871318,17.909718,41.523006,-0.891010,0.012770
0.020000,23.300509,14.451142,4.246114,18.739790,41.503581,-0.971259,0.013985
0.020000,23.691856,14.456863,4.637503,19.569442,41.482595,-1.049282,0.015249
0.020000,24.099779,14.463352,5.045478,20.398739,41.464866,-0.886455,0.016561
0.020000,24.524267,14.470671,5.470028,21.227532,41.439663,-1.260152,0.017920
0.020000,24.965306,14.478885,5.911145,22.055816,41.414172,-1.274585,0.019325
0.020000,25.422889,14.488062,6.368819,22.883731,41.395753,-0.920912,0.020777
0.020000,25.897000,14.498269,6.843040,23.711039,41.365415,-1.516923,0.022273
0.020000,26.387626,14.509577,7.333797,24.537828,41.339459,-1.297801,0.023813
0.020000,26.894755,14.522058,7.841079,25.364121,41.314645,-1.240682,0.025397
0.020000,27.418372,14.535785,8.364876,26.189834,41.285637,-1.450394,0.027023
0.020000,27.958461,14.550835,8.905174,27.014932,41.254896,-1.537060,0.028690
0.020000,28.515007,14.567282,9.461963,27.839442,41.225528,-1.468414,0.030398
0.020000,29.087993,14.585207,10.035230,28.663339,41.194852,-1.533804,0.032144
0.020000,29.677402,14.604687,10.624961,29.486539,41.159994,-1.742869,0.033930
0.020000,30.283215,14.625803,11.231142,30.309055,41.125763,-1.711567,0.035752
0.020000,30.905416,14.648637,11.853761,31.130971,41.095833,-1.496518,0.037610
0.020000,31.543982,14.673270,12.492803,31.952064,41.054617,-2.060805,0.039503
0.020000,32.198895,14.699788,13.148252,32.772478,41.020729,-1.694404,0.041430
0.020000,32.870134,14.728272,13.820095,33.592142,40.983193,-1.876789,0.043389
0.020000,33.557676,14.758809,14.508315,34.410994,40.942590,-2.030119,0.045379
0.020000,34.261499,14.791483,15.212896,35.229053,40.902962,-1.981403,0.047399
0.020000,34.981580,14.826379,15.933822,36.046290,40.861859,-2.055167,0.049447
0.020000,35.717894,14.863585,16.671075,36.862677,40.819357,-2.125119,0.051522
0.020000,36.470417,14.903185,17.424639,37.678202,40.776238,-2.155923,0.053624
0.020000,37.239123,14.945266,18.194497,38.492870,40.733403,-2.141737,0.055749
0.020000,38.023986,14.989914,18.980628,39.306565,40.684719,-2.434206,0.057897
0.020000,38.824978,15.037214,19.783016,40.119388,40.641147,-2.178589,0.060066
0.020000,39.642071,15.087252,20.601640,40.931201,40.590677,-2.523523,0.062255
0.020000,40.475238,15.140113,21.436482,41.742089,40.544412,-2.313250,0.064462
0.020000,41.324448,15.195881,22.287521,42.551958,40.493455,-2.547832,0.066686
0.020000,42.189671,15.254639,23.154737,43.360805,40.442327,-2.556420,0.068924
0.020000,43.070877,15.316470,24.038109,44.168616,40.390531,-2.589781,0.071175
0.020000,43.968034,15.381456,24.937616,44.975365,40.337477,-2.652734,0.073438
