dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.072583,285.588998,0.007953,0.795302,39.765093,1988.254655,0.000245
0.020000,19.071899,285.588997,0.008637,0.034210,-38.054585,-3890.983882,0.000189
0.020000,19.070757,285.588997,0.009779,0.057099,1.144440,1959.951249,0.000096
0.020000,19.083855,285.588997,0.022878,0.654928,29.891463,1437.351107,6.283151
0.020000,19.153367,285.588989,0.092389,3.475578,141.032464,5557.050080,6.282982
0.020000,19.238316,285.588963,0.177339,4.247464,38.594324,-5121.907022,6.282775
0.020000,19.338697,285.588909,0.277720,5.019052,38.579395,-0.746446,6.282530
0.020000,19.454504,285.588817,0.393526,5.790332,38.563995,-0.769971,6.282245
0.020000,19.585728,285.588672,0.524751,6.561217,38.544277,-0.985929,6.281920
0.020000,19.732361,285.588460,0.671384,7.331662,38.522223,-1.102701,6.281555
0.020000,19.894396,285.588163,0.833419,8.101745,38.504151,-0.903607,6.281149
0.020000,20.071817,285.587762,1.010841,8.871114,38.468441,-1.785494,6.280700
0.020000,20.264616,285.587235,1.203641,9.639980,38.443321,-1.255983,6.280208
0.020000,20.472780,285.586560,1.411806,10.408259,38.413953,-1.468431,6.279672
0.020000,20.696294,285.585710,1.635321,11.175759,38.374980,-1.948627,6.279091
0.020000,20.935143,285.584657,1.874172,11.942562,38.340184,-1.739821,6.278463
0.020000,21.189311,285.583371,2.128344,12.708591,38.301443,-1.937005,6.277787
0.020000,21.458779,285.581818,2.397816,13.473618,38.251326,-2.505866,6.277062
0.020000,21.743532,285.579964,2.682575,14.237945,38.216349,-1.748853,6.276286
0.020000,22.043547,285.577770,2.982598,15.001125,38.159011,-2.866920,6.275458
0.020000,22.358803,285.575195,3.297865,15.763342,38.110867,-2.407187,6.274576
0.020000,22.689279,285.572195,3.628355,16.524501,38.057932,-2.646762,6.273638
0.020000,23.034952,285.568723,3.974045,17.284502,38.000053,-2.893949,6.272642
0.020000,23.395795,285.564729,4.334910,18.043243,37.937072,-3.149015,6.271587
0.020000,23.771783,285.560158,4.710926,18.800803,37.877974,-2.954936,6.270470
0.020000,24.162887,285.554954,5.102065,19.556950,37.807358,-3.530786,6.269289
0.020000,24.569081,285.549057,5.508301,20.311830,37.743985,-3.168661,6.268042
0.020000,24.990331,285.542401,5.929604,21.065136,37.665315,-3.933484,6.266727
