dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.235392,309.658995,0.020000,2.000000,100.000000,5000.000000,6.282625
0.020000,16.230771,309.658997,0.024621,0.231029,-88.448564,-9422.428202,6.283016
0.020000,16.297101,309.659014,0.090950,3.316473,154.272212,12136.038795,0.000479
0.020000,16.426449,309.659134,0.220298,6.467414,157.547072,163.742998,0.001381
0.020000,16.592881,309.659460,0.386730,8.321600,92.709266,-3241.890301,0.002529
0.020000,16.796501,309.660116,0.590351,10.181043,92.972140,13.143724,0.003914
0.020000,17.037424,309.661254,0.831277,12.046302,93.262960,14.540999,0.005528
0.020000,17.315792,309.663048,1.109651,13.918670,93.618436,17.773790,0.007358
0.020000,17.631757,309.665695,1.425627,15.798835,94.008249,19.490645,0.009390
0.020000,17.985502,309.669411,1.779392,17.688240,94.470241,23.099609,0.011610
0.020000,18.377219,309.674430,2.171141,19.587445,94.960222,24.499029,0.014000
0.020000,18.807122,309.680998,2.601094,21.497626,95.509078,27.442789,0.016542
0.020000,19.275435,309.689376,3.069482,23.419402,96.088772,28.984730,0.019216
0.020000,19.782406,309.699831,3.576560,25.353937,96.726750,31.898871,0.022002
0.020000,20.328291,309.712633,4.122596,27.301783,97.392316,33.278329,0.024875
0.020000,20.913367,309.728057,4.707875,29.263972,98.109437,35.856052,0.027812
0.020000,21.537917,309.746371,5.332693,31.240904,98.846599,36.858075,0.030789
0.020000,22.202244,309.767835,5.997367,33.233680,99.638831,39.611637,0.033778
0.020000,22.906661,309.792697,6.702223,35.242778,100.454906,40.803750,0.036751
0.020000,23.651496,309.821189,7.447603,37.269011,101.311635,42.836449,0.039680
0.020000,24.437087,309.853516,8.233858,39.312778,102.188337,43.835082,0.042535
0.020000,25.263791,309.889857,9.061360,41.375095,103.115845,46.375375,0.045284
0.020000,26.131975,309.930355,9.930489,43.456424,104.066462,47.530852,0.047896
0.020000,27.042022,309.975112,10.841636,45.557350,105.046305,48.992192,0.050337
0.020000,27.994334,310.024182,11.795212,47.678792,106.072097,51.289580,0.052572
0.020000,28.989331,310.077564,12.791639,49.821362,107.128513,52.820808,0.054567
0.020000,30.027448,310.135192,13.831354,51.985765,108.220157,54.582209,0.056283
0.020000,31.109148,310.196932,14.914815,54.173016,109.362550,57.119626,0.057682
0.020000,32.234914,310.262569,16.042493,56.383907,110.544503,59.097634,0.058725
0.020000,33.405260,310.331798,17.214885,58.619606,111.784967,62.023234,0.059368
0.020000,34.620729,310.404214,18.432508,60.881179,113.078668,64.685044,0.059569
0.020000,35.881895,310.479301,19.695908,63.169967,114.439405,68.036840,0.059282
0.020000,37.189371,310.556418,21.005657,65.487454,115.874339,71.746710,0.058457
0.020000,38.543812,310.634789,22.362363,67.835322,117.393374,75.951726,0.057044
0.020000,39.945916,310.713481,23.766673,70.215484,119.008135,80.738074,0.054987
0.020000,41.396427,310.791392,25.219275,72.630094,120.730465,86.116510,0.052229
0.020000,42.896142,310.867229,26.720906,75.081568,122.573732,92.163341,0.048707
0.020000,44.445914,310.939485,28.272362,77.572806,124.561868,99.406807,0.044353
0.020000,46.046655,311.006418,29.874502,80.106963,126.707880,107.300592,0.039096
0.020000,47.699324,311.066015,31.528245,82.687184,129.011035,115.157742,0.032857
0.020000,49.404953,311.115965,33.234605,85.317988,131.540180,126.457240,0.025550
0.020000,51.164616,311.153621,34.994671,88.003290,134.265102,136.246104,0.017084
0.020000,52.979438,311.175955,36.809630,90.747966,137.233841,148.436971,0.007358
0.020000,54.850578,311.179511,38.680774,93.557196,140.461472,161.381515,6.279447
0.020000,56.779221,311.160353,40.609512,96.436893,143.984869,176.169888,6.266862
0.020000,58.766531,311.114003,42.597363,99.392546,147.782618,189.887425,6.252661
0.020000,60.813622,311.035373,44.645963,102.430006,151.873043,204.521252,6.236703
0.020000,62.921508,310.918702,46.757075,105.555614,156.280383,220.367015,6.218840
0.020000,65.091003,310.757474,48.932553,108.773874,160.912985,231.630102,6.198915
0.020000,67.322639,310.544357,51.174343,112.089496,165.781087,243.405110,6.176763
0.020000,69.593722,310.274134,53.461445,114.355115,113.280985,-2625.005136,6.152469
0.020000,71.880343,309.943248,55.771882,115.521867,58.337612,-2747.168609,6.126199
0.020000,74.180473,309.546092,58.106048,116.708284,59.320839,49.161314,6.097921
0.020000,76.491391,309.076994,60.464097,117.902458,59.708679,19.391987,6.067622
0.020000,78.809589,308.530343,62.845875,119.088921,59.323177,-19.275077,6.035314
0.020000,81.130697,307.900748,65.250856,120.249049,58.006376,-65.840025,6.001041
0.020000,83.449432,307.183236,67.678068,121.360576,55.576352,-121.501205,5.964887
0.020000,85.759592,306.373474,70.126038,122.398485,51.895458,-184.044704,5.926975
0.020000,88.054119,305.468009,72.592760,123.336092,46.880326,-250.756592,5.887476
0.020000,90.325225,304.464505,75.075690,124.146532,40.522022,-317.915218,5.846604
0.020000,92.564607,303.361943,77.571782,124.804590,32.902919,-380.955167,5.804617
0.020000,94.763733,302.160762,80.077574,125.289597,24.250332,-432.629355,5.761810
0.020000,96.914164,300.862922,82.589295,125.586050,14.822627,-471.385212,5.718500
0.020000,99.007907,299.471862,85.103018,125.686151,5.005085,-490.877102,5.675022
0.020000,101.037740,297.992368,87.614816,125.589894,-4.812853,-490.896919,5.631706
