dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,16.223711,286.018998,0.012000,1.200000,60.000000,3000.000000,6.282757
0.020000,16.225656,286.018998,0.013945,0.097263,-55.136849,-5756.842446,6.282922
0.020000,16.231003,286.018997,0.019292,0.267329,8.503293,3182.007077,0.000010
0.020000,16.319502,286.019015,0.107791,4.424973,207.882201,9968.945427,0.000390
0.020000,16.433249,286.019087,0.221538,5.687351,63.118905,-7238.164785,0.000877
0.020000,16.572213,286.019250,0.360502,6.948196,63.042226,-3.833976,0.001466
0.020000,16.736355,286.019547,0.524644,8.207084,62.944442,-4.889213,0.002155
0.020000,16.925635,286.020029,0.713925,9.464068,62.849205,-4.761825,0.002940
0.020000,17.140004,286.020754,0.928295,10.718477,62.720448,-6.437856,0.003817
0.020000,17.379403,286.021783,1.167696,11.970072,62.579723,-7.036256,0.004782
0.020000,17.643773,286.023186,1.432070,13.218684,62.430621,-7.455089,0.005829
0.020000,17.933044,286.025035,1.721347,14.463873,62.259421,-8.559994,0.006952
0.020000,18.247144,286.027407,2.035456,15.705427,62.077728,-9.084678,0.008145
0.020000,18.585989,286.030381,2.374314,16.942903,61.873800,-10.196390,0.009402
0.020000,18.949494,286.034039,2.737837,18.176148,61.662237,-10.578147,0.010716
0.020000,19.337568,286.038463,3.125937,19.404999,61.442543,-10.984707,0.012078
0.020000,19.750110,286.043737,3.538512,20.628752,61.187648,-12.744761,0.013480
0.020000,20.187018,286.049942,3.975464,21.847623,60.943575,-12.203636,0.014914
0.020000,20.648184,286.057159,4.436686,23.061100,60.673823,-13.487599,0.016371
0.020000,21.133491,286.065464,4.922065,24.268906,60.390290,-14.176670,0.017842
0.020000,21.642819,286.074931,5.431481,25.470829,60.096176,-14.705680,0.019315
0.020000,22.176044,286.085626,5.964814,26.666622,59.789627,-15.327460,0.020781
0.020000,22.733037,286.097610,6.521935,27.856070,59.472418,-15.860450,0.022230
0.020000,23.313662,286.110936,7.102713,29.038901,59.141567,-16.542553,0.023649
0.020000,23.917777,286.125648,7.707007,30.214694,58.789643,-17.596163,0.025028
0.020000,24.545241,286.141777,8.334678,31.383551,58.442861,-17.339130,0.026354
0.020000,25.195902,286.159345,8.985576,32.544928,58.068851,-18.700505,0.027614
0.020000,25.869607,286.178359,9.659550,33.698662,57.686702,-19.107419,0.028796
0.020000,26.566198,286.198812,10.356441,34.844555,57.294606,-19.604809,0.029887
0.020000,27.285511,286.220679,11.076086,35.982276,56.886079,-20.426357,0.030872
0.020000,28.027379,286.243921,11.818318,37.111580,56.465169,-21.045513,0.031738
0.020000,28.791627,286.268474,12.582961,38.232143,56.028160,-21.850457,0.032469
0.020000,29.578079,286.294259,13.369835,39.343713,55.578530,-22.481486,0.033050
0.020000,30.386551,286.321170,14.178755,40.445985,55.113575,-23.247741,0.033467
0.020000,31.216853,286.349079,15.009526,41.538564,54.628944,-24.231546,0.033701
0.020000,32.068791,286.377831,15.861949,42.621159,54.129749,-24.959774,0.033737
0.020000,32.942163,286.407244,16.735816,43.693352,53.609658,-26.004541,0.033556
0.020000,33.836760,286.437106,17.630911,44.754744,53.069598,-27.003015,0.033141
0.020000,34.752364,286.467175,18.547009,45.804897,52.507669,-28.096410,0.032473
0.020000,35.688750,286.497171,19.483876,46.843326,51.921466,-29.310169,0.031531
0.020000,36.645682,286.526785,20.441265,47.869492,51.308290,-30.658819,0.030295
0.020000,37.622912,286.555664,21.418922,48.882816,50.666168,-32.106070,0.028743
0.020000,38.620182,286.583419,22.416578,49.882828,50.000612,-33.277793,0.026853
0.020000,39.637217,286.609617,23.433950,50.868585,49.287874,-35.636900,0.024600
0.020000,40.673726,286.633782,24.470741,51.839565,48.548976,-36.944937,0.021959
0.020000,41.729403,286.655387,25.526639,52.794902,47.766874,-39.105096,0.018905
0.020000,42.803917,286.673860,26.601312,53.733608,46.935287,-41.579311,0.015409
0.020000,43.896919,286.688573,27.694413,54.655090,46.074090,-43.059870,0.011441
0.020000,45.008029,286.698843,28.805570,55.557857,45.138357,-46.786668,0.006971
0.020000,46.136838,286.703930,29.934391,56.441017,44.158009,-49.017358,0.001964
0.020000,47.271587,286.703074,31.069141,56.737494,14.823849,-1466.708003,6.279629
0.020000,48.400710,286.695722,32.198288,56.457343,-14.007570,-1441.570951,6.273635
0.020000,49.524050,286.681403,33.321718,56.171534,-14.290448,-14.143920,6.267157
0.020000,50.641442,286.659646,34.439323,55.880215,-14.565947,-13.774972,6.260186
0.020000,51.752695,286.629979,35.550971,55.582443,-14.888577,-16.131481,6.252712
0.020000,52.857608,286.591932,36.656539,55.278400,-15.202148,-15.678540,6.244723
0.020000,53.955959,286.545035,37.755891,54.967587,-15.540688,-16.927016,6.236208
0.020000,55.047511,286.488821,38.848889,54.649900,-15.884323,-17.181751,6.227156
0.020000,56.132005,286.422825,39.935390,54.325037,-16.243159,-17.941799,6.217554
0.020000,57.209174,286.346584,41.015253,53.993171,-16.593290,-17.506558,6.207390
0.020000,58.278721,286.259643,42.088329,53.653763,-16.970400,-18.855464,6.196653
0.020000,59.340349,286.161548,43.154478,53.307475,-17.314391,-17.199588,6.185329
0.020000,60.393731,286.051855,44.213557,52.953942,-17.676677,-18.114262,6.173407
0.020000,61.438534,285.930127,45.265427,52.593494,-18.022387,-17.285530,6.160876
