dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.872476,309.960642,0.015873,1.587302,79.365079,3968.253968,6.282854
0.020000,14.870380,309.960643,0.017969,0.104811,-74.124530,-7674.480465,6.283031
0.020000,14.904730,309.960645,0.052320,1.717522,80.635552,7738.004086,0.000140
0.020000,15.010995,309.960682,0.158584,5.313218,179.784800,4957.462415,0.000550
0.020000,15.147667,309.960793,0.295256,6.833593,76.018762,-5188.301916,0.001074
0.020000,15.314779,309.961026,0.462369,8.355646,76.102624,4.193101,0.001707
0.020000,15.512376,309.961436,0.659966,9.879838,76.209601,5.348842,0.002448
0.020000,15.740505,309.962091,0.888095,11.406492,76.332728,6.156386,0.003291
0.020000,15.999223,309.963064,1.146815,12.935997,76.475237,7.125452,0.004232
0.020000,16.288594,309.964439,1.436190,14.468727,76.636480,8.062130,0.005265
0.020000,16.608689,309.966304,1.756290,16.005004,76.813852,8.868626,0.006385
0.020000,16.959586,309.968756,2.107196,17.545290,77.014306,10.022679,0.007584
0.020000,17.341370,309.971895,2.488993,19.089860,77.228494,10.709420,0.008855
0.020000,17.754134,309.975827,2.901776,20.639129,77.463451,11.747837,0.010191
0.020000,18.197977,309.980661,3.345644,22.193448,77.715964,12.625633,0.011582
0.020000,18.673002,309.986507,3.820705,23.753049,77.980061,13.204862,0.013021
0.020000,19.179323,309.993476,4.327075,25.318475,78.271293,14.561601,0.014496
0.020000,19.717060,310.001679,4.864874,26.889962,78.574356,15.153168,0.015999
0.020000,20.286336,310.011223,5.434230,28.467796,78.891706,15.867482,0.017517
0.020000,20.887284,310.022213,6.035279,30.052446,79.232481,17.038744,0.019040
0.020000,21.520043,310.034746,6.668162,31.644144,79.584895,17.620682,0.020555
0.020000,22.184758,310.048914,7.333028,33.243294,79.957493,18.629936,0.022050
0.020000,22.881579,310.064797,8.030030,34.850105,80.340577,19.154186,0.023512
0.020000,23.610666,310.082466,8.759331,36.465062,80.747842,20.363255,0.024928
0.020000,24.372184,310.101977,9.521099,38.088391,81.166419,20.928843,0.026282
0.020000,25.166305,310.123370,10.315508,39.720455,81.603215,21.839809,0.027561
0.020000,25.993209,310.146668,11.142740,41.361577,82.056100,22.644235,0.028749
0.020000,26.853081,310.171871,12.002982,43.012110,82.526643,23.527143,0.029829
0.020000,27.746118,310.198958,12.896429,44.672358,83.012393,24.287502,0.030787
0.020000,28.672521,310.227880,13.823283,46.342722,83.518204,25.290574,0.031603
0.020000,29.632501,310.258560,14.783754,48.023522,84.040041,26.091818,0.032262
0.020000,30.626278,310.290889,15.778057,49.715137,84.580745,27.035192,0.032744
0.020000,31.654080,310.324721,16.806415,51.417940,85.140132,27.969397,0.033030
0.020000,32.716146,310.359873,17.869062,53.132340,85.719996,28.993195,0.033102
0.020000,33.812722,310.396117,18.966237,54.858747,86.320369,30.018611,0.032938
0.020000,34.944067,310.433180,20.098189,56.597589,86.942104,31.086773,0.032518
0.020000,36.110449,310.470740,21.265176,58.349339,87.587484,32.268995,0.031819
0.020000,37.312148,310.508418,22.467465,60.114468,88.256470,33.449316,0.030820
0.020000,38.549454,310.545774,23.705335,61.893494,88.951256,34.739270,0.029496
0.020000,39.822669,310.582308,24.979074,63.686950,89.672843,36.079345,0.027823
0.020000,41.132106,310.617445,26.288982,65.495408,90.422864,37.501071,0.025777
0.020000,42.478089,310.650538,27.635372,67.319500,91.204615,39.087574,0.023329
0.020000,43.860953,310.680858,29.018569,69.159828,92.016380,40.588218,0.020453
0.020000,45.281045,310.707585,30.438912,71.017153,92.866251,42.493572,0.017121
0.020000,46.738718,310.729809,31.896754,72.892119,93.748340,44.104438,0.013301
0.020000,48.234333,310.746513,33.392463,74.785461,94.667091,45.937550,0.008964
0.020000,49.768261,310.756571,34.926424,76.698044,95.629157,48.103286,0.004076
0.020000,51.340872,310.758741,36.499037,78.630628,96.629192,50.001753,6.281790
0.020000,52.952538,310.751649,38.110718,80.584056,97.671393,52.110082,6.275698
0.020000,54.603625,310.733786,39.761901,82.559177,98.756048,54.232740,6.268951
0.020000,56.294490,310.703498,41.453038,84.556833,99.882792,56.337209,6.261509
0.020000,58.025474,310.658971,43.184595,86.577828,101.049743,58.347514,6.253333
0.020000,59.796892,310.598225,44.957054,88.622963,102.256751,60.350425,6.244382
0.020000,61.609024,310.519100,46.770913,90.692945,103.499098,62.117346,6.234614
0.020000,63.462102,310.419249,48.626678,92.788282,104.766856,63.387911,6.223987
0.020000,65.356295,310.296127,50.524869,94.909538,106.062823,64.798354,6.212456
0.020000,67.291695,310.146979,52.466007,97.056891,107.367654,65.241540,6.199977
0.020000,69.268286,309.968835,54.450610,99.230141,108.662476,64.741081,6.186506
0.020000,71.285936,309.758504,56.479193,101.429140,109.949964,64.374386,6.172001
0.020000,73.344353,309.512572,58.552249,103.652833,111.184621,61.732872,6.156418
0.020000,75.443064,309.227401,60.670247,105.899860,112.351376,58.337734,6.139718
0.020000,77.581378,308.899135,62.833611,108.168213,113.417641,53.313260,6.121866
0.020000,79.758346,308.523717,65.042712,110.455055,114.342122,46.224050,6.102830
0.020000,81.955281,308.100451,67.280049,111.866850,70.589753,-2187.618451,6.082748
0.020000,84.153155,307.630033,69.527702,112.382648,25.789876,-2239.993856,6.061792
0.020000,86.350146,307.110449,71.785298,112.879794,24.857324,-46.627608,6.039995
0.020000,88.544236,306.539835,74.052373,113.353756,23.698058,-57.963302,6.017396
0.020000,90.733220,305.916508,76.328375,113.800124,22.318412,-68.982294,5.994041
0.020000,92.914719,305.239005,78.612659,114.214162,20.701927,-80.824219,5.969985
0.020000,95.086197,304.506114,80.904480,114.591061,18.844942,-92.849248,5.945291
0.020000,97.244997,303.716899,83.203018,114.926907,16.792312,-102.631528,5.920029
0.020000,99.388368,302.870734,85.507369,115.217554,14.532328,-112.999172,5.894275
0.020000,101.513502,301.967312,87.816561,115.459607,12.102643,-121.484288,5.868111
0.020000,103.617586,301.006666,90.129569,115.650405,9.539925,-128.135886,5.841624
0.020000,105.697835,299.989169,92.445328,115.787948,6.877123,-133.140118,5.814904
0.020000,107.751546,298.915531,94.762746,115.870878,4.146487,-136.531789,5.788043
0.020000,109.776158,297.786774,97.080751,115.900260,1.469134,-133.867615,5.761134
0.020000,111.769258,296.604232,99.398261,115.875478,-1.239098,-135.411621,5.734266
0.020000,113.728650,295.369502,101.714243,115.799146,-3.816611,-128.875666,5.707527
0.020000,115.652378,294.084409,104.027724,115.674038,-6.255412,-121.940016,5.681000
0.020000,117.538725,292.750993,106.337768,115.502206,-8.591598,-116.809308,5.654763
0.020000,119.386277,291.371418,108.643561,115.289608,-10.629869,-101.913581,5.628887
0.020000,121.193866,289.947989,110.944327,115.038311,-12.564857,-96.749398,5.603436
0.020000,122.960626,288.483059,113.239422,114.754761,-14.177498,-80.632031,5.578465
0.020000,124.663550,286.993649,115.501786,113.118181,-81.829032,-3382.576683,5.545724
0.020000,126.574669,285.160575,118.149906,132.405999,964.390888,52310.995973,5.490865
0.020000,128.420467,283.174017,120.861618,135.585629,158.981531,-40270.467834,5.430614
0.020000,130.177999,281.025873,123.637126,138.775370,159.487066,25.276758,5.364963
0.020000,131.819605,278.714194,126.472390,141.763225,149.392715,-504.717543,5.294247
0.020000,133.314696,276.245643,129.358398,144.300415,126.859531,-1126.659235,5.219232
0.020000,134.632657,273.637766,132.280392,146.099660,89.962244,-1844.864360,5.141165
0.020000,135.747288,270.918970,135.218801,146.920488,41.041364,-2446.043968,5.061708
0.020000,136.641150,268.126243,138.151090,146.614442,-15.302276,-2817.182015,4.982769
0.020000,137.308588,265.300306,141.054775,145.184252,-71.509483,-2810.360327,4.906255
0.020000,137.756111,262.480039,143.910329,142.777688,-120.328207,-2440.936241,4.833820
0.020000,138.000242,259.697875,146.703183,139.642712,-156.748797,-1821.029474,4.766697
0.020000,138.063902,256.977394,149.424409,136.061289,-179.071152,-1116.117746,4.705644
0.020000,137.972689,254.333178,152.070198,132.289452,-188.591885,-476.036635,4.650981
0.020000,137.752003,251.772170,154.640696,128.524919,-188.226632,18.262626,4.602694
0.020000,137.425287,249.295636,157.138689,124.899619,-181.264991,348.082035,4.560547
0.020000,137.013240,246.901092,159.568426,121.486874,-170.637245,531.387335,4.524179
0.020000,136.533687,244.583890,161.934730,118.315210,-158.583212,602.701655,4.493181
0.020000,136.001810,242.338324,164.242426,115.384797,-146.520641,603.128532,4.467144
0.020000,135.430533,240.158390,166.495972,112.677295,-135.375091,557.277512,4.445689
0.020000,134.830942,238.038256,168.699260,110.164387,-125.645431,486.482984,4.428488
0.020000,134.212680,235.972527,170.855527,107.813333,-117.552704,404.636333,4.415267
0.020000,133.584293,233.956420,172.967293,105.588308,-111.251233,315.073553,4.405810
0.020000,132.953512,231.985806,175.036400,103.455334,-106.648706,230.126367,4.399964
0.020000,132.327497,230.057286,177.063981,101.379050,-103.814191,141.725750,4.397630
0.020000,131.713027,228.168199,179.050491,99.325539,-102.675555,56.931816,4.398772
0.020000,131.116657,226.316658,180.995706,97.260722,-103.240843,-28.264405,4.403407
0.020000,130.544838,224.501590,182.898717,95.150559,-105.508135,-113.364623,4.411612
0.020000,130.004003,222.722779,184.757929,92.960588,-109.498553,-199.520887,4.423522
0.020000,129.500620,220.980947,186.571040,90.655580,-115.250426,-287.593648,4.439332
0.020000,129.041195,219.277815,188.335051,88.200511,-122.753451,-375.151244,4.459294
0.020000,128.632214,217.616170,190.046286,85.561797,-131.935686,-459.111777,4.483721
0.020000,128.280034,215.999928,191.700453,82.708349,-142.672413,-536.836333,4.512974
0.020000,127.990659,214.434083,193.292813,79.617969,-154.519004,-592.329546,4.547456
0.020000,127.769444,212.924563,194.818456,76.282150,-166.790945,-613.597045,4.587578
0.020000,127.620706,211.477791,196.272853,72.719861,-178.114447,-566.175116,4.633727
0.020000,127.547333,210.100021,197.652576,68.986161,-186.684999,-428.527588,4.686190
0.020000,127.550495,208.796186,198.956415,65.191931,-189.711500,-151.325035,4.745071
0.020000,127.629693,207.568489,200.186663,61.512406,-183.976244,286.762774,4.810175
0.020000,127.783332,206.414946,201.350393,58.186493,-166.295642,884.030098,4.880905
0.020000,128.009893,205.328444,202.460265,55.493622,-134.643541,1582.605080,4.956189
0.020000,128.309417,204.297018,203.534301,53.701805,-89.590849,2252.634585,5.034504
0.020000,128.684654,203.305627,204.594329,53.001395,-35.020533,2728.515816,5.114004
0.020000,129.141159,202.339094,205.663246,53.445827,22.221611,2862.107196,5.192751
0.020000,129.686137,201.385004,206.762013,54.938357,74.626508,2620.244813,5.268975
0.020000,130.326478,200.435610,207.907171,57.257883,115.976314,2067.490339,5.341275
0.020000,131.066952,199.488040,209.109747,60.128821,143.546875,1378.528007,5.408719
0.020000,131.909139,198.543364,210.375327,63.278994,157.508648,698.088695,5.470834
0.020000,132.851356,197.605032,211.705079,66.487583,160.429468,146.040986,5.527523
0.020000,133.889190,196.677501,213.096988,69.595478,155.394723,-251.737239,5.578956
0.020000,135.016391,195.765172,214.547135,72.507363,145.594263,-490.023014,5.625466
0.020000,136.231113,194.863142,216.060148,75.650627,157.163228,578.448220,5.660454
0.020000,137.554132,193.945781,217.670095,80.497356,242.336427,4258.659973,5.693447
0.020000,138.901686,193.076040,219.273950,80.192765,-15.229573,-12878.299985,5.726666
0.020000,140.262840,192.260094,220.860931,79.349052,-42.185641,-1347.803413,5.759680
0.020000,141.628231,191.501230,222.423034,78.105154,-62.194904,-1000.463171,5.792114
0.020000,142.996796,190.797079,223.962125,76.954521,-57.531658,233.162344,5.823809
0.020000,144.367442,190.145220,225.479884,75.887938,-53.329124,210.126674,5.854623
0.020000,145.739020,189.543210,226.977763,74.893963,-49.698753,181.518539,5.884434
0.020000,147.110327,188.988592,228.456980,73.960865,-46.654885,152.193423,5.913139
0.020000,148.480099,188.478919,229.918500,73.076003,-44.243100,120.589263,5.940655
0.020000,149.847017,188.011759,231.363043,72.227152,-42.442562,90.026888,5.966922
0.020000,151.209719,187.584710,232.791093,71.402494,-41.232885,60.483831,5.991899
0.020000,152.566811,187.195403,234.202921,70.591396,-40.554935,33.897495,6.015563
0.020000,153.916883,186.841509,235.598606,69.784223,-40.358610,9.816271,6.037907
0.020000,155.258527,186.520750,236.978061,68.972771,-40.572642,-10.701606,6.058939
0.020000,156.590355,186.230902,238.341063,68.150122,-41.132415,-27.988636,6.078677
0.020000,157.911004,185.969804,239.687276,67.310617,-41.975288,-42.143663,6.097151
0.020000,159.219160,185.735366,241.016272,66.449827,-43.039471,-53.209153,6.114395
0.020000,160.513556,185.525569,242.327560,65.564381,-44.272316,-61.642254,6.130452
0.020000,161.792985,185.338479,243.620596,64.651798,-45.629156,-67.842012,6.145367
0.020000,163.056303,185.172243,244.894805,63.710449,-47.067455,-71.914928,6.159190
0.020000,164.302433,185.025097,246.149592,62.739351,-48.554854,-74.369965,6.171970
0.020000,165.530360,184.895370,247.384352,61.738015,-50.066849,-75.599730,6.183758
0.020000,166.739134,184.781480,248.598480,60.706410,-51.580207,-75.667922,6.194607
0.020000,167.927871,184.681939,249.791377,59.644852,-53.077935,-74.886384,6.204566
0.020000,169.095743,184.595351,250.962454,58.553848,-54.550159,-73.611199,6.213685
0.020000,170.241978,184.520412,252.111137,57.434130,-55.985905,-71.787305,6.222013
0.020000,171.365861,184.455906,253.236869,56.286617,-57.375693,-69.489385,6.229597
0.020000,172.466722,184.400705,254.339113,55.112198,-58.720929,-67.261830,6.236483
0.020000,173.543936,184.353768,255.417350,53.911850,-60.017393,-64.823184,6.242714
0.020000,174.596924,184.314131,256.471083,52.686645,-61.260245,-62.142613,6.248332
0.020000,175.625139,184.280914,257.499835,51.437574,-62.453562,-59.665826,6.253378
0.020000,176.628071,184.253308,258.503147,50.165627,-63.597372,-57.190524,6.257890
0.020000,177.605244,184.230579,259.480585,48.871868,-64.687903,-54.526518,6.261906
0.020000,178.556208,184.212058,260.431728,47.557188,-65.734001,-52.304937,6.265460
0.020000,179.480539,184.197143,261.356179,46.222558,-66.731545,-49.877163,6.268587
0.020000,180.377838,184.185291,262.253557,44.868857,-67.685005,-47.672998,6.271319
0.020000,181.247727,184.176018,263.123496,43.496947,-68.595501,-45.524812,6.273686
0.020000,182.089850,184.168892,263.965649,42.107663,-69.464197,-43.434806,6.275718
0.020000,182.903868,184.163531,264.779685,40.701787,-70.293841,-41.482185,6.277443
0.020000,183.689460,184.159602,265.565286,39.280085,-71.085086,-39.562267,6.278888
0.020000,184.446321,184.156812,266.322152,37.843291,-71.839703,-37.730861,6.280078
0.020000,185.174160,184.154911,267.049994,36.392098,-72.559654,-35.997534,6.281038
0.020000,185.872703,184.153684,267.748538,34.927205,-73.244627,-34.248672,6.281791
0.020000,186.541688,184.152950,268.417523,33.449256,-73.897450,-32.641133,6.282359
0.020000,187.180866,184.152558,269.056701,31.958900,-74.517835,-31.019239,6.282763
