dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,14.868556,298.140643,0.015873,1.587302,79.365079,3968.253968,6.282854
0.020000,14.868556,298.140643,0.063492,3.174603,79.365079,0.000000,6.283031
0.020000,14.906388,298.140645,0.142857,4.761905,79.365079,0.000000,0.000140
0.020000,15.017499,298.140684,0.253968,6.349206,79.365079,-0.000000,0.000550
0.020000,15.160356,298.140800,0.396825,7.936508,79.365079,0.000000,0.001074
0.020000,15.334959,298.141043,0.571429,9.523810,79.365079,0.000000,0.001707
0.020000,15.541308,298.141472,0.777778,11.111111,79.365079,-0.000000,0.002448
0.020000,15.779402,298.142155,1.015873,12.698413,79.365079,0.000000,0.003291
0.020000,16.049242,298.143170,1.285714,14.285714,79.365079,0.000000,0.004232
0.020000,16.350826,298.144603,1.587302,15.873016,79.365079,0.000000,0.005265
0.020000,16.684153,298.146545,1.920635,17.460317,79.365079,0.000000,0.006385
0.020000,17.049224,298.149096,2.285714,19.047619,79.365079,0.000000,0.007584
0.020000,17.446035,298.152358,2.682540,20.634921,79.365079,-0.000000,0.008855
0.020000,17.874587,298.156441,3.111111,22.222222,79.365079,0.000000,0.010191
0.020000,18.334878,298.161454,3.571429,23.809524,79.365079,-0.000000,0.011582
0.020000,18.826904,298.167509,4.063492,25.396825,79.365079,0.000000,0.013021
0.020000,19.350664,298.174718,4.587302,26.984127,79.365079,0.000000,0.014496
0.020000,19.906155,298.183192,5.142857,28.571429,79.365079,-0.000000,0.015999
0.020000,20.493374,298.193036,5.730159,30.158730,79.365079,0.000000,0.017517
0.020000,21.112318,298.204355,6.349206,31.746032,79.365079,-0.000000,0.019040
0.020000,21.762984,298.217243,7.000000,33.333333,79.365079,0.000000,0.020555
0.020000,22.445369,298.231787,7.682540,34.920635,79.365079,0.000000,0.022050
0.020000,23.159469,298.248064,8.396825,36.507937,79.365079,0.000000,0.023512
0.020000,23.905282,298.266138,9.142857,38.095238,79.365079,0.000000,0.024928
0.020000,24.682804,298.286059,9.920635,39.682540,79.365079,0.000000,0.026282
0.020000,25.492035,298.307859,10.730159,41.269841,79.365079,-0.000000,0.027561
0.020000,26.332971,298.331552,11.571429,42.857143,79.365079,0.000000,0.028749
0.020000,27.205612,298.357129,12.444444,44.444444,79.365079,0.000000,0.029829
