dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.070974,310.088997,0.007945,0.794482,39.724088,1986.204388,6.283071
0.020000,19.070674,310.088997,0.008245,0.014994,-38.974368,-3934.922781,6.283096
0.020000,19.070175,310.088997,0.008744,0.024942,0.497397,1973.588253,6.283137
0.020000,19.077413,310.088997,0.015981,0.361887,16.847232,817.491726,0.000008
0.020000,19.148024,310.089000,0.086593,3.530571,158.434216,7079.349224,0.000081
0.020000,19.234332,310.089011,0.172901,4.315414,39.242156,-5959.603032,0.000169
0.020000,19.336341,310.089034,0.274909,5.100415,39.250010,0.392741,0.000273
0.020000,19.454053,310.089073,0.392621,5.885600,39.259278,0.463364,0.000393
0.020000,19.587473,310.089134,0.526041,6.671003,39.270161,0.544153,0.000527
0.020000,19.736606,310.089224,0.675174,7.456656,39.282654,0.624661,0.000675
0.020000,19.901458,310.089349,0.840026,8.242588,39.296554,0.695004,0.000838
0.020000,20.082034,310.089516,1.020602,9.028809,39.311054,0.725023,0.001013
0.020000,20.278341,310.089733,1.216910,9.815380,39.328572,0.875874,0.001202
0.020000,20.490387,310.090010,1.428956,10.602310,39.346481,0.895438,0.001403
0.020000,20.718179,310.090354,1.656749,11.389626,39.365801,0.966039,0.001616
0.020000,20.961726,310.090775,1.900296,12.177361,39.386755,1.047667,0.001840
0.020000,21.221037,310.091282,2.159607,12.965546,39.409262,1.125368,0.002074
0.020000,21.496120,310.091886,2.434691,13.754214,39.433379,1.205841,0.002318
0.020000,21.786987,310.092597,2.725559,14.543391,39.458892,1.275673,0.002570
0.020000,22.093648,310.093426,3.032221,15.333089,39.484877,1.299219,0.002830
0.020000,22.416114,310.094381,3.354688,16.123364,39.513754,1.443840,0.003097
0.020000,22.754397,310.095476,3.692973,16.914229,39.543264,1.475534,0.003370
0.020000,23.108509,310.096718,4.047087,17.705713,39.574200,1.546768,0.003648
0.020000,23.478463,310.098120,4.417044,18.497848,39.606709,1.625470,0.003929
0.020000,23.864273,310.099691,4.802857,19.290663,39.640775,1.703277,0.004214
0.020000,24.265953,310.101442,5.204541,20.084188,39.676258,1.774155,0.004500
0.020000,24.683517,310.103381,5.622110,20.878437,39.712461,1.810188,0.004786
0.020000,25.116981,310.105517,6.055579,21.673465,39.751379,1.945861,0.005071
0.020000,25.566361,310.107860,6.504965,22.469282,39.790844,1.973265,0.005354
0.020000,26.031672,310.110417,6.970283,23.265916,39.831724,2.044015,0.005634
0.020000,26.512932,310.113196,7.451551,24.063403,39.874323,2.129932,0.005909
0.020000,27.010158,310.116201,7.948786,24.861767,39.918204,2.194062,0.006177
0.020000,27.523369,310.119439,8.462007,25.661042,39.963755,2.277554,0.006438
0.020000,28.052583,310.122913,8.991232,26.461256,40.010692,2.346856,0.006689
0.020000,28.597819,310.126627,9.536481,27.262424,40.058391,2.384930,0.006929
0.020000,29.159096,310.130581,10.097773,28.064594,40.108516,2.506230,0.007157
0.020000,29.736437,310.134776,10.675128,28.867784,40.159481,2.548285,0.007371
0.020000,30.329861,310.139209,11.268569,29.672022,40.211935,2.622666,0.007568
0.020000,30.939390,310.143879,11.878116,30.477340,40.265898,2.698190,0.007748
0.020000,31.565046,310.148778,12.503791,31.283767,40.321343,2.772221,0.007909
0.020000,32.206852,310.153900,13.145617,32.091332,40.378232,2.844469,0.008048
0.020000,32.864832,310.159235,13.803619,32.900057,40.436269,2.901846,0.008164
0.020000,33.539009,310.164771,14.477818,33.709982,40.496246,2.998852,0.008254
0.020000,34.229407,310.170493,15.168241,34.521128,40.557315,3.053462,0.008318
0.020000,34.936053,310.176384,15.874911,35.333527,40.619920,3.130248,0.008352
0.020000,35.658972,310.182425,16.597856,36.147208,40.684052,3.206559,0.008354
0.020000,36.398191,310.188592,17.337100,36.962200,40.749618,3.278315,0.008324
0.020000,37.153735,310.194858,18.092670,37.778533,40.816657,3.351953,0.008257
0.020000,37.925634,310.201194,18.864595,38.596235,40.885090,3.421681,0.008153
0.020000,38.713915,310.207567,19.652902,39.415341,40.955286,3.509791,0.008009
0.020000,39.518607,310.213939,20.457619,40.235873,41.026602,3.565791,0.007822
0.020000,40.339740,310.220269,21.278777,41.057866,41.099667,3.653254,0.007590
0.020000,41.177344,310.226513,22.116404,41.881351,41.174261,3.729671,0.007310
0.020000,42.031449,310.232619,22.970531,42.706358,41.250347,3.804309,0.006981
0.020000,42.902087,310.238535,23.841189,43.532916,41.327891,3.877190,0.006600
0.020000,43.789290,310.244200,24.728410,44.361053,41.406858,3.948359,0.006163
0.020000,44.693091,310.249551,25.632226,45.190815,41.488093,4.061757,0.005669
0.020000,45.613522,310.254518,26.552671,46.022210,41.569760,4.083339,0.005115
0.020000,46.550617,310.259027,27.489776,46.855292,41.654059,4.214951,0.004498
0.020000,47.504410,310.262995,28.443578,47.690082,41.739542,4.274142,0.003815
0.020000,48.474937,310.266337,29.414110,48.526611,41.826426,4.344223,0.003063
0.020000,49.462231,310.268959,30.401409,49.364918,41.915363,4.446852,0.002239
0.020000,50.466331,310.270762,31.405509,50.205036,42.005871,4.525419,0.001342
0.020000,51.487270,310.271640,32.426449,51.046980,42.097238,4.568304,0.000366
0.020000,52.525086,310.271477,33.464265,51.890819,42.191910,4.733630,6.282496
0.020000,53.579816,310.270155,34.518996,52.736547,42.286413,4.725120,6.281356
0.020000,54.651498,310.267544,35.590681,53.584223,42.383824,4.870572,6.280130
0.020000,55.740168,310.263507,36.679358,54.433879,42.482802,4.948908,6.278813
0.020000,56.845864,310.257900,37.785069,55.285546,42.583309,5.025354,6.277403
0.020000,57.968625,310.250569,38.907854,56.139252,42.685312,5.100128,6.275897
0.020000,59.108489,310.241353,40.047755,56.995027,42.788782,5.173493,6.274290
0.020000,60.265493,310.230079,41.204814,57.852940,42.895653,5.343547,6.272580
0.020000,61.439674,310.216567,42.379073,58.712973,43.001651,5.299931,6.270763
0.020000,62.631072,310.200625,43.570577,59.575204,43.111536,5.494223,6.268835
0.020000,63.839722,310.182054,44.779370,60.439653,43.222430,5.544701,6.266793
0.020000,65.065662,310.160641,46.005497,61.306341,43.334419,5.599486,6.264633
0.020000,66.308928,310.136163,47.249004,62.175326,43.449263,5.742175,6.262351
0.020000,67.569554,310.108387,48.509936,63.046619,43.564604,5.767065,6.259944
0.020000,68.847575,310.077068,49.788341,63.920244,43.681290,5.834307,6.257408
0.020000,70.143025,310.041947,51.084267,64.796286,43.802073,6.039142,6.254739
0.020000,71.455934,310.002756,52.397761,65.674707,43.921064,5.949542,6.251932
0.020000,72.786333,309.959212,53.728872,66.555575,44.043404,6.116984,6.248985
0.020000,74.134250,309.911020,55.077651,67.438914,44.166941,6.176888,6.245892
0.020000,75.499711,309.857870,56.444145,68.324744,44.291523,6.229060,6.242650
0.020000,76.882739,309.799439,57.828407,69.213086,44.417080,6.277845,6.239255
0.020000,78.283355,309.735391,59.230487,70.103973,44.544329,6.362463,6.235703
0.020000,79.701576,309.665374,60.650435,70.997415,44.672133,6.390229,6.231989
