dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.082944,285.589005,0.007957,0.795723,39.786140,1989.306995,0.001091
0.020000,19.080630,285.589002,0.010270,0.115662,-34.003042,-3689.459115,0.000902
0.020000,19.076776,285.588999,0.014125,0.192724,3.853097,1892.806982,0.000588
0.020000,19.071381,285.588997,0.019519,0.269717,3.849639,-0.172897,0.000147
0.020000,19.117439,285.588987,0.065577,2.302874,101.657876,4890.411812,6.282767
0.020000,19.196495,285.588927,0.144633,3.952810,82.496770,-958.055295,6.282075
0.020000,19.289939,285.588785,0.238077,4.672181,35.968591,-2326.408926,6.281259
0.020000,19.397761,285.588526,0.345900,5.391150,35.948426,-1.008265,6.280317
0.020000,19.519969,285.588111,0.468107,6.110395,35.962242,0.690802,6.279250
0.020000,19.656564,285.587492,0.604705,6.829866,35.973571,0.566470,6.278059
0.020000,19.807552,285.586619,0.755695,7.549517,35.982548,0.448851,6.276744
0.020000,19.972934,285.585434,0.921081,8.269304,35.989323,0.338743,6.275305
0.020000,20.152720,285.583877,1.100874,8.989616,36.015606,1.314150,6.273743
0.020000,20.346910,285.581880,1.295074,9.710029,36.020685,0.253957,6.272057
0.020000,20.555509,285.579370,1.503689,10.430730,36.035032,0.717318,6.270250
0.020000,20.778521,285.576269,1.726722,11.151643,36.045649,0.530889,6.268320
0.020000,21.015959,285.572496,1.964190,11.873412,36.088426,2.138821,6.266269
0.020000,21.267822,285.567961,2.216093,12.595170,36.087931,-0.024767,6.264098
0.020000,21.534116,285.562573,2.482442,13.317422,36.112609,1.233942,6.261806
0.020000,21.814847,285.556231,2.763244,14.040137,36.135730,1.156043,6.259396
0.020000,22.110024,285.548834,3.058514,14.763502,36.168258,1.626372,6.256867
0.020000,22.419655,285.540273,3.368264,15.487477,36.198753,1.524761,6.254221
0.020000,22.743738,285.530436,3.692496,16.211624,36.207321,0.428387,6.251459
0.020000,23.082293,285.519203,4.031238,16.937060,36.271806,3.224292,6.248581
0.020000,23.435315,285.506453,4.384490,17.662603,36.277182,0.268778,6.245589
0.020000,23.802815,285.492059,4.752271,18.389059,36.322779,2.279867,6.242485
0.020000,24.184802,285.475887,5.134600,19.116467,36.370378,2.379931,6.239268
0.020000,24.581281,285.457802,5.531492,19.844577,36.405536,1.757909,6.235941
0.020000,24.992262,285.437663,5.942966,20.573709,36.456599,2.553134,6.232505
0.020000,25.417750,285.415325,6.369040,21.303685,36.498803,2.110187,6.228962
0.020000,25.857748,285.390637,6.809730,22.034532,36.542315,2.175610,6.225313
0.020000,26.312268,285.363447,7.265063,22.766625,36.604677,3.118088,6.221560
0.020000,26.781315,285.333597,7.735058,23.499761,36.656792,2.605749,6.217705
0.020000,27.264897,285.300925,8.219743,24.234247,36.724311,3.375954,6.213750
0.020000,27.763018,285.265267,8.719139,24.969793,36.777304,2.649684,6.209697
0.020000,28.275686,285.226453,9.233274,25.706752,36.847957,3.532643,6.205548
0.020000,28.802908,285.184312,9.762177,26.445138,36.919305,3.567408,6.201305
0.020000,29.344688,285.138668,10.305876,27.184974,36.991794,3.624460,6.196971
0.020000,29.901031,285.089343,10.864402,27.926292,37.065862,3.703388,6.192548
0.020000,30.471946,285.036155,11.437789,28.669359,37.153369,4.375356,6.188039
0.020000,31.057437,284.978920,12.026071,29.414077,37.235885,4.125801,6.183447
0.020000,31.657508,284.917453,12.629282,30.160545,37.323394,4.375408,6.178774
0.020000,32.272162,284.851564,13.247457,30.908794,37.412450,4.452817,6.174025
0.020000,32.901408,284.781062,13.880640,31.659136,37.517144,5.234710,6.169200
0.020000,33.545247,284.705755,14.528869,32.411439,37.615125,4.899039,6.164305
0.020000,34.203684,284.625449,15.192184,33.165777,37.716925,5.090017,6.159343
0.020000,34.876723,284.539949,15.870633,33.922430,37.832615,5.784475,6.154316
0.020000,35.564367,284.449057,16.564258,34.681231,37.940083,5.373437,6.149230
0.020000,36.266616,284.352578,17.273103,35.442286,38.052740,5.632839,6.144087
0.020000,36.983479,284.250312,17.997224,36.206012,38.186266,6.676273,6.138891
0.020000,37.714952,284.142063,18.736664,36.971992,38.299001,5.636793,6.133647
0.020000,38.461042,284.027632,19.491478,37.740701,38.435487,6.824280,6.128359
0.020000,39.221750,283.906823,20.261719,38.512077,38.568786,6.664921,6.123031
0.020000,39.997078,283.779439,21.047442,39.286132,38.702773,6.699391,6.117668
0.020000,40.787028,283.645286,21.848702,40.063009,38.843837,7.053169,6.112274
0.020000,41.591603,283.504168,22.665559,40.842846,38.991821,7.399203,6.106854
0.020000,42.410805,283.355895,23.498071,41.625604,39.137925,7.305187,6.101413
0.020000,43.244634,283.200276,24.346297,42.411325,39.286019,7.404743,6.095956
0.020000,44.093096,283.037125,25.210304,43.200320,39.449785,8.188266,6.090487
0.020000,44.956192,282.866257,26.090151,43.992337,39.600822,7.551866,6.085013
0.020000,45.833926,282.687492,26.985903,44.787634,39.764865,8.202153,6.079537
0.020000,46.726301,282.500653,27.897628,45.586248,39.930708,8.292139,6.074067
0.020000,47.633322,282.305566,28.825393,46.388220,40.098597,8.394458,6.068607
0.020000,48.554995,282.102064,29.769264,47.193595,40.268735,8.506888,6.063162
0.020000,49.491326,281.889983,30.729313,48.002420,40.441280,8.627246,6.057739
0.020000,50.442320,281.669164,31.705608,48.814747,40.616348,8.753403,6.052343
0.020000,51.407989,281.439457,32.698221,49.630669,40.796074,8.986310,6.046980
0.020000,52.388341,281.200714,33.707224,50.450156,40.974372,8.914923,6.041656
0.020000,53.383387,280.952796,34.732691,51.273321,41.158258,9.194259,6.036377
0.020000,54.393143,280.695572,35.774694,52.100142,41.341025,9.138345,6.031148
0.020000,55.417622,280.428915,36.833307,52.930683,41.527059,9.301728,6.025976
0.020000,56.456842,280.152710,37.908607,53.764972,41.714445,9.369317,6.020867
0.020000,57.510825,279.866847,39.000667,54.603038,41.903288,9.442131,6.015828
0.020000,58.579592,279.571227,40.109566,55.444908,42.093532,9.512203,6.010863
0.020000,59.663170,279.265758,41.235377,56.290594,42.284282,9.537488,6.005981
0.020000,60.761588,278.950360,42.378181,57.140154,42.477986,9.685209,6.001186
0.020000,61.874880,278.624962,43.538052,57.993552,42.669938,9.597580,5.996485
0.020000,63.003080,278.289503,44.715069,58.850870,42.865878,9.796998,5.991885
0.020000,64.146232,277.943933,45.909311,59.712091,43.061030,9.757639,5.987392
0.020000,65.304379,277.588215,47.120855,60.577232,43.257088,9.802882,5.983012
0.020000,66.477572,277.222321,48.349782,61.446316,43.454172,9.854196,5.978752
0.020000,67.665866,276.846237,49.596169,62.319363,43.652373,9.910076,5.974618
0.020000,68.869321,276.459962,50.860097,63.196398,43.851757,9.969185,5.970617
0.020000,70.088005,276.063507,52.141646,64.077430,44.051569,9.990574,5.966755
0.020000,71.321989,275.656898,53.440895,64.962448,44.250910,9.967089,5.963039
0.020000,72.571353,275.240173,54.757925,65.851537,44.454464,10.177699,5.959475
0.020000,73.836183,274.813386,56.092819,66.744677,44.656970,10.125286,5.956071
0.020000,75.116570,274.376606,57.445656,67.641864,44.859388,10.120886,5.952832
0.020000,76.412617,273.929917,58.816520,68.543190,45.066255,10.343351,5.949765
0.020000,77.724431,273.473420,60.205493,69.448648,45.272908,10.332678,5.946878
0.020000,79.052129,273.007232,61.612658,70.358272,45.481207,10.414933,5.944176
0.020000,80.395836,272.531486,63.038100,71.272077,45.690238,10.451543,5.941668
0.020000,81.755688,272.046335,64.481903,72.190158,45.904075,10.691840,5.939359
0.020000,83.131826,271.551948,65.944153,73.112513,46.117730,10.682765,5.937257
0.020000,84.524405,271.048514,67.424937,74.039202,46.334471,10.837027,5.935368
0.020000,85.933588,270.536244,68.924343,74.970270,46.553406,10.946766,5.933701
0.020000,87.359548,270.015365,70.442459,75.905797,46.776334,11.146415,5.932262
0.020000,88.802468,269.486128,71.979375,76.845825,47.001405,11.253559,5.931058
0.020000,90.262545,268.948804,73.535184,77.790427,47.230082,11.433825,5.930098
0.020000,91.739984,268.403690,75.109977,78.739677,47.462498,11.620808,5.929388
0.020000,93.235001,267.851102,76.703850,79.693652,47.698769,11.813563,5.928937
0.020000,94.747827,267.291384,78.316899,80.652431,47.938947,12.008864,5.928752
0.020000,96.278701,266.724904,79.949221,81.616108,48.183859,12.245615,5.928841
0.020000,97.827877,266.152057,81.600917,82.584773,48.433240,12.469056,5.929212
0.020000,99.395617,265.573264,83.272087,83.558517,48.687181,12.697068,5.929874
0.020000,100.982199,264.988978,84.962836,84.537444,48.946380,12.959934,5.930835
0.020000,102.587910,264.399678,86.673269,85.521663,49.210960,13.229005,5.932104
0.020000,104.213050,263.805878,88.403494,86.511272,49.480443,13.474141,5.933689
0.020000,105.857931,263.208121,90.153622,87.506384,49.755584,13.757053,5.935600
0.020000,107.522875,262.606986,91.923764,88.507092,50.035400,13.990778,5.937846
0.020000,109.208216,262.003088,93.714034,89.513495,50.320144,14.237237,5.940436
0.020000,110.914298,261.397077,95.524549,90.525759,50.613206,14.653081,5.943379
0.020000,112.641474,260.789644,97.355427,91.543881,50.906100,14.644700,5.946685
0.020000,114.390107,260.181518,99.206787,92.568032,51.207576,15.073811,5.950364
0.020000,116.160569,259.573471,101.078753,93.598279,51.512321,15.237221,5.954427
0.020000,117.953236,258.966320,102.971446,94.634661,51.819093,15.338636,5.958882
0.020000,119.768491,258.360925,104.884991,95.677252,52.129563,15.523474,5.963740
0.020000,121.606722,257.758195,106.819513,96.726109,52.442877,15.665733,5.969011
0.020000,123.468318,257.159088,108.775138,97.781215,52.755291,15.620661,5.974706
0.020000,125.353666,256.564613,110.751988,98.842535,53.066008,15.535879,5.980835
0.020000,127.263155,255.975831,112.750191,99.910114,53.378908,15.644966,5.987408
0.020000,129.197164,255.393857,114.769866,100.983751,53.681869,15.148068,5.994434
0.020000,131.156069,254.819863,116.811133,102.063392,53.982039,15.008482,6.001924
0.020000,133.140229,254.255078,118.874110,103.148848,54.272800,14.538084,6.009887
0.020000,135.149991,253.700787,120.958908,104.239876,54.551425,13.931256,6.018332
0.020000,137.185680,253.158338,123.065631,105.336176,54.814978,13.177645,6.027268
0.020000,139.247599,252.629133,125.194379,106.437382,55.060322,12.267185,6.036703
0.020000,141.336020,252.114639,127.345240,107.543065,55.284127,11.190254,6.046644
0.020000,143.451178,251.616379,129.518294,108.652659,55.479700,9.778655,6.057098
0.020000,145.593273,251.135935,131.713606,109.765608,55.647437,8.386851,6.068069
0.020000,147.762451,250.674943,133.931227,110.881073,55.773248,6.290558,6.079563
0.020000,149.958809,250.235097,136.171195,111.998368,55.864789,4.577036,6.091582
0.020000,152.182383,249.818139,138.433524,113.116489,55.906034,2.062272,6.104127
0.020000,154.378605,249.440177,140.662032,111.425403,-84.554303,-7023.016872,6.126359
0.020000,156.937674,249.083386,143.245854,129.191077,888.283708,48641.900531,6.162560
0.020000,159.492426,248.817749,145.814378,128.426215,-38.243090,-46326.339862,6.196213
0.020000,162.040103,248.636059,148.368526,127.707405,-35.940513,115.128826,6.227390
0.020000,164.578892,248.531367,150.909473,127.047348,-33.002874,146.881944,6.256190
0.020000,167.107786,248.497090,153.438599,126.456300,-29.552396,172.523926,6.282725
0.020000,169.626393,248.527063,155.957385,125.939283,-25.850823,185.078613,0.023929
0.020000,172.134703,248.615564,158.467255,125.493497,-22.289295,178.076429,0.046292
0.020000,174.633115,248.757300,160.969685,125.121482,-18.600772,184.426120,0.066748
0.020000,177.122239,248.947389,163.466056,124.818571,-15.145558,172.760712,0.085409
0.020000,179.602831,249.181326,165.957655,124.579939,-11.931606,160.697595,0.102380
0.020000,182.075752,249.454943,168.445667,124.400597,-8.967098,148.225437,0.117759
0.020000,184.541919,249.764372,170.931170,124.275160,-6.271844,134.762676,0.131634
0.020000,187.002274,250.106007,173.415131,124.198062,-3.854900,120.847225,0.144083
0.020000,189.443074,250.474168,175.883541,123.420501,-38.878035,-1751.156772,0.155115
0.020000,191.849153,250.862545,178.320763,121.861080,-77.971050,-1954.650759,0.164751
0.020000,194.220229,251.267148,180.726113,120.267499,-79.679075,-85.401262,0.173084
0.020000,196.557805,251.684630,183.100676,118.728164,-76.966741,135.616725,0.180202
0.020000,198.863207,252.111952,185.445347,117.233567,-74.729855,111.844271,0.186180
0.020000,201.137704,252.546349,187.760954,115.780338,-72.661439,103.420824,0.191083
0.020000,203.382407,252.985281,190.048169,114.360768,-70.978492,84.147347,0.194968
0.020000,205.598325,253.426404,192.307568,112.969921,-69.542329,71.808158,0.197882
0.020000,207.786363,253.867543,194.539633,111.603258,-68.333163,60.458277,0.199863
0.020000,209.947329,254.306666,196.744764,110.256556,-67.335128,49.901786,0.200945
0.020000,212.081935,254.741863,198.923281,108.925871,-66.534228,40.044975,0.201153
0.020000,214.190798,255.171332,201.075432,107.607509,-65.918111,30.805859,0.200509
0.020000,216.274454,255.593358,203.201397,106.298249,-65.462997,22.755692,0.199025
0.020000,218.333350,256.006304,205.301296,104.994969,-65.164013,14.949217,0.196713
0.020000,220.367846,256.408595,207.375184,103.694376,-65.029623,6.719509,0.193577
0.020000,222.378232,256.798716,209.423072,102.394422,-64.997730,1.594653,0.189617
0.020000,224.364700,257.175190,211.444899,101.091376,-65.152301,-7.728582,0.184830
0.020000,226.327368,257.536583,213.440563,99.783172,-65.410201,-12.894981,0.179206
0.020000,228.266283,257.881496,215.409917,98.467716,-65.772789,-18.129421,0.172733
0.020000,230.181377,258.208548,217.352736,97.140961,-66.337716,-28.246357,0.165393
0.020000,232.072513,258.516386,219.268764,95.801387,-66.978698,-32.049062,0.157166
0.020000,233.939489,258.803681,221.157716,94.447566,-67.691088,-35.619502,0.148027
0.020000,235.781959,259.069112,223.019207,93.074551,-68.650724,-47.981818,0.137946
0.020000,237.599505,259.311383,224.852828,91.681078,-69.673640,-51.145787,0.126889
0.020000,239.391609,259.529213,226.658122,90.264688,-70.819503,-57.293176,0.114820
0.020000,241.157669,259.721346,228.434602,88.824029,-72.032977,-60.673672,0.101697
0.020000,242.896943,259.886548,230.181705,87.355124,-73.445257,-70.614021,0.087474
0.020000,244.608585,260.023617,231.898827,85.856080,-74.952203,-75.347294,0.072105
0.020000,246.291645,260.131391,233.585333,84.325331,-76.537409,-79.260290,0.055535
0.020000,247.945061,260.208760,235.240559,82.761287,-78.202245,-83.241804,0.037713
0.020000,249.567701,260.254676,236.863848,81.164479,-79.840397,-81.907589,0.018580
0.020000,251.158266,260.268168,238.454471,79.531115,-81.668164,-91.388389,6.281266
0.020000,252.715402,260.248361,240.011732,77.863067,-83.402420,-86.712778,6.259344
0.020000,254.237682,260.194492,241.534966,76.161679,-85.069391,-83.348546,6.235944
0.020000,255.723670,260.105931,243.023590,74.431223,-86.522826,-72.671762,6.211016
0.020000,257.171850,259.982199,244.477046,72.672775,-87.922366,-69.976970,6.184518
0.020000,258.580757,259.822989,245.894920,70.893733,-88.952121,-51.487751,6.156415
0.020000,259.949018,259.628170,247.276981,69.103039,-89.534699,-29.128932,6.126688
0.020000,261.275389,259.397800,248.623209,67.311392,-89.582333,-2.381699,6.095334
0.020000,262.558784,259.132126,249.933814,65.530248,-89.057203,26.256513,6.062373
0.020000,263.798398,258.831571,251.209344,63.776526,-87.686115,68.554374,6.027848
0.020000,264.993746,258.496701,252.450712,62.068401,-85.406238,113.993878,5.991834
0.020000,266.144697,258.128200,253.659216,60.425195,-82.160292,162.297273,5.954436
0.020000,267.251511,257.726825,254.836560,58.867186,-77.900451,212.992059,5.915794
0.020000,268.314860,257.293347,255.984869,57.415434,-72.587611,265.642025,5.876081
0.020000,269.335801,256.828510,257.106651,56.089096,-66.316881,313.536466,5.835502
0.020000,270.315729,256.332983,258.204743,54.904608,-59.224417,354.623226,5.794288
0.020000,271.256301,255.807343,259.282227,53.874231,-51.518842,385.278723,5.752691
0.020000,272.159334,255.252070,260.342320,53.004650,-43.479073,401.988495,5.710974
0.020000,273.026736,254.667547,261.388290,52.298484,-35.308312,408.538010,5.669402
0.020000,273.860346,254.054138,262.423267,51.748838,-27.482279,391.301643,5.628233
0.020000,274.661926,253.412195,263.450214,51.347367,-20.073536,370.437192,5.587707
0.020000,275.433058,252.742141,264.471790,51.078770,-13.429862,332.183689,5.548040
0.020000,276.175110,252.044525,265.490274,50.924211,-7.727949,285.095652,5.509420
0.020000,276.889234,251.320071,266.507528,50.862730,-3.074029,232.695973,5.472001
0.020000,277.576419,250.569658,267.525046,50.875902,0.658598,186.631346,5.435900
0.020000,278.237458,249.794396,268.543871,50.941230,3.266377,130.388970,5.401205
0.020000,278.873012,248.995587,269.564667,51.039788,4.927914,83.076838,5.367970
0.020000,279.483676,248.174676,270.587802,51.156770,5.849099,46.059280,5.336222
0.020000,280.069935,247.333319,271.613269,51.273320,5.827516,-1.079149,5.305968
0.020000,280.632317,246.473183,272.640939,51.383504,5.509187,-15.916459,5.277188
0.020000,281.171285,245.596094,273.670391,51.472607,4.455141,-52.702293,5.249855
0.020000,281.687341,244.703877,274.701103,51.535596,3.149471,-65.283535,5.223924
