dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.097355,285.589029,0.007985,0.798473,39.923644,1996.182180,0.002268
0.020000,19.094605,285.589023,0.010735,0.137516,-33.047827,-3648.573526,0.002043
0.020000,19.090021,285.589014,0.015319,0.229201,4.584254,1881.604037,0.001669
0.020000,19.083603,285.589005,0.021737,0.320898,4.584810,0.027788,0.001145
0.020000,19.075351,285.588999,0.029989,0.412609,4.585571,0.038073,0.000471
0.020000,19.102843,285.588991,0.057482,1.374624,48.100754,2175.759154,6.282833
0.020000,19.194732,285.588914,0.149371,4.594467,160.992132,5644.568888,6.281859
0.020000,19.300708,285.588714,0.255347,5.298801,35.216706,-6288.771315,6.280735
0.020000,19.420856,285.588343,0.375495,6.007407,35.430324,10.680907,6.279460
0.020000,19.555087,285.587748,0.509728,6.711617,35.210493,-10.991541,6.278035
0.020000,19.703436,285.586866,0.658079,7.417576,35.297955,4.373100,6.276457
0.020000,19.865913,285.585633,0.820561,8.124113,35.326845,1.444510,6.274728
0.020000,20.042478,285.583973,0.997134,8.828614,35.225046,-5.089950,6.272847
0.020000,20.233132,285.581808,1.187800,9.533322,35.235401,0.517720,6.270813
0.020000,20.437875,285.579051,1.392561,10.238062,35.237004,0.080160,6.268626
0.020000,20.656701,285.575609,1.611415,10.942664,35.230097,-0.345343,6.266285
0.020000,20.889602,285.571382,1.844354,11.646963,35.214950,-0.757320,6.263790
0.020000,21.136565,285.566264,2.091370,12.350800,35.191865,-1.154294,6.261141
0.020000,21.397573,285.560144,2.352450,13.054024,35.161169,-1.534775,6.258337
0.020000,21.672608,285.552901,2.627580,13.756488,35.123224,-1.897270,6.255377
0.020000,21.961686,285.544409,2.916783,14.460157,35.183427,3.010150,6.252261
0.020000,22.264786,285.534537,3.220043,15.163001,35.142226,-2.060025,6.248987
0.020000,22.581852,285.523145,3.537314,15.863540,35.026909,-5.765876,6.245558
0.020000,22.912947,285.510086,3.868667,16.567653,35.205684,8.938751,6.241970
0.020000,23.257977,285.495210,4.214018,17.267525,34.993595,-10.604419,6.238224
0.020000,23.616970,285.478356,4.573405,17.969381,35.092792,4.959839,6.234319
0.020000,23.989905,285.459358,4.946824,18.670952,35.078556,-0.711779,6.230255
0.020000,24.376740,285.438045,5.334246,19.371085,35.006660,-3.594827,6.226032
0.020000,24.777462,285.414236,5.735675,20.071446,35.018030,0.568527,6.221648
0.020000,25.192055,285.387746,6.151113,20.771900,35.022687,0.232830,6.217105
0.020000,25.620496,285.358381,6.580559,21.472325,35.021293,-0.069700,6.212401
0.020000,26.062761,285.325942,7.024012,22.172616,35.014551,-0.337119,6.207537
0.020000,26.518818,285.290224,7.481465,22.872680,35.003200,-0.567549,6.202512
0.020000,26.988633,285.251014,7.952914,23.572441,34.988016,-0.759193,6.197326
0.020000,27.472169,285.208093,8.438351,24.271837,34.969809,-0.910342,6.191980
0.020000,27.969432,285.161233,8.937818,24.973340,35.075130,5.266050,6.186473
0.020000,28.480354,285.110204,9.451281,25.673161,34.991058,-4.203615,6.180806
0.020000,29.004905,285.054768,9.978753,26.373615,35.022707,1.582464,6.174979
0.020000,29.543055,284.994678,10.520248,27.074743,35.056399,1.684583,6.168993
0.020000,30.094770,284.929684,11.075778,27.776494,35.087550,1.557570,6.162849
0.020000,30.659986,284.859530,11.645331,28.477640,35.057318,-1.511615,6.156547
0.020000,31.238677,284.783951,12.228937,29.180305,35.133264,3.797306,6.150088
