dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.069578,297.838997,0.007972,0.797197,39.859834,1992.991713,0.001091
0.020000,19.069578,297.838997,0.031888,1.594393,39.859834,0.000000,0.000902
0.020000,19.069578,297.838997,0.071748,2.391590,39.859834,0.000000,0.000587
0.020000,19.069578,297.838997,0.127551,3.188787,39.859834,-0.000000,0.000145
0.020000,19.122937,297.838986,0.199299,3.985983,39.859834,0.000000,6.282764
0.020000,19.210624,297.838919,0.286991,4.783180,39.859834,-0.000000,6.282071
0.020000,19.314263,297.838761,0.390626,5.580377,39.859834,0.000000,6.281253
0.020000,19.433843,297.838473,0.510206,6.377573,39.859834,0.000000,6.280309
0.020000,19.569366,297.838011,0.645729,7.174770,39.859834,0.000000,6.279241
0.020000,19.720832,297.837323,0.797197,7.971967,39.859834,0.000000,6.278048
0.020000,19.888240,297.836353,0.964608,8.769164,39.859834,-0.000000,6.276730
0.020000,20.071587,297.835037,1.147963,9.566360,39.859834,0.000000,6.275288
0.020000,20.270881,297.833307,1.347262,10.363557,39.859834,0.000000,6.273723
0.020000,20.486113,297.831089,1.562506,11.160754,39.859834,0.000000,6.272035
0.020000,20.717283,297.828302,1.793693,11.957950,39.859834,0.000000,6.270224
0.020000,20.964386,297.824860,2.040824,12.755147,39.859834,0.000000,6.268291
0.020000,21.227430,297.820671,2.303898,13.552344,39.859834,0.000000,6.266236
0.020000,21.506404,297.815639,2.582917,14.349540,39.859834,0.000000,6.264061
0.020000,21.801306,297.809659,2.877880,15.146737,39.859834,0.000000,6.261765
0.020000,22.112131,297.802625,3.188787,15.943934,39.859834,0.000000,6.259350
0.020000,22.438880,297.794421,3.515637,16.741130,39.859834,-0.000000,6.256817
0.020000,22.781545,297.784929,3.858432,17.538327,39.859834,0.000000,6.254166
0.020000,23.140113,297.774024,4.217170,18.335524,39.859834,0.000000,6.251399
0.020000,23.514592,297.761576,4.591853,19.132720,39.859834,0.000000,6.248516
0.020000,23.904962,297.747450,4.982479,19.929917,39.859834,0.000000,6.245519
0.020000,24.311218,297.731508,5.389050,20.727114,39.859834,0.000000,6.242408
0.020000,24.733351,297.713603,5.811564,21.524310,39.859834,0.000000,6.239186
0.020000,25.171352,297.693588,6.250022,22.321507,39.859834,0.000000,6.235853
0.020000,25.625209,297.671306,6.704424,23.118704,39.859834,0.000000,6.232411
0.020000,26.094907,297.646601,7.174770,23.915901,39.859834,0.000000,6.228862
0.020000,26.580428,297.619309,7.661060,24.713097,39.859834,0.000000,6.225207
0.020000,27.081764,297.589264,8.163294,25.510294,39.859834,0.000000,6.221447
0.020000,27.598888,297.556294,8.681472,26.307491,39.859834,0.000000,6.217586
0.020000,28.131793,297.520224,9.215594,27.104687,39.859834,0.000000,6.213624
0.020000,28.680449,297.480877,9.765659,27.901884,39.859834,0.000000,6.209564
0.020000,29.244837,297.438070,10.331669,28.699081,39.859834,0.000000,6.205408
0.020000,29.824934,297.391619,10.913623,29.496277,39.859834,0.000000,6.201158
0.020000,30.420712,297.341335,11.511520,30.293474,39.859834,0.000000,6.196817
0.020000,31.032143,297.287029,12.125362,31.090671,39.859834,0.000000,6.192387
0.020000,31.659205,297.228506,12.755147,31.887867,39.859834,-0.000000,6.187871
0.020000,32.301858,297.165572,13.400876,32.685064,39.859834,-0.000000,6.183271
0.020000,32.960076,297.098029,14.062550,33.482261,39.859834,0.000000,6.178591
