dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.082942,285.589005,0.007972,0.797197,39.859834,1992.991713,0.001091
0.020000,19.080625,285.589002,0.010289,0.115876,-34.066027,-3696.293041,0.000902
0.020000,19.076763,285.588999,0.014151,0.193081,3.860229,1896.312770,0.000587
0.020000,19.071359,285.588997,0.019555,0.270216,3.856758,-0.173539,0.000145
0.020000,19.117772,285.588987,0.065969,2.320657,102.522057,4933.264969,6.282764
0.020000,19.196974,285.588926,0.145171,3.960129,81.973576,-1027.424096,6.282071
0.020000,19.290591,285.588784,0.238788,4.680839,36.035501,-2296.903738,6.281253
0.020000,19.398613,285.588524,0.346811,5.401140,36.015080,-1.021018,6.280309
0.020000,19.521047,285.588106,0.469245,6.121718,36.028888,0.690357,6.279241
0.020000,19.657896,285.587485,0.606096,6.842522,36.040200,0.565646,6.278048
0.020000,19.809164,285.586608,0.757366,7.563505,36.049154,0.447685,6.276730
0.020000,19.974852,285.585419,0.923058,8.284623,36.055900,0.337278,6.275288
0.020000,20.154971,285.583856,1.103184,9.006299,36.083791,1.394561,6.273723
0.020000,20.349521,285.581850,1.297744,9.728015,36.085797,0.100324,6.272035
0.020000,20.558508,285.579331,1.506746,10.450088,36.103659,0.893064,6.270224
0.020000,20.781932,285.576219,1.730192,11.172308,36.111025,0.368299,6.268291
0.020000,21.019811,285.572431,1.968101,11.895427,36.155926,2.245053,6.266236
0.020000,21.272140,285.567879,2.220472,12.618541,36.155702,-0.011183,6.264061
0.020000,21.538928,285.562470,2.487314,13.342132,36.179568,1.193308,6.261765
0.020000,21.820180,285.556104,2.768638,14.066186,36.202686,1.155897,6.259350
0.020000,22.115906,285.548679,3.064457,14.790969,36.239132,1.822303,6.256817
0.020000,22.426111,285.540086,3.374782,15.516211,36.262124,1.149583,6.254166
0.020000,22.750795,285.530212,3.699616,16.241712,36.275050,0.646311,6.251399
0.020000,23.089979,285.518937,4.038987,16.968556,36.342203,3.357659,6.248516
0.020000,23.443657,285.506139,4.392896,17.695469,36.345623,0.170987,6.245519
0.020000,23.811839,285.491691,4.761362,18.423279,36.390520,2.244867,6.242408
0.020000,24.194535,285.475459,5.144402,19.151981,36.435103,2.229123,6.239186
0.020000,24.591751,285.457307,5.542033,19.881561,36.479001,2.194929,6.235853
0.020000,25.003496,285.437093,5.954273,20.612013,36.522604,2.180116,6.232411
0.020000,25.429773,285.414671,6.381140,21.343339,36.566303,2.184944,6.228862
0.020000,25.870588,285.389893,6.822651,22.075549,36.610495,2.209600,6.225207
