dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.045227,310.175482,0.020000,2.000000,100.000000,5000.000000,0.002060
0.020000,19.051771,310.175494,0.026543,0.327162,-83.641919,-9182.095927,0.001507
0.020000,19.062676,310.175505,0.037449,0.545274,10.905605,4727.376174,0.000584
0.020000,19.154688,310.175477,0.129460,4.600584,202.765527,9592.996110,6.282477
0.020000,19.354309,310.175170,0.329082,9.981068,269.024168,3312.932035,6.280815
0.020000,19.598334,310.174343,0.573108,12.201318,111.012517,-7900.582532,6.278783
0.020000,19.886753,310.172727,0.861532,14.421197,110.993949,-0.928420,6.276378
0.020000,20.219598,310.169999,1.194388,16.642783,111.079281,4.266588,6.273600
0.020000,20.596834,310.165788,1.571648,18.862995,111.010630,-3.432547,6.270448
0.020000,21.018481,310.159673,1.993339,21.084559,111.078191,3.378064,6.266920
0.020000,21.484532,310.151182,2.459467,23.306410,111.092533,0.717119,6.263016
0.020000,21.995036,310.139791,2.970099,25.531581,111.258580,8.302332,6.258733
0.020000,22.549937,310.124925,3.525199,27.755003,111.171110,-4.373487,6.254071
0.020000,23.149267,310.105959,4.124829,29.981501,111.324898,7.689371,6.249027
0.020000,23.792965,310.082215,4.768964,32.206769,111.263392,-3.075257,6.243601
0.020000,24.480997,310.052964,5.457618,34.432694,111.296217,1.641212,6.237793
0.020000,25.213316,310.017427,6.190798,36.659020,111.316303,1.004305,6.231600
0.020000,25.989898,309.974770,6.968551,38.887641,111.431055,5.737613,6.225022
0.020000,26.810640,309.924112,7.790855,41.115193,111.377638,-2.670854,6.218059
0.020000,27.675459,309.864518,8.657725,43.343485,111.414565,1.846366,6.210710
0.020000,28.584190,309.795010,9.569110,45.569271,111.289316,-6.262464,6.202978
0.020000,29.536738,309.714553,10.525050,47.797011,111.386970,4.882696,6.194862
0.020000,30.532891,309.622073,11.525487,50.021813,111.240116,-7.342704,6.186364
0.020000,31.572460,309.516445,12.570408,52.246068,111.212775,-1.367036,6.177487
0.020000,32.655202,309.396504,13.659774,54.468281,111.110639,-5.106829,6.168234
0.020000,33.780822,309.261047,14.793515,56.687049,110.938389,-8.612453,6.158610
0.020000,34.949055,309.108824,15.971623,58.905430,110.919046,-0.967195,6.148618
0.020000,36.159485,308.938563,17.193969,61.117308,110.593929,-16.255835,6.138267
0.020000,37.411731,308.748955,18.460488,63.325934,110.431279,-8.132484,6.127562
0.020000,38.705342,308.538665,19.771080,65.529589,110.182741,-12.426912,6.116513
0.020000,40.039803,308.306343,21.125614,67.726697,109.855401,-16.366992,6.105131
0.020000,41.414565,308.050619,22.523957,69.917174,109.523839,-16.578101,6.093425
0.020000,42.829017,307.770116,23.965955,72.099869,109.134747,-19.454610,6.081411
0.020000,44.282509,307.463451,25.451445,74.274517,108.732430,-20.115869,6.069101
0.020000,45.774306,307.129253,26.980218,76.438648,108.206530,-26.295000,6.056514
0.020000,47.303652,306.766155,28.552076,78.592924,107.713802,-24.636362,6.043665
0.020000,48.869714,306.372816,30.166780,80.735179,107.112786,-30.050816,6.030576
0.020000,50.471617,305.947920,31.824075,82.864766,106.479347,-31.671948,6.017267
0.020000,52.108435,305.490185,33.523692,84.980819,105.802615,-33.836595,6.003762
0.020000,53.779207,304.998374,35.265345,87.082653,105.091708,-35.545331,5.990085
0.020000,55.482919,304.471302,37.048724,89.168943,104.314522,-38.859324,5.976261
0.020000,57.218520,303.907844,38.873496,91.238632,103.484452,-41.503475,5.962319
0.020000,58.984949,303.306938,40.739337,93.292025,102.669643,-40.740494,5.948288
0.020000,60.781096,302.667602,42.645877,95.327002,101.748818,-46.041229,5.934197
0.020000,62.605852,301.988931,44.592754,97.343839,100.841870,-45.347425,5.920077
