dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.094801,286.535534,0.012000,1.200000,60.000000,3000.000000,0.002134
0.020000,19.090875,286.535526,0.015926,0.196297,-50.185173,-5509.258662,0.001802
0.020000,19.084331,286.535516,0.022469,0.327163,6.543304,2836.423868,0.001248
0.020000,19.075171,286.535508,0.031630,0.458031,6.543407,0.005128,0.000473
0.020000,19.120125,286.535494,0.076584,2.247702,89.483577,4147.008511,6.282662
0.020000,19.237721,286.535361,0.194180,5.879831,181.606426,4606.142471,6.281443
0.020000,19.376697,286.535018,0.333156,6.948788,53.447858,-6407.928430,6.280002
0.020000,19.537018,286.534375,0.493479,8.016136,53.367420,-4.021889,6.278339
0.020000,19.718696,286.533323,0.675160,9.084054,53.395883,1.423159,6.276452
0.020000,19.921746,286.531741,0.878216,10.152805,53.437552,2.083420,6.274341
0.020000,20.146129,286.529495,1.102610,11.219717,53.345595,-4.597802,6.272006
0.020000,20.391859,286.526433,1.348359,12.287432,53.385757,2.008065,6.269446
0.020000,20.658915,286.522392,1.615445,13.354313,53.344028,-2.086420,6.266660
0.020000,20.947265,286.517192,1.903843,14.419865,53.277632,-3.319823,6.263648
0.020000,21.256906,286.510640,2.213553,15.485509,53.282206,0.228680,6.260410
0.020000,21.587845,286.502528,2.544591,16.551920,53.320521,1.915786,6.256943
0.020000,21.940040,286.492632,2.896926,17.616730,53.240509,-4.000616,6.253249
0.020000,22.313466,286.480717,3.270542,18.680803,53.203636,-1.843638,6.249326
0.020000,22.708128,286.466529,3.665459,19.745840,53.251853,2.410853,6.245174
0.020000,23.123999,286.449801,4.081666,20.810346,53.225319,-1.326735,6.240792
0.020000,23.561039,286.430253,4.519142,21.873833,53.174319,-2.549961,6.236180
0.020000,24.019241,286.407587,4.977905,22.938118,53.214262,1.997154,6.231337
0.020000,24.498568,286.381493,5.457942,24.001865,53.187364,-1.344928,6.226263
0.020000,24.998967,286.351647,5.959230,25.064420,53.127732,-2.981583,6.220958
0.020000,25.520428,286.317706,6.481794,26.128199,53.188964,3.061610,6.215422
0.020000,26.062899,286.279319,7.025622,27.191368,53.158455,-1.525449,6.209655
0.020000,26.626361,286.236113,7.590738,28.255801,53.221630,3.158729,6.203657
0.020000,27.210743,286.187708,8.177122,29.319198,53.169883,-2.587348,6.197429
0.020000,27.816011,286.133706,8.784793,30.383577,53.218948,2.453251,6.190972
0.020000,28.442117,286.073696,9.413769,31.448765,53.259377,2.021439,6.184287
0.020000,29.089006,286.007251,10.064061,32.514634,53.293446,1.703467,6.177374
0.020000,29.756614,285.933935,10.735683,33.581104,53.323519,1.503643,6.170236
0.020000,30.444870,285.853297,11.428647,34.648177,53.353664,1.507269,6.162874
0.020000,31.153755,285.764867,12.143026,35.718945,53.538368,9.235169,6.155290
0.020000,31.883135,285.668176,12.878787,36.788073,53.456426,-4.097076,6.147488
0.020000,32.632992,285.562729,13.636022,37.861754,53.684018,11.379575,6.139470
0.020000,33.403217,285.448028,14.414740,38.935908,53.707697,1.183940,6.131240
0.020000,34.193730,285.323563,15.214992,40.012569,53.833046,6.267461,6.122801
0.020000,35.004448,285.188811,16.036832,41.092020,53.972550,6.975199,6.114158
0.020000,35.835278,285.043240,16.880319,42.174322,54.115141,7.129580,6.105317
0.020000,36.686119,284.886312,17.745511,43.259596,54.263666,7.426219,6.096281
0.020000,37.556884,284.717475,18.632494,44.349149,54.477665,10.699956,6.087058
0.020000,38.447458,284.536174,19.541334,45.442023,54.643692,8.301345,6.077654
0.020000,39.357729,284.341847,20.472117,46.539154,54.856550,10.642896,6.068076
0.020000,40.287577,284.133929,21.424927,47.640475,55.066043,10.474642,6.058332
0.020000,41.236899,283.911841,22.399881,48.747729,55.362700,14.832861,6.048430
0.020000,42.205558,283.675011,23.397072,49.859522,55.589657,11.347887,6.038378
0.020000,43.193425,283.422863,24.416610,50.976938,55.870804,14.057306,6.028188
0.020000,44.200367,283.154816,25.458619,52.100422,56.174222,15.170943,6.017868
0.020000,45.226256,282.870289,26.523233,53.230700,56.513866,16.982165,6.007429
0.020000,46.270935,282.568711,27.610571,54.366921,56.811081,14.860776,5.996883
0.020000,47.334267,282.249506,28.720781,55.510507,57.179293,18.410566,5.986241
0.020000,48.416099,281.912106,29.854007,56.661278,57.538559,17.963339,5.975516
0.020000,49.516287,281.555947,31.010407,57.820023,57.937212,19.932647,5.964722
0.020000,50.634668,281.180476,32.190133,58.986294,58.313580,18.818373,5.953870
0.020000,51.771086,280.785148,33.393350,60.160840,58.727316,20.686786,5.942975
0.020000,52.925383,280.369428,34.620226,61.343806,59.148286,21.048534,5.932051
0.020000,54.097399,279.932796,35.870933,62.535355,59.577462,21.458802,5.921114
0.020000,55.286972,279.474743,37.145648,63.735752,60.019846,22.119204,5.910176
0.020000,56.493945,278.994776,38.444552,64.945181,60.471431,22.579253,5.899255
0.020000,57.718153,278.492425,39.767822,66.163488,60.915366,22.196710,5.888365
0.020000,58.959442,277.967231,41.115645,67.391158,61.383504,23.406928,5.877521
0.020000,60.217655,277.418761,42.488204,68.627959,61.840044,22.826988,5.866740
0.020000,61.492641,276.846603,43.885685,69.874060,62.305023,23.248976,5.856037
0.020000,62.784253,276.250366,45.308274,71.129447,62.769344,23.216049,5.845428
0.020000,64.092349,275.629686,46.756156,72.394082,63.231760,23.120792,5.834928
0.020000,65.416798,274.984224,48.229514,73.667929,63.692359,23.029918,5.824552
0.020000,66.757475,274.313669,49.728533,74.950949,64.151006,22.932387,5.814318
0.020000,68.114261,273.617737,51.253391,76.242880,64.596542,22.276785,5.804239
0.020000,69.487056,272.896174,52.804268,77.543842,65.048078,22.576789,5.794330
0.020000,70.875767,272.148757,54.381338,78.853493,65.482566,21.724409,5.784607
0.020000,72.280318,271.375291,55.984776,80.171927,65.921724,21.957906,5.775085
0.020000,73.700646,270.575616,57.614749,81.498625,66.334902,20.658912,5.765777
0.020000,75.136706,269.749602,59.271422,82.833675,66.752458,20.877803,5.756697
0.020000,76.588475,268.897154,60.954961,84.176919,67.162240,20.489104,5.747860
0.020000,78.046241,268.024077,62.654180,84.960955,39.201796,-1398.022216,5.739334
0.020000,79.500410,267.136592,64.357774,85.179732,10.938844,-1413.147594,5.731178
0.020000,80.951153,266.235248,66.065720,85.397295,10.878152,-3.034623,5.723391
0.020000,82.398656,265.320587,67.777990,85.613496,10.810059,-3.404649,5.715969
0.020000,83.843113,264.393151,69.494555,85.828218,10.736087,-3.698601,5.708910
0.020000,85.284728,263.453474,71.215382,86.041356,10.656902,-3.959251,5.702212
0.020000,86.723716,262.502087,72.940439,86.252887,10.576541,-4.018027,5.695872
0.020000,88.160301,261.539514,74.669694,86.462748,10.493056,-4.174252,5.689887
0.020000,89.594715,260.566275,76.403113,86.670916,10.408405,-4.232563,5.684255
0.020000,91.027201,259.582885,78.140660,86.877378,10.323066,-4.266948,5.678971
0.020000,92.458009,258.589853,79.882304,87.082187,10.240471,-4.129746,5.674034
0.020000,93.887396,257.587682,81.628011,87.285368,10.159047,-4.071216,5.669441
0.020000,95.315628,256.576870,83.377751,87.486972,10.080204,-3.942136,5.665189
0.020000,96.742979,255.557910,85.131492,87.687064,10.004599,-3.780229,5.661276
0.020000,98.169728,254.531292,86.889206,87.885720,9.932818,-3.589060,5.657698
0.020000,99.596164,253.497498,88.650867,88.083028,9.865380,-3.371923,5.654455
0.020000,101.022579,252.457009,90.416449,88.279083,9.802743,-3.131858,5.651543
0.020000,102.449274,251.410300,92.185928,88.473989,9.745309,-2.871669,5.648961
0.020000,103.876555,250.357843,93.959286,88.667858,9.693430,-2.593940,5.646707
0.020000,105.304733,249.300107,95.736502,88.860806,9.647409,-2.301058,5.644779
0.020000,106.734126,248.237561,97.517561,89.052956,9.607505,-1.995239,5.643177
0.020000,108.165058,247.170667,99.302450,89.244434,9.573934,-1.678547,5.641898
0.020000,109.597856,246.099890,101.091157,89.435372,9.546875,-1.352919,5.640943
0.020000,111.032854,245.025692,102.883675,89.625901,9.526471,-1.020193,5.640310
0.020000,112.470390,243.948535,104.679998,89.816158,9.512829,-0.682127,5.639999
0.020000,113.910807,242.868882,106.480124,90.006283,9.506259,-0.328479,5.640009
0.020000,115.354453,241.787195,108.284052,90.196423,9.506996,0.036841,5.640342
0.020000,116.801678,240.703940,110.091786,90.386702,9.513931,0.346749,5.640996
0.020000,118.252839,239.619585,111.903331,90.577256,9.527690,0.687943,5.641973
0.020000,119.708296,238.534599,113.718696,90.768220,9.548218,1.026400,5.643272
0.020000,121.168412,237.449458,115.537890,90.959728,9.575418,1.359992,5.644896
0.020000,122.633552,236.364639,117.360929,91.151911,9.609155,1.686867,5.646845
0.020000,124.104088,235.280628,119.187827,91.344896,9.649257,2.005074,5.649121
0.020000,125.580391,234.197914,121.018603,91.538807,9.695507,2.312538,5.651725
0.020000,127.062837,233.116994,122.853278,91.733760,9.747648,2.607042,5.654658
0.020000,128.551802,232.038373,124.691875,91.929867,9.805372,2.886212,5.657924
0.020000,130.047665,230.962564,126.534420,92.127233,9.868322,3.147494,5.661523
0.020000,131.550806,229.890090,128.380939,92.325955,9.936085,3.388143,5.665459
0.020000,133.061605,228.821484,130.231461,92.526119,10.008189,3.605209,5.669734
0.020000,134.580443,227.757289,132.086018,92.727837,10.085900,3.885510,5.674349
0.020000,136.107699,226.698060,133.944640,92.931104,10.163375,3.873782,5.679309
0.020000,137.643751,225.644367,135.807360,93.135993,10.244443,4.053379,5.684616
0.020000,139.188975,224.596791,137.674211,93.342548,10.327756,4.165685,5.690271
0.020000,140.743743,223.555927,139.545227,93.550789,10.412026,4.213499,5.696280
0.020000,142.308422,222.522386,141.420441,93.760716,10.496335,4.215406,5.702643
0.020000,143.883376,221.496795,143.299887,93.972309,10.579672,4.166851,5.709365
0.020000,145.468961,220.479796,145.183598,94.185528,10.660933,4.063074,5.716447
0.020000,147.065524,219.472049,147.071604,94.400306,10.738916,3.899147,5.723893
0.020000,148.673403,218.474230,148.963935,94.616576,10.813519,3.730135,5.731705
0.020000,150.292926,217.487034,150.860620,94.834216,10.881970,3.422580,5.739885
0.020000,151.923101,216.511946,152.760163,94.977176,7.148002,-186.698395,5.748429
0.020000,153.553197,215.556053,154.649858,94.484723,-24.622664,-1588.533342,5.757276
0.020000,155.173456,214.625353,156.518398,93.427003,-52.886001,-1413.166814,5.766363
0.020000,156.783633,213.720047,158.365625,92.361378,-53.281205,-19.760219,5.775678
0.020000,158.383445,212.840304,160.191370,91.287236,-53.707115,-21.295469,5.785206
0.020000,159.972578,211.986256,161.995461,90.204538,-54.134914,-21.389970,5.794933
0.020000,161.550700,211.157993,163.777732,89.113535,-54.550144,-20.761502,5.804844
0.020000,163.117440,210.355577,165.538000,88.013416,-55.005963,-22.790944,5.814924
0.020000,164.672411,209.579024,167.276094,86.904687,-55.436426,-21.523155,5.825158
0.020000,166.215197,208.828318,168.991829,85.786762,-55.896257,-22.991562,5.835531
0.020000,167.745363,208.103404,170.685024,84.659736,-56.351316,-22.752920,5.846028
0.020000,169.262455,207.404188,172.355494,83.523531,-56.810218,-22.945106,5.856633
0.020000,170.766002,206.730537,174.003056,82.378090,-57.272091,-23.093646,5.867330
0.020000,172.255521,206.082283,175.627524,81.223413,-57.733853,-23.088144,5.878104
0.020000,173.730510,205.459220,177.228712,80.059390,-58.201112,-23.362922,5.888938
0.020000,175.190467,204.861104,178.806437,78.886260,-58.656528,-22.770797,5.899818
0.020000,176.634875,204.287657,180.360515,77.703872,-59.119406,-23.143903,5.910728
0.020000,178.063220,203.738563,181.890767,76.512616,-59.562779,-22.168631,5.921653
0.020000,179.474976,203.213476,183.397011,75.312198,-60.020887,-22.905436,5.932577
0.020000,180.869624,202.712015,184.879073,74.103078,-60.455993,-21.755276,5.943485
0.020000,182.246648,202.233766,186.336782,72.885476,-60.880130,-21.206851,5.954364
0.020000,183.605536,201.778288,187.769973,71.659564,-61.295592,-20.773134,5.965199
0.020000,184.945773,201.345116,189.178474,70.425014,-61.727514,-21.596100,5.975975
0.020000,186.266870,200.933748,190.562136,69.183125,-62.094428,-18.345691,5.986681
0.020000,187.568344,200.543667,191.920811,67.933754,-62.468560,-18.706589,5.997303
0.020000,188.849709,200.174334,193.254341,66.676490,-62.863211,-19.732561,6.007828
0.020000,190.110510,199.825185,194.562594,65.412648,-63.192070,-16.442916,6.018245
0.020000,191.350306,199.495640,195.845440,64.142299,-63.517447,-16.268854,6.028543
0.020000,192.568664,199.185108,197.102749,62.865440,-63.842950,-16.275163,6.038711
0.020000,193.765169,198.892980,198.334400,61.582543,-64.144883,-15.096663,6.048738
0.020000,194.939431,198.618638,199.540283,60.294145,-64.419910,-13.751327,6.058616
0.020000,196.091080,198.361453,200.720300,59.000851,-64.664667,-12.237881,6.068336
0.020000,197.219751,198.120795,201.874342,57.702138,-64.935642,-13.548722,6.077889
0.020000,198.325110,197.896026,203.002322,56.399003,-65.156794,-11.057628,6.087268
0.020000,199.406841,197.686505,204.104157,55.091749,-65.362686,-10.294596,6.096465
0.020000,200.464657,197.491590,205.179781,53.781203,-65.527276,-8.229502,6.105474
0.020000,201.498271,197.310644,206.229114,52.466634,-65.728439,-10.058112,6.114290
0.020000,202.507417,197.143033,207.252085,51.148525,-65.905467,-8.851443,6.122906
0.020000,203.491854,196.988128,208.248635,49.827541,-66.049189,-7.186076,6.131318
0.020000,204.451365,196.845303,209.218718,48.504114,-66.171368,-6.108934,6.139521
0.020000,205.385756,196.713942,210.162298,47.178994,-66.255998,-4.231528,6.147512
0.020000,206.294849,196.593438,211.079342,45.852214,-66.338978,-4.149011,6.155288
0.020000,207.178428,196.483201,211.969771,44.521458,-66.537847,-9.943417,6.162844
0.020000,208.036384,196.382643,212.833600,43.191453,-66.500211,1.881765,6.170179
0.020000,208.868571,196.291194,213.670797,41.859832,-66.581055,-4.042173,6.177290
0.020000,209.674837,196.208300,214.481313,40.525793,-66.701970,-6.045728,6.184176
0.020000,210.455083,196.133417,215.265144,39.191593,-66.710000,-0.401530,6.190834
0.020000,211.209216,196.066018,216.022283,37.856911,-66.734088,-1.204405,6.197264
0.020000,211.937119,196.005594,216.752690,36.520355,-66.827821,-4.686658,6.203465
0.020000,212.638745,195.951649,217.456386,35.184804,-66.777555,2.513338,6.209436
0.020000,213.314047,195.903704,218.133388,33.850088,-66.735754,2.090027,6.215176
0.020000,213.962888,195.861304,218.783613,32.511250,-66.941908,-10.307716,6.220685
0.020000,214.585304,195.824001,219.407146,31.176670,-66.729001,10.645386,6.225963
0.020000,215.181201,195.791375,220.003936,29.839483,-66.859388,-6.519361,6.231011
0.020000,215.750545,195.763017,220.573985,28.502467,-66.850777,0.430547,6.235827
0.020000,216.293326,195.738540,221.117317,27.166623,-66.792205,2.928579,6.240413
0.020000,216.809517,195.717574,221.633934,25.830832,-66.789557,0.132442,6.244769
0.020000,217.299104,195.699768,222.123845,24.495526,-66.765309,1.212369,6.248895
0.020000,217.762048,195.684791,222.587031,23.159301,-66.811213,-2.295179,6.252791
0.020000,218.198341,195.672327,223.023502,21.823570,-66.786542,1.233553,6.256459
0.020000,218.608033,195.662080,223.433322,20.491005,-66.628256,7.914260,6.259899
0.020000,218.991017,195.653776,223.816396,19.153707,-66.864914,-11.832867,6.263112
0.020000,219.347388,195.647153,224.172829,17.821619,-66.604414,13.024999,6.266098
0.020000,219.677117,195.641974,224.502598,16.488485,-66.656684,-2.613526,6.268857
0.020000,219.980160,195.638016,224.805668,15.153470,-66.750752,-4.703380,6.271391
0.020000,220.256567,195.635075,225.082090,13.821121,-66.617457,6.664746,6.273700
0.020000,220.506339,195.632966,225.331870,12.489009,-66.605581,0.593788,6.275785
0.020000,220.729465,195.631523,225.555002,11.156560,-66.622445,-0.843194,6.277646
0.020000,220.925930,195.630595,225.751469,9.823367,-66.659683,-1.861898,6.279284
0.020000,221.095787,195.630053,225.921326,8.492859,-66.525406,6.713863,6.280699
0.020000,221.239020,195.629782,226.064559,7.161662,-66.559819,-1.720666,6.281891
0.020000,221.355614,195.629688,226.181154,5.829734,-66.596409,-1.829513,6.282862
0.020000,221.445585,195.629692,226.271125,4.498562,-66.558583,1.891312,0.000425
0.020000,221.508958,195.629736,226.334498,3.168626,-66.496825,3.087919,0.000952
0.020000,221.545715,195.629776,226.371255,1.837839,-66.539367,-2.127090,0.001257
