dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.542328,309.400737,0.012000,1.200000,60.000000,3000.000000,0.000909
0.020000,18.544504,309.400739,0.014176,0.108801,-54.559966,-5727.998305,0.000725
0.020000,18.548128,309.400741,0.017800,0.181190,3.619455,2908.971074,0.000418
0.020000,18.555298,309.400742,0.024971,0.358540,8.867517,262.403057,6.283175
0.020000,18.669802,309.400710,0.139475,5.725204,268.333184,12973.283392,6.282624
0.020000,18.809736,309.400584,0.279409,6.996703,63.574943,-10237.912073,6.281953
0.020000,18.975090,309.400315,0.444763,8.267701,63.549894,-1.252443,6.281162
0.020000,19.165852,309.399842,0.635525,9.538115,63.520701,-1.459661,6.280251
0.020000,19.382008,309.399097,0.851682,10.807866,63.487550,-1.657533,6.279223
0.020000,19.623543,309.398001,1.093220,12.076876,63.450528,-1.851104,6.278077
0.020000,19.890440,309.396469,1.360121,13.345071,63.409729,-2.039941,6.276817
0.020000,20.182680,309.394407,1.652368,14.612349,63.363938,-2.289541,6.275442
0.020000,20.500239,309.391712,1.969939,15.878560,63.310550,-2.669432,6.273955
0.020000,20.843097,309.388273,2.312814,17.143719,63.257922,-2.631371,6.272359
0.020000,21.211225,309.383973,2.680968,18.407684,63.198277,-2.982277,6.270654
0.020000,21.604597,309.378687,3.074375,19.670350,63.133263,-3.250714,6.268843
0.020000,22.023180,309.372281,3.493007,20.931637,63.064367,-3.444795,6.266928
0.020000,22.466944,309.364618,3.936837,22.191472,62.991760,-3.630332,6.264912
0.020000,22.935852,309.355552,4.405832,23.449785,62.915614,-3.807305,6.262797
0.020000,23.429866,309.344932,4.899960,24.706403,62.830932,-4.234094,6.260586
0.020000,23.948946,309.332600,5.419187,25.961337,62.746682,-4.212519,6.258283
0.020000,24.493048,309.318395,5.963475,27.214384,62.652378,-4.715185,6.255890
0.020000,25.062128,309.302151,6.532787,28.465585,62.560033,-4.617227,6.253410
0.020000,25.656137,309.283695,7.127082,29.714760,62.458725,-5.065441,6.250847
0.020000,26.275023,309.262855,7.746319,30.961837,62.353862,-5.243147,6.248204
0.020000,26.918732,309.239450,8.390454,32.206750,62.245676,-5.409270,6.245485
0.020000,27.587209,309.213300,9.059442,33.449420,62.133494,-5.609122,6.242695
0.020000,28.280392,309.184223,9.753234,34.689597,62.008853,-6.232026,6.239836
0.020000,28.998221,309.152032,10.471784,35.927529,61.896603,-5.612490,6.236913
0.020000,29.740629,309.116542,11.215040,37.162778,61.762413,-6.709526,6.233930
0.020000,30.507548,309.077566,11.982949,38.395464,61.634316,-6.404838,6.230892
0.020000,31.298909,309.034916,12.775459,39.625477,61.500672,-6.682191,6.227803
0.020000,32.114639,308.988407,13.592513,40.852706,61.361433,-6.961957,6.224668
0.020000,32.954661,308.937852,14.434055,42.077097,61.219528,-7.095257,6.221492
0.020000,33.818894,308.883069,15.300023,43.298413,61.065815,-7.685676,6.218280
0.020000,34.707262,308.823877,16.190361,44.516869,60.922814,-7.150028,6.215036
0.020000,35.619678,308.760096,17.105003,45.732139,60.763516,-7.964915,6.211767
0.020000,36.556060,308.691554,18.043890,46.944335,60.609779,-7.686819,6.208477
0.020000,37.516316,308.618079,19.006953,48.153173,60.441887,-8.394599,6.205172
0.020000,38.500359,308.539508,19.994128,49.358726,60.277667,-8.210994,6.201858
0.020000,39.508097,308.455680,21.005347,50.560942,60.110808,-8.342959,6.198540
0.020000,40.539435,308.366443,22.040539,51.759587,59.932252,-8.927800,6.195224
0.020000,41.594281,308.271652,23.099635,52.954814,59.761323,-8.546443,6.191916
0.020000,42.672540,308.171167,24.182566,54.146539,59.586266,-8.752874,6.188623
0.020000,43.774109,308.064860,25.289253,55.334345,59.390310,-9.797783,6.185349
0.020000,44.898896,307.952610,26.419626,56.518686,59.217022,-8.664411,6.182103
0.020000,46.046799,307.834307,27.573610,57.699186,59.025034,-9.599411,6.178889
0.020000,47.217720,307.709850,28.751126,58.875813,58.831306,-9.686389,6.175715
0.020000,48.411558,307.579152,29.952097,60.048537,58.636233,-9.753669,6.172588
0.020000,49.628214,307.442136,31.176444,61.217333,58.439793,-9.821969,6.169512
0.020000,50.867589,307.298737,32.424087,62.382171,58.241899,-9.894696,6.166497
0.020000,52.129584,307.148904,33.694946,63.542924,58.037639,-10.213001,6.163548
0.020000,53.414099,306.992603,34.988935,64.699496,57.828604,-10.451786,6.160672
0.020000,54.721038,306.829810,36.305974,65.851949,57.622643,-10.298023,6.157877
0.020000,56.050306,306.660521,37.645978,67.000192,57.412145,-10.524904,6.155169
0.020000,57.401805,306.484744,39.008860,68.144105,57.195640,-10.825233,6.152557
0.020000,58.775442,306.302509,40.394534,69.283658,56.977666,-10.898739,6.150046
0.020000,60.171127,306.113859,41.802910,70.418816,56.757922,-10.987170,6.147645
0.020000,61.588769,305.918859,43.233901,71.549537,56.536038,-11.094218,6.145362
0.020000,63.028281,305.717591,44.687415,72.675707,56.308477,-11.378031,6.143203
0.020000,64.489576,305.510159,46.163359,73.797225,56.075942,-11.626760,6.141178
