dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,18.563325,285.760747,0.020000,2.000000,100.000000,5000.000000,0.000868
0.020000,18.559699,285.760744,0.023625,0.181274,-90.936291,-9546.814544,0.000561
0.020000,18.553665,285.760742,0.029660,0.301722,6.022377,4847.933377,0.000050
0.020000,18.675337,285.760702,0.151332,6.083596,289.093707,14153.566536,6.282522
0.020000,18.844525,285.760512,0.320521,8.459444,118.792384,-8515.066186,6.281608
0.020000,19.051356,285.760071,0.527352,10.341556,94.105610,-1234.338672,6.280494
0.020000,19.295854,285.759252,0.771852,12.224995,94.171964,3.317708,6.279182
0.020000,19.578052,285.757910,1.054052,14.110013,94.250905,3.947044,6.277676
0.020000,19.897982,285.755876,1.373989,15.996870,94.342825,4.595971,6.275979
0.020000,20.255687,285.752960,1.731706,17.885811,94.447074,5.212471,6.274094
0.020000,20.651208,285.748955,2.127247,19.777080,94.563433,5.817939,6.272025
0.020000,21.084594,285.743629,2.560666,21.670916,94.691798,6.418268,6.269776
0.020000,21.555895,285.736737,3.032017,23.567565,94.832486,7.034407,6.267352
0.020000,22.065166,285.728011,3.541363,25.467293,94.986375,7.694411,6.264759
0.020000,22.612466,285.717169,4.088770,27.370366,95.153669,8.364733,6.262001
0.020000,23.197856,285.703911,4.674311,29.277030,95.333176,8.975344,6.259086
0.020000,23.821400,285.687922,5.298059,31.187427,95.519851,9.333767,6.256019
0.020000,24.483166,285.668874,5.960100,33.102031,95.730209,10.517889,6.252808
0.020000,25.183224,285.646425,6.660518,35.020888,95.942863,10.632692,6.249459
0.020000,25.921645,285.620222,7.399403,36.944287,96.169952,11.354430,6.245981
0.020000,26.698504,285.589901,8.176854,38.872529,96.412094,12.107091,6.242381
0.020000,27.513880,285.555091,8.992972,40.805925,96.669809,12.885780,6.238668
0.020000,28.367848,285.515412,9.847862,42.744467,96.927062,12.862626,6.234852
0.020000,29.260491,285.470478,10.741635,44.688665,97.209914,14.142626,6.230941
0.020000,30.191891,285.419901,11.674407,46.638621,97.497813,14.394953,6.226946
0.020000,31.162133,285.363288,12.646299,48.594575,97.797686,14.993628,6.222876
0.020000,32.171299,285.300249,13.657433,50.556685,98.105489,15.390147,6.218741
0.020000,33.219481,285.230393,14.707939,52.525330,98.432251,16.338091,6.214554
0.020000,34.306766,285.153334,15.797952,54.500617,98.764387,16.606837,6.210325
0.020000,35.433245,285.068689,16.927607,56.482768,99.107524,17.156834,6.206066
0.020000,36.599014,284.976085,18.097048,58.472060,99.464623,17.854962,6.201789
0.020000,37.804164,284.875160,19.306416,60.468405,99.817237,17.630686,6.197505
0.020000,39.048796,284.765561,20.555865,62.472426,100.201027,19.189488,6.193229
0.020000,40.333011,284.646951,21.845545,64.484017,100.579569,18.927102,6.188972
0.020000,41.656912,284.519010,23.175614,66.503435,100.970879,19.565509,6.184747
0.020000,43.020608,284.381438,24.546232,68.530889,101.372698,20.090958,6.180569
0.020000,44.424208,284.233956,25.957559,70.566358,101.773483,20.039260,6.176452
0.020000,45.867832,284.076308,27.409764,72.610288,102.196475,21.149563,6.172408
0.020000,47.351600,283.908269,28.903018,74.662682,102.619736,21.163078,6.168454
0.020000,48.875642,283.729639,30.437493,76.723736,103.052663,21.646330,6.164602
0.020000,50.440091,283.540255,32.013363,78.793522,103.489324,21.833049,6.160869
0.020000,52.045092,283.339987,33.630810,80.872354,103.941604,22.614005,6.157269
0.020000,53.690794,283.128743,35.290014,82.960196,104.392083,22.523944,6.153817
0.020000,55.377359,282.906475,36.991163,85.057411,104.860779,23.434812,6.150530
0.020000,57.104958,282.673176,38.734443,87.164035,105.331163,23.519210,6.147424
0.020000,58.873773,282.428889,40.520048,89.280219,105.809220,23.902842,6.144514
0.020000,60.684002,282.173709,42.348174,91.406296,106.303842,24.731088,6.141817
0.020000,62.535852,281.907782,44.219020,93.542303,106.800329,24.824351,6.139351
0.020000,64.429546,281.631314,46.132789,95.688465,107.308125,25.389834,6.137132
0.020000,66.365325,281.344574,48.089690,97.845047,107.829113,26.049404,6.135178
0.020000,68.323845,281.050851,50.070112,99.021131,58.804164,-2451.247469,6.133521
0.020000,70.285643,280.753632,52.054297,99.209248,9.405851,-2469.915637,6.132183
0.020000,72.250801,280.453534,54.042237,99.396961,9.385660,-1.009585,6.131163
0.020000,74.219403,280.151173,56.033924,99.584356,9.369780,-0.793969,6.130460
0.020000,76.191539,279.847170,58.029353,99.771486,9.356503,-0.663847,6.130073
0.020000,78.167303,279.542145,60.028524,99.958519,9.351616,-0.244386,6.130003
0.020000,80.146790,279.236724,62.031434,100.145515,9.349785,-0.091546,6.130249
0.020000,82.130098,278.931535,64.038086,100.332602,9.354377,0.229596,6.130812
0.020000,84.117328,278.627209,66.048483,100.519847,9.362239,0.393107,6.131691
0.020000,86.108581,278.324383,68.062631,100.707410,9.378163,0.796209,6.132888
0.020000,88.103960,278.023697,70.080538,100.895338,9.396408,0.912253,6.134403
0.020000,90.103565,277.725797,72.102212,101.083712,9.418678,1.113475,6.136237
0.020000,92.107501,277.431334,74.127668,101.272764,9.452608,1.696507,6.138390
0.020000,94.115867,277.140967,76.156915,101.462359,9.479742,1.356695,6.140865
0.020000,96.128761,276.855359,78.189970,101.652768,9.520484,2.037146,6.143662
0.020000,98.146279,276.575180,80.226850,101.844002,9.561660,2.058784,6.146782
0.020000,100.168512,276.301110,82.267571,102.036033,9.601568,1.995391,6.150227
0.020000,102.195551,276.033834,84.312155,102.229215,9.659118,2.877509,6.153999
0.020000,104.227475,275.774047,86.360619,102.423189,9.698669,1.977530,6.158099
0.020000,106.264362,275.522450,88.412986,102.618358,9.758473,2.990209,6.162530
0.020000,108.306281,275.279755,90.469277,102.814535,9.808843,2.518496,6.167292
0.020000,110.353291,275.046682,92.529513,103.011794,9.862958,2.705737,6.172388
0.020000,112.405445,274.823959,94.593718,103.210247,9.922658,2.985029,6.177821
0.020000,114.462781,274.612325,96.661910,103.409616,9.968407,2.287433,6.183590
0.020000,116.525332,274.412527,98.734115,103.610280,10.033205,3.239930,6.189699
0.020000,118.593108,274.225321,100.810349,103.811669,10.069458,1.812630,6.196149
0.020000,120.666117,274.051472,102.890635,104.014300,10.131548,3.104496,6.202942
0.020000,122.744338,273.891753,104.974985,104.217485,10.159284,1.386791,6.210078
0.020000,124.827745,273.746945,107.063418,104.421673,10.209393,2.505472,6.217560
0.020000,126.916283,273.617838,109.155942,104.626220,10.227350,0.897835,6.225389
0.020000,129.009885,273.505226,111.252571,104.831429,10.260443,1.654677,6.233564
0.020000,131.108455,273.409912,113.353304,105.036671,10.262104,0.083023,6.242087
0.020000,133.211881,273.332701,115.458147,105.242147,10.273769,0.583256,6.250957
0.020000,135.320019,273.274404,117.567091,105.447202,10.252791,-1.048896,6.260175
0.020000,137.432706,273.235831,119.680130,105.651947,10.237216,-0.778732,6.269739
0.020000,139.549744,273.217796,121.797245,105.855717,10.188515,-2.435095,6.279648
0.020000,141.670910,273.221109,123.918414,106.058451,10.136713,-2.590090,0.006715
0.020000,143.795949,273.246577,126.043605,106.259584,10.056629,-4.004178,0.017307
0.020000,145.924575,273.295002,128.172782,106.458814,9.961529,-4.754997,0.028237
0.020000,148.056467,273.367178,130.305895,106.655676,9.843059,-5.923513,0.039499
0.020000,150.191271,273.463885,132.442889,106.849683,9.700360,-7.134940,0.051090
0.020000,152.328600,273.585893,134.583697,107.040387,9.535208,-8.257615,0.063004
0.020000,154.468027,273.733952,136.728241,107.227229,9.342083,-9.656220,0.075234
0.020000,156.609094,273.908793,138.876435,107.409683,9.122741,-10.967147,0.087773
0.020000,158.751304,274.111122,141.028179,107.587219,8.876790,-12.297531,0.100612
0.020000,160.894127,274.341620,143.183363,107.759194,8.598745,-13.902230,0.113742
0.020000,163.031804,274.600269,145.336631,107.663394,-4.789991,-669.436838,0.127121
0.020000,165.142326,274.884437,147.466197,106.478320,-59.253705,-2723.185665,0.140596
0.020000,167.208896,275.191063,149.555392,104.459710,-100.930522,-2083.840869,0.154039
0.020000,169.231013,275.518877,151.603908,102.425821,-101.694460,-38.196909,0.167425
0.020000,171.208206,275.866549,153.611436,100.376403,-102.470879,-38.820910,0.180728
0.020000,173.140082,276.232707,155.577706,98.313479,-103.146219,-33.767045,0.193924
0.020000,175.026264,276.615929,157.502424,96.235917,-103.878066,-36.592318,0.206989
0.020000,176.866462,277.014766,159.385347,94.146136,-104.489062,-30.549827,0.219902
0.020000,178.660419,277.427743,161.226225,92.043921,-105.110735,-31.083630,0.232642
0.020000,180.407939,277.853368,163.024831,89.930308,-105.680678,-28.497138,0.245189
0.020000,182.108887,278.290141,164.780961,87.806490,-106.190904,-25.511326,0.257527
0.020000,183.763169,278.736559,166.494420,85.672940,-106.677511,-24.330345,0.269639
0.020000,185.370748,279.191124,168.165030,83.530494,-107.122254,-22.237144,0.281510
0.020000,186.931642,279.652354,169.792643,81.380637,-107.492886,-18.531622,0.293127
0.020000,188.445877,280.118768,171.377082,79.221987,-107.932487,-21.980005,0.304476
0.020000,189.913578,280.588929,172.918250,77.058384,-108.180127,-12.382014,0.315548
0.020000,191.334877,281.061414,174.416026,74.888797,-108.479353,-14.961306,0.326333
0.020000,192.709955,281.534835,175.870319,72.714672,-108.706293,-11.347019,0.336822
0.020000,194.038987,282.007827,177.281009,70.534489,-109.009127,-15.141687,0.347008
