dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.059405,310.088993,0.007983,0.798274,39.913682,1995.684113,0.000830
0.020000,19.060747,310.088994,0.009325,0.067130,-36.557198,-3823.544025,0.000721
0.020000,19.062984,310.088995,0.011562,0.111822,2.234629,1939.591383,0.000538
0.020000,19.066112,310.088997,0.014690,0.156424,2.230089,-0.227017,0.000283
0.020000,19.080012,310.088997,0.028590,0.695008,26.929188,1234.954955,6.283140
0.020000,19.172726,310.088974,0.121304,4.635690,197.034117,8505.246453,6.282740
0.020000,19.282288,310.088900,0.230867,5.478116,42.121286,-7745.641569,6.282268
0.020000,19.408693,310.088749,0.357271,6.320219,42.105170,-0.805797,6.281724
0.020000,19.551935,310.088496,0.500513,7.162102,42.094125,-0.552227,6.281108
0.020000,19.712008,310.088108,0.660586,8.003672,42.078491,-0.781707,6.280423
0.020000,19.888904,310.087553,0.837484,8.844881,42.060482,-0.900465,6.279667
0.020000,20.082617,310.086791,1.031198,9.685698,42.040842,-0.982016,6.278841
0.020000,20.293136,310.085782,1.241720,10.526090,42.019599,-1.062137,6.277947
0.020000,20.520453,310.084482,1.469040,11.366026,41.996784,-1.140741,6.276985
0.020000,20.764557,310.082843,1.713150,12.205474,41.972429,-1.217744,6.275956
0.020000,21.025437,310.080814,1.974038,13.044406,41.946568,-1.293073,6.274860
0.020000,21.303081,310.078341,2.251693,13.882743,41.916871,-1.484861,6.273699
0.020000,21.597475,310.075367,2.546102,14.720457,41.885692,-1.558901,6.272473
0.020000,21.908606,310.071834,2.857253,15.557573,41.855779,-1.495660,6.271184
0.020000,22.236460,310.067677,3.185133,16.393970,41.819876,-1.795155,6.269833
0.020000,22.581018,310.062832,3.529725,17.229638,41.783386,-1.824499,6.268420
0.020000,22.942267,310.057232,3.891017,18.064588,41.747525,-1.793051,6.266948
0.020000,23.320187,310.050805,4.268992,18.898730,41.707067,-2.022896,6.265418
0.020000,23.714759,310.043480,4.663632,19.732030,41.665028,-2.101955,6.263830
0.020000,24.125965,310.035182,5.074922,20.564459,41.621466,-2.178125,6.262186
0.020000,24.553782,310.025833,5.502841,21.395988,41.576436,-2.251462,6.260488
0.020000,24.998190,310.015354,5.947373,22.226588,41.529996,-2.322037,6.258737
0.020000,25.459167,310.003666,6.408498,23.056232,41.482197,-2.389934,6.256935
0.020000,25.936685,309.990685,6.886193,23.884739,41.425352,-2.842231,6.255084
0.020000,26.430724,309.976328,7.380439,24.712343,41.380199,-2.257681,6.253185
0.020000,26.941253,309.960509,7.891214,25.538741,41.319877,-3.016081,6.251239
0.020000,27.468250,309.943143,8.418497,26.364126,41.269278,-2.529959,6.249250
0.020000,28.011682,309.924141,8.962261,27.188221,41.204719,-3.227962,6.247218
0.020000,28.571522,309.903414,9.522485,28.011182,41.148055,-2.833165,6.245147
0.020000,29.147740,309.880875,10.099143,28.832918,41.086793,-3.063097,6.243036
0.020000,29.740304,309.856434,10.692211,29.653371,41.022677,-3.205838,6.240890
0.020000,30.349180,309.829999,11.301661,30.472516,40.957261,-3.270775,6.238710
0.020000,30.974337,309.801482,11.927468,31.290329,40.890613,-3.332403,6.236497
0.020000,31.615739,309.770793,12.569603,32.106784,40.822792,-3.391037,6.234255
