dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.079391,285.339001,0.017910,1.791045,89.552239,4477.611940,0.000785
0.020000,19.076318,285.338999,0.020983,0.153624,-81.871014,-8571.162631,0.000539
0.020000,19.071203,285.338997,0.026098,0.255730,5.105269,4348.814125,0.000130
0.020000,19.160937,285.338977,0.115831,4.486660,211.546486,10322.060840,6.282744
0.020000,19.312964,285.338854,0.267858,7.601358,155.734908,-2790.578856,6.282010
0.020000,19.498809,285.338553,0.453703,9.292269,84.545541,-3559.468348,6.281117
0.020000,19.718492,285.337983,0.673388,10.984219,84.597532,2.599541,6.280065
0.020000,19.972039,285.337038,0.926936,12.677414,84.659740,3.110386,6.278856
0.020000,20.259475,285.335597,1.214375,14.371958,84.727190,3.372506,6.277493
0.020000,20.580831,285.333524,1.535738,16.068168,84.810529,4.166951,6.275978
0.020000,20.936143,285.330668,1.891062,17.766157,84.899429,4.444986,6.274314
0.020000,21.325447,285.326861,2.280384,19.466129,84.998577,4.957419,6.272505
0.020000,21.748784,285.321926,2.703750,21.168304,85.108774,5.509830,6.270553
0.020000,22.206197,285.315669,3.161205,22.872762,85.222908,5.706705,6.268463
0.020000,22.697733,285.307884,3.652803,24.579877,85.355759,6.642537,6.266239
0.020000,23.223440,285.298354,4.178597,26.289701,85.491176,6.770887,6.263884
0.020000,23.783371,285.286850,4.738646,28.002452,85.637555,7.318920,6.261405
0.020000,24.377580,285.273131,5.333013,29.718357,85.795259,7.885202,6.258805
0.020000,25.006124,285.256948,5.961766,31.437624,85.963330,8.403545,6.256090
0.020000,25.669061,285.238042,6.624972,33.160309,86.134275,8.547237,6.253266
0.020000,26.366452,285.216146,7.322707,34.886766,86.322818,9.427185,6.250339
0.020000,27.098362,285.190986,8.055049,36.617112,86.517325,9.725334,6.247314
0.020000,27.864856,285.162280,8.822080,38.351550,86.721875,10.227501,6.244199
0.020000,28.665999,285.129743,9.623884,40.090160,86.930544,10.433449,6.241000
0.020000,29.501862,285.093085,10.460551,41.833348,87.159366,11.441109,6.237724
0.020000,30.372514,285.052013,11.332171,43.581012,87.383229,11.193154,6.234379
0.020000,31.278029,285.006232,12.238842,45.333582,87.628486,12.262841,6.230973
0.020000,32.218482,284.955446,13.180665,47.091127,87.877254,12.438420,6.227513
0.020000,33.193945,284.899361,14.157739,48.853723,88.129768,12.625656,6.224007
0.020000,34.204500,284.837684,15.170175,50.621755,88.401604,13.591814,6.220465
0.020000,35.250223,284.770126,16.218078,52.395161,88.670338,13.436726,6.216894
0.020000,36.331198,284.696404,17.301564,54.174286,88.956255,14.295811,6.213304
0.020000,37.447507,284.616238,18.420747,55.959190,89.245159,14.445205,6.209705
0.020000,38.599236,284.529360,19.575749,57.750079,89.544490,14.966587,6.206105
0.020000,39.786471,284.435509,20.766688,59.546949,89.843476,14.949256,6.202514
0.020000,41.009306,284.334436,21.993693,61.350248,90.164937,16.073064,6.198943
0.020000,42.267831,284.225905,23.256889,63.159798,90.477532,15.629741,6.195402
0.020000,43.562144,284.109694,24.556408,64.975950,90.807589,16.502851,6.191901
0.020000,44.892342,283.985598,25.892382,66.798729,91.138941,16.567621,6.188451
0.020000,46.258531,283.853430,27.264949,68.628354,91.481273,17.116583,6.185062
0.020000,47.660819,283.713023,28.674249,70.464975,91.831027,17.487733,6.181746
0.020000,49.099317,283.564231,30.120421,72.308617,92.182120,17.554606,6.178515
0.020000,50.574141,283.406934,31.603610,74.159441,92.541171,17.952566,6.175379
0.020000,52.085416,283.241035,33.123963,76.017655,92.910735,18.478197,6.172351
0.020000,53.633268,283.066468,34.681629,77.883274,93.280931,18.509831,6.169441
0.020000,55.217837,282.883195,36.276761,79.756625,93.667560,19.331410,6.166664
0.020000,56.839263,282.691211,37.909513,81.637594,94.048434,19.043723,6.164031
0.020000,58.497698,282.490546,39.580044,83.526537,94.447131,19.934849,6.161554
0.020000,60.193301,282.281265,41.288514,85.423484,94.847356,20.011231,6.159246
0.020000,61.926242,282.063475,43.035086,87.328626,95.257130,20.488732,6.157121
0.020000,63.696698,281.837322,44.819928,89.242095,95.673412,20.814109,6.155192
0.020000,65.504859,281.602998,46.643209,91.164075,96.099022,21.280467,6.153473
0.020000,67.350926,281.360742,48.505104,93.094741,96.533316,21.714689,6.151976
0.020000,69.235113,281.110842,50.405790,95.034299,96.977900,22.229211,6.150718
0.020000,71.157643,280.853638,52.345449,96.982925,97.431291,22.669545,6.149711
0.020000,73.118755,280.589529,54.324265,98.940833,97.895404,23.205668,6.148972
0.020000,75.118702,280.318970,56.342430,100.908243,98.370478,23.753674,6.148515
0.020000,77.157750,280.042479,58.400139,102.885423,98.859028,24.427523,6.148355
0.020000,79.236180,279.760640,60.497591,104.872608,99.359213,25.009274,6.148510
0.020000,81.354289,279.474109,62.634992,106.870080,99.873637,25.721156,6.148994
0.020000,83.512388,279.183612,64.812555,108.878128,100.402403,26.438307,6.149826
0.020000,85.710803,278.889956,67.030496,110.897053,100.946219,27.190822,6.151023
0.020000,87.949876,278.594028,69.289041,112.927221,101.508408,28.109441,6.152602
0.020000,90.229964,278.296806,71.588419,114.968932,102.085546,28.856879,6.154582
0.020000,92.551437,277.999356,73.928870,117.022552,102.680995,29.772490,6.156982
0.020000,94.914677,277.702843,76.310639,119.088453,103.295043,30.702390,6.159822
0.020000,97.320081,277.408535,78.733981,121.167105,103.932629,31.879316,6.163122
0.020000,99.749896,277.119932,81.180876,122.344716,58.880565,-2252.603240,6.166874
0.020000,102.186181,276.840356,83.633150,122.613729,13.450628,-2271.496831,6.171056
0.020000,104.629047,276.570905,86.090832,122.884066,13.516847,3.310929,6.175671
