dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.287484,310.088931,0.007988,0.798763,39.938126,1996.906283,0.003294
0.020000,19.291637,310.088944,0.012140,0.207639,-29.556152,-3474.713902,0.002955
0.020000,19.298555,310.088962,0.019059,0.345919,6.913954,1823.505305,0.002390
0.020000,19.308234,310.088982,0.028738,0.483976,6.902894,-0.552997,0.001600
0.020000,19.320669,310.088995,0.041173,0.621724,6.887376,-0.775911,0.000585
0.020000,19.382264,310.088979,0.102767,3.079734,122.900503,5800.656362,6.282531
0.020000,19.504019,310.088811,0.224523,6.087784,150.402496,1375.099676,6.281068
0.020000,19.644477,310.088395,0.364981,7.022909,46.756233,-5182.313144,6.279383
0.020000,19.803615,310.087638,0.524122,7.957015,46.705328,-2.545256,6.277477
0.020000,19.981423,310.086434,0.701933,8.890574,46.677931,-1.369863,6.275350
0.020000,20.177882,310.084664,0.898400,9.823346,46.638628,-1.965165,6.273006
0.020000,20.392959,310.082199,1.113492,10.754583,46.561854,-3.838665,6.270444
0.020000,20.626638,310.078897,1.347194,11.685133,46.527482,-1.718609,6.267667
0.020000,20.878890,310.074605,1.599483,12.614427,46.464706,-3.138828,6.264678
0.020000,21.149683,310.069159,1.870330,13.542351,46.396212,-3.424688,6.261477
0.020000,21.438980,310.062384,2.159706,14.468812,46.323006,-3.660318,6.258068
0.020000,21.746742,310.054096,2.467581,15.393720,46.245421,-3.879240,6.254453
0.020000,22.072929,310.044097,2.793920,16.316996,46.163807,-4.080690,6.250635
0.020000,22.417495,310.032184,3.138692,17.238567,46.078528,-4.263953,6.246617
0.020000,22.780375,310.018142,3.501844,18.157618,45.952578,-6.297501,6.242401
0.020000,23.161526,310.001746,3.883347,19.075145,45.876318,-3.812982,6.237992
0.020000,23.560892,309.982764,4.283164,19.990862,45.785854,-4.523234,6.233393
0.020000,23.978382,309.960956,4.701223,20.902959,45.604848,-9.050284,6.228607
0.020000,24.413956,309.936073,5.137508,21.814221,45.563116,-2.086572,6.223639
0.020000,24.867507,309.907861,5.591935,22.721373,45.357613,-10.275184,6.218492
0.020000,25.338973,309.876057,6.064472,23.626836,45.273126,-4.224333,6.213173
0.020000,25.828264,309.840393,6.555061,24.529464,45.131413,-7.085673,6.207683
0.020000,26.335274,309.800597,7.063631,25.428499,44.951738,-8.983733,6.202030
0.020000,26.859904,309.756390,7.590120,26.324438,44.796950,-7.739417,6.196218
0.020000,27.402053,309.707490,8.134470,27.217490,44.652602,-7.217362,6.190252
0.020000,27.961607,309.653610,8.696612,28.107113,44.481159,-8.572160,6.184138
0.020000,28.538447,309.594463,9.276477,28.993239,44.306302,-8.742841,6.177881
0.020000,29.132450,309.529756,9.873993,29.875816,44.128831,-8.873568,6.171488
0.020000,29.743469,309.459200,10.489072,30.753963,43.907372,-11.072941,6.164965
0.020000,30.371372,309.382500,11.121643,31.628528,43.728251,-8.956066,6.158317
0.020000,31.016029,309.299363,11.771639,32.499793,43.563232,-8.250948,6.151552
0.020000,31.677284,309.209495,12.438972,33.366676,43.344187,-10.952239,6.144676
0.020000,32.354960,309.112609,13.123539,34.228325,43.082413,-13.088710,6.137696
0.020000,33.048934,309.008410,13.825292,35.087662,42.966866,-5.777362,6.130618
0.020000,33.758993,308.896618,14.544098,35.940290,42.631376,-16.774500,6.123451
0.020000,34.485003,308.776946,15.279905,36.790361,42.503585,-6.389528,6.116201
0.020000,35.226786,308.649114,16.032622,37.635854,42.274617,-11.448408,6.108876
0.020000,35.984123,308.512856,16.802119,38.474816,41.948118,-16.324953,6.101483
0.020000,36.756863,308.367896,17.588338,39.310983,41.808332,-6.989317,6.094030
0.020000,37.544815,308.213972,18.391183,40.142258,41.563792,-12.226980,6.086524
0.020000,38.347783,308.050829,19.210557,40.968683,41.321205,-12.129347,6.078973
0.020000,39.165571,307.878219,20.046363,41.790314,41.081569,-11.981814,6.071384
0.020000,39.997984,307.695900,20.898508,42.607230,40.845785,-11.789212,6.063766
0.020000,40.844823,307.503639,21.766898,43.419523,40.614656,-11.556416,6.056126
0.020000,41.705895,307.301209,22.651444,44.227301,40.388890,-11.288315,6.048471
0.020000,42.581003,307.088394,23.552058,45.030682,40.169094,-10.989788,6.040809
0.020000,43.469917,306.864995,24.468614,45.827792,39.855471,-15.681167,6.033149
0.020000,44.372461,306.630809,25.401046,46.621591,39.689957,-8.275694,6.025497
0.020000,45.288460,306.385643,26.349286,47.412018,39.521350,-8.430336,6.017860
0.020000,46.217652,306.129337,27.313180,48.194715,39.134851,-19.324943,6.010247
0.020000,47.159915,305.861705,28.292714,48.976668,39.097674,-1.858852,6.002663
0.020000,48.114988,305.582609,29.287731,49.750855,38.709311,-19.418176,5.995118
0.020000,49.082744,305.291887,30.298211,50.524024,38.658467,-2.542188,5.987616
0.020000,50.062943,304.989419,31.324016,51.290255,38.311566,-17.345070,5.980166
0.020000,51.055423,304.675076,32.365088,52.053576,38.166051,-7.275717,5.972774
0.020000,52.060018,304.348741,33.421357,52.813470,37.994693,-8.567918,5.965446
0.020000,53.076546,304.010315,34.492740,53.569127,37.782845,-10.592415,5.958190
0.020000,54.104829,303.659709,35.579152,54.320616,37.574421,-10.421184,5.951010
0.020000,55.144694,303.296848,36.680509,55.067828,37.360634,-10.689359,5.943913
0.020000,56.195998,302.921657,37.796756,55.812380,37.227597,-6.651864,5.936905
0.020000,57.258589,302.534079,38.927825,56.553429,37.052426,-8.758509,5.929991
0.020000,58.332316,302.134068,40.073643,57.290904,36.873747,-8.933976,5.923178
