dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,19.043035,310.338969,0.017910,1.791045,89.552239,4477.611940,0.002123
0.020000,19.053103,310.338986,0.027979,0.503437,-64.380399,-7696.631883,0.001318
0.020000,19.071539,310.338997,0.046415,0.921790,20.917636,4264.901754,6.283161
0.020000,19.220443,310.338853,0.195319,7.445208,326.170944,15262.665390,6.281279
0.020000,19.411909,310.338257,0.386786,9.573334,106.406295,-10988.232466,6.278857
0.020000,19.645971,310.336897,0.620851,11.703283,106.497425,4.556497,6.275892
0.020000,19.922705,310.334393,0.897598,13.837302,106.700980,10.177790,6.272381
0.020000,20.242080,310.330294,1.216999,15.970053,106.637511,-3.173462,6.268321
0.020000,20.604164,310.324076,1.579135,18.106843,106.839510,10.099956,6.263708
0.020000,21.008997,310.315143,1.984067,20.246601,106.987917,7.420321,6.258538
0.020000,21.456583,310.302826,2.431823,22.387767,107.058285,3.518416,6.252807
0.020000,21.946944,310.286381,2.922459,24.531818,107.202534,7.212465,6.246511
0.020000,22.480080,310.264988,3.456025,26.678273,107.322772,6.011906,6.239646
0.020000,23.056001,310.237751,4.032589,28.828222,107.497471,8.734934,6.232207
0.020000,23.674660,310.203701,4.652185,30.979797,107.578706,4.061726,6.224192
0.020000,24.335989,310.161790,5.314841,33.132788,107.649556,3.542523,6.215597
0.020000,25.039911,310.110895,6.020599,35.287929,107.757053,5.374849,6.206419
0.020000,25.786322,310.049818,6.769506,37.445318,107.869468,5.620731,6.196655
0.020000,26.575047,309.977286,7.561558,39.602637,107.865938,-0.176470,6.186307
0.020000,27.405830,309.891963,8.396711,41.757634,107.749845,-5.804686,6.175374
0.020000,28.278458,309.792432,9.274997,43.914319,107.834281,4.221821,6.163857
0.020000,29.192554,309.677223,10.196325,46.066401,107.604074,-11.510364,6.151762
0.020000,30.147739,309.544801,11.160646,48.216008,107.480352,-6.186075,6.139094
0.020000,31.143509,309.393584,12.167832,50.359337,107.166441,-15.695540,6.125861
0.020000,32.179317,309.221940,13.217765,52.496623,106.864308,-15.106661,6.112075
0.020000,33.254487,309.028207,14.310250,54.624244,106.381043,-24.163247,6.097750
0.020000,34.368284,308.810694,15.445088,56.741901,105.882849,-24.909721,6.082903
0.020000,35.519840,308.567701,16.622001,58.845656,105.187748,-34.755067,6.067554
0.020000,36.708213,308.297524,17.840700,60.934957,104.465061,-36.134319,6.051729
0.020000,37.932331,307.998479,19.100816,63.005798,103.542062,-46.149961,6.035456
0.020000,39.191040,307.668907,20.401956,65.057011,102.560654,-49.070402,6.018766
0.020000,40.483053,307.307203,21.743645,67.084423,101.370590,-59.503200,6.001699
0.020000,41.807014,306.911820,23.125383,69.086907,100.124203,-62.319324,5.984292
0.020000,43.161464,306.481294,24.546610,71.061359,98.722621,-70.079095,5.966593
0.020000,44.544861,306.014259,26.006716,73.005306,97.197316,-76.265254,5.948648
0.020000,45.955600,305.509458,27.505052,74.916778,95.573607,-81.185492,5.930511
0.020000,47.392025,304.965764,29.040929,76.793845,93.853342,-86.013219,5.912236
0.020000,48.852431,304.382192,30.613615,78.634317,92.023598,-91.487188,5.893882
0.020000,50.335096,303.757908,32.222350,80.436733,90.120832,-95.138297,5.875509
0.020000,51.838308,303.092235,33.866359,82.200452,88.185914,-96.745917,5.857181
0.020000,53.360366,302.384663,35.544845,83.924339,86.194356,-99.577914,5.838960
0.020000,54.899613,301.634854,37.257006,85.608052,84.185660,-100.434812,5.820910
0.020000,56.454453,300.842637,39.002038,87.251600,82.177416,-100.412206,5.803097
0.020000,58.023372,300.008013,40.779144,88.855291,80.184518,-99.644853,5.785583
0.020000,59.604950,299.131145,42.587538,90.419664,78.218689,-98.291465,5.768432
0.020000,61.197885,298.212360,44.426452,91.945726,76.303072,-95.780835,5.751705
0.020000,62.801002,297.252132,46.295147,93.434759,74.451675,-92.569895,5.735462
0.020000,64.413262,296.251088,48.192901,94.887711,72.647563,-90.205571,5.719760
0.020000,66.033778,295.209988,50.119027,96.306295,70.929229,-85.916728,5.704653
0.020000,67.661813,294.129724,52.072862,97.691719,69.271177,-82.902573,5.690196
0.020000,69.296797,293.011304,54.053780,99.045892,67.708663,-78.125709,5.676437
0.020000,70.938313,291.855858,56.061174,100.369717,66.191261,-75.870108,5.663427
0.020000,72.586112,290.664619,58.094469,101.664777,64.753008,-71.912637,5.651210
0.020000,74.240103,289.438931,60.153109,102.931978,63.360018,-69.649484,5.639831
0.020000,75.900352,288.180235,62.236554,104.172261,62.014139,-67.293953,5.629334
0.020000,77.567077,286.890081,64.344271,105.385838,60.678886,-66.762641,5.619761
0.020000,79.240653,285.570115,66.475742,106.573527,59.384427,-64.722984,5.611153
0.020000,80.921595,284.222095,68.630439,107.734886,58.067949,-65.823891,5.603553
0.020000,82.610557,282.847890,70.807830,108.869544,56.732901,-66.752424,5.597003
0.020000,84.308325,281.449492,73.007360,109.976520,55.348799,-69.205077,5.591548
0.020000,86.015816,280.029020,75.228456,111.054787,53.913375,-71.771220,5.587233
0.020000,87.734065,278.588742,77.470504,112.102398,52.380551,-76.641196,5.584108
0.020000,89.464220,277.131081,79.732851,113.117348,50.747465,-81.654283,5.582225
0.020000,91.207538,275.658635,82.014792,114.097060,48.985599,-88.093292,5.581640
0.020000,92.965374,274.174199,84.315561,115.038420,47.068006,-95.879670,5.582414
0.020000,94.739171,272.680785,86.634319,115.937936,44.975792,-104.610668,5.584615
0.020000,96.530452,271.181641,88.970154,116.791713,42.688859,-114.346650,5.588316
0.020000,98.327425,269.691324,91.304710,116.727839,-3.193680,-2294.126949,5.593551
0.020000,100.118496,268.223942,93.620126,115.770759,-47.854020,-2233.017019,5.600317
0.020000,101.905463,266.782304,95.916115,114.799486,-48.563631,-35.480567,5.608638
0.020000,103.689985,265.369272,98.192336,113.811047,-49.421959,-42.916379,5.618539
0.020000,105.473604,263.987756,100.448413,112.803823,-50.361175,-46.960794,5.630052
0.020000,107.257719,262.640721,102.683938,111.776236,-51.379392,-50.910839,5.643209
0.020000,109.043594,261.331180,104.898491,110.727661,-52.428745,-52.467684,5.658043
0.020000,110.832349,260.062181,107.091663,109.658617,-53.452203,-51.172871,5.674587
0.020000,112.624964,258.836794,109.263077,108.570686,-54.396559,-47.217814,5.692872
0.020000,114.422268,257.658091,111.412413,107.466820,-55.193263,-39.835200,5.712922
0.020000,116.224967,256.529107,113.539460,106.352338,-55.724128,-26.543268,5.734755
0.020000,118.033626,255.452821,115.644130,105.233502,-55.941764,-10.881792,5.758377
0.020000,119.848703,254.432111,117.726522,104.119591,-55.695591,12.308666,5.783781
0.020000,121.670567,253.469708,119.786960,103.021905,-54.884293,40.564865,5.810941
0.020000,123.499517,252.568166,121.826038,101.953909,-53.399806,74.224372,5.839809
0.020000,125.335821,251.729814,123.844662,100.931211,-51.134904,113.245086,5.870313
0.020000,127.179739,250.956728,125.844086,99.971198,-48.000601,156.715179,5.902352
0.020000,129.031559,250.250708,127.825929,99.092128,-43.953520,202.354019,5.935797
0.020000,130.891607,249.613263,129.792173,98.312220,-38.995423,247.904884,5.970489
0.020000,132.760282,249.045603,131.745167,97.649697,-33.126154,293.463420,6.006241
0.020000,134.638012,248.548661,133.687542,97.118728,-26.548419,328.886762,6.042842
0.020000,136.525282,248.123091,135.622199,96.732862,-19.293286,362.756658,6.080061
0.020000,138.422554,247.769305,137.552175,96.498785,-11.703863,379.471147,6.117654
0.020000,140.330234,247.487478,139.480559,96.419238,-3.977349,386.325713,6.155374
0.020000,142.248626,247.277568,141.410402,96.492127,3.644433,381.089071,6.192976
0.020000,144.177899,247.139322,143.344621,96.710969,10.942097,364.883227,6.230230
0.020000,146.117988,247.072281,145.285868,97.062340,17.568539,331.322101,6.266920
0.020000,148.128965,247.070906,147.296846,100.548884,174.327230,7837.934521,0.005350
0.020000,150.558821,247.080730,149.726722,121.493816,1047.246598,43645.968389,0.002960
0.020000,152.971865,247.086345,152.139772,120.652498,-42.065897,-54465.624708,0.001916
0.020000,155.368203,247.091019,154.536115,119.817147,-41.767561,14.916782,0.002208
0.020000,157.747796,247.097946,156.915718,118.980131,-41.850820,-4.162939,0.003840
0.020000,160.110438,247.110274,159.278392,118.133727,-42.320185,-23.468250,0.006826
0.020000,162.455746,247.131126,161.623792,117.270012,-43.185770,-43.279254,0.011194
0.020000,164.783135,247.163630,163.951408,116.380804,-44.460385,-63.730762,0.016985
0.020000,167.091806,247.210936,166.260565,115.457803,-46.150031,-84.482304,0.024252
0.020000,169.380708,247.276232,168.550398,114.491673,-48.306485,-107.822715,0.033065
0.020000,171.648515,247.362764,170.819854,113.472823,-50.942520,-131.801709,0.043507
0.020000,173.893581,247.473840,173.067667,112.390607,-54.110817,-158.414882,0.055681
0.020000,176.113917,247.612839,175.292349,111.234122,-57.824259,-185.672086,0.069705
0.020000,178.307133,247.783206,177.492172,109.991161,-62.148045,-216.189288,0.085718
0.020000,180.470390,247.988446,179.665144,108.648580,-67.129014,-249.048438,0.103878
0.020000,182.592240,248.231080,181.800821,106.783876,-93.235216,-1305.310119,0.124283
0.020000,184.653817,248.511853,183.881430,104.030454,-137.671080,-2221.793186,0.146923
0.020000,186.644832,248.831356,185.897918,100.824400,-160.302743,-1131.583185,0.171826
0.020000,188.562656,249.190614,187.849101,97.559143,-163.262820,-148.003848,0.199088
0.020000,190.404566,249.590232,189.733863,94.238092,-166.052554,-139.486673,0.228797
0.020000,192.167876,250.030349,191.551269,90.870279,-168.390634,-116.904000,0.261028
0.020000,193.850078,250.510616,193.300686,87.470849,-169.971509,-79.043750,0.295831
0.020000,195.449008,251.030187,194.981915,84.061458,-170.469586,-24.903872,0.333223
0.020000,196.963035,251.587743,196.595342,80.671364,-169.504701,48.244281,0.373173
0.020000,198.391258,252.181562,198.142095,77.337621,-166.687128,140.878616,0.415590
0.020000,199.733692,252.809638,199.624190,74.104778,-161.642146,252.249139,0.460314
0.020000,200.991379,253.469823,201.044620,71.021476,-154.165080,373.853256,0.507105
0.020000,202.166453,254.160023,202.407402,68.139104,-144.118620,502.323040,0.555641
0.020000,203.262069,254.878355,203.717507,65.505261,-131.692145,621.323748,0.605526
0.020000,204.282235,255.623285,204.980702,63.159735,-117.276329,720.790775,0.656298
0.020000,205.231544,256.393683,206.203281,61.128957,-101.538895,786.871700,0.707454
0.020000,206.114857,257.188778,207.391732,59.422579,-85.318870,811.001257,0.758474
0.020000,206.936988,258.008036,208.552371,58.031949,-69.531530,789.367018,0.808855
0.020000,207.702442,258.850969,209.690991,56.930994,-55.047715,724.190725,0.858131
0.020000,208.415257,259.716941,210.812604,56.080636,-42.517896,626.490938,0.905904
0.020000,209.078933,260.604993,211.921252,55.432412,-32.411223,505.333661,0.951848
0.020000,209.696451,261.513728,213.019946,54.934693,-24.885963,376.263019,0.995724
0.020000,210.270357,262.441277,214.110686,54.537012,-19.884029,250.096678,1.037372
0.020000,210.802868,263.385324,215.194565,54.193933,-17.153963,136.503298,1.076703
0.020000,211.295974,264.343171,216.271888,53.866168,-16.388241,38.286107,1.113694
0.020000,211.751537,265.311868,217.342360,53.523592,-17.128825,-37.029207,1.148368
0.020000,212.171337,266.288267,218.405181,53.141049,-19.127137,-99.915587,1.180789
0.020000,212.557147,267.269197,219.459256,52.703727,-21.866077,-136.947014,1.211044
0.020000,212.910728,268.251502,220.503259,52.200155,-25.178616,-165.626961,1.239241
0.020000,213.233834,269.232095,221.535712,51.622661,-28.874717,-184.805046,1.265496
0.020000,213.528230,270.208066,222.555118,50.970285,-32.618792,-187.203729,1.289928
0.020000,213.795672,271.176687,223.559982,50.243210,-36.353755,-186.748135,1.312660
0.020000,214.037885,272.135400,224.548818,49.441821,-40.069424,-185.783472,1.333807
0.020000,214.256567,273.081878,225.520231,48.570650,-43.558551,-174.456362,1.353483
0.020000,214.453369,274.013993,226.472896,47.633224,-46.871284,-165.636651,1.371795
0.020000,214.629883,274.929788,227.405547,46.632536,-50.034433,-158.157436,1.388841
0.020000,214.787646,275.827531,228.317046,45.574965,-52.878528,-142.204768,1.404713
0.020000,214.928128,276.705664,229.206345,44.464981,-55.499220,-131.034579,1.419499
