dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,78.709211,131.463101,0.008000,0.800000,40.000000,2000.000000,0.001459
0.020000,78.711677,131.463104,0.010466,0.123294,-33.835278,-3691.763896,0.001251
0.020000,78.715786,131.463109,0.014575,0.205457,4.108125,1897.170167,0.000903
0.020000,78.721537,131.463113,0.020326,0.287569,4.105584,-0.127086,0.000417
0.020000,78.752985,131.463111,0.051774,1.572391,64.241125,3006.777058,6.282976
0.020000,78.850023,131.463053,0.148812,4.851902,163.975557,4986.721594,6.282212
0.020000,78.964693,131.462890,0.263482,5.733497,44.079742,-5994.790738,6.281309
0.020000,79.096999,131.462573,0.395789,6.615329,44.091610,0.593392,6.280268
0.020000,79.246952,131.462047,0.545743,7.497700,44.118512,1.345088,6.279088
0.020000,79.414535,131.461250,0.713327,8.379210,44.075525,-2.149323,6.277769
0.020000,79.599747,131.460112,0.898543,9.260785,44.078756,0.161525,6.276313
0.020000,79.802587,131.458556,1.101389,10.142292,44.075342,-0.170673,6.274718
0.020000,80.023049,131.456498,1.321861,11.023600,44.065380,-0.498132,6.272986
0.020000,80.261126,131.453848,1.559952,11.904579,44.048974,-0.820268,6.271117
0.020000,80.516828,131.450505,1.815676,12.786203,44.081193,1.610963,6.269110
0.020000,80.790134,131.446365,2.089013,13.666855,44.032619,-2.428699,6.266967
0.020000,81.081034,131.441315,2.379958,14.547226,44.018539,-0.704003,6.264687
0.020000,81.389531,131.435234,2.688514,15.427826,44.029988,0.572410,6.262271
0.020000,81.715611,131.427997,3.014674,16.308006,44.009013,-1.048728,6.259719
0.020000,82.059255,131.419470,3.358425,17.187506,43.974978,-1.701751,6.257033
0.020000,82.420456,131.409512,3.719763,18.066920,43.970709,-0.213449,6.254212
0.020000,82.799203,131.397975,4.098685,18.946096,43.958827,-0.594092,6.251258
0.020000,83.195478,131.384706,4.495183,19.824887,43.939535,-0.964591,6.248170
0.020000,83.609264,131.369544,4.909246,20.703148,43.913048,-1.324355,6.244950
0.020000,84.040535,131.352322,5.340860,21.580740,43.879592,-1.672823,6.241599
0.020000,84.489264,131.332868,5.790011,22.457528,43.839403,-2.009458,6.238117
0.020000,84.955447,131.310999,6.256707,23.334793,43.863238,1.191787,6.234505
0.020000,85.439031,131.286533,6.740909,24.210118,43.766260,-4.848941,6.230765
0.020000,85.940009,131.259275,7.242629,25.085976,43.792928,1.333411,6.226897
0.020000,86.458329,131.229030,7.761831,25.960092,43.705799,-4.356454,6.222904
0.020000,86.993961,131.195595,8.298504,26.833692,43.679969,-1.291486,6.218785
0.020000,87.546867,131.158760,8.852636,27.706597,43.645270,-1.734938,6.214544
0.020000,88.117007,131.118313,9.424209,28.578638,43.602056,-2.160699,6.210181
0.020000,88.704333,131.074035,10.013202,29.449652,43.550691,-2.568252,6.205698
0.020000,89.308794,131.025702,10.619592,30.319483,43.491548,-2.957142,6.201096
0.020000,89.930330,130.973089,11.243351,31.187983,43.425009,-3.326974,6.196379
0.020000,90.568883,130.915963,11.884455,32.055155,43.358590,-3.320964,6.191547
0.020000,91.224406,130.854088,12.542891,32.921835,43.333978,-1.230598,6.186604
0.020000,91.896812,130.787227,13.218613,33.786101,43.213297,-6.034017,6.181551
0.020000,92.586044,130.715137,13.911605,34.649569,43.173404,-1.994666,6.176391
0.020000,93.292023,130.637572,14.621832,35.511345,43.088790,-4.230691,6.171126
0.020000,94.014664,130.554287,15.349257,36.371268,42.996173,-4.630847,6.165760
0.020000,94.753886,130.465033,16.093848,37.229532,42.913206,-4.148348,6.160296
0.020000,95.509598,130.369557,16.855567,38.085965,42.821649,-4.577887,6.154735
0.020000,96.281705,130.267610,17.634375,38.940406,42.722066,-4.979131,6.149083
0.020000,97.070106,130.158937,18.430230,39.792748,42.617092,-5.248702,6.143342
0.020000,97.874706,130.043286,19.243099,40.643473,42.536226,-4.043311,6.137516
0.020000,98.695382,129.920406,20.072924,41.491212,42.386985,-7.462029,6.131608
0.020000,99.532030,129.790042,20.919668,42.337201,42.299428,-4.377846,6.125623
0.020000,100.384523,129.651947,21.783273,43.180261,42.152983,-7.322281,6.119565
0.020000,101.244155,129.507341,22.654983,43.585508,20.262346,-1094.531831,6.113498
0.020000,102.102270,129.357655,23.526055,43.553612,-1.594801,-1092.857332,6.107485
0.020000,102.958829,129.202952,24.396473,43.520876,-1.636769,-2.098390,6.101527
0.020000,103.813800,129.043295,25.266223,43.487510,-1.668320,-1.577573,6.095626
0.020000,104.667157,128.878747,26.135300,43.453843,-1.683317,-0.749875,6.089782
0.020000,105.518865,128.709375,27.003685,43.419255,-1.729430,-2.305609,6.083996
0.020000,106.368894,128.535245,27.871366,43.384078,-1.758852,-1.471110,6.078270
0.020000,107.217219,128.356423,28.738334,43.348380,-1.784886,-1.301733,6.072604
0.020000,108.063819,128.172976,29.604581,43.312358,-1.801114,-0.811369,6.067000
0.020000,108.908665,127.984972,30.470093,43.275579,-1.838931,-1.890852,6.061457
0.020000,109.751736,127.792482,31.334859,43.238326,-1.862662,-1.186531,6.055977
0.020000,110.593012,127.595573,32.198872,43.200634,-1.884591,-1.096491,6.050562
0.020000,111.432476,127.394315,33.062125,43.162646,-1.899385,-0.739685,6.045210
0.020000,112.270109,127.188779,33.924606,43.124065,-1.929088,-1.485163,6.039924
0.020000,113.105895,126.979035,34.786308,43.085095,-1.948461,-0.968648,6.034704
0.020000,113.939819,126.765155,35.647223,43.045759,-1.966804,-0.917137,6.029550
0.020000,114.771872,126.547207,36.507347,43.006177,-1.979108,-0.615186,6.024464
0.020000,115.602039,126.325266,37.366670,42.966147,-2.001532,-1.121209,6.019445
0.020000,116.430312,126.099400,38.225186,42.925805,-2.017088,-0.777806,6.014494
0.020000,117.256680,125.869684,39.082889,42.885177,-2.031386,-0.714898,6.009612
0.020000,118.081140,125.636186,39.939776,42.844323,-2.042690,-0.565176,6.004799
0.020000,118.903684,125.398981,40.795839,42.803175,-2.057412,-0.736145,6.000056
0.020000,119.724307,125.158138,41.651075,42.761779,-2.069813,-0.620051,5.995383
0.020000,120.543007,124.913730,42.505478,42.720170,-2.080426,-0.530639,5.990780
0.020000,121.359782,124.665828,43.359046,42.678374,-2.089834,-0.470370,5.986248
0.020000,122.174632,124.414503,44.211774,42.636386,-2.099401,-0.478353,5.981787
0.020000,122.987557,124.159827,45.063658,42.594221,-2.108211,-0.440531,5.977398
0.020000,123.798560,123.901870,45.914696,42.551910,-2.115558,-0.367315,5.973080
0.020000,124.607642,123.640704,46.764885,42.509464,-2.122310,-0.337634,5.968833
0.020000,125.414808,123.376399,47.614223,42.466879,-2.129231,-0.346034,5.964659
0.020000,126.220063,123.109025,48.462707,42.424199,-2.134039,-0.240380,5.960557
0.020000,127.023414,122.838652,49.310336,42.381427,-2.138569,-0.226497,5.956528
0.020000,127.824868,122.565350,50.157107,42.338578,-2.142482,-0.195662,5.952571
0.020000,128.624432,122.289188,51.003019,42.295618,-2.147988,-0.275333,5.948686
0.020000,129.422115,122.010236,51.848072,42.252630,-2.149389,-0.070030,5.944875
0.020000,130.217929,121.728561,52.692264,42.209604,-2.151306,-0.095864,5.941136
0.020000,131.011884,121.444232,53.535595,42.166544,-2.152974,-0.083400,5.937470
0.020000,131.803990,121.157316,54.378063,42.123417,-2.156379,-0.170214,5.933877
0.020000,132.594261,120.867883,55.219669,42.080287,-2.156501,-0.006100,5.930357
0.020000,133.382711,120.575997,56.060413,42.037175,-2.155600,0.045024,5.926910
0.020000,134.169352,120.281726,56.900294,41.994065,-2.155468,0.006626,5.923536
0.020000,134.954201,119.985137,57.739312,41.950928,-2.156856,-0.069425,5.920235
