dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,190.591032,17.569690,0.006944,0.694444,34.722222,1736.111111,2.693132
0.020000,190.592780,17.568849,0.008884,0.096996,-29.872413,-3229.731741,2.693296
0.020000,190.595694,17.567448,0.012118,0.161661,3.233249,1655.283056,2.693570
0.020000,190.599774,17.565488,0.016644,0.226327,3.233308,0.002988,2.693953
0.020000,190.605021,17.562970,0.022464,0.290995,3.233385,0.003841,2.694445
0.020000,190.565967,17.581678,0.065768,2.165199,93.710180,4523.839769,2.695047
0.020000,190.492113,17.617007,0.147637,4.093464,96.413247,135.153350,2.695759
0.020000,190.406872,17.657703,0.242094,4.722852,31.469405,-3247.192146,2.696580
0.020000,190.310229,17.703739,0.349141,5.352359,31.475352,0.297395,2.697511
0.020000,190.202163,17.755085,0.468786,5.982202,31.492173,0.841041,2.698552
0.020000,190.082678,17.811696,0.601003,6.610880,31.433912,-2.913061,2.699704
0.020000,189.951751,17.873536,0.745800,7.239844,31.448177,0.713268,2.700966
0.020000,189.809344,17.940568,0.903195,7.869729,31.494271,2.304698,2.702338
0.020000,189.655455,18.012737,1.073166,8.498554,31.441218,-2.652664,2.703821
0.020000,189.490063,18.089990,1.255710,9.127224,31.433536,-0.384124,2.705415
0.020000,189.313146,18.172271,1.450825,9.755745,31.426022,-0.375699,2.707121
0.020000,189.124671,18.259523,1.658517,10.384581,31.441825,0.790174,2.708938
0.020000,188.924610,18.351685,1.878785,11.013410,31.441429,-0.019792,2.710866
0.020000,188.712950,18.448681,2.111611,11.641315,31.395261,-2.308422,2.712907
0.020000,188.489671,18.550437,2.356984,12.268663,31.367397,-1.393187,2.715060
0.020000,188.254700,18.656894,2.614946,12.898083,31.470973,5.178784,2.717325
0.020000,188.008058,18.767950,2.885438,13.524603,31.326000,-7.248650,2.719703
0.020000,187.749664,18.883541,3.168508,14.153469,31.443338,5.866919,2.722194
0.020000,187.479525,19.003562,3.464109,14.780073,31.330189,-5.657461,2.724798
0.020000,187.197584,19.127928,3.772261,15.407602,31.376431,2.312101,2.727515
0.020000,186.903797,19.256548,4.092969,16.035419,31.390852,0.721073,2.730347
0.020000,186.598141,19.389314,4.426215,16.662266,31.342368,-2.424224,2.733292
0.020000,186.280573,19.526122,4.771998,17.289160,31.344675,0.115365,2.736351
0.020000,185.951050,19.666863,5.130318,17.916006,31.342301,-0.118729,2.739525
0.020000,185.609532,19.811426,5.501172,18.542716,31.335519,-0.339090,2.742813
0.020000,185.255977,19.959690,5.884557,19.169208,31.324620,-0.544923,2.746216
0.020000,184.890338,20.111537,6.280473,19.795826,31.330877,0.312830,2.749733
0.020000,184.512555,20.266846,6.688935,20.423073,31.362335,1.572911,2.753366
0.020000,184.122608,20.425475,7.109912,21.048865,31.289591,-3.637191,2.757114
0.020000,183.720431,20.587299,7.543424,21.675606,31.337077,2.374254,2.760976
0.020000,183.305985,20.752175,7.989462,22.301910,31.315182,-1.094738,2.764954
0.020000,182.879209,20.919965,8.448037,22.928743,31.341683,1.325072,2.769046
0.020000,182.440071,21.090514,8.919131,23.554697,31.297669,-2.200690,2.773254
0.020000,181.988502,21.263679,9.402764,24.181640,31.347152,2.474117,2.777576
0.020000,181.524449,21.439303,9.898938,24.808709,31.353463,0.315557,2.782012
0.020000,181.047869,21.617224,10.407647,25.435446,31.336860,-0.830123,2.786563
0.020000,180.558705,21.797279,10.928896,26.062467,31.351046,0.709295,2.791228
0.020000,180.056904,21.979301,11.462691,26.689719,31.362603,0.577856,2.796007
0.020000,179.542411,22.163116,12.009034,27.317160,31.372011,0.470379,2.800898
0.020000,179.015158,22.348553,12.567946,27.945612,31.422618,2.530329,2.805902
0.020000,178.475097,22.535429,13.139425,28.573953,31.417061,-0.277846,2.811018
0.020000,177.922184,22.723557,13.723467,29.202105,31.407588,-0.473616,2.816245
0.020000,177.356336,22.912757,14.320108,29.832047,31.497088,4.475008,2.821582
0.020000,176.777522,23.102828,14.929330,30.461116,31.453469,-2.180980,2.827029
0.020000,176.185657,23.293585,15.551177,31.092306,31.559508,5.301948,2.832584
0.020000,175.580706,23.484821,16.185635,31.722899,31.529662,-1.492297,2.838246
0.020000,174.962605,23.676335,16.832725,32.354543,31.582167,2.625257,2.844014
0.020000,174.331290,23.867923,17.492471,32.987292,31.637474,2.765360,2.849887
0.020000,173.686701,24.059375,18.164891,33.621007,31.685728,2.412704,2.855863
0.020000,173.028787,24.250479,18.849998,34.255343,31.716833,1.555220,2.861941
0.020000,172.357483,24.441019,19.547820,34.891084,31.787042,3.510473,2.868118
0.020000,171.672733,24.630777,20.258376,35.527802,31.835897,2.442757,2.874393
0.020000,170.974486,24.819530,20.981686,36.165492,31.884468,2.428552,2.880763
0.020000,170.262688,25.007052,21.717771,36.804259,31.938387,2.695946,2.887227
0.020000,169.537261,25.193124,22.466681,37.445521,32.063061,6.233709,2.893783
0.020000,168.798176,25.377508,23.228419,38.086874,32.067680,0.230909,2.900427
0.020000,168.045352,25.559981,24.003041,38.731116,32.212085,7.220261,2.907157
0.020000,167.278755,25.740305,24.790561,39.376008,32.244615,1.626506,2.913970
0.020000,166.498326,25.918247,25.591020,40.022910,32.345101,5.024293,2.920863
0.020000,165.704005,26.093574,26.404460,40.672011,32.455041,5.497031,2.927834
0.020000,164.895744,26.266046,27.230918,41.322909,32.544877,4.491786,2.934878
0.020000,164.073494,26.435426,28.070432,41.975726,32.640879,4.800082,2.941993
0.020000,163.237204,26.601475,28.923048,42.630765,32.751932,5.552646,2.949174
0.020000,162.386822,26.763956,29.788813,43.288286,32.876083,6.207576,2.956418
0.020000,161.522305,26.922629,30.667770,43.947839,32.977619,5.076806,2.963721
0.020000,160.643613,27.077254,31.559964,44.609699,33.093012,5.769631,2.971078
0.020000,159.750689,27.227595,32.465456,45.274594,33.244728,7.585810,2.978486
0.020000,158.843501,27.373414,33.384289,45.941619,33.351287,5.327939,2.985940
0.020000,157.921999,27.514476,34.316525,46.611801,33.509071,7.889185,2.993436
0.020000,156.986152,27.650544,35.262212,47.284360,33.627978,5.945382,3.000968
0.020000,156.035918,27.781388,36.221412,47.960000,33.781993,7.700752,3.008532
0.020000,155.071257,27.906778,37.194187,48.638786,33.939272,7.863911,3.016123
0.020000,154.092140,28.026485,38.180595,49.320379,34.079658,7.019312,3.023735
0.020000,153.098534,28.140284,39.180697,50.005113,34.236726,7.853431,3.031364
0.020000,152.090407,28.247956,40.194558,50.693029,34.395790,7.953195,3.039004
0.020000,151.067728,28.349283,41.222244,51.384297,34.563376,8.379263,3.046649
0.020000,150.030472,28.444052,42.263821,52.078839,34.727121,8.187254,3.054295
0.020000,148.978615,28.532054,43.319353,52.776608,34.888429,8.065402,3.061934
0.020000,147.912131,28.613087,44.388911,53.477890,35.064119,8.784524,3.069562
0.020000,146.830999,28.686952,45.472563,54.182633,35.237159,8.651988,3.077172
0.020000,145.735198,28.753457,46.570380,54.890823,35.409482,8.616148,3.084759
0.020000,144.624713,28.812416,47.682429,55.602484,35.583069,8.679351,3.092317
0.020000,143.499521,28.863650,48.808786,56.317854,35.768472,9.270155,3.099840
0.020000,142.359612,28.906988,49.949519,57.036648,35.939718,8.562291,3.107322
0.020000,141.204970,28.942264,51.104700,57.759047,36.119949,9.011537,3.114756
0.020000,140.035582,28.969322,52.274401,58.485044,36.299862,8.995691,3.122137
