dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,177.668812,50.230802,0.015828,1.582803,79.140165,3957.008232,2.689171
0.020000,177.661097,50.234548,0.024404,0.428804,-57.699988,-6842.007641,2.689896
0.020000,177.591333,50.268333,0.101919,3.875724,172.346039,11502.301375,2.691106
0.020000,177.473522,50.325190,0.232732,6.540662,133.246898,-1954.957047,2.692799
0.020000,177.321903,50.398002,0.400928,8.409805,93.457154,-1989.487234,2.694977
0.020000,177.136354,50.486556,0.606525,10.279877,93.503563,2.320468,2.697641
0.020000,176.916749,50.590579,0.849522,12.149812,93.496787,-0.338806,2.700791
0.020000,176.662928,50.709758,1.129929,14.020374,93.528105,1.565900,2.704428
0.020000,176.374713,50.843724,1.447757,15.891406,93.551563,1.172923,2.708552
0.020000,176.051911,50.992055,1.803009,17.762589,93.559163,0.380002,2.713165
0.020000,175.694297,51.154283,2.195699,19.634506,93.595874,1.835515,2.718266
0.020000,175.301654,51.329877,2.625817,21.505910,93.570158,-1.285797,2.723857
0.020000,174.873730,51.518260,3.093372,23.377744,93.591733,1.078756,2.729936
0.020000,174.410269,51.718799,3.598359,25.249327,93.579120,-0.630627,2.736503
0.020000,173.911021,51.930798,4.140754,27.119758,93.521567,-2.877682,2.743558
0.020000,173.375716,52.153511,4.720540,28.989323,93.478242,-2.166235,2.751098
0.020000,172.804087,52.386135,5.337690,30.857502,93.408937,-3.465228,2.759120
0.020000,172.195875,52.627809,5.992158,32.723380,93.293942,-5.749769,2.767622
0.020000,171.550824,52.877616,6.683891,34.586636,93.162794,-6.557415,2.776598
0.020000,170.868693,53.134584,7.412818,36.446381,92.987242,-8.777612,2.786043
0.020000,170.149258,53.397683,8.178852,38.301684,92.765129,-11.105624,2.795949
0.020000,169.392313,53.665837,8.981891,40.151958,92.513706,-12.571162,2.806307
0.020000,168.597685,53.937912,9.821807,41.995776,92.190918,-16.139380,2.817107
0.020000,167.765233,54.212731,10.698450,43.832145,91.818454,-18.623212,2.828337
0.020000,166.894845,54.489075,11.611654,45.660196,91.402538,-20.795819,2.839981
0.020000,165.986468,54.765681,12.561211,47.477845,90.882464,-26.003685,2.852023
0.020000,165.040082,55.041257,13.546903,49.284638,90.339620,-27.142179,2.864443
0.020000,164.055729,55.314482,14.568471,51.078387,89.687449,-32.608548,2.877221
0.020000,163.033508,55.584015,15.625630,52.857947,88.977993,-35.472802,2.890332
0.020000,161.973572,55.848505,16.718067,54.621861,88.195702,-39.114563,2.903749
0.020000,160.876148,56.106599,17.845432,56.368258,87.319844,-43.792908,2.917443
0.020000,159.741523,56.356947,19.007348,58.095791,86.376688,-47.157805,2.931382
0.020000,158.570049,56.598222,20.203410,59.803086,85.364727,-50.598054,2.945532
0.020000,157.362152,56.829121,21.433178,61.488418,84.266606,-54.906036,2.959855
0.020000,156.118321,57.048383,22.696187,63.150448,83.101493,-58.255641,2.974313
0.020000,154.839107,57.254797,23.991948,64.788020,81.878603,-61.144519,2.988863
0.020000,153.525126,57.447212,25.319942,66.399726,80.585311,-64.664583,3.003462
0.020000,152.177046,57.624553,26.679637,67.984737,79.250555,-66.737828,3.018064
0.020000,150.795588,57.785828,28.070477,69.541985,77.862396,-69.407923,3.032624
