dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,78.468206,204.608977,0.008000,0.800000,40.000000,2000.000000,6.283142
0.020000,78.476443,204.608977,0.032000,1.600000,40.000000,0.000000,0.000023
0.020000,78.516443,204.608980,0.072000,2.400000,40.000000,-0.000000,0.000132
0.020000,78.572443,204.608992,0.128000,3.200000,40.000000,0.000000,0.000285
0.020000,78.644443,204.609019,0.200000,4.000000,40.000000,-0.000000,0.000480
0.020000,78.732443,204.609072,0.288000,4.800000,40.000000,0.000000,0.000717
0.020000,78.836443,204.609161,0.392000,5.600000,40.000000,0.000000,0.000995
0.020000,78.956443,204.609300,0.512000,6.400000,40.000000,-0.000000,0.001312
0.020000,79.092443,204.609502,0.648000,7.200000,40.000000,-0.000000,0.001668
0.020000,79.244443,204.609786,0.800000,8.000000,40.000000,0.000000,0.002061
0.020000,79.412442,204.610168,0.968000,8.800000,40.000000,0.000000,0.002488
0.020000,79.596442,204.610668,1.152000,9.600000,40.000000,-0.000000,0.002949
0.020000,79.796441,204.611308,1.352000,10.400000,40.000000,0.000000,0.003441
0.020000,80.012439,204.612107,1.568000,11.200000,40.000000,0.000000,0.003963
0.020000,80.244437,204.613090,1.800000,12.000000,40.000000,-0.000000,0.004510
0.020000,80.492434,204.614280,2.048000,12.800000,40.000000,0.000000,0.005082
0.020000,80.756430,204.615701,2.312000,13.600000,40.000000,0.000000,0.005675
0.020000,81.036425,204.617376,2.592000,14.400000,40.000000,-0.000000,0.006287
0.020000,81.332419,204.619330,2.888000,15.200000,40.000000,0.000000,0.006913
0.020000,81.644411,204.621587,3.200000,16.000000,40.000000,0.000000,0.007552
0.020000,81.972401,204.624171,3.528000,16.800000,40.000000,0.000000,0.008199
0.020000,82.316388,204.627104,3.872000,17.600000,40.000000,0.000000,0.008851
0.020000,82.676373,204.630409,4.232000,18.400000,40.000000,0.000000,0.009504
0.020000,83.052355,204.634106,4.608000,19.200000,40.000000,-0.000000,0.010154
0.020000,83.444333,204.638213,5.000000,20.000000,40.000000,0.000000,0.010797
0.020000,83.852308,204.642749,5.408000,20.800000,40.000000,0.000000,0.011429
0.020000,84.276279,204.647727,5.832000,21.600000,40.000000,0.000000,0.012045
0.020000,84.716245,204.653159,6.272000,22.400000,40.000000,0.000000,0.012639
0.020000,85.172207,204.659054,6.728000,23.200000,40.000000,-0.000000,0.013209
0.020000,85.644164,204.665417,7.200000,24.000000,40.000000,0.000000,0.013748
0.020000,86.132116,204.672251,7.688000,24.800000,40.000000,0.000000,0.014250
0.020000,86.636064,204.679551,8.192000,25.600000,40.000000,0.000000,0.014712
0.020000,87.156006,204.687312,8.712000,26.400000,40.000000,0.000000,0.015127
0.020000,87.691943,204.695519,9.248000,27.200000,40.000000,0.000000,0.015489
0.020000,88.243875,204.704156,9.800000,28.000000,40.000000,-0.000000,0.015792
0.020000,88.811803,204.713197,10.368000,28.800000,40.000000,0.000000,0.016031
0.020000,89.395727,204.722612,10.952000,29.600000,40.000000,0.000000,0.016199
0.020000,89.995648,204.732362,11.552000,30.400000,40.000000,-0.000000,0.016290
0.020000,90.611566,204.742402,12.168000,31.200000,40.000000,0.000000,0.016296
0.020000,91.243483,204.752679,12.800000,32.000000,40.000000,-0.000000,0.016211
0.020000,91.891398,204.763129,13.448000,32.800000,40.000000,0.000000,0.016029
0.020000,92.555315,204.773682,14.112000,33.600000,40.000000,0.000000,0.015741
0.020000,93.235232,204.784255,14.792000,34.400000,40.000000,-0.000000,0.015341
0.020000,93.931153,204.794758,15.488000,35.200000,40.000000,0.000000,0.014820
0.020000,94.643078,204.805086,16.200000,36.000000,40.000000,-0.000000,0.014172
0.020000,95.371009,204.815125,16.928000,36.800000,40.000000,0.000000,0.013389
0.020000,96.114947,204.824749,17.672000,37.600000,40.000000,-0.000000,0.012461
0.020000,96.874893,204.833817,18.432000,38.400000,40.000000,0.000000,0.011382
0.020000,97.650847,204.842178,19.208000,39.200000,40.000000,0.000000,0.010142
0.020000,98.442812,204.849662,20.000000,40.000000,40.000000,-0.000000,0.008733
0.020000,99.242787,204.856030,20.800000,40.000000,0.000000,-2000.000000,0.007163
0.020000,100.042771,204.861083,21.600000,40.000000,0.000000,0.000000,0.005445
0.020000,100.842762,204.864702,22.400000,40.000000,0.000000,0.000000,0.003579
0.020000,101.642759,204.866770,23.200000,40.000000,0.000000,0.000000,0.001566
0.020000,102.299065,204.867267,24.000000,40.000000,0.000000,0.000000,0.000991
0.020000,103.099008,204.872575,24.800000,40.000000,0.000000,0.000000,0.012367
0.020000,103.898873,204.887196,25.600000,40.000000,0.000000,0.000000,0.024278
0.020000,104.698515,204.911568,26.400000,40.000000,0.000000,0.000000,0.036760
0.020000,105.497763,204.946159,27.200000,40.000000,0.000000,0.000000,0.049850
0.020000,106.296465,204.991466,28.000000,40.000000,0.000000,0.000000,0.063591
0.020000,107.094431,205.048015,28.800000,40.000000,0.000000,0.000000,0.078025
0.020000,107.891515,205.116372,29.600000,40.000000,0.000000,0.000000,0.093203
0.020000,108.687426,205.197130,30.400000,40.000000,0.000000,0.000000,0.109173
0.020000,109.481894,205.290919,31.200000,40.000000,0.000000,0.000000,0.125991
0.020000,110.274591,205.398406,32.000000,40.000000,0.000000,0.000000,0.143713
0.020000,111.065253,205.520310,32.800000,40.000000,0.000000,0.000000,0.162403
0.020000,111.853405,205.657367,33.600000,40.000000,0.000000,0.000000,0.182123
0.020000,112.638630,205.810367,34.400000,40.000000,0.000000,0.000000,0.202940
0.020000,113.420415,205.980133,35.200000,40.000000,0.000000,0.000000,0.224923
0.020000,114.198106,206.167503,36.000000,40.000000,0.000000,0.000000,0.248140
0.020000,114.971162,206.373393,36.800000,40.000000,0.000000,0.000000,0.272665
0.020000,115.738761,206.598694,37.600000,40.000000,0.000000,0.000000,0.298561
0.020000,116.500082,206.844335,38.400000,40.000000,0.000000,0.000000,0.325895
0.020000,117.254184,207.111243,39.200000,40.000000,0.000000,0.000000,0.354721
0.020000,118.000110,207.400368,40.000000,40.000000,0.000000,0.000000,0.385091
0.020000,118.736620,207.712567,40.800000,40.000000,0.000000,0.000000,0.417032
0.020000,119.462518,208.048703,41.600000,40.000000,0.000000,0.000000,0.450560
0.020000,120.176470,208.409556,42.400000,40.000000,0.000000,0.000000,0.485666
0.020000,120.877021,208.795790,43.200000,40.000000,0.000000,0.000000,0.522311
