dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,53.417298,195.629781,0.012000,1.200000,60.000000,3000.000000,6.283170
0.020000,53.417386,195.629781,0.012088,0.004384,-59.780798,-5989.039905,6.283177
0.020000,53.438757,195.629781,0.033459,1.068578,53.209691,5649.524468,0.000004
0.020000,53.522961,195.629782,0.117663,4.210201,157.081165,5193.573694,0.000022
0.020000,53.631223,195.629786,0.225925,5.413087,60.144279,-4846.844332,0.000044
0.020000,53.763542,195.629793,0.358244,6.615950,60.143186,-0.054603,0.000071
0.020000,53.919918,195.629807,0.514620,7.818788,60.141858,-0.066404,0.000103
0.020000,54.100350,195.629829,0.695052,9.021593,60.140281,-0.078868,0.000139
0.020000,54.304837,195.629861,0.899539,10.224363,60.138466,-0.090738,0.000180
0.020000,54.533379,195.629908,1.128081,11.427091,60.136407,-0.102960,0.000226
0.020000,54.785974,195.629971,1.380676,12.629773,60.134107,-0.115001,0.000277
0.020000,55.062622,195.630055,1.657324,13.832404,60.131563,-0.127204,0.000331
0.020000,55.363322,195.630164,1.958024,15.034980,60.128780,-0.139142,0.000391
0.020000,55.688072,195.630301,2.282774,16.237495,60.125750,-0.151499,0.000454
0.020000,56.036870,195.630471,2.631573,17.439944,60.122483,-0.163365,0.000522
0.020000,56.409717,195.630679,3.004419,18.642324,60.118971,-0.175588,0.000593
0.020000,56.806609,195.630929,3.401312,19.844628,60.115215,-0.187793,0.000669
0.020000,57.227546,195.631228,3.822249,21.046853,60.111222,-0.199658,0.000748
0.020000,57.672526,195.631579,4.267229,22.248992,60.106982,-0.212022,0.000831
0.020000,58.141547,195.631989,4.736249,23.451042,60.102503,-0.223938,0.000917
0.020000,58.634606,195.632463,5.229309,24.652998,60.097778,-0.236236,0.001007
0.020000,59.151703,195.633008,5.746406,25.854854,60.092815,-0.248138,0.001100
0.020000,59.692835,195.633629,6.287539,27.056606,60.087607,-0.260396,0.001196
0.020000,60.258000,195.634333,6.852704,28.258249,60.082158,-0.272463,0.001294
0.020000,60.847195,195.635125,7.441899,29.459779,60.076466,-0.284589,0.001395
0.020000,61.460418,195.636012,8.055123,30.661189,60.070533,-0.296676,0.001499
0.020000,62.097666,195.637001,8.692372,31.862477,60.064357,-0.308806,0.001604
0.020000,62.758938,195.638098,9.353645,33.063635,60.057939,-0.320876,0.001712
0.020000,63.444230,195.639309,10.038938,34.264661,60.051278,-0.333051,0.001822
0.020000,64.153540,195.640640,10.748249,35.465548,60.044376,-0.345110,0.001932
0.020000,64.886865,195.642099,11.481575,36.666293,60.037231,-0.357259,0.002045
0.020000,65.644201,195.643690,12.238913,37.866890,60.029844,-0.369316,0.002158
0.020000,66.425545,195.645421,13.020260,39.067334,60.022215,-0.381490,0.002272
0.020000,67.230896,195.647297,13.825612,40.267621,60.014343,-0.393566,0.002386
0.020000,68.060248,195.649324,14.654967,41.467746,60.006230,-0.405667,0.002501
0.020000,68.913599,195.651507,15.508321,42.667703,59.997874,-0.417807,0.002615
0.020000,69.790946,195.653852,16.385671,43.867489,59.989276,-0.429892,0.002730
0.020000,70.692284,195.656363,17.287013,45.067097,59.980436,-0.442015,0.002843
0.020000,71.617611,195.659047,18.212343,46.266524,59.971353,-0.454119,0.002956
0.020000,72.566922,195.661906,19.161659,47.465765,59.962029,-0.466230,0.003067
0.020000,73.540214,195.664944,20.134955,48.664814,59.952462,-0.478340,0.003177
0.020000,74.537482,195.668166,21.132228,49.863667,59.942653,-0.490444,0.003284
0.020000,75.558722,195.671575,22.153475,51.062319,59.932602,-0.502565,0.003390
0.020000,76.603932,195.675172,23.198690,52.260766,59.922309,-0.514658,0.003493
0.020000,77.673105,195.678960,24.267870,53.459001,59.911773,-0.526773,0.003592
0.020000,78.766238,195.682940,25.361010,54.657021,59.900995,-0.538896,0.003689
0.020000,79.883327,195.687113,26.478107,55.854820,59.889976,-0.550977,0.003782
0.020000,81.024366,195.691480,27.619155,57.052395,59.878714,-0.563103,0.003870
0.020000,82.189352,195.696038,28.784149,58.249739,59.867210,-0.575203,0.003954
0.020000,83.378280,195.700787,29.973086,59.446848,59.855463,-0.587334,0.004034
0.020000,84.579136,195.705676,31.173952,60.043305,29.822841,-1501.631071,0.004107
0.020000,85.779911,195.710648,32.374738,60.039268,-0.201828,-1501.233486,0.004173
0.020000,86.980605,195.715696,33.575442,60.035232,-0.201828,0.000006,0.004233
0.020000,88.181218,195.720811,34.776066,60.031195,-0.201828,0.000005,0.004286
0.020000,89.381750,195.725984,35.976610,60.027159,-0.201828,-0.000001,0.004332
0.020000,90.582201,195.731208,37.177072,60.023122,-0.201828,0.000010,0.004371
0.020000,91.782571,195.736475,38.377454,60.019086,-0.201828,0.000006,0.004403
0.020000,92.982860,195.741776,39.577755,60.015049,-0.201828,0.000003,0.004429
0.020000,94.183069,195.747104,40.777975,60.011012,-0.201828,0.000002,0.004447
0.020000,95.383196,195.752449,41.978114,60.006976,-0.201828,0.000001,0.004459
0.020000,96.583243,195.757804,43.178173,60.002939,-0.201828,0.000000,0.004464
0.020000,97.783209,195.763160,44.378151,59.998903,-0.201828,0.000002,0.004462
0.020000,98.983095,195.768510,45.578049,59.994866,-0.201828,-0.000001,0.004454
0.020000,100.182899,195.773845,46.777865,59.990830,-0.201828,-0.000003,0.004438
0.020000,101.382624,195.779156,47.977601,59.986793,-0.201828,-0.000004,0.004416
0.020000,102.582267,195.784437,49.177256,59.982757,-0.201828,-0.000004,0.004387
0.020000,103.781830,195.789678,50.376831,59.978720,-0.201828,0.000001,0.004351
0.020000,104.981312,195.794871,51.576324,59.974684,-0.201828,-0.000011,0.004308
0.020000,106.180714,195.800009,52.775737,59.970647,-0.201828,-0.000007,0.004258
0.020000,107.380036,195.805082,53.975069,59.966610,-0.201828,-0.000007,0.004202
0.020000,108.579277,195.810084,55.174321,59.962574,-0.201828,-0.000007,0.004138
0.020000,109.778438,195.815005,56.373492,59.958537,-0.201828,-0.000005,0.004068
0.020000,110.977518,195.819837,57.572582,59.954501,-0.201828,-0.000001,0.003991
0.020000,112.176518,195.824573,58.771591,59.950464,-0.201829,-0.000015,0.003907
0.020000,113.375437,195.829204,59.970520,59.946428,-0.201829,-0.000006,0.003817
