dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,211.119164,290.665976,0.020000,2.000000,100.000000,5000.000000,3.659126
0.020000,211.112258,290.662048,0.027945,0.397269,-80.136556,-9006.827780,3.658454
0.020000,211.062677,290.633918,0.084951,2.850261,122.649624,10139.308978,3.657333
0.020000,210.924684,290.555830,0.243506,7.927771,253.875481,6561.292831,3.655763
0.020000,210.747063,290.455738,0.447387,10.194055,113.314191,-7028.064504,3.653743
0.020000,210.529664,290.333873,0.696613,12.461287,113.361629,2.371926,3.651270
0.020000,210.272305,290.190520,0.991204,14.729556,113.413435,2.590306,3.648343
0.020000,209.974764,290.026012,1.331194,16.999515,113.497924,4.224437,3.644960
0.020000,209.636816,289.840754,1.716589,19.269756,113.512053,0.706441,3.641119
0.020000,209.258157,289.635181,2.147452,21.543139,113.669166,7.855679,3.636816
0.020000,208.838512,289.409813,2.623785,23.816651,113.675591,0.321226,3.632050
0.020000,208.377532,289.165208,3.145641,26.092813,113.808126,6.626745,3.626817
0.020000,207.874885,288.902006,3.713029,28.369392,113.828925,1.039957,3.621115
0.020000,207.330171,288.620884,4.326008,30.648912,113.976014,7.354434,3.614941
0.020000,206.742997,288.322601,4.984602,32.929701,114.039469,3.172782,3.608293
0.020000,206.112972,288.007989,5.688813,35.210552,114.042537,0.153416,3.601167
0.020000,205.439642,287.677925,6.438689,37.493838,114.164277,6.086988,3.593563
0.020000,204.722567,287.333368,7.234250,39.778014,114.208807,2.226509,3.585479
0.020000,203.961326,286.975357,8.075475,42.061269,114.162747,-2.303031,3.576914
0.020000,203.155439,286.604980,8.962398,44.346166,114.244863,4.105813,3.567868
0.020000,202.304467,286.223414,9.895000,46.630079,114.195666,-2.459835,3.558342
0.020000,201.407980,285.831908,10.873246,48.912304,114.111238,-4.221433,3.548337
0.020000,200.465540,285.431778,11.897110,51.193191,114.044344,-3.344675,3.537858
0.020000,199.476747,285.024415,12.966528,53.470928,113.886825,-7.875960,3.526908
0.020000,198.441203,284.611277,14.081443,55.745737,113.740484,-7.317048,3.515494
0.020000,197.358571,284.193897,15.241744,58.015061,113.466210,-13.713702,3.503623
0.020000,196.228540,283.773869,16.447312,60.278375,113.165685,-15.026242,3.491307
0.020000,195.050825,283.352842,17.698022,62.535501,112.856282,-15.470164,3.478556
