dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,164.977501,295.041442,0.015883,1.588327,79.416327,3970.816371,3.659655
0.020000,164.985305,295.045886,0.024864,0.449061,-56.963274,-6818.980068,3.658895
0.020000,164.987654,295.047228,0.027569,0.135236,-15.691274,2063.600012,3.657627
0.020000,164.909188,295.002806,0.117737,4.508400,218.658241,11717.475725,3.655850
0.020000,164.808255,294.945935,0.233589,5.792601,64.210026,-7722.410731,3.653557
0.020000,164.684809,294.876794,0.375080,7.074533,64.096603,-5.671178,3.650745
0.020000,164.538851,294.795632,0.542085,8.350249,63.785818,-15.539208,3.647407
0.020000,164.370282,294.702692,0.734578,9.624649,63.719989,-3.291467,3.643535
0.020000,164.179084,294.598305,0.952416,10.891887,63.361900,-17.904472,3.639121
0.020000,163.965171,294.482815,1.195514,12.154912,63.151231,-10.533451,3.634155
0.020000,163.728499,294.356637,1.463720,13.410322,62.770531,-19.034974,3.628628
0.020000,163.468973,294.220206,1.756921,14.660041,62.485925,-14.230307,3.622526
0.020000,163.186536,294.074028,2.074944,15.901166,62.056258,-21.483373,3.615838
0.020000,162.881086,293.918636,2.417649,17.135249,61.704127,-17.606508,3.608550
0.020000,162.552549,293.754628,2.784848,18.359925,61.233802,-23.516257,3.600648
0.020000,162.200818,293.582636,3.176379,19.576539,60.830695,-20.155347,3.592115
0.020000,161.825811,293.403360,3.592035,20.782805,60.313314,-25.869058,3.582937
0.020000,161.427398,293.217526,4.031656,21.981054,59.912453,-20.043080,3.573097
0.020000,161.005508,293.025946,4.495007,23.167579,59.326240,-29.310626,3.562579
0.020000,160.560010,292.829455,4.981913,24.345265,58.884314,-22.096289,3.551366
0.020000,160.090797,292.628955,5.492169,25.512798,58.376676,-25.381921,3.539441
0.020000,159.597735,292.425393,6.025599,26.671534,57.936768,-21.995415,3.526789
0.020000,159.080705,292.219774,6.582015,27.820806,57.463616,-23.657564,3.513394
0.020000,158.539568,292.013152,7.161257,28.962099,57.064631,-19.949251,3.499244
0.020000,157.974172,291.806633,7.763191,30.096653,56.727707,-16.846215,3.484325
0.020000,157.384360,291.601372,8.387698,31.225388,56.436766,-14.547043,3.468628
0.020000,156.769951,291.398571,9.034712,32.350681,56.264648,-8.605884,3.452148
0.020000,156.130761,291.199487,9.704188,33.473826,56.157236,-5.370622,3.434882
0.020000,155.466558,291.005411,10.396164,34.598782,56.247824,4.529404,3.416832
0.020000,154.777094,290.817681,11.110729,35.728257,56.473730,11.295315,3.398004
0.020000,154.062114,290.637682,11.848019,36.864503,56.812303,16.928635,3.378413
0.020000,153.321281,290.466827,12.608299,38.013979,57.473783,33.073993,3.358078
0.020000,152.554246,290.306571,13.391896,39.179861,58.294106,41.016127,3.337029
0.020000,151.760629,290.158404,14.199226,40.366479,59.330889,51.839197,3.315301
0.020000,150.939969,290.023841,15.030845,41.580952,60.723691,69.640053,3.292940
0.020000,150.091780,289.904428,15.887398,42.827671,62.335906,80.610750,3.270000
0.020000,149.215539,289.801737,16.769636,44.111912,64.212092,93.809315,3.246547
0.020000,148.310659,289.717356,17.678442,45.440290,66.418896,110.340217,3.222654
0.020000,147.376532,289.652892,18.614790,46.817413,68.856127,121.861559,3.198404
0.020000,146.412513,289.609955,19.579765,48.248748,71.566743,135.530762,3.173888
0.020000,145.417947,289.590161,20.574528,49.738155,74.470386,145.182150,3.149205
0.020000,144.392164,289.595109,21.600323,51.289708,77.577644,155.362916,3.124459
0.020000,143.334512,289.626377,22.658437,52.905723,80.800724,161.153995,3.099761
0.020000,142.244350,289.685504,23.750201,54.588209,84.124310,166.179324,3.075222
0.020000,141.121076,289.773971,24.876954,56.337635,87.471301,167.349556,3.050955
0.020000,139.964125,289.893184,26.040030,58.153815,90.808999,166.884870,3.027074
0.020000,138.772987,290.044452,27.240735,60.035237,94.071098,163.104965,3.003689
0.020000,137.547203,290.228971,28.480329,61.979725,97.224387,157.664447,2.980907
0.020000,136.286365,290.447800,29.760016,63.984346,100.231074,150.334347,2.958829
0.020000,134.990115,290.701842,31.080926,66.045475,103.056463,141.269467,2.937551
0.020000,133.658131,290.991832,32.444111,68.159255,105.688988,131.626254,2.917161
0.020000,132.290115,291.318318,33.850547,70.321792,108.126831,121.892139,2.897743
0.020000,130.885781,291.681653,35.301121,72.528712,110.346002,110.958525,2.879372
0.020000,129.444826,292.081981,36.796653,74.776575,112.393158,102.357828,2.862117
0.020000,127.966920,292.519235,38.337885,77.061617,114.252086,92.946392,2.846040
0.020000,126.451674,292.993131,39.925508,79.381177,115.978031,86.297269,2.831200
0.020000,124.898627,293.503160,41.560160,81.732578,117.570022,79.599504,2.817652
0.020000,123.307212,294.048592,43.242449,84.114432,119.092714,76.134615,2.805446
0.020000,121.676747,294.628463,44.972959,86.525532,120.555009,73.114776,2.794632
0.020000,120.006398,295.241581,46.752279,88.966009,122.023830,73.441054,2.785259
0.020000,118.295170,295.886509,48.581004,91.436213,123.510219,74.319425,2.777379
0.020000,116.541878,296.561562,50.459761,93.937887,125.083672,78.672672,2.771044
0.020000,114.745132,297.264791,52.389224,96.473129,126.762100,83.921388,2.766311
0.020000,112.903312,297.993962,54.370131,99.045338,128.610459,92.417926,2.763242
0.020000,111.014555,298.746534,56.403297,101.658329,130.649556,101.954863,2.761908
0.020000,109.076735,299.519626,58.489638,104.317033,132.935207,114.282544,2.762384
0.020000,107.087448,300.309973,60.630179,107.027046,135.500641,128.271720,2.764759
0.020000,105.043997,301.113882,62.826075,109.794824,138.388914,144.413632,2.769129
0.020000,102.943389,301.927162,65.078624,112.627425,141.630025,162.055549,2.775605
0.020000,100.782337,302.745053,67.389271,115.532375,145.247492,180.873364,2.784309
0.020000,98.578226,303.554574,69.737341,117.403496,93.556071,-2584.571065,2.795263
0.020000,96.360577,304.338948,72.089618,117.613847,10.517551,-4151.925995,2.808344
0.020000,94.139378,305.089508,74.434200,117.229109,-19.236914,-1487.723238,2.823462
0.020000,91.914195,305.801667,76.770567,116.818341,-20.538368,-65.072695,2.840574
0.020000,89.684901,306.470941,79.098158,116.379543,-21.939929,-70.078068,2.859631
0.020000,87.451743,307.092955,81.416325,115.908362,-23.559041,-80.955613,2.880579
0.020000,85.215394,307.663476,83.724300,115.398750,-25.480600,-96.077938,2.903352
0.020000,82.977025,308.178452,86.021145,114.842248,-27.825083,-117.224162,2.927873
0.020000,80.738334,308.634074,88.305731,114.229270,-30.648891,-141.190372,2.954044
0.020000,78.501585,309.026857,90.576705,113.548706,-34.028233,-168.967103,2.981752
0.020000,76.269621,309.353722,92.832476,112.788576,-38.006498,-198.913238,3.010862
0.020000,74.045848,309.612099,95.071209,111.936642,-42.596709,-229.510583,3.041218
0.020000,71.834192,309.800022,97.290834,110.981235,-47.770310,-258.680042,3.072646
0.020000,69.639026,309.916223,99.489074,109.911979,-53.462823,-284.625659,3.104953
0.020000,67.465059,309.960207,101.663485,108.720588,-59.569534,-305.335555,3.137931
0.020000,65.693891,309.958925,103.434654,88.558423,-1008.108242,-47426.935352,3.143809
0.020000,63.944913,309.952964,105.183643,87.449439,-55.449246,47632.949760,3.146162
0.020000,62.230412,309.943281,106.898170,85.726383,-86.152760,-1535.175660,3.148288
0.020000,60.550274,309.930405,108.578358,84.009394,-85.849476,15.164170,3.150195
0.020000,58.904380,309.914824,110.224325,82.298367,-85.551325,14.907535,3.151895
0.020000,57.292615,309.896986,111.836189,80.593198,-85.258471,14.642698,3.153397
0.020000,55.714862,309.877303,113.414065,78.893777,-84.971058,14.370694,3.154712
0.020000,54.171007,309.856152,114.958065,77.199993,-84.689175,14.094135,3.155847
0.020000,52.660937,309.833877,116.468300,75.511735,-84.412903,13.813577,3.156814
0.020000,51.184540,309.810790,117.944877,73.828889,-84.142300,13.530182,3.157621
0.020000,49.741706,309.787172,119.387904,72.151341,-83.877400,13.245001,3.158277
0.020000,48.332329,309.763279,120.797484,70.478977,-83.618233,12.958307,3.158790
0.020000,46.956304,309.739337,122.173717,68.811680,-83.364818,12.670769,3.159170
0.020000,45.613528,309.715548,123.516704,67.149337,-83.117159,12.382937,3.159425
0.020000,44.303901,309.692089,124.826541,65.491832,-82.875265,12.094734,3.159563
0.020000,43.027327,309.669117,126.103322,63.839049,-82.639131,11.806666,3.159591
0.020000,41.783710,309.646766,127.347139,62.190874,-82.408756,11.518787,3.159519
0.020000,40.572959,309.625151,128.558083,60.547191,-82.184135,11.231043,3.159353
0.020000,39.394985,309.604368,129.736241,58.907886,-81.965259,10.943796,3.159100
