"time","x","y","position","velocity","acceleration","jerk","heading"
0,10,61,0,0,0,0,0
0.02,10.0016,61,0.0016,0.08,4,200,0
0.04,10.0128,61,0.0128,0.56,24,1000,0
0.06,10.0432,61,0.0432,1.52,48,1200,0
0.08,10.1024,61,0.1024,2.96,72,1200,0
0.1,10.2,61,0.2,4.88,96,1200,0
0.12,10.344,61,0.344,7.2,116,1000,0
0.14,10.536,61,0.536,9.6,120,200,0
0.16,10.776,61,0.776,12,120,7.53175e-11,0
0.18,11.064,61,1.064,14.4,120,-3.12639e-11,0
0.2,11.4,61,1.4,16.8,120,-6.60805e-11,0
0.22,11.784,61,1.784,19.2,120,1.23634e-10,0
0.24,12.216,61,2.216,21.6,120,-2.84217e-10,0
0.26,12.696,61,2.696,24,120,3.55982e-10,0
0.28,13.224,61,3.224,26.4,120,-1.50635e-10,0
0.3,13.8,61,3.8,28.8,120,2.20268e-10,0
0.32,14.424,61,4.424,31.2,120,-6.38067e-10,0
0.34,15.096,61,5.096,33.6,120,6.48015e-10,0
0.36,15.816,61,5.816,36,120,3.48166e-11,0
0.38,16.584,61,6.584,38.4,120,-7.26885e-10,0
0.4,17.4,61,7.4,40.8,120,4.61853e-10,0
0.42,18.264,61,8.264,43.2,120,5.31486e-10,0
0.44,19.176,61,9.176,45.6,120,-1.04663e-09,0
0.46,20.136,61,10.136,48,120,7.45359e-10,0
0.48,21.144,61,11.144,50.4,120,-8.95284e-11,0
0.5,22.2,61,12.2,52.8,120,-2.65032e-10,0
0.52,23.304,61,13.304,55.2,120,-8.88178e-11,0
0.54,24.456,61,14.456,57.6,120,4.43379e-10,0
0.56,25.656,61,15.656,60,120,-4.43379e-10,0
0.58,26.904,61,16.904,62.4,120,1.32943e-09,0
0.6,28.2,61,18.2,64.8,120,-2.19984e-09,0
0.62,29.544,61,19.544,67.2,120,1.31379e-09,0
0.64,30.936,61,20.936,69.6,120,-4.61142e-10,0
0.66,32.376,61,22.376,72,120,3.55271e-11,0
0.68,33.8635,61,23.8635,74.375,118.75,-62.5,0
0.7,35.3926,61,25.3926,76.455,104,-737.5,0
0.72,36.9537,61,26.9537,78.055,80,-1200,0
0.74,38.5371,61,28.5371,79.17,55.75,-1212.5,0
0.76,40.1334,61,30.1334,79.815,32.25,-1175,0
0.78,41.7333,61,31.7333,79.995,9,-1162.5,0
0.8,43.3333,61,33.3333,80,0.25,-437.5,0
0.82,44.9333,61,34.9333,80,2.20268e-11,-12.5,0
0.84,46.5333,61,36.5333,80,-3.97904e-11,-3.09086e-09,0
0.86,48.1333,61,38.1333,80,1.77636e-11,2.8777e-09,0
