"time","x","y","position","velocity","acceleration","jerk","heading"
0,10,50,0.0047565,0.47565,23.7825,1189.12,0
0.02,10.0118,50,0.0237825,1.42695,47.565,1189.12,0
0.04,10.0546,50,0.0665909,2.8539,71.3474,1189.12,0
0.06,10.1307,50,0.142695,4.7565,95.1299,1189.12,0
0.08,10.2496,50,0.261607,7.13474,118.912,1189.12,0
0.1,10.4161,50,0.428085,9.51299,118.912,4.9738e-12,0
0.12,10.6301,50,0.642127,11.8912,118.912,-4.9738e-12,0
0.14,10.8917,50,0.903734,14.2695,118.912,0,0
0.16,11.2009,50,1.21291,16.6477,118.912,0,0
0.18,11.5576,50,1.56964,19.026,118.912,9.23706e-12,0
0.2,11.9619,50,1.97395,21.4042,118.912,-1.77636e-11,0
0.22,12.4138,50,2.42581,23.7825,118.912,1.77636e-11,0
0.24,12.9132,50,2.92524,26.1607,118.912,-9.23706e-12,0
0.26,13.4602,50,3.47224,28.539,118.912,0,0
0.28,14.0548,50,4.0668,30.9172,118.912,9.23706e-12,0
0.3,14.6969,50,4.70893,33.2955,118.912,-1.77636e-11,0
0.32,15.3866,50,5.39862,35.6737,118.912,1.77636e-11,0
0.34,16.1239,50,6.13588,38.052,118.912,0,0
0.36,16.9087,50,6.9207,40.4302,118.912,-3.55271e-11,0
0.38,17.7411,50,7.75309,42.8085,118.912,3.55271e-11,0
0.4,18.621,50,8.63304,45.1867,118.912,1.77636e-11,0
0.42,19.5486,50,9.56056,47.565,118.912,-3.55271e-11,0
0.44,20.5236,50,10.5356,49.9432,118.912,0,0
0.46,21.5463,50,11.5583,52.3215,118.912,1.77636e-11,0
0.48,22.6165,50,12.6285,54.6997,118.912,0,0
0.5,23.7343,50,13.7463,57.0779,118.912,-1.77636e-11,0
0.52,24.8996,50,14.9116,59.4562,118.912,-1.77636e-11,0
0.54,26.1125,50,16.1245,61.8344,118.912,7.10543e-11,0
0.56,27.373,50,17.385,64.2127,118.912,-7.10543e-11,0
0.58,28.681,50,18.693,66.5909,118.912,3.55271e-11,0
0.6,30.0366,50,20.0486,68.9692,118.912,3.55271e-11,0
0.62,31.4398,50,21.4518,71.3474,118.912,-7.10543e-11,0
0.64,32.8905,50,22.9025,73.7257,118.912,0,0
0.66,34.3888,50,24.4008,76.1039,118.912,7.10543e-11,0
0.68,35.9347,50,25.9467,78.4822,118.912,-7.10543e-11,0
0.7,37.5281,50,27.5401,80.8604,118.912,0,0
0.72,39.1691,50,29.1811,83.2387,118.912,7.10543e-11,0
0.74,40.8577,50,30.8697,85.6169,118.912,-7.10543e-11,0
0.76,42.5938,50,32.6058,87.9952,118.912,3.55271e-11,0
0.78,44.3775,50,34.3895,90.3734,118.912,3.55271e-11,0
0.8,46.2087,50,36.2207,92.7517,118.912,-7.10543e-11,0
0.82,48.0875,50,38.0995,95.1299,118.912,3.55271e-11,0
0.84,50.0139,50,40.0259,97.5082,118.912,-3.55271e-11,0
0.86,51.9879,50,41.9999,99.8864,118.912,3.55271e-11,0
0.88,54.0094,50,44.0214,102.265,118.912,0,0
0.9,56.0784,50,46.0904,104.643,118.912,0,0
0.92,58.1951,50,48.2071,107.021,118.912,0,0
0.94,60.3593,50,50.3713,109.399,118.912,0,0
0.96,62.5663,50,52.5783,111.302,95.1299,-1189.12,0
0.98,64.8066,50,54.8186,112.729,71.3474,-1189.12,0
1,67.0707,50,57.0827,113.68,47.565,-1189.12,0
1.02,69.3491,50,59.3611,114.156,23.7825,-1189.12,0
1.04,71.6301,50,61.6421,113.949,-10.3464,-1706.44,0
1.06,73.9023,50,63.9143,113.266,-34.1289,-1189.12,0
1.08,76.156,50,66.168,112.108,-57.9113,-1189.12,0
1.1,78.3818,50,68.3938,110.474,-81.6938,-1189.12,0
1.12,80.5702,50,70.5822,108.365,-105.476,-1189.12,0
1.14,82.7137,50,72.7257,105.987,-118.912,-671.805,0
1.16,84.8097,50,74.8217,103.608,-118.912,-7.10543e-11,0
1.18,86.8581,50,76.8701,101.23,-118.912,3.55271e-11,0
1.2,88.8589,50,78.8709,98.8518,-118.912,7.10543e-11,0
1.22,90.8121,50,80.8241,96.4735,-118.912,-1.06581e-10,0
1.24,92.7178,50,82.7298,94.0953,-118.912,3.55271e-11,0
1.26,94.576,50,84.588,91.717,-118.912,3.55271e-11,0
