dt,x,y,position,velocity,acceleration,jerk,heading
0.200000,2.478173,270.847262,1.026820,10.268196,51.340980,256.704898,0.000000
0.200000,5.558631,270.847262,4.107278,20.536392,51.340980,0.000000,0.000000
0.200000,10.692729,270.847262,9.241376,30.804588,51.340980,0.000000,0.000000
0.200000,17.880467,270.847262,16.429113,41.072784,51.340980,0.000000,0.000000
0.200000,25.867495,270.847262,24.416142,38.797505,-11.376393,-313.586862,0.000000
0.200000,32.600177,270.847262,31.148824,28.529309,-51.340980,-199.822934,0.000000
0.200000,37.279219,270.847262,35.827866,18.261113,-51.340980,-0.000000,0.000000
0.200000,39.904622,270.847262,38.453269,7.992917,-51.340980,0.000000,0.000000
0.200000,40.703914,270.847262,39.252561,0.000000,-39.964587,56.881964,0.000000
0.200000,40.703914,270.847262,39.252561,0.000000,0.000000,199.822934,0.000000
0.200000,40.703914,270.847262,39.252561,0.000000,0.000000,0.000000,0.000000
