"time","x","y","position","velocity","acceleration","jerk","heading"
0,291.896,70.1342,0,0,0,0,159.327
0.02,291.769,70.1816,0.134883,6.74413,337.207,16860.3,159.328
0.04,291.644,70.229,0.268794,6.69558,-2.42731,-16981.7,159.329
0.06,291.518,70.2765,0.403677,6.74413,2.42731,242.731,159.33
0.08,291.393,70.324,0.537624,6.69736,-2.33875,-238.303,159.331
0.1,291.266,70.3715,0.672733,6.75546,2.9053,262.202,159.333
0.12,291.141,70.419,0.80668,6.69736,-2.9053,-290.53,159.334
0.14,291.015,70.4664,0.941528,6.74237,2.2508,257.805,159.335
0.16,290.792,70.5508,1.17994,11.9204,258.901,12832.5,159.339
0.18,290.487,70.6655,1.50531,16.2689,217.424,-2073.83,159.345
0.2,290.183,70.7804,1.83073,16.2706,0.0882036,-10866.8,159.351
0.22,289.834,70.9113,2.20273,18.6004,116.487,5819.94,159.36
0.24,289.436,71.0613,2.62823,21.2751,133.734,862.354,159.373
0.26,289.032,71.2137,3.0602,21.5981,16.1522,-5879.1,159.386
0.28,288.558,71.3917,3.56644,25.3121,185.701,8477.45,159.406
0.3,288.078,71.5719,4.07926,25.6412,16.4548,-8462.32,159.427
0.32,287.539,71.7742,4.65533,28.8033,158.103,7082.38,159.457
0.34,286.98,71.9837,5.25236,29.8514,52.4083,-5284.71,159.49
0.36,286.381,72.2073,5.89135,31.9495,104.905,2624.84,159.529
0.38,285.743,72.4454,6.5726,34.0625,105.648,37.1368,159.575
0.4,285.076,72.6934,7.28397,35.5684,75.297,-1517.55,159.627
0.42,284.373,72.9541,8.03396,37.4999,96.5717,1063.73,159.685
0.44,283.627,73.2299,8.82906,39.7546,112.736,808.237,159.753
0.46,282.847,73.517,9.66035,41.5649,90.5128,-1111.18,159.831
0.48,282.032,73.8155,10.5284,43.4046,91.987,73.714,159.917
0.5,281.181,74.1259,11.4339,45.2723,93.386,69.9492,160.013
0.52,280.293,74.448,12.3788,47.2472,98.7436,267.879,160.12
0.54,279.368,74.7817,13.362,49.1587,95.5755,-158.404,160.237
0.56,278.404,75.1267,14.3857,51.1839,101.259,284.192,160.366
0.58,277.402,75.4826,15.4488,53.1572,98.6675,-129.592,160.507
0.6,276.363,75.8492,16.5513,55.1259,98.4309,-11.8319,160.66
0.62,275.285,76.2258,17.693,57.0832,97.8678,-28.1538,160.825
0.64,274.169,76.6119,18.8737,59.0361,97.6436,-11.211,161.002
0.66,273.016,77.0067,20.0925,60.9388,95.1357,-125.393,161.188
0.68,271.827,77.4096,21.348,62.7753,91.8229,-165.641,161.382
0.7,270.601,77.8203,22.6409,64.6434,93.4084,79.2764,161.583
0.72,269.336,78.2391,23.9733,66.6231,98.9826,278.706,161.784
0.74,268.038,78.6636,25.339,68.284,83.0463,-796.812,161.981
0.76,266.708,79.0934,26.7368,69.8903,80.3145,-136.591,162.17
0.78,265.344,79.5297,28.1685,71.5857,84.7728,222.915,162.337
0.8,263.956,79.9701,29.6254,72.8424,62.8326,-1097.01,162.476
0.82,262.541,80.415,31.1084,74.1525,65.5062,133.678,162.571
0.84,261.104,80.8648,32.6137,75.2632,55.5342,-498.599,162.613
0.86,259.649,81.3205,34.1391,76.2701,50.3449,-259.462,162.596
0.88,258.184,81.7803,35.6739,76.739,23.4468,-1344.91,162.501
0.9,256.752,82.234,37.1768,75.1473,-79.5867,-5151.67,162.328
0.92,255.364,82.6785,38.6335,72.8317,-115.781,-1809.74,162.104
0.94,254.029,83.1132,40.0382,70.237,-129.733,-697.555,161.83
0.96,252.735,83.5414,41.4012,68.1483,-104.435,1264.9,161.524
0.98,251.483,83.9635,42.7223,66.0556,-104.638,-10.1891,161.201
1,250.269,84.3803,44.0054,64.1562,-94.9687,483.482,160.868
1.02,249.09,84.7931,45.255,62.4814,-83.7386,561.504,160.538
1.04,247.948,85.2005,46.4674,60.6169,-93.227,-474.42,160.217
1.06,246.838,85.6031,47.6483,59.0473,-78.4813,737.283,159.909
1.08,245.758,86.0012,48.7991,57.5397,-75.3777,155.183,159.619
1.1,244.708,86.394,49.9198,56.033,-75.3343,2.17085,159.348
1.12,243.691,86.7803,51.0084,54.4322,-80.0421,-235.391,159.098
1.14,242.704,87.1594,52.0658,52.8667,-78.2722,88.4937,158.869
1.16,241.748,87.5312,53.0913,51.2761,-79.5338,-63.0798,158.659
1.18,240.82,87.8952,54.0876,49.8169,-72.9596,328.711,158.468
1.2,239.923,88.2506,55.0524,48.2374,-78.973,-300.673,158.295
1.22,239.058,88.5968,55.9846,46.6118,-81.2792,-115.306,158.137
1.24,238.221,88.9336,56.8866,45.1001,-75.5877,284.572,157.996
1.26,237.414,89.2607,57.7571,43.5235,-78.8278,-162.004,157.871
1.28,236.638,89.5776,58.5959,41.9393,-79.21,-19.1076,157.758
1.3,235.897,89.8816,59.397,40.0582,-94.0542,-742.214,157.66
