"time","x","y","position","velocity","acceleration","jerk","heading"
0,285.94,69.8345,0,0,90,0,153.435
0.02,285.82,69.8945,0.134164,1.8,90,0,153.435
0.04,285.7,69.9545,0.268328,3.6,90,0,153.434
0.06,285.58,70.0145,0.402492,5.4,90,0,153.434
0.08,285.46,70.0745,0.536656,7.2,90,0,153.434
0.1,285.34,70.1345,0.67082,9,90,0,153.434
0.12,285.22,70.1945,0.804984,10.8,90,0,153.433
0.14,285.1,70.2545,0.939149,12.6,90,0,153.433
0.16,284.887,70.3608,1.17699,14.4,90,0,153.432
0.18,284.597,70.5057,1.50089,16.2,90,0,153.431
0.2,284.308,70.6506,1.82479,18,90,0,153.429
0.22,283.977,70.8156,2.19378,19.8,90,0,153.427
0.24,283.6,71.0045,2.6159,21.6,90,0,153.424
0.26,283.216,71.1965,3.04509,23.4,90,0,153.42
0.28,282.768,71.4205,3.5458,25.2,90,0,153.415
0.3,282.315,71.6475,4.05279,27,90,0,153.41
0.32,281.807,71.9019,4.62111,28.8,90,0,153.402
0.34,281.281,72.1654,5.20954,30.6,90,0,153.393
0.36,280.719,72.447,5.83818,32.4,90,0,153.382
0.38,280.12,72.747,6.50763,34.2,90,0,153.369
0.4,279.496,73.0598,7.20545,36,90,0,153.354
0.42,278.84,73.3893,7.93989,37.8,90,0,153.336
0.44,278.145,73.7386,8.71796,39.6,90,0,153.314
0.46,277.421,74.1028,9.52856,41.4,90,0,153.289
0.48,276.666,74.4828,10.3736,43.2,90,0,153.26
0.5,275.88,74.8792,11.2541,45,90,0,153.227
0.52,275.061,75.2924,12.1708,46.8,90,0,153.189
0.54,274.211,75.7226,13.124,48.6,90,0,153.144
0.56,273.328,76.1701,14.1137,50.4,90,0,153.092
0.58,272.413,76.635,15.1399,52.2,90,0,153.033
0.6,271.466,77.1173,16.2024,54,90,0,152.964
0.62,270.488,77.6173,17.301,55.8,90,0,152.887
0.64,269.479,78.135,18.4353,57.6,90,0,152.797
0.66,268.439,78.6706,19.6051,59.4,90,0,152.695
0.68,267.369,79.2244,20.8099,61.2,90,0,152.578
0.7,266.268,79.797,22.0505,63,90,0,152.445
0.72,265.134,80.3905,23.3304,64.8,90,0,152.293
0.74,263.972,81.0031,24.6443,66.6,90,0,152.122
0.76,262.782,81.6352,25.9921,68.4,90,0,151.931
0.78,261.558,82.2906,27.3801,70.2,90,0,151.713
0.8,260.308,82.9665,28.8014,72,90,0,151.478
0.82,259.028,83.6656,30.2596,73.8,90,0,151.221
0.84,257.72,84.3879,31.7535,75.6,90,0,150.945
0.86,256.385,85.1343,33.2835,77.4,90,0,150.656
0.88,255.022,85.905,34.8489,79.2,90,0,150.359
0.9,253.637,86.6982,36.4455,79.9969,-90,0,150.063
0.92,252.267,87.4919,38.0289,78.1969,-90,0,149.78
0.94,250.934,88.2721,39.5732,76.3969,-90,0,149.53
0.96,249.633,89.0411,41.0844,74.5969,-90,0,149.308
0.98,248.368,89.795,42.5569,72.7969,-90,0,149.115
1,247.133,90.5361,43.9969,70.9969,-90,0,148.949
1.02,245.935,91.2596,45.3966,69.1969,-90,0,148.816
1.04,244.767,91.9684,46.763,67.3969,-90,0,148.703
1.06,243.63,92.6606,48.0938,65.5969,-90,0,148.613
1.08,242.528,93.3344,49.386,63.7969,-90,0,148.543
1.1,241.455,93.9914,50.6439,61.9969,-90,0,148.488
1.12,240.413,94.6311,51.8671,60.1969,-90,0,148.445
1.14,239.402,95.2524,53.0538,58.3969,-90,0,148.413
1.16,238.423,95.8541,54.2021,56.5969,-90,0,148.39
1.18,237.476,96.4376,55.3151,54.7969,-90,0,148.373
1.2,236.558,97.0027,56.3924,52.9969,-90,0,148.362
1.22,235.672,97.5491,57.434,51.1969,-90,0,148.354
1.24,234.816,98.0768,58.4396,49.3969,-90,0,148.35
1.26,233.99,98.5856,59.4092,47.5969,-90,0,148.348
1.28,233.195,99.0757,60.3431,45.7969,-90,0,148.349
1.3,232.43,99.5471,61.2416,43.9969,-90,0,148.35
1.32,231.695,100,62.1054,42.1969,-90,0,148.353
1.34,230.991,100.434,62.9322,40.3969,-90,0,148.356
1.36,230.322,100.846,63.7178,38.5969,-90,0,148.359
1.38,229.683,101.241,64.4694,36.7969,-90,0,148.363
1.4,229.069,101.618,65.1897,34.9969,-90,0,148.366
1.42,228.487,101.977,65.8733,33.1969,-90,0,148.37
1.44,227.943,102.312,66.5121,31.3969,-90,0,148.373
1.46,227.419,102.634,67.1273,29.5969,-90,0,148.376
1.48,226.936,102.932,67.6956,27.7969,-90,0,148.379
1.5,226.478,103.214,68.2325,25.9969,-90,0,148.382
1.52,226.052,103.476,68.7332,24.1969,-90,0,148.384
1.54,225.657,103.72,69.1972,22.3969,-90,0,148.386
1.56,225.297,103.941,69.6193,20.5969,-90,0,148.387
1.58,224.946,104.157,70.0318,18.7969,-90,0,148.389
1.6,224.67,104.327,70.3557,16.9969,-90,0,148.389
1.62,224.394,104.497,70.6796,15.1969,-90,0,148.39
1.64,224.12,104.665,71.0015,13.3969,-90,0,148.391
1.66,224.006,104.736,71.1356,11.5969,-90,0,148.391
1.68,223.892,104.806,71.2698,9.79689,-90,0,148.391
1.7,223.778,104.876,71.4039,7.99689,-90,0,148.392
1.72,223.663,104.947,71.5381,6.19689,-90,0,148.392
1.74,223.549,105.017,71.6723,4.39689,-90,0,148.392
1.76,223.435,105.087,71.8064,2.59689,-90,0,148.392
1.78,223.32,105.158,71.9406,0.796894,-90,0,148.392
