"time","x","y","position","velocity","acceleration","jerk","heading"
0,273.86,50.2961,0,0,0,0,114.492
0.02,273.792,50.4455,0.163998,8.1999,409.995,20499.8,114.515
0.04,273.723,50.5947,0.32832,8.21611,0.810707,-20459.2,114.538
0.06,273.656,50.744,0.492227,8.19535,-1.03839,-92.4549,114.561
0.08,273.587,50.8931,0.656305,8.2039,0.427498,73.2944,114.585
0.1,273.52,51.0423,0.820121,8.19079,-0.655152,-54.1325,114.608
0.12,273.442,51.2125,1.00719,9.35368,58.1441,2939.96,114.642
0.14,273.284,51.5574,1.38668,18.9742,481.028,21144.2,114.766
0.16,273.124,51.9021,1.76646,18.9892,0.748837,-24014,114.889
0.18,272.939,52.3022,2.20739,22.0464,152.859,7605.48,115.099
0.2,272.737,52.73,2.68044,23.6525,80.3055,-3627.65,115.35
0.22,272.515,53.1967,3.1971,25.8331,109.029,1436.16,115.742
0.24,272.282,53.6774,3.73154,26.7217,44.4304,-3229.91,116.222
0.26,272.034,54.1736,4.28603,27.7248,50.158,286.377,116.895
0.28,271.774,54.6787,4.85402,28.3993,33.721,-821.847,117.77
0.3,271.505,55.1812,5.42432,28.5151,5.79161,-1396.47,118.852
0.32,271.229,55.6703,5.98563,28.0653,-22.4896,-1414.06,120.202
0.34,270.956,56.1281,6.51907,26.6722,-69.6554,-2358.29,121.902
0.36,270.696,56.5313,6.99867,23.9798,-134.62,-3248.21,124.062
0.38,270.462,56.8639,7.40548,20.3408,-181.949,-2366.49,126.758
0.4,270.264,57.1176,7.72708,16.08,-213.041,-1554.58,130.036
0.42,270.113,57.2892,7.95576,11.434,-232.297,-962.794,133.927
0.44,270.007,57.3924,8.10347,7.3854,-202.433,1493.22,138.379
0.46,269.923,57.461,8.21233,5.44286,-97.1268,5265.3,143.246
0.48,269.791,57.5491,8.37094,7.93077,124.396,11076.1,148.138
0.5,269.533,57.6923,8.66622,14.7639,341.655,10863,152.689
0.52,269.022,57.9301,9.22931,28.1545,669.53,16393.8,156.409
0.54,268.26,58.2355,10.0505,41.0617,645.361,-1208.43,159.28
0.56,267.178,58.6203,11.1991,57.4274,818.287,8646.28,161.076
0.58,265.844,59.0605,12.6032,70.2054,638.9,-8969.36,162.041
0.6,264.272,59.5645,14.2544,82.5576,617.607,-1064.61,162.233
0.62,262.483,60.144,16.1353,94.045,574.369,-2161.92,161.732
0.64,260.543,60.7997,18.1822,102.345,415.005,-7968.2,160.781
0.66,258.476,61.5456,20.3797,109.876,376.545,-1922.99,159.449
0.68,256.312,62.391,22.7034,116.187,315.573,-3048.6,157.834
0.7,254.075,63.3432,25.1341,121.535,267.401,-2408.6,156.017
0.72,251.805,64.3994,27.6384,125.214,183.902,-4174.96,154.073
0.74,249.563,65.5401,30.1539,125.772,27.9491,-7797.66,151.956
0.76,247.419,66.7334,32.6071,122.664,-155.412,-9168.03,149.86
0.78,245.406,67.9488,34.9591,117.6,-253.192,-4889.01,147.945
0.8,243.537,69.1573,37.1846,111.274,-316.311,-3155.98,146.314
0.82,241.829,70.3251,39.2536,103.448,-391.33,-3750.96,145.076
0.84,240.289,71.4186,41.1421,94.4283,-450.965,-2981.7,144.345
0.86,238.927,72.4017,42.8222,84.0044,-521.194,-3511.47,144.242
0.88,237.779,73.2211,44.2325,70.5138,-674.531,-7666.87,144.996
0.9,236.852,73.8574,45.357,56.223,-714.54,-2000.42,146.687
0.92,236.103,74.3355,46.2457,44.4341,-589.443,6254.82,149.107
0.94,235.519,74.6695,46.9186,33.6467,-539.369,2503.7,152.182
0.96,235.081,74.8859,47.4067,24.4064,-462.019,3867.49,155.76
0.98,234.698,75.0452,47.8219,20.758,-182.42,13980,159.42
1,234.319,75.1738,48.2222,20.0166,-37.0661,7267.69,162.901
1.02,233.92,75.2826,48.6354,20.6596,32.1476,3460.69,166.08
1.04,233.471,75.3808,49.0954,23.001,117.071,4246.19,168.833
1.06,232.964,75.4686,49.6101,25.732,136.551,973.955,171.131
1.08,232.413,75.5434,50.166,27.7989,103.341,-1660.48,173.028
1.1,231.834,75.6048,50.7478,29.087,64.4056,-1946.77,174.578
1.12,231.239,75.6536,51.3445,29.8343,37.366,-1351.98,175.836
1.14,230.641,75.6909,51.9437,29.9598,6.27375,-1554.61,176.857
1.16,230.048,75.7188,52.5377,29.7017,-12.9023,-958.801,177.679
1.18,229.469,75.739,53.1172,28.9738,-36.3963,-1174.7,178.26
1.2,228.915,75.7529,53.6708,27.6809,-64.6437,-1412.37,178.729
1.22,228.379,75.7624,54.2076,26.8414,-41.974,1133.48,179.123
1.24,227.904,75.7683,54.6823,23.7332,-155.41,-5671.8,179.366
1.26,227.442,75.772,55.1446,23.1153,-30.8964,6225.68,179.594
1.28,227.062,75.774,55.524,18.972,-207.165,-8813.45,179.715
1.3,226.682,75.7752,55.9045,19.0218,2.49037,10482.8,179.836
1.32,226.45,75.7755,56.136,11.5769,-372.244,-18736.7,179.887
1.34,226.285,75.7757,56.3011,8.25566,-166.064,10309,179.907
1.36,226.121,75.7759,56.4655,8.21788,-1.88914,8208.73,179.926
1.38,225.956,75.776,56.6306,8.25566,1.88891,188.902,179.946
1.4,225.791,75.7761,56.7957,8.25566,-1.55557e-06,-94.4458,179.966
1.42,225.626,75.7761,56.9608,8.25565,-7.26288e-05,-0.00355366,179.986
