"time","x","y","position","velocity","acceleration","jerk","heading"
0,13.0192,194,0,0,0,0,0
0.02,13.0216,194,0.0024,0.12,6,300,0
0.04,13.0384,194,0.0192,0.84,36,1500,0
0.06,13.0829,194,0.0637,2.225,69.25,1662.5,0
0.08,13.1593,194,0.1401,3.82,79.75,525,0
0.1,13.2678,194,0.2486,5.425,80.25,25,0
0.12,13.4082,194,0.389,7.02,79.75,-25,0
0.14,13.5807,194,0.5615,8.625,80.25,25,0
0.16,13.7851,194,0.7659,10.22,79.75,-25,0
0.18,14.0216,194,1.0024,11.825,80.25,25,0
0.2,14.29,194,1.2708,13.42,79.75,-25,0
0.22,14.5905,194,1.5713,15.025,80.25,25,0
0.24,14.9229,194,1.9037,16.62,79.75,-25,0
0.26,15.2873,194,2.2681,18.22,80,12.5,0
0.28,15.6838,194,2.6646,19.825,80.25,12.5,0
0.3,16.1122,194,3.093,21.42,79.75,-25,0
0.32,16.5727,194,3.5535,23.025,80.25,25,0
0.34,17.0651,194,4.0459,24.62,79.75,-25,0
0.36,17.5896,194,4.5704,26.225,80.25,25,0
0.38,18.146,194,5.1268,27.82,79.75,-25,0
0.4,18.7345,194,5.7153,29.425,80.25,25,0
0.42,19.3549,194,6.3357,31.02,79.75,-25,0
0.44,20.0073,194,6.9881,32.62,80,12.5,0
0.46,20.6918,194,7.6726,34.225,80.25,12.5,0
0.48,21.4082,194,8.389,35.82,79.75,-25,0
0.5,22.1567,194,9.1375,37.425,80.25,25,0
0.52,22.9371,194,9.9179,39.02,79.75,-25,0
0.54,23.7496,194,10.7304,40.625,80.25,25,0
0.56,24.594,194,11.5748,42.22,79.75,-25,0
0.58,25.4705,194,12.4513,43.825,80.25,25,0
0.6,26.3789,194,13.3597,45.42,79.75,-25,0
0.62,27.3193,194,14.3001,47.02,80,12.5,0
0.64,28.2918,194,15.2726,48.625,80.25,12.5,0
0.66,29.2962,194,16.277,50.22,79.75,-25,0
0.68,30.3327,194,17.3135,51.825,80.25,25,0
0.7,31.4011,194,18.3819,53.42,79.75,-25,0
0.72,32.5016,194,19.4824,55.025,80.25,25,0
0.74,33.634,194,20.6148,56.62,79.75,-25,0
0.76,34.7985,194,21.7793,58.225,80.25,25,0
0.78,35.9949,194,22.9757,59.82,79.75,-25,0
0.8,37.2233,194,24.2041,61.42,80,12.5,0
0.82,38.4838,194,25.4646,63.025,80.25,12.5,0
0.84,39.7762,194,26.757,64.62,79.75,-25,0
0.86,41.1007,194,28.0815,66.225,80.25,25,0
0.88,42.4571,194,29.4379,67.82,79.75,-25,0
0.9,43.8456,194,30.8264,69.425,80.25,25,0
